Date 26-Apr-2021 17:52:37
Maneuver DemoCar_MBS_accelerate_front_eq+50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 2.047727e-004	-0.000000e+000	 1.180477e+002	 2.000000e-001	 0.000000e+000	 5.676180e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.738673e+000	-1.688639e+000	 3.957233e+001	-1.771628e-002	-6.958771e-001	 4.547582e-003	 1.342611e+002	 4.541292e+002	 3.736680e+001	 4.541292e+002	 1.180477e+002	 2.000000e-001	 0.000000e+000	 5.676188e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.738672e+000	 1.688638e+000	 3.957231e+001	-1.771644e-002	-6.958766e-001	 4.547649e-003	 1.342611e+002	 4.541292e+002	 3.736677e+001	 4.541292e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 5.000000e-001	 0.000000e+000	 2.129031e-004	-0.000000e+000	 1.180488e+002	 1.002000e+002	 0.000000e+000	 5.672540e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.925382e+000	-1.713777e+000	 3.958273e+001	-1.708257e-002	-7.131297e-001	 1.254930e-002	 1.342823e+002	 4.541506e+002	 3.735015e+001	 4.541506e+002	 1.180488e+002	 1.002000e+002	 0.000000e+000	 5.672549e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.925380e+000	 1.713775e+000	 3.958270e+001	-1.708274e-002	-7.131292e-001	 1.254938e-002	 1.342823e+002	 4.541507e+002	 3.735013e+001	 4.541507e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 1.000000e+000	 0.000000e+000	 2.210501e-004	-0.000000e+000	 1.180486e+002	 2.002000e+002	 0.000000e+000	 5.669076e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.112920e+000	-1.738975e+000	 3.959263e+001	-1.645208e-002	-7.304688e-001	 2.055758e-002	 1.343043e+002	 4.541729e+002	 3.733288e+001	 4.541729e+002	 1.180486e+002	 2.002000e+002	 0.000000e+000	 5.669085e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.112919e+000	 1.738974e+000	 3.959260e+001	-1.645226e-002	-7.304683e-001	 2.055765e-002	 1.343044e+002	 4.541730e+002	 3.733286e+001	 4.541730e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 1.500000e+000	 0.000000e+000	 2.291989e-004	-0.000000e+000	 1.180483e+002	 3.002000e+002	 0.000000e+000	 5.665612e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.300426e+000	-1.764215e+000	 3.960253e+001	-1.582067e-002	-7.478048e-001	 2.856300e-002	 1.343264e+002	 4.541953e+002	 3.731562e+001	 4.541953e+002	 1.180483e+002	 3.002000e+002	 0.000000e+000	 5.665621e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.300425e+000	 1.764214e+000	 3.960250e+001	-1.582085e-002	-7.478042e-001	 2.856307e-002	 1.343265e+002	 4.541953e+002	 3.731560e+001	 4.541953e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 2.000000e+000	 0.000000e+000	 2.373503e-004	-0.000000e+000	 1.180479e+002	 4.002000e+002	 0.000000e+000	 5.662146e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.487897e+000	-1.789497e+000	 3.961243e+001	-1.518833e-002	-7.651373e-001	 3.656549e-002	 1.343486e+002	 4.542177e+002	 3.729838e+001	 4.542177e+002	 1.180479e+002	 4.002000e+002	 0.000000e+000	 5.662156e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.487896e+000	 1.789496e+000	 3.961240e+001	-1.518851e-002	-7.651368e-001	 3.656557e-002	 1.343486e+002	 4.542177e+002	 3.729835e+001	 4.542177e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 2.500000e+000	 0.000000e+000	 2.455046e-004	-0.000000e+000	 1.180475e+002	 5.002000e+002	 0.000000e+000	 5.658680e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.675334e+000	-1.814821e+000	 3.962233e+001	-1.455506e-002	-7.824665e-001	 4.456507e-002	 1.343707e+002	 4.542401e+002	 3.728115e+001	 4.542401e+002	 1.180475e+002	 5.002000e+002	 0.000000e+000	 5.658690e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.675332e+000	 1.814820e+000	 3.962230e+001	-1.455525e-002	-7.824659e-001	 4.456515e-002	 1.343708e+002	 4.542401e+002	 3.728112e+001	 4.542401e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 3.000000e+000	 0.000000e+000	 2.536625e-004	-0.000000e+000	 1.180470e+002	 6.002000e+002	 0.000000e+000	 5.655213e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.862736e+000	-1.840187e+000	 3.963224e+001	-1.392086e-002	-7.997923e-001	 5.256173e-002	 1.343930e+002	 4.542626e+002	 3.726393e+001	 4.542626e+002	 1.180470e+002	 6.002000e+002	 0.000000e+000	 5.655223e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.862734e+000	 1.840185e+000	 3.963221e+001	-1.392105e-002	-7.997917e-001	 5.256181e-002	 1.343930e+002	 4.542626e+002	 3.726391e+001	 4.542626e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 3.500000e+000	 0.000000e+000	 2.618245e-004	-0.000000e+000	 1.180464e+002	 7.002000e+002	 0.000000e+000	 5.651745e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.050103e+000	-1.865594e+000	 3.964215e+001	-1.328574e-002	-8.171147e-001	 6.055548e-002	 1.344152e+002	 4.542851e+002	 3.724673e+001	 4.542851e+002	 1.180464e+002	 7.002000e+002	 0.000000e+000	 5.651755e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.050101e+000	 1.865592e+000	 3.964212e+001	-1.328593e-002	-8.171142e-001	 6.055556e-002	 1.344152e+002	 4.542851e+002	 3.724671e+001	 4.542851e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 4.000000e+000	 0.000000e+000	 2.699910e-004	-0.000000e+000	 1.180458e+002	 8.002000e+002	 0.000000e+000	 5.648276e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.237436e+000	-1.891042e+000	 3.965206e+001	-1.264968e-002	-8.344338e-001	 6.854631e-002	 1.344375e+002	 4.543076e+002	 3.722955e+001	 4.543076e+002	 1.180458e+002	 8.002000e+002	 0.000000e+000	 5.648286e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.237434e+000	 1.891041e+000	 3.965203e+001	-1.264988e-002	-8.344332e-001	 6.854639e-002	 1.344375e+002	 4.543077e+002	 3.722952e+001	 4.543077e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 4.500000e+000	 0.000000e+000	 2.781627e-004	-0.000000e+000	 1.180451e+002	 9.002000e+002	 0.000000e+000	 5.644806e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.424733e+000	-1.916533e+000	 3.966198e+001	-1.201269e-002	-8.517493e-001	 7.653424e-002	 1.344598e+002	 4.543302e+002	 3.721238e+001	 4.543302e+002	 1.180451e+002	 9.002000e+002	 0.000000e+000	 5.644816e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.424732e+000	 1.916531e+000	 3.966195e+001	-1.201289e-002	-8.517488e-001	 7.653432e-002	 1.344599e+002	 4.543303e+002	 3.721236e+001	 4.543303e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
