Date 26-Apr-2021 17:51:37
Maneuver DemoCar_MBS_accelerate_front_eq-50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-1.852303e-005	-0.000000e+000	 1.294770e+001	 2.000000e-001	 0.000000e+000	 3.128973e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.233405e+000	-3.239781e+000	-5.815097e+001	 1.488219e-001	 8.698566e-001	 3.118482e-002	 2.265342e+002	 5.470265e+002	-5.397542e+001	 5.470265e+002	 1.294770e+001	 2.000000e-001	 0.000000e+000	 3.128975e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.233405e+000	 3.239782e+000	-5.815097e+001	 1.488220e-001	 8.698567e-001	 3.118483e-002	 2.265342e+002	 5.470266e+002	-5.397543e+001	 5.470266e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 5.000000e-001	 0.000000e+000	-2.899656e-005	-0.000000e+000	 1.294875e+001	 1.002000e+002	 0.000000e+000	 3.122927e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.024136e+000	-3.259418e+000	-5.813370e+001	 1.494101e-001	 8.522712e-001	 3.667807e-002	 2.265478e+002	 5.470402e+002	-5.400357e+001	 5.470402e+002	 1.294875e+001	 1.002000e+002	 0.000000e+000	 3.122929e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.024136e+000	 3.259419e+000	-5.813371e+001	 1.494102e-001	 8.522713e-001	 3.667807e-002	 2.265478e+002	 5.470402e+002	-5.400357e+001	 5.470402e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 1.000000e+000	 0.000000e+000	-3.940947e-005	-0.000000e+000	 1.294782e+001	 2.002000e+002	 0.000000e+000	 3.116995e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.814022e+000	-3.279168e+000	-5.811676e+001	 1.500074e-001	 8.346025e-001	 4.215378e-002	 2.265620e+002	 5.470544e+002	-5.403222e+001	 5.470544e+002	 1.294782e+001	 2.002000e+002	 0.000000e+000	 3.116997e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.814022e+000	 3.279169e+000	-5.811676e+001	 1.500074e-001	 8.346026e-001	 4.215378e-002	 2.265620e+002	 5.470544e+002	-5.403223e+001	 5.470544e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 1.500000e+000	 0.000000e+000	-4.980808e-005	-0.000000e+000	 1.294692e+001	 3.002000e+002	 0.000000e+000	 3.111063e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.603970e+000	-3.298961e+000	-5.809982e+001	 1.506065e-001	 8.169382e-001	 4.762498e-002	 2.265762e+002	 5.470687e+002	-5.406086e+001	 5.470687e+002	 1.294691e+001	 3.002000e+002	 0.000000e+000	 3.111065e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.603970e+000	 3.298962e+000	-5.809982e+001	 1.506065e-001	 8.169383e-001	 4.762499e-002	 2.265762e+002	 5.470687e+002	-5.406087e+001	 5.470687e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 2.000000e+000	 0.000000e+000	-6.019330e-005	-0.000000e+000	 1.294604e+001	 4.002000e+002	 0.000000e+000	 3.105130e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.393974e+000	-3.318798e+000	-5.808288e+001	 1.512074e-001	 7.992779e-001	 5.309186e-002	 2.265905e+002	 5.470830e+002	-5.408949e+001	 5.470830e+002	 1.294604e+001	 4.002000e+002	 0.000000e+000	 3.105132e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.393975e+000	 3.318799e+000	-5.808288e+001	 1.512075e-001	 7.992779e-001	 5.309186e-002	 2.265905e+002	 5.470830e+002	-5.408950e+001	 5.470830e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 2.500000e+000	 0.000000e+000	-7.056579e-005	-0.000000e+000	 1.294520e+001	 5.002000e+002	 0.000000e+000	 3.099197e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.184034e+000	-3.338679e+000	-5.806593e+001	 1.518102e-001	 7.816213e-001	 5.855440e-002	 2.266048e+002	 5.470974e+002	-5.411812e+001	 5.470974e+002	 1.294519e+001	 5.002000e+002	 0.000000e+000	 3.099199e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.184034e+000	 3.338680e+000	-5.806594e+001	 1.518103e-001	 7.816214e-001	 5.855441e-002	 2.266048e+002	 5.470974e+002	-5.411812e+001	 5.470974e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 3.000000e+000	 0.000000e+000	-8.092626e-005	-0.000000e+000	 1.294438e+001	 6.002000e+002	 0.000000e+000	 3.093262e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.974149e+000	-3.358603e+000	-5.804899e+001	 1.524148e-001	 7.639687e-001	 6.401263e-002	 2.266192e+002	 5.471119e+002	-5.414673e+001	 5.471119e+002	 1.294437e+001	 6.002000e+002	 0.000000e+000	 3.093265e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.974149e+000	 3.358604e+000	-5.804899e+001	 1.524149e-001	 7.639688e-001	 6.401264e-002	 2.266192e+002	 5.471119e+002	-5.414673e+001	 5.471119e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 3.500000e+000	 0.000000e+000	-9.127537e-005	-0.000000e+000	 1.294358e+001	 7.002000e+002	 0.000000e+000	 3.087327e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.764319e+000	-3.378571e+000	-5.803204e+001	 1.530213e-001	 7.463199e-001	 6.946655e-002	 2.266336e+002	 5.471263e+002	-5.417533e+001	 5.471263e+002	 1.294358e+001	 7.002000e+002	 0.000000e+000	 3.087330e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.764319e+000	 3.378572e+000	-5.803204e+001	 1.530213e-001	 7.463200e-001	 6.946655e-002	 2.266336e+002	 5.471264e+002	-5.417533e+001	 5.471264e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 4.000000e+000	 0.000000e+000	-1.016138e-004	-0.000000e+000	 1.294282e+001	 8.002000e+002	 0.000000e+000	 3.081392e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.554545e+000	-3.398583e+000	-5.801509e+001	 1.536296e-001	 7.286750e-001	 7.491615e-002	 2.266481e+002	 5.471408e+002	-5.420392e+001	 5.471408e+002	 1.294281e+001	 8.002000e+002	 0.000000e+000	 3.081394e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.554545e+000	 3.398584e+000	-5.801509e+001	 1.536296e-001	 7.286751e-001	 7.491616e-002	 2.266481e+002	 5.471408e+002	-5.420392e+001	 5.471408e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 4.500000e+000	 0.000000e+000	-1.119422e-004	-0.000000e+000	 1.294208e+001	 9.002000e+002	 0.000000e+000	 3.075455e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.344826e+000	-3.418638e+000	-5.799814e+001	 1.542397e-001	 7.110340e-001	 8.036145e-002	 2.266626e+002	 5.471554e+002	-5.423249e+001	 5.471554e+002	 1.294207e+001	 9.002000e+002	 0.000000e+000	 3.075457e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.344826e+000	 3.418639e+000	-5.799814e+001	 1.542398e-001	 7.110341e-001	 8.036146e-002	 2.266626e+002	 5.471554e+002	-5.423250e+001	 5.471554e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 5.000000e+000	 0.000000e+000	-1.222613e-004	-0.000000e+000	 1.294137e+001	 1.000200e+003	 0.000000e+000	 3.069518e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.135162e+000	-3.438737e+000	-5.798118e+001	 1.548517e-001	 6.933969e-001	 8.580245e-002	 2.266772e+002	 5.471700e+002	-5.426106e+001	 5.471700e+002	 1.294136e+001	 1.000200e+003	 0.000000e+000	 3.069520e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.135162e+000	 3.438738e+000	-5.798119e+001	 1.548518e-001	 6.933970e-001	 8.580246e-002	 2.266772e+002	 5.471700e+002	-5.426107e+001	 5.471700e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
