Date 26-Apr-2021 18:09:52
Maneuver DemoCar_MBS_accelerate_front_opp_opp+25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-8.450277e+000	-0.000000e+000	 6.547954e+001	 2.000000e-001	 0.000000e+000	 4.343361e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.484550e+000	 9.669452e-002	-9.121062e+000	-1.777492e-001	 2.007150e-001	-8.731785e-002	 1.808259e+002	 5.010895e+002	-8.771164e+000	 5.010895e+002	 6.545568e+001	 1.250000e+003	 0.000000e+000	 4.284539e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.006787e+000	 4.891368e-001	-8.953307e+000	-1.941186e-001	-1.230805e-001	 2.689855e-001	 1.813397e+002	 5.016064e+002	-8.541188e+000	 5.016064e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-7.774240e+000	-0.000000e+000	 6.547978e+001	 1.002000e+002	 0.000000e+000	 4.338627e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.212459e+000	 6.359013e-002	-9.107552e+000	-1.780045e-001	 1.794746e-001	-7.038309e-002	 1.808537e+002	 5.011174e+002	-8.773511e+000	 5.011174e+002	 6.545684e+001	 1.250000e+003	 0.000000e+000	 4.284363e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.929192e+000	 4.772714e-001	-8.952771e+000	-1.930959e-001	-1.191248e-001	 2.581402e-001	 1.813279e+002	 5.015946e+002	-8.561396e+000	 5.015946e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-7.098197e+000	-0.000000e+000	 6.547887e+001	 2.002000e+002	 0.000000e+000	 4.333870e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-9.343536e-001	 2.960471e-002	-9.093964e+000	-1.782742e-001	 1.577794e-001	-5.302729e-002	 1.808825e+002	 5.011463e+002	-8.775787e+000	 5.011463e+002	 6.545751e+001	 1.250000e+003	 0.000000e+000	 4.284351e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.846390e+000	 4.646530e-001	-8.952721e+000	-1.920578e-001	-1.147954e-001	 2.468666e-001	 1.813159e+002	 5.015825e+002	-8.582260e+000	 5.015825e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-6.422154e+000	-0.000000e+000	 6.547791e+001	 3.002000e+002	 0.000000e+000	 4.329117e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.565724e-001	-4.448517e-003	-9.080390e+000	-1.785461e-001	 1.361092e-001	-3.569560e-002	 1.809113e+002	 5.011753e+002	-8.778096e+000	 5.011753e+002	 6.545819e+001	 1.250000e+003	 0.000000e+000	 4.284334e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.763852e+000	 4.520826e-001	-8.952654e+000	-1.910218e-001	-1.104852e-001	 2.356136e-001	 1.813039e+002	 5.015705e+002	-8.603106e+000	 5.015705e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-5.746111e+000	-0.000000e+000	 6.547690e+001	 4.002000e+002	 0.000000e+000	 4.324362e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.788498e-001	-3.860649e-002	-9.066809e+000	-1.788207e-001	 1.144444e-001	-1.836799e-002	 1.809402e+002	 5.012044e+002	-8.780412e+000	 5.012044e+002	 6.545887e+001	 1.250000e+003	 0.000000e+000	 4.284317e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.681317e+000	 4.395217e-001	-8.952588e+000	-1.899875e-001	-1.061749e-001	 2.243612e-001	 1.812920e+002	 5.015584e+002	-8.623957e+000	 5.015584e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-5.070068e+000	-0.000000e+000	 6.547585e+001	 5.002000e+002	 0.000000e+000	 4.319606e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.011977e-001	-7.286744e-002	-9.053224e+000	-1.790978e-001	 9.278581e-002	-1.045351e-003	 1.809692e+002	 5.012336e+002	-8.782739e+000	 5.012336e+002	 6.545955e+001	 1.250000e+003	 0.000000e+000	 4.284300e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.598796e+000	 4.269720e-001	-8.952522e+000	-1.889550e-001	-1.018653e-001	 2.131103e-001	 1.812800e+002	 5.015463e+002	-8.644812e+000	 5.015463e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-4.394025e+000	-0.000000e+000	 6.547476e+001	 6.002000e+002	 0.000000e+000	 4.314848e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.763842e-001	-1.072314e-001	-9.039634e+000	-1.793775e-001	 7.113349e-002	 1.627234e-002	 1.809983e+002	 5.012629e+002	-8.785074e+000	 5.012629e+002	 6.546023e+001	 1.250000e+003	 0.000000e+000	 4.284283e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.516288e+000	 4.144334e-001	-8.952455e+000	-1.879241e-001	-9.755639e-002	 2.018609e-001	 1.812680e+002	 5.015343e+002	-8.665670e+000	 5.015343e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-3.717981e+000	-0.000000e+000	 6.547361e+001	 7.002000e+002	 0.000000e+000	 4.310088e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.538957e-001	-1.416982e-001	-9.026039e+000	-1.796598e-001	 4.948742e-002	 3.358506e-002	 1.810274e+002	 5.012922e+002	-8.787418e+000	 5.012922e+002	 6.546092e+001	 1.250000e+003	 0.000000e+000	 4.284266e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.433795e+000	 4.019059e-001	-8.952387e+000	-1.868950e-001	-9.324822e-002	 1.906129e-001	 1.812561e+002	 5.015223e+002	-8.686531e+000	 5.015223e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-3.041937e+000	-0.000000e+000	 6.547243e+001	 8.002000e+002	 0.000000e+000	 4.305327e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 7.313368e-001	-1.762677e-001	-9.012440e+000	-1.799447e-001	 2.784763e-002	 5.089280e-002	 1.810567e+002	 5.013216e+002	-8.789771e+000	 5.013216e+002	 6.546160e+001	 1.250000e+003	 0.000000e+000	 4.284249e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.351315e+000	 3.893896e-001	-8.952320e+000	-1.858676e-001	-8.894076e-002	 1.793664e-001	 1.812441e+002	 5.015103e+002	-8.707397e+000	 5.015103e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-2.365893e+000	-0.000000e+000	 6.547119e+001	 9.002000e+002	 0.000000e+000	 4.300563e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.008707e+000	-2.109400e-001	-8.998836e+000	-1.802321e-001	 6.214125e-003	 6.819556e-002	 1.810860e+002	 5.013511e+002	-8.792133e+000	 5.013511e+002	 6.546228e+001	 1.250000e+003	 0.000000e+000	 4.284231e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.268849e+000	 3.768844e-001	-8.952251e+000	-1.848420e-001	-8.463402e-002	 1.681215e-001	 1.812322e+002	 5.014983e+002	-8.728266e+000	 5.014983e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
