Date 26-Apr-2021 18:08:49
Maneuver DemoCar_MBS_accelerate_front_opp_opp-75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 2.535125e+001	-0.000000e+000	 6.545305e+001	 2.000000e-001	 0.000000e+000	 4.345344e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.640387e+000	-5.143605e-001	-9.127736e+000	-2.290217e-001	-1.477777e-002	 4.751373e-001	 1.814191e+002	 5.016863e+002	-7.726605e+000	 5.016863e+002	 6.548078e+001	-3.750000e+003	 0.000000e+000	 4.520411e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.091226e+001	-1.156381e+000	-9.626951e+000	-1.807474e-001	 9.631100e-001	-5.997368e-001	 1.799439e+002	 5.002018e+002	-8.422007e+000	 5.002018e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 2.602737e+001	-0.000000e+000	 6.545527e+001	 1.002000e+002	 0.000000e+000	 4.339585e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.929983e+000	-5.519601e-001	-9.111263e+000	-2.294683e-001	-3.726056e-002	 4.935220e-001	 1.814475e+002	 5.017149e+002	-7.726364e+000	 5.017149e+002	 6.547921e+001	-3.750000e+003	 0.000000e+000	 4.521108e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.100820e+001	-1.168776e+000	-9.628954e+000	-1.798322e-001	 9.684210e-001	-6.120438e-001	 1.799338e+002	 5.001917e+002	-8.445907e+000	 5.001917e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 2.670341e+001	-0.000000e+000	 6.545352e+001	 2.002000e+002	 0.000000e+000	 4.334846e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.206947e+000	-5.877009e-001	-9.097733e+000	-2.298780e-001	-5.884712e-002	 5.108042e-001	 1.814775e+002	 5.017450e+002	-7.729453e+000	 5.017450e+002	 6.547926e+001	-3.750000e+003	 0.000000e+000	 4.521030e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.109055e+001	-1.179410e+000	-9.628715e+000	-1.789386e-001	 9.727429e-001	-6.232597e-001	 1.799229e+002	 5.001807e+002	-8.467304e+000	 5.001807e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 2.737945e+001	-0.000000e+000	 6.545186e+001	 3.002000e+002	 0.000000e+000	 4.330064e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.484391e+000	-6.236274e-001	-9.084078e+000	-2.302922e-001	-8.046681e-002	 5.281280e-001	 1.815075e+002	 5.017753e+002	-7.732423e+000	 5.017753e+002	 6.547922e+001	-3.750000e+003	 0.000000e+000	 4.520988e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.117344e+001	-1.190106e+000	-9.628582e+000	-1.780455e-001	 9.771042e-001	-6.345206e-001	 1.799121e+002	 5.001699e+002	-8.488823e+000	 5.001699e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 2.805550e+001	-0.000000e+000	 6.545014e+001	 4.002000e+002	 0.000000e+000	 4.325282e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.761739e+000	-6.596528e-001	-9.070426e+000	-2.307088e-001	-1.020784e-001	 5.454448e-001	 1.815376e+002	 5.018055e+002	-7.735407e+000	 5.018055e+002	 6.547918e+001	-3.750000e+003	 0.000000e+000	 4.520944e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.125629e+001	-1.200788e+000	-9.628443e+000	-1.771542e-001	 9.814630e-001	-6.457779e-001	 1.799013e+002	 5.001590e+002	-8.510339e+000	 5.001590e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 2.873154e+001	-0.000000e+000	 6.544838e+001	 5.002000e+002	 0.000000e+000	 4.320499e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.039016e+000	-6.957804e-001	-9.056768e+000	-2.311279e-001	-1.236837e-001	 5.627563e-001	 1.815677e+002	 5.018359e+002	-7.738400e+000	 5.018359e+002	 6.547915e+001	-3.750000e+003	 0.000000e+000	 4.520901e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.133913e+001	-1.211460e+000	-9.628303e+000	-1.762646e-001	 9.858209e-001	-6.570338e-001	 1.798906e+002	 5.001482e+002	-8.531859e+000	 5.001482e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 2.940758e+001	-0.000000e+000	 6.544657e+001	 6.002000e+002	 0.000000e+000	 4.315714e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.316220e+000	-7.320101e-001	-9.043106e+000	-2.315495e-001	-1.452825e-001	 5.800627e-001	 1.815980e+002	 5.018663e+002	-7.741401e+000	 5.018663e+002	 6.547911e+001	-3.750000e+003	 0.000000e+000	 4.520857e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.142196e+001	-1.222120e+000	-9.628165e+000	-1.753767e-001	 9.901782e-001	-6.682881e-001	 1.798798e+002	 5.001373e+002	-8.553383e+000	 5.001373e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 3.008362e+001	-0.000000e+000	 6.544472e+001	 7.002000e+002	 0.000000e+000	 4.310927e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.593351e+000	-7.683418e-001	-9.029439e+000	-2.319737e-001	-1.668749e-001	 5.973639e-001	 1.816283e+002	 5.018968e+002	-7.744412e+000	 5.018968e+002	 6.547908e+001	-3.750000e+003	 0.000000e+000	 4.520813e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.150477e+001	-1.232769e+000	-9.628025e+000	-1.744905e-001	 9.945347e-001	-6.795407e-001	 1.798690e+002	 5.001265e+002	-8.574910e+000	 5.001265e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 3.075966e+001	-0.000000e+000	 6.544282e+001	 8.002000e+002	 0.000000e+000	 4.306139e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.870410e+000	-8.047755e-001	-9.015767e+000	-2.324003e-001	-1.884608e-001	 6.146598e-001	 1.816587e+002	 5.019274e+002	-7.747431e+000	 5.019274e+002	 6.547905e+001	-3.750000e+003	 0.000000e+000	 4.520770e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.158757e+001	-1.243407e+000	-9.627884e+000	-1.736061e-001	 9.988903e-001	-6.907919e-001	 1.798583e+002	 5.001157e+002	-8.596439e+000	 5.001157e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 3.143571e+001	-0.000000e+000	 6.544088e+001	 9.002000e+002	 0.000000e+000	 4.301348e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 5.147395e+000	-8.413108e-001	-9.002090e+000	-2.328295e-001	-2.100402e-001	 6.319505e-001	 1.816892e+002	 5.019581e+002	-7.750458e+000	 5.019581e+002	 6.547901e+001	-3.750000e+003	 0.000000e+000	 4.520725e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.167035e+001	-1.254035e+000	-9.627744e+000	-1.727233e-001	 1.003245e+000	-7.020414e-001	 1.798475e+002	 5.001048e+002	-8.617972e+000	 5.001048e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
