Date 26-Apr-2021 17:59:55
Maneuver DemoCar_MBS_accelerate_front_steer_eq-50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	-2.700000e+002	-4.994947e+000	 4.712389e+001	 6.692853e+001	 2.000000e-001	 0.000000e+000	 4.431130e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.716542e+001	-2.316090e+001	-9.502524e+000	-1.685764e+000	 5.399354e+000	 2.151537e+001	 1.793002e+002	 4.995541e+002	 1.783771e+000	 4.995541e+002	 6.636273e+001	 2.000000e-001	 0.000000e+000	 4.331568e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.741422e+001	-1.190906e+001	-9.647727e+000	 3.474629e+000	-4.566291e+000	-2.301476e+001	 1.800113e+002	 5.002697e+002	-2.437177e+000	 5.002697e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	-2.700000e+002	-5.423082e+000	 4.712389e+001	 6.692042e+001	 1.002000e+002	 0.000000e+000	 4.422197e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.734379e+001	-2.317655e+001	-9.478719e+000	-1.691070e+000	 5.382152e+000	 2.151518e+001	 1.793113e+002	 4.995652e+002	 1.737696e+000	 4.995652e+002	 6.636954e+001	 1.002000e+002	 0.000000e+000	 4.325518e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.720992e+001	-1.188812e+001	-9.633557e+000	 3.481047e+000	-4.580909e+000	-2.300217e+001	 1.800168e+002	 5.002753e+002	-2.433126e+000	 5.002753e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	-2.700000e+002	-5.854323e+000	 4.712389e+001	 6.691132e+001	 2.002000e+002	 0.000000e+000	 4.416723e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.752692e+001	-2.319515e+001	-9.463069e+000	-1.696557e+000	 5.365311e+000	 2.151733e+001	 1.793336e+002	 4.995876e+002	 1.685159e+000	 4.995876e+002	 6.637585e+001	 2.002000e+002	 0.000000e+000	 4.321526e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.700836e+001	-1.186734e+001	-9.623457e+000	 3.488103e+000	-4.596137e+000	-2.299240e+001	 1.800276e+002	 5.002861e+002	-2.431205e+000	 5.002861e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	-2.700000e+002	-6.288565e+000	 4.712389e+001	 6.690363e+001	 3.002000e+002	 0.000000e+000	 4.413630e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.771314e+001	-2.321691e+001	-9.455120e+000	-1.702149e+000	 5.348853e+000	 2.152152e+001	 1.793661e+002	 4.996203e+002	 1.627433e+000	 4.996203e+002	 6.638342e+001	 3.002000e+002	 0.000000e+000	 4.318453e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.681097e+001	-1.184710e+001	-9.617138e+000	 3.495628e+000	-4.611773e+000	-2.298522e+001	 1.800433e+002	 5.003018e+002	-2.431621e+000	 5.003018e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	-2.700000e+002	-6.719815e+000	 4.712389e+001	 6.689457e+001	 4.002000e+002	 0.000000e+000	 4.407848e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.789614e+001	-2.323564e+001	-9.439476e+000	-1.707621e+000	 5.331959e+000	 2.152353e+001	 1.793884e+002	 4.996428e+002	 1.575007e+000	 4.996428e+002	 6.638972e+001	 4.002000e+002	 0.000000e+000	 4.314113e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.660940e+001	-1.182634e+001	-9.607051e+000	 3.502658e+000	-4.626991e+000	-2.297540e+001	 1.800542e+002	 5.003129e+002	-2.429876e+000	 5.003129e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	-2.700000e+002	-7.151071e+000	 4.712389e+001	 6.688550e+001	 5.002000e+002	 0.000000e+000	 4.402065e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.807909e+001	-2.325440e+001	-9.423831e+000	-1.713088e+000	 5.315066e+000	 2.152554e+001	 1.794108e+002	 4.996654e+002	 1.522599e+000	 4.996654e+002	 6.639601e+001	 5.002000e+002	 0.000000e+000	 4.309772e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.640787e+001	-1.180555e+001	-9.596963e+000	 3.509686e+000	-4.642206e+000	-2.296557e+001	 1.800652e+002	 5.003239e+002	-2.428135e+000	 5.003239e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	-2.700000e+002	-7.582331e+000	 4.712389e+001	 6.687642e+001	 6.002000e+002	 0.000000e+000	 4.396282e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.826199e+001	-2.327319e+001	-9.408187e+000	-1.718551e+000	 5.298176e+000	 2.152754e+001	 1.794333e+002	 4.996880e+002	 1.470210e+000	 4.996880e+002	 6.640226e+001	 6.002000e+002	 0.000000e+000	 4.305430e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.620635e+001	-1.178470e+001	-9.586878e+000	 3.516711e+000	-4.657417e+000	-2.295574e+001	 1.800762e+002	 5.003350e+002	-2.426397e+000	 5.003350e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	-2.700000e+002	-8.013597e+000	 4.712389e+001	 6.686733e+001	 7.002000e+002	 0.000000e+000	 4.390498e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.844485e+001	-2.329201e+001	-9.392542e+000	-1.724008e+000	 5.281287e+000	 2.152953e+001	 1.794557e+002	 4.997106e+002	 1.417841e+000	 4.997106e+002	 6.640850e+001	 7.002000e+002	 0.000000e+000	 4.301087e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.600486e+001	-1.176381e+001	-9.576794e+000	 3.523734e+000	-4.672625e+000	-2.294590e+001	 1.800874e+002	 5.003462e+002	-2.424663e+000	 5.003462e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	-2.700000e+002	-8.444868e+000	 4.712389e+001	 6.685822e+001	 8.002000e+002	 0.000000e+000	 4.384713e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.862765e+001	-2.331085e+001	-9.376897e+000	-1.729462e+000	 5.264400e+000	 2.153151e+001	 1.794783e+002	 4.997332e+002	 1.365492e+000	 4.997332e+002	 6.641471e+001	 8.002000e+002	 0.000000e+000	 4.296743e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.580339e+001	-1.174287e+001	-9.566710e+000	 3.530754e+000	-4.687830e+000	-2.293606e+001	 1.800985e+002	 5.003574e+002	-2.422932e+000	 5.003574e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	-2.700000e+002	-8.876144e+000	 4.712389e+001	 6.684909e+001	 9.002000e+002	 0.000000e+000	 4.378927e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.881041e+001	-2.332973e+001	-9.361253e+000	-1.734910e+000	 5.247516e+000	 2.153349e+001	 1.795008e+002	 4.997559e+002	 1.313161e+000	 4.997559e+002	 6.642090e+001	 9.002000e+002	 0.000000e+000	 4.292398e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.560195e+001	-1.172189e+001	-9.556628e+000	 3.537772e+000	-4.703032e+000	-2.292621e+001	 1.801097e+002	 5.003687e+002	-2.421205e+000	 5.003687e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
