Date 26-Apr-2021 17:50:33
Maneuver DemoCar_MBS_aligning_torque_front_eq+50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 2.047727e-004	-0.000000e+000	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.676180e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	 1.738673e+000	-1.688639e+000	 3.957233e+001	-1.771628e-002	-6.958771e-001	 4.547582e-003	 1.342611e+002	 4.541292e+002	 3.736680e+001	 4.541292e+002	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.676188e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	 1.738672e+000	 1.688638e+000	 3.957231e+001	-1.771644e-002	-6.958766e-001	 4.547649e-003	 1.342611e+002	 4.541292e+002	 3.736677e+001	 4.541292e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 5.000000e-001	 0.000000e+000	-7.775331e-001	-0.000000e+000	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.675986e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	 1.710299e+000	-1.679013e+000	 3.957288e+001	-1.690122e-002	-6.955984e-001	-2.707372e-003	 1.342573e+002	 4.541253e+002	 3.736144e+001	 4.541253e+002	 1.180476e+002	 0.000000e+000	 0.000000e+000	 5.676377e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	 1.767070e+000	 1.698270e+000	 3.957176e+001	-1.853154e-002	-6.961576e-001	 1.180368e-002	 1.342650e+002	 4.541332e+002	 3.737214e+001	 4.541332e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 1.000000e+000	 0.000000e+000	-1.555273e+000	-0.000000e+000	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.675766e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	 1.681804e+000	-1.669371e+000	 3.957352e+001	-1.608337e-002	-6.953139e-001	-9.979464e-003	 1.342533e+002	 4.541213e+002	 3.735615e+001	 4.541213e+002	 1.180476e+002	 0.000000e+000	 0.000000e+000	 5.676598e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	 1.795565e+000	 1.707918e+000	 3.957113e+001	-1.934990e-002	-6.964424e-001	 1.907523e-002	 1.342690e+002	 4.541372e+002	 3.737744e+001	 4.541372e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 1.500000e+000	 0.000000e+000	-2.333013e+000	-0.000000e+000	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.675545e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	 1.653326e+000	-1.659732e+000	 3.957415e+001	-1.526571e-002	-6.950308e-001	-1.725043e-002	 1.342493e+002	 4.541173e+002	 3.735085e+001	 4.541173e+002	 1.180476e+002	 0.000000e+000	 0.000000e+000	 5.676818e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	 1.824044e+000	 1.717566e+000	 3.957050e+001	-2.016842e-002	-6.967260e-001	 2.634530e-002	 1.342730e+002	 4.541412e+002	 3.738274e+001	 4.541412e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 2.000000e+000	 0.000000e+000	-3.110753e+000	-0.000000e+000	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.675325e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	 1.624847e+000	-1.650096e+000	 3.957478e+001	-1.444821e-002	-6.947476e-001	-2.452166e-002	 1.342453e+002	 4.541132e+002	 3.734556e+001	 4.541132e+002	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.677038e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	 1.852524e+000	 1.727215e+000	 3.956987e+001	-2.098711e-002	-6.970098e-001	 3.361527e-002	 1.342769e+002	 4.541452e+002	 3.738803e+001	 4.541452e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 2.500000e+000	 0.000000e+000	-3.888492e+000	-0.000000e+000	 1.180476e+002	 0.000000e+000	 0.000000e+000	 5.675104e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	 1.596368e+000	-1.640461e+000	 3.957541e+001	-1.363088e-002	-6.944646e-001	-3.179308e-002	 1.342414e+002	 4.541092e+002	 3.734026e+001	 4.541092e+002	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.677257e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	 1.881005e+000	 1.736867e+000	 3.956924e+001	-2.180597e-002	-6.972936e-001	 4.088506e-002	 1.342809e+002	 4.541493e+002	 3.739333e+001	 4.541493e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 3.000000e+000	 0.000000e+000	-4.666232e+000	-0.000000e+000	 1.180476e+002	 0.000000e+000	 0.000000e+000	 5.674884e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	 1.567889e+000	-1.630829e+000	 3.957604e+001	-1.281373e-002	-6.941816e-001	-3.906467e-002	 1.342374e+002	 4.541052e+002	 3.733497e+001	 4.541052e+002	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.677477e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	 1.909485e+000	 1.746520e+000	 3.956861e+001	-2.262500e-002	-6.975776e-001	 4.815467e-002	 1.342849e+002	 4.541533e+002	 3.739863e+001	 4.541533e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 3.500000e+000	 0.000000e+000	-5.443972e+000	-0.000000e+000	 1.180476e+002	 0.000000e+000	 0.000000e+000	 5.674663e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	 1.539410e+000	-1.621198e+000	 3.957667e+001	-1.199674e-002	-6.938988e-001	-4.633644e-002	 1.342334e+002	 4.541012e+002	 3.732968e+001	 4.541012e+002	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.677697e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	 1.937966e+000	 1.756175e+000	 3.956798e+001	-2.344421e-002	-6.978616e-001	 5.542411e-002	 1.342889e+002	 4.541573e+002	 3.740393e+001	 4.541573e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 4.000000e+000	 0.000000e+000	-6.221712e+000	-0.000000e+000	 1.180476e+002	 0.000000e+000	 0.000000e+000	 5.674443e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	 1.510931e+000	-1.611569e+000	 3.957730e+001	-1.117993e-002	-6.936160e-001	-5.360840e-002	 1.342294e+002	 4.540972e+002	 3.732439e+001	 4.540972e+002	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.677917e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	 1.966446e+000	 1.765832e+000	 3.956736e+001	-2.426358e-002	-6.981458e-001	 6.269336e-002	 1.342929e+002	 4.541613e+002	 3.740923e+001	 4.541613e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 4.500000e+000	 0.000000e+000	-6.999452e+000	-0.000000e+000	 1.180475e+002	 0.000000e+000	 0.000000e+000	 5.674222e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	 1.482453e+000	-1.601942e+000	 3.957793e+001	-1.036328e-002	-6.933333e-001	-6.088054e-002	 1.342255e+002	 4.540932e+002	 3.731910e+001	 4.540932e+002	 1.180477e+002	 0.000000e+000	 0.000000e+000	 5.678136e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	 1.994927e+000	 1.775491e+000	 3.956673e+001	-2.508313e-002	-6.984300e-001	 6.996243e-002	 1.342969e+002	 4.541654e+002	 3.741453e+001	 4.541654e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
