Date 26-Apr-2021 17:49:02
Maneuver DemoCar_MBS_aligning_torque_front_eq-75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-1.404993e-006	-0.000000e+000	-1.329392e+001	 0.000000e+000	 0.000000e+000	 2.555759e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-4.821768e+000	-6.745705e+000	-8.277305e+001	 4.796113e-001	 1.200041e+000	 5.855080e-003	 2.489489e+002	 5.695226e+002	-7.678390e+001	 5.695226e+002	-1.329392e+001	 0.000000e+000	 0.000000e+000	 2.555761e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-4.821769e+000	 6.745706e+000	-8.277306e+001	 4.796114e-001	 1.200041e+000	 5.855090e-003	 2.489489e+002	 5.695226e+002	-7.678390e+001	 5.695226e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 5.000000e-001	 0.000000e+000	-8.254278e-001	-0.000000e+000	-1.329403e+001	 0.000000e+000	 0.000000e+000	 2.555690e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-4.842601e+000	-6.736941e+000	-8.277288e+001	 4.802412e-001	 1.199509e+000	-1.445948e-003	 2.489475e+002	 5.695211e+002	-7.679235e+001	 5.695211e+002	-1.329389e+001	 0.000000e+000	 0.000000e+000	 2.555858e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-4.801137e+000	 6.754470e+000	-8.277331e+001	 4.789821e-001	 1.200591e+000	 1.315291e-002	 2.489504e+002	 5.695240e+002	-7.677547e+001	 5.695240e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 1.000000e+000	 0.000000e+000	-1.650849e+000	-0.000000e+000	-1.329411e+001	 0.000000e+000	 0.000000e+000	 2.555594e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-4.863333e+000	-6.728157e+000	-8.277263e+001	 4.808710e-001	 1.198963e+000	-8.758309e-003	 2.489459e+002	 5.695195e+002	-7.680081e+001	 5.695195e+002	-1.329380e+001	 0.000000e+000	 0.000000e+000	 2.555954e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-4.780403e+000	 6.763258e+000	-8.277355e+001	 4.783522e-001	 1.201135e+000	 2.046394e-002	 2.489519e+002	 5.695255e+002	-7.676702e+001	 5.695255e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 1.500000e+000	 0.000000e+000	-2.476270e+000	-0.000000e+000	-1.329418e+001	 0.000000e+000	 0.000000e+000	 2.555498e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-4.884075e+000	-6.719373e+000	-8.277240e+001	 4.815010e-001	 1.198418e+000	-1.607187e-002	 2.489444e+002	 5.695180e+002	-7.680926e+001	 5.695180e+002	-1.329372e+001	 0.000000e+000	 0.000000e+000	 2.556049e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-4.759658e+000	 6.772048e+000	-8.277380e+001	 4.777223e-001	 1.201679e+000	 2.777528e-002	 2.489534e+002	 5.695271e+002	-7.675856e+001	 5.695271e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 2.000000e+000	 0.000000e+000	-3.301692e+000	-0.000000e+000	-1.329427e+001	 0.000000e+000	 0.000000e+000	 2.555403e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-4.904815e+000	-6.710591e+000	-8.277215e+001	 4.821309e-001	 1.197873e+000	-2.338584e-002	 2.489429e+002	 5.695165e+002	-7.681771e+001	 5.695165e+002	-1.329363e+001	 0.000000e+000	 0.000000e+000	 2.556144e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-4.738912e+000	 6.780839e+000	-8.277404e+001	 4.770924e-001	 1.202223e+000	 3.508614e-002	 2.489550e+002	 5.695286e+002	-7.675011e+001	 5.695286e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 2.500000e+000	 0.000000e+000	-4.127113e+000	-0.000000e+000	-1.329434e+001	 0.000000e+000	 0.000000e+000	 2.555308e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-4.925555e+000	-6.701809e+000	-8.277190e+001	 4.827608e-001	 1.197328e+000	-3.070026e-002	 2.489414e+002	 5.695150e+002	-7.682616e+001	 5.695150e+002	-1.329354e+001	 0.000000e+000	 0.000000e+000	 2.556240e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-4.718166e+000	 6.789631e+000	-8.277428e+001	 4.764625e-001	 1.202766e+000	 4.239657e-002	 2.489565e+002	 5.695301e+002	-7.674165e+001	 5.695301e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 3.000000e+000	 0.000000e+000	-4.952534e+000	-0.000000e+000	-1.329442e+001	 0.000000e+000	 0.000000e+000	 2.555212e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-4.946294e+000	-6.693029e+000	-8.277167e+001	 4.833907e-001	 1.196782e+000	-3.801513e-002	 2.489399e+002	 5.695134e+002	-7.683461e+001	 5.695134e+002	-1.329345e+001	 0.000000e+000	 0.000000e+000	 2.556334e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-4.697420e+000	 6.798424e+000	-8.277453e+001	 4.758326e-001	 1.203310e+000	 4.970656e-002	 2.489580e+002	 5.695317e+002	-7.673319e+001	 5.695317e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 3.500000e+000	 0.000000e+000	-5.777956e+000	-0.000000e+000	-1.329450e+001	 0.000000e+000	 0.000000e+000	 2.555117e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-4.967032e+000	-6.684251e+000	-8.277142e+001	 4.840207e-001	 1.196236e+000	-4.533045e-002	 2.489384e+002	 5.695120e+002	-7.684306e+001	 5.695120e+002	-1.329336e+001	 0.000000e+000	 0.000000e+000	 2.556430e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-4.676672e+000	 6.807219e+000	-8.277477e+001	 4.752027e-001	 1.203852e+000	 5.701611e-002	 2.489595e+002	 5.695332e+002	-7.672473e+001	 5.695332e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 4.000000e+000	 0.000000e+000	-6.603377e+000	-0.000000e+000	-1.329457e+001	 0.000000e+000	 0.000000e+000	 2.555022e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-4.987770e+000	-6.675473e+000	-8.277117e+001	 4.846506e-001	 1.195690e+000	-5.264622e-002	 2.489368e+002	 5.695104e+002	-7.685151e+001	 5.695104e+002	-1.329326e+001	 0.000000e+000	 0.000000e+000	 2.556525e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-4.655924e+000	 6.816015e+000	-8.277501e+001	 4.745728e-001	 1.204395e+000	 6.432522e-002	 2.489610e+002	 5.695347e+002	-7.671627e+001	 5.695347e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 4.500000e+000	 0.000000e+000	-7.428798e+000	-0.000000e+000	-1.329464e+001	 0.000000e+000	 0.000000e+000	 2.554926e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-5.008507e+000	-6.666697e+000	-8.277094e+001	 4.852806e-001	 1.195144e+000	-5.996243e-002	 2.489353e+002	 5.695089e+002	-7.685996e+001	 5.695089e+002	-1.329316e+001	 0.000000e+000	 0.000000e+000	 2.556620e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-4.635175e+000	 6.824812e+000	-8.277526e+001	 4.739429e-001	 1.204938e+000	 7.163389e-002	 2.489626e+002	 5.695362e+002	-7.670781e+001	 5.695362e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
