Date 26-Apr-2021 18:08:00
Maneuver DemoCar_MBS_aligning_torque_front_opp_opp+75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-1.796995e+001	-0.000000e+000	 6.547413e+001	 0.000000e+000	 0.000000e+000	 4.340724e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-8.980862e-001	 8.169014e-003	-9.113573e+000	-1.800784e-001	 1.616887e-001	-2.858334e-002	 1.808994e+002	 5.011634e+002	-8.651309e+000	 5.011634e+002	 6.547531e+001	 0.000000e+000	 0.000000e+000	 4.346400e+003	 0.000000e+000	-0.000000e+000	 2.250000e+002	 2.264302e-001	 4.034769e-001	-9.130388e+000	-2.122858e-001	 1.666471e-001	 2.909635e-001	 1.810214e+002	 5.012861e+002	-8.340025e+000	 5.012861e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-1.836933e+001	-0.000000e+000	 6.547397e+001	 0.000000e+000	 0.000000e+000	 4.340733e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-9.144660e-001	 1.608020e-002	-9.113597e+000	-1.795868e-001	 1.613397e-001	-3.396863e-002	 1.808984e+002	 5.011624e+002	-8.655265e+000	 5.011624e+002	 6.547538e+001	 0.000000e+000	 0.000000e+000	 4.346400e+003	 0.000000e+000	-0.000000e+000	 2.250000e+002	 2.374305e-001	 4.050431e-001	-9.130388e+000	-2.125145e-001	 1.662340e-001	 2.928701e-001	 1.810229e+002	 5.012877e+002	-8.336633e+000	 5.012877e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-1.876870e+001	-0.000000e+000	 6.547391e+001	 0.000000e+000	 0.000000e+000	 4.340675e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-9.295988e-001	 2.382354e-002	-9.113421e+000	-1.790970e-001	 1.608969e-001	-3.926118e-002	 1.808973e+002	 5.011613e+002	-8.659006e+000	 5.011613e+002	 6.547533e+001	 0.000000e+000	 0.000000e+000	 4.346472e+003	 0.000000e+000	-0.000000e+000	 2.250000e+002	 2.471962e-001	 4.064284e-001	-9.130597e+000	-2.127407e-001	 1.659114e-001	 2.946783e-001	 1.810245e+002	 5.012893e+002	-8.333470e+000	 5.012893e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-1.916808e+001	-0.000000e+000	 6.547385e+001	 0.000000e+000	 0.000000e+000	 4.340619e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-9.447872e-001	 3.157440e-002	-9.113254e+000	-1.786070e-001	 1.604580e-001	-4.455856e-002	 1.808962e+002	 5.011601e+002	-8.662757e+000	 5.011601e+002	 6.547529e+001	 0.000000e+000	 0.000000e+000	 4.346540e+003	 0.000000e+000	-0.000000e+000	 2.250000e+002	 2.570184e-001	 4.078221e-001	-9.130797e+000	-2.129671e-001	 1.655847e-001	 2.964912e-001	 1.810261e+002	 5.012909e+002	-8.330297e+000	 5.012909e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-1.956746e+001	-0.000000e+000	 6.547378e+001	 0.000000e+000	 0.000000e+000	 4.340563e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-9.599722e-001	 3.932422e-002	-9.113087e+000	-1.781171e-001	 1.600188e-001	-4.985592e-002	 1.808951e+002	 5.011591e+002	-8.666509e+000	 5.011591e+002	 6.547525e+001	 0.000000e+000	 0.000000e+000	 4.346609e+003	 0.000000e+000	-0.000000e+000	 2.250000e+002	 2.668375e-001	 4.092156e-001	-9.130998e+000	-2.131936e-001	 1.652582e-001	 2.983039e-001	 1.810278e+002	 5.012925e+002	-8.327123e+000	 5.012925e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-1.996684e+001	-0.000000e+000	 6.547372e+001	 0.000000e+000	 0.000000e+000	 4.340508e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-9.751561e-001	 4.707341e-002	-9.112920e+000	-1.776272e-001	 1.595793e-001	-5.515347e-002	 1.808940e+002	 5.011580e+002	-8.670259e+000	 5.011580e+002	 6.547521e+001	 0.000000e+000	 0.000000e+000	 4.346677e+003	 0.000000e+000	-0.000000e+000	 2.250000e+002	 2.766564e-001	 4.106094e-001	-9.131199e+000	-2.134200e-001	 1.649317e-001	 3.001166e-001	 1.810294e+002	 5.012941e+002	-8.323950e+000	 5.012941e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-2.036622e+001	-0.000000e+000	 6.547366e+001	 0.000000e+000	 0.000000e+000	 4.340452e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-9.903391e-001	 5.482193e-002	-9.112753e+000	-1.771373e-001	 1.591397e-001	-6.045121e-002	 1.808929e+002	 5.011569e+002	-8.674010e+000	 5.011569e+002	 6.547517e+001	 0.000000e+000	 0.000000e+000	 4.346746e+003	 0.000000e+000	-0.000000e+000	 2.250000e+002	 2.864749e-001	 4.120033e-001	-9.131399e+000	-2.136465e-001	 1.646054e-001	 3.019293e-001	 1.810310e+002	 5.012958e+002	-8.320776e+000	 5.012958e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-2.076560e+001	-0.000000e+000	 6.547360e+001	 0.000000e+000	 0.000000e+000	 4.340396e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-1.005521e+000	 6.256980e-002	-9.112585e+000	-1.766474e-001	 1.586998e-001	-6.574915e-002	 1.808919e+002	 5.011558e+002	-8.677761e+000	 5.011558e+002	 6.547513e+001	 0.000000e+000	 0.000000e+000	 4.346814e+003	 0.000000e+000	-0.000000e+000	 2.250000e+002	 2.962930e-001	 4.133975e-001	-9.131599e+000	-2.138730e-001	 1.642790e-001	 3.037420e-001	 1.810326e+002	 5.012974e+002	-8.317603e+000	 5.012974e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-2.116498e+001	-0.000000e+000	 6.547353e+001	 0.000000e+000	 0.000000e+000	 4.340341e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-1.020702e+000	 7.031702e-002	-9.112418e+000	-1.761575e-001	 1.582598e-001	-7.104727e-002	 1.808908e+002	 5.011547e+002	-8.681511e+000	 5.011547e+002	 6.547508e+001	 0.000000e+000	 0.000000e+000	 4.346883e+003	 0.000000e+000	-0.000000e+000	 2.250000e+002	 3.061107e-001	 4.147919e-001	-9.131799e+000	-2.140995e-001	 1.639527e-001	 3.055547e-001	 1.810342e+002	 5.012990e+002	-8.314429e+000	 5.012990e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-2.156437e+001	-0.000000e+000	 6.547347e+001	 0.000000e+000	 0.000000e+000	 4.340285e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-1.035882e+000	 7.806357e-002	-9.112251e+000	-1.756676e-001	 1.578196e-001	-7.634558e-002	 1.808897e+002	 5.011536e+002	-8.685261e+000	 5.011536e+002	 6.547504e+001	 0.000000e+000	 0.000000e+000	 4.346952e+003	 0.000000e+000	-0.000000e+000	 2.250000e+002	 3.159280e-001	 4.161865e-001	-9.132001e+000	-2.143261e-001	 1.636265e-001	 3.073674e-001	 1.810358e+002	 5.013006e+002	-8.311255e+000	 5.013006e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
