Date 26-Apr-2021 18:05:54
Maneuver DemoCar_MBS_aligning_torque_front_opp_opp-100%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 2.396530e+001	-0.000000e+000	 6.547084e+001	 0.000000e+000	 0.000000e+000	 4.348089e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	 1.306285e-001	-1.363326e-001	-9.135048e+000	-2.036829e-001	 1.276167e-001	 1.616789e-001	 1.810682e+002	 5.013332e+002	-8.319095e+000	 5.013332e+002	 6.547055e+001	 0.000000e+000	 0.000000e+000	 4.340457e+003	 0.000000e+000	-0.000000e+000	-3.000000e+002	-1.364355e+000	-4.111340e-001	-9.112502e+000	-1.606748e-001	 1.202407e-001	-2.649871e-001	 1.809068e+002	 5.011708e+002	-8.733991e+000	 5.011708e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 2.356593e+001	-0.000000e+000	 6.547100e+001	 0.000000e+000	 0.000000e+000	 4.347967e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	 1.170444e-001	-1.287879e-001	-9.134685e+000	-2.031937e-001	 1.270651e-001	 1.565206e-001	 1.810671e+002	 5.013321e+002	-8.322616e+000	 5.013321e+002	 6.547035e+001	 0.000000e+000	 0.000000e+000	 4.340590e+003	 0.000000e+000	-0.000000e+000	-3.000000e+002	-1.356130e+000	-4.100005e-001	-9.112893e+000	-1.608937e-001	 1.200303e-001	-2.633009e-001	 1.809084e+002	 5.011724e+002	-8.731062e+000	 5.011724e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 2.316656e+001	-0.000000e+000	 6.547096e+001	 0.000000e+000	 0.000000e+000	 4.347916e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	 1.017964e-001	-1.209924e-001	-9.134527e+000	-2.026998e-001	 1.266315e-001	 1.512211e-001	 1.810660e+002	 5.013310e+002	-8.326392e+000	 5.013310e+002	 6.547034e+001	 0.000000e+000	 0.000000e+000	 4.340657e+003	 0.000000e+000	-0.000000e+000	-3.000000e+002	-1.346226e+000	-4.086310e-001	-9.113085e+000	-1.611164e-001	 1.196984e-001	-2.614792e-001	 1.809100e+002	 5.011740e+002	-8.727891e+000	 5.011740e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 2.276718e+001	-0.000000e+000	 6.547093e+001	 0.000000e+000	 0.000000e+000	 4.347860e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	 8.662508e-002	-1.132085e-001	-9.134362e+000	-2.022060e-001	 1.261921e-001	 1.459274e-001	 1.810649e+002	 5.013299e+002	-8.330156e+000	 5.013299e+002	 6.547033e+001	 0.000000e+000	 0.000000e+000	 4.340727e+003	 0.000000e+000	-0.000000e+000	-3.000000e+002	-1.336398e+000	-4.072720e-001	-9.113287e+000	-1.613390e-001	 1.193720e-001	-2.596635e-001	 1.809116e+002	 5.011756e+002	-8.724731e+000	 5.011756e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 2.236780e+001	-0.000000e+000	 6.547090e+001	 0.000000e+000	 0.000000e+000	 4.347806e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	 7.145134e-002	-1.054247e-001	-9.134196e+000	-2.017122e-001	 1.257528e-001	 1.406333e-001	 1.810638e+002	 5.013288e+002	-8.333921e+000	 5.013288e+002	 6.547032e+001	 0.000000e+000	 0.000000e+000	 4.340796e+003	 0.000000e+000	-0.000000e+000	-3.000000e+002	-1.326567e+000	-4.059124e-001	-9.113489e+000	-1.615615e-001	 1.190455e-001	-2.578475e-001	 1.809132e+002	 5.011773e+002	-8.721572e+000	 5.011773e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 2.196842e+001	-0.000000e+000	 6.547087e+001	 0.000000e+000	 0.000000e+000	 4.347750e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	 5.627879e-002	-9.764164e-002	-9.134029e+000	-2.012185e-001	 1.253133e-001	 1.353390e-001	 1.810627e+002	 5.013277e+002	-8.337684e+000	 5.013277e+002	 6.547031e+001	 0.000000e+000	 0.000000e+000	 4.340865e+003	 0.000000e+000	-0.000000e+000	-3.000000e+002	-1.316737e+000	-4.045525e-001	-9.113690e+000	-1.617842e-001	 1.187190e-001	-2.560316e-001	 1.809148e+002	 5.011789e+002	-8.718412e+000	 5.011789e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 2.156904e+001	-0.000000e+000	 6.547084e+001	 0.000000e+000	 0.000000e+000	 4.347696e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	 4.110725e-002	-8.985921e-002	-9.133863e+000	-2.007247e-001	 1.248737e-001	 1.300445e-001	 1.810616e+002	 5.013266e+002	-8.341448e+000	 5.013266e+002	 6.547029e+001	 0.000000e+000	 0.000000e+000	 4.340935e+003	 0.000000e+000	-0.000000e+000	-3.000000e+002	-1.306907e+000	-4.031924e-001	-9.113892e+000	-1.620068e-001	 1.183926e-001	-2.542156e-001	 1.809164e+002	 5.011805e+002	-8.715252e+000	 5.011805e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 2.116966e+001	-0.000000e+000	 6.547080e+001	 0.000000e+000	 0.000000e+000	 4.347641e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	 2.593674e-002	-8.207744e-002	-9.133697e+000	-2.002310e-001	 1.244338e-001	 1.247498e-001	 1.810605e+002	 5.013255e+002	-8.345213e+000	 5.013255e+002	 6.547028e+001	 0.000000e+000	 0.000000e+000	 4.341004e+003	 0.000000e+000	-0.000000e+000	-3.000000e+002	-1.297078e+000	-4.018322e-001	-9.114093e+000	-1.622294e-001	 1.180662e-001	-2.523997e-001	 1.809180e+002	 5.011821e+002	-8.712091e+000	 5.011821e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 2.077027e+001	-0.000000e+000	 6.547077e+001	 0.000000e+000	 0.000000e+000	 4.347586e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	 1.076724e-002	-7.429633e-002	-9.133531e+000	-1.997372e-001	 1.239937e-001	 1.194550e-001	 1.810594e+002	 5.013244e+002	-8.348976e+000	 5.013244e+002	 6.547027e+001	 0.000000e+000	 0.000000e+000	 4.341073e+003	 0.000000e+000	-0.000000e+000	-3.000000e+002	-1.287248e+000	-4.004717e-001	-9.114295e+000	-1.624521e-001	 1.177399e-001	-2.505837e-001	 1.809196e+002	 5.011837e+002	-8.708932e+000	 5.011837e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 2.037089e+001	-0.000000e+000	 6.547074e+001	 0.000000e+000	 0.000000e+000	 4.347531e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-4.401231e-003	-6.651589e-002	-9.133365e+000	-1.992434e-001	 1.235534e-001	 1.141600e-001	 1.810583e+002	 5.013233e+002	-8.352740e+000	 5.013233e+002	 6.547026e+001	 0.000000e+000	 0.000000e+000	 4.341143e+003	 0.000000e+000	-0.000000e+000	-3.000000e+002	-1.277420e+000	-3.991110e-001	-9.114496e+000	-1.626748e-001	 1.174136e-001	-2.487677e-001	 1.809212e+002	 5.011853e+002	-8.705772e+000	 5.011853e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
