Date 26-Apr-2021 18:07:06
Maneuver DemoCar_MBS_aligning_torque_front_opp_opp_0%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.421866e-004	-0.000000e+000	 6.547272e+001	 0.000000e+000	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-4.567008e-001	-5.347232e-002	-9.122774e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509090e+000	 5.012361e+002	 6.547272e+001	 0.000000e+000	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567009e-001	 5.347235e-002	-9.122776e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509091e+000	 5.012361e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-3.992321e-001	-0.000000e+000	 6.547268e+001	 0.000000e+000	 0.000000e+000	 4.343834e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-4.718617e-001	-4.572035e-002	-9.122631e+000	-1.896753e-001	 1.465875e-001	 4.766734e-002	 1.809707e+002	 5.012351e+002	-8.512856e+000	 5.012351e+002	 6.547267e+001	 0.000000e+000	 0.000000e+000	 4.343939e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.469078e-001	 5.484831e-002	-9.122942e+000	-1.903901e-001	 1.467001e-001	 5.476453e-002	 1.809733e+002	 5.012378e+002	-8.505897e+000	 5.012378e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-7.986071e-001	-0.000000e+000	 6.547264e+001	 0.000000e+000	 0.000000e+000	 4.343779e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-4.870452e-001	-3.795451e-002	-9.122463e+000	-1.891837e-001	 1.461488e-001	 4.237173e-002	 1.809696e+002	 5.012340e+002	-8.516612e+000	 5.012340e+002	 6.547264e+001	 0.000000e+000	 0.000000e+000	 4.344008e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.370815e-001	 5.622701e-002	-9.123144e+000	-1.906149e-001	 1.463733e-001	 5.657860e-002	 1.809749e+002	 5.012394e+002	-8.502731e+000	 5.012394e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-1.197984e+000	-0.000000e+000	 6.547259e+001	 0.000000e+000	 0.000000e+000	 4.343724e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-5.022262e-001	-3.018948e-002	-9.122296e+000	-1.886922e-001	 1.457097e-001	 3.707595e-002	 1.809685e+002	 5.012329e+002	-8.520369e+000	 5.012329e+002	 6.547261e+001	 0.000000e+000	 0.000000e+000	 4.344078e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.272569e-001	 5.760577e-002	-9.123345e+000	-1.908396e-001	 1.460467e-001	 5.839264e-002	 1.809765e+002	 5.012410e+002	-8.499564e+000	 5.012410e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-1.597362e+000	-0.000000e+000	 6.547254e+001	 0.000000e+000	 0.000000e+000	 4.343668e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-5.174063e-001	-2.242511e-002	-9.122130e+000	-1.882006e-001	 1.452705e-001	 3.178000e-002	 1.809674e+002	 5.012318e+002	-8.524126e+000	 5.012318e+002	 6.547258e+001	 0.000000e+000	 0.000000e+000	 4.344146e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.174327e-001	 5.898475e-002	-9.123546e+000	-1.910644e-001	 1.457202e-001	 6.020668e-002	 1.809781e+002	 5.012426e+002	-8.496395e+000	 5.012426e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-1.996742e+000	-0.000000e+000	 6.547249e+001	 0.000000e+000	 0.000000e+000	 4.343613e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-5.325854e-001	-1.466139e-002	-9.121963e+000	-1.877090e-001	 1.448310e-001	 2.648385e-002	 1.809663e+002	 5.012307e+002	-8.527882e+000	 5.012307e+002	 6.547255e+001	 0.000000e+000	 0.000000e+000	 4.344215e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.076089e-001	 6.036394e-002	-9.123747e+000	-1.912892e-001	 1.453937e-001	 6.202072e-002	 1.809797e+002	 5.012442e+002	-8.493228e+000	 5.012442e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-2.396123e+000	-0.000000e+000	 6.547244e+001	 0.000000e+000	 0.000000e+000	 4.343558e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-5.477635e-001	-6.898335e-003	-9.121796e+000	-1.872175e-001	 1.443913e-001	 2.118751e-002	 1.809652e+002	 5.012296e+002	-8.531639e+000	 5.012296e+002	 6.547252e+001	 0.000000e+000	 0.000000e+000	 4.344284e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.977855e-001	 6.174335e-002	-9.123947e+000	-1.915140e-001	 1.450673e-001	 6.383476e-002	 1.809813e+002	 5.012458e+002	-8.490060e+000	 5.012458e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-2.795506e+000	-0.000000e+000	 6.547239e+001	 0.000000e+000	 0.000000e+000	 4.343502e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-5.629405e-001	 8.640624e-004	-9.121629e+000	-1.867259e-001	 1.439515e-001	 1.589099e-002	 1.809641e+002	 5.012285e+002	-8.535395e+000	 5.012285e+002	 6.547249e+001	 0.000000e+000	 0.000000e+000	 4.344353e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.879624e-001	 6.312296e-002	-9.124149e+000	-1.917389e-001	 1.447409e-001	 6.564881e-002	 1.809829e+002	 5.012474e+002	-8.486892e+000	 5.012474e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-3.194891e+000	-0.000000e+000	 6.547234e+001	 0.000000e+000	 0.000000e+000	 4.343447e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-5.781165e-001	 8.625801e-003	-9.121463e+000	-1.862344e-001	 1.435114e-001	 1.059428e-002	 1.809630e+002	 5.012274e+002	-8.539151e+000	 5.012274e+002	 6.547246e+001	 0.000000e+000	 0.000000e+000	 4.344422e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.781398e-001	 6.450279e-002	-9.124350e+000	-1.919637e-001	 1.444146e-001	 6.746285e-002	 1.809845e+002	 5.012491e+002	-8.483725e+000	 5.012491e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-3.594277e+000	-0.000000e+000	 6.547229e+001	 0.000000e+000	 0.000000e+000	 4.343392e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-5.932915e-001	 1.638688e-002	-9.121296e+000	-1.857428e-001	 1.430712e-001	 5.297382e-003	 1.809619e+002	 5.012263e+002	-8.542907e+000	 5.012263e+002	 6.547244e+001	 0.000000e+000	 0.000000e+000	 4.344491e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.683175e-001	 6.588283e-002	-9.124551e+000	-1.921886e-001	 1.440883e-001	 6.927690e-002	 1.809861e+002	 5.012507e+002	-8.480556e+000	 5.012507e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
