Date 26-Apr-2021 17:58:29
Maneuver DemoCar_MBS_aligning_torque_front_steer_eq+25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 1.350000e+002	 2.469934e+000	-2.356195e+001	 6.567119e+001	 0.000000e+000	 0.000000e+000	 4.324899e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-1.753413e+001	 7.528745e+000	-9.147639e+000	 1.317474e+000	-2.273433e+000	-1.098414e+001	 1.807758e+002	 5.010390e+002	-7.755493e+000	 5.010390e+002	 6.585805e+001	 0.000000e+000	 0.000000e+000	 4.381390e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	 1.441421e+001	 1.033002e+001	-9.293205e+000	-1.181319e+000	 2.702333e+000	 1.075794e+001	 1.805172e+002	 5.007788e+002	-5.306994e+000	 5.007788e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 1.350000e+002	 1.652859e+000	-2.356195e+001	 6.567043e+001	 0.000000e+000	 0.000000e+000	 4.325111e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-1.756332e+001	 7.536209e+000	-9.148510e+000	 1.318055e+000	-2.273043e+000	-1.099112e+001	 1.807737e+002	 5.010368e+002	-7.762496e+000	 5.010368e+002	 6.585784e+001	 0.000000e+000	 0.000000e+000	 4.380938e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	 1.444107e+001	 1.034044e+001	-9.292218e+000	-1.182004e+000	 2.701931e+000	 1.076424e+001	 1.805184e+002	 5.007800e+002	-5.297743e+000	 5.007800e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 1.350000e+002	 8.361399e-001	-2.356195e+001	 6.567045e+001	 0.000000e+000	 0.000000e+000	 4.325478e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-1.758948e+001	 7.543619e+000	-9.149479e+000	 1.318891e+000	-2.273252e+000	-1.099892e+001	 1.807723e+002	 5.010355e+002	-7.768952e+000	 5.010355e+002	 6.585789e+001	 0.000000e+000	 0.000000e+000	 4.381586e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	 1.446492e+001	 1.035126e+001	-9.293900e+000	-1.182715e+000	 2.702151e+000	 1.077133e+001	 1.805224e+002	 5.007840e+002	-5.290507e+000	 5.007840e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 1.350000e+002	 1.974356e-002	-2.356195e+001	 6.567070e+001	 0.000000e+000	 0.000000e+000	 4.326016e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-1.761752e+001	 7.551716e+000	-9.151139e+000	 1.319886e+000	-2.273664e+000	-1.100781e+001	 1.807718e+002	 5.010350e+002	-7.775934e+000	 5.010350e+002	 6.585834e+001	 0.000000e+000	 0.000000e+000	 4.382854e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	 1.449044e+001	 1.036337e+001	-9.297607e+000	-1.183505e+000	 2.702566e+000	 1.077941e+001	 1.805290e+002	 5.007907e+002	-5.284606e+000	 5.007907e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 1.350000e+002	-7.969764e-001	-2.356195e+001	 6.567072e+001	 0.000000e+000	 0.000000e+000	 4.326322e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-1.764368e+001	 7.559179e+000	-9.152115e+000	 1.320711e+000	-2.273861e+000	-1.101557e+001	 1.807704e+002	 5.010336e+002	-7.782462e+000	 5.010336e+002	 6.585841e+001	 0.000000e+000	 0.000000e+000	 4.383414e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	 1.451430e+001	 1.037424e+001	-9.299285e+000	-1.184210e+000	 2.702759e+000	 1.078645e+001	 1.805330e+002	 5.007946e+002	-5.277319e+000	 5.007946e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 1.350000e+002	-1.613697e+000	-2.356195e+001	 6.567073e+001	 0.000000e+000	 0.000000e+000	 4.326629e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-1.766987e+001	 7.566644e+000	-9.153094e+000	 1.321536e+000	-2.274056e+000	-1.102334e+001	 1.807691e+002	 5.010322e+002	-7.788992e+000	 5.010322e+002	 6.585848e+001	 0.000000e+000	 0.000000e+000	 4.383973e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	 1.453818e+001	 1.038512e+001	-9.300959e+000	-1.184915e+000	 2.702950e+000	 1.079350e+001	 1.805369e+002	 5.007986e+002	-5.270028e+000	 5.007986e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 1.350000e+002	-2.430417e+000	-2.356195e+001	 6.567074e+001	 0.000000e+000	 0.000000e+000	 4.326937e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-1.769605e+001	 7.574107e+000	-9.154073e+000	 1.322361e+000	-2.274252e+000	-1.103111e+001	 1.807677e+002	 5.010309e+002	-7.795522e+000	 5.010309e+002	 6.585856e+001	 0.000000e+000	 0.000000e+000	 4.384532e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	 1.456206e+001	 1.039600e+001	-9.302633e+000	-1.185621e+000	 2.703141e+000	 1.080054e+001	 1.805409e+002	 5.008026e+002	-5.262737e+000	 5.008026e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 1.350000e+002	-3.247138e+000	-2.356195e+001	 6.567076e+001	 0.000000e+000	 0.000000e+000	 4.327243e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-1.772224e+001	 7.581569e+000	-9.155052e+000	 1.323186e+000	-2.274449e+000	-1.103888e+001	 1.807664e+002	 5.010296e+002	-7.802051e+000	 5.010296e+002	 6.585863e+001	 0.000000e+000	 0.000000e+000	 4.385091e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	 1.458594e+001	 1.040688e+001	-9.304307e+000	-1.186326e+000	 2.703332e+000	 1.080758e+001	 1.805448e+002	 5.008066e+002	-5.255445e+000	 5.008066e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 1.350000e+002	-4.063859e+000	-2.356195e+001	 6.567077e+001	 0.000000e+000	 0.000000e+000	 4.327550e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-1.774842e+001	 7.589029e+000	-9.156031e+000	 1.324012e+000	-2.274645e+000	-1.104665e+001	 1.807651e+002	 5.010282e+002	-7.808579e+000	 5.010282e+002	 6.585870e+001	 0.000000e+000	 0.000000e+000	 4.385649e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	 1.460983e+001	 1.041776e+001	-9.305982e+000	-1.187032e+000	 2.703523e+000	 1.081462e+001	 1.805488e+002	 5.008106e+002	-5.248152e+000	 5.008106e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 1.350000e+002	-4.880580e+000	-2.356195e+001	 6.567079e+001	 0.000000e+000	 0.000000e+000	 4.327857e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-1.777460e+001	 7.596488e+000	-9.157008e+000	 1.324837e+000	-2.274842e+000	-1.105442e+001	 1.807637e+002	 5.010269e+002	-7.815106e+000	 5.010269e+002	 6.585878e+001	 0.000000e+000	 0.000000e+000	 4.386208e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	 1.463371e+001	 1.042865e+001	-9.307656e+000	-1.187738e+000	 2.703714e+000	 1.082167e+001	 1.805527e+002	 5.008145e+002	-5.240858e+000	 5.008145e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
