Date 26-Apr-2021 17:58:06
Maneuver DemoCar_MBS_aligning_torque_front_steer_eq-25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	-1.350000e+002	-2.469278e+000	 2.356195e+001	 6.585800e+001	 0.000000e+000	 0.000000e+000	 4.381412e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	 1.441421e+001	-1.033001e+001	-9.293268e+000	-1.181319e+000	 2.702334e+000	 1.075794e+001	 1.805173e+002	 5.007789e+002	-5.307063e+000	 5.007789e+002	 6.567118e+001	 0.000000e+000	 0.000000e+000	 4.324895e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-1.753413e+001	-7.528742e+000	-9.147625e+000	 1.317475e+000	-2.273433e+000	-1.098414e+001	 1.807758e+002	 5.010390e+002	-7.755467e+000	 5.010390e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	-1.350000e+002	-3.285681e+000	 2.356195e+001	 6.585803e+001	 0.000000e+000	 0.000000e+000	 4.379904e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	 1.439341e+001	-1.031875e+001	-9.289110e+000	-1.180599e+000	 2.701553e+000	 1.075019e+001	 1.805109e+002	 5.007724e+002	-5.312503e+000	 5.007724e+002	 6.567060e+001	 0.000000e+000	 0.000000e+000	 4.324474e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-1.751104e+001	-7.521294e+000	-9.146487e+000	 1.316412e+000	-2.272661e+000	-1.097564e+001	 1.807763e+002	 5.010394e+002	-7.749381e+000	 5.010394e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	-1.350000e+002	-4.102420e+000	 2.356195e+001	 6.585794e+001	 0.000000e+000	 0.000000e+000	 4.379433e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	 1.436949e+001	-1.030783e+001	-9.287438e+000	-1.179900e+000	 2.701392e+000	 1.074320e+001	 1.805069e+002	 5.007684e+002	-5.319836e+000	 5.007684e+002	 6.567059e+001	 0.000000e+000	 0.000000e+000	 4.324225e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-1.748481e+001	-7.513761e+000	-9.145497e+000	 1.315599e+000	-2.272484e+000	-1.096791e+001	 1.807776e+002	 5.010408e+002	-7.742765e+000	 5.010408e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	-1.350000e+002	-4.919479e+000	 2.356195e+001	 6.585824e+001	 0.000000e+000	 0.000000e+000	 4.379575e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	 1.434724e+001	-1.029820e+001	-9.287776e+000	-1.179281e+000	 2.701426e+000	 1.073719e+001	 1.805056e+002	 5.007671e+002	-5.328490e+000	 5.007671e+002	 6.567082e+001	 0.000000e+000	 0.000000e+000	 4.324145e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-1.746047e+001	-7.506916e+000	-9.145189e+000	 1.314944e+000	-2.272509e+000	-1.096126e+001	 1.807798e+002	 5.010430e+002	-7.736669e+000	 5.010430e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	-1.350000e+002	-5.736218e+000	 2.356195e+001	 6.585816e+001	 0.000000e+000	 0.000000e+000	 4.379017e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	 1.432333e+001	-1.028733e+001	-9.286104e+000	-1.178576e+000	 2.701237e+000	 1.073015e+001	 1.805017e+002	 5.007631e+002	-5.335776e+000	 5.007631e+002	 6.567081e+001	 0.000000e+000	 0.000000e+000	 4.323835e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-1.743425e+001	-7.499436e+000	-9.144205e+000	 1.314120e+000	-2.272319e+000	-1.095350e+001	 1.807811e+002	 5.010443e+002	-7.730124e+000	 5.010443e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	-1.350000e+002	-6.552956e+000	 2.356195e+001	 6.585809e+001	 0.000000e+000	 0.000000e+000	 4.378457e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	 1.429945e+001	-1.027647e+001	-9.284427e+000	-1.177872e+000	 2.701047e+000	 1.072311e+001	 1.804977e+002	 5.007592e+002	-5.343057e+000	 5.007592e+002	 6.567080e+001	 0.000000e+000	 0.000000e+000	 4.323527e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-1.740806e+001	-7.491959e+000	-9.143222e+000	 1.313296e+000	-2.272127e+000	-1.094574e+001	 1.807825e+002	 5.010457e+002	-7.723582e+000	 5.010457e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	-1.350000e+002	-7.369694e+000	 2.356195e+001	 6.585802e+001	 0.000000e+000	 0.000000e+000	 4.377897e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	 1.427557e+001	-1.026560e+001	-9.282751e+000	-1.177168e+000	 2.700857e+000	 1.071606e+001	 1.804938e+002	 5.007552e+002	-5.350338e+000	 5.007552e+002	 6.567079e+001	 0.000000e+000	 0.000000e+000	 4.323219e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-1.738186e+001	-7.484479e+000	-9.142241e+000	 1.312472e+000	-2.271936e+000	-1.093798e+001	 1.807838e+002	 5.010471e+002	-7.717040e+000	 5.010471e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	-1.350000e+002	-8.186432e+000	 2.356195e+001	 6.585794e+001	 0.000000e+000	 0.000000e+000	 4.377337e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	 1.425168e+001	-1.025475e+001	-9.281075e+000	-1.176464e+000	 2.700666e+000	 1.070902e+001	 1.804898e+002	 5.007513e+002	-5.357618e+000	 5.007513e+002	 6.567078e+001	 0.000000e+000	 0.000000e+000	 4.322910e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-1.735567e+001	-7.476998e+000	-9.141259e+000	 1.311648e+000	-2.271745e+000	-1.093023e+001	 1.807852e+002	 5.010484e+002	-7.710496e+000	 5.010484e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	-1.350000e+002	-9.003169e+000	 2.356195e+001	 6.585787e+001	 0.000000e+000	 0.000000e+000	 4.376777e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	 1.422780e+001	-1.024389e+001	-9.279398e+000	-1.175760e+000	 2.700476e+000	 1.070198e+001	 1.804859e+002	 5.007473e+002	-5.364898e+000	 5.007473e+002	 6.567078e+001	 0.000000e+000	 0.000000e+000	 4.322602e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-1.732947e+001	-7.469516e+000	-9.140276e+000	 1.310824e+000	-2.271555e+000	-1.092247e+001	 1.807865e+002	 5.010498e+002	-7.703952e+000	 5.010498e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	-1.350000e+002	-9.819906e+000	 2.356195e+001	 6.585779e+001	 0.000000e+000	 0.000000e+000	 4.376217e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	 1.420392e+001	-1.023303e+001	-9.277722e+000	-1.175056e+000	 2.700286e+000	 1.069494e+001	 1.804819e+002	 5.007433e+002	-5.372176e+000	 5.007433e+002	 6.567077e+001	 0.000000e+000	 0.000000e+000	 4.322293e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-1.730327e+001	-7.462032e+000	-9.139295e+000	 1.310000e+000	-2.271365e+000	-1.091471e+001	 1.807879e+002	 5.010512e+002	-7.697407e+000	 5.010512e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
