Date 26-Apr-2021 17:54:17
Maneuver DemoCar_MBS_brake_front_eq+25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 7.492136e-004	-0.000000e+000	 9.175474e+001	 2.000000e-001	 0.000000e+000	 4.994180e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 7.175952e-001	-2.838499e-001	 1.526949e+001	-1.758277e-001	-2.562522e-001	 3.961297e-002	 1.577720e+002	 4.778693e+002	 1.430995e+001	 4.778693e+002	 9.175473e+001	 2.000000e-001	 0.000000e+000	 4.994184e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 7.175945e-001	 2.838498e-001	 1.526947e+001	-1.758277e-001	-2.562520e-001	 3.961299e-002	 1.577720e+002	 4.778693e+002	 1.430994e+001	 4.778693e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 5.000000e-001	 0.000000e+000	 8.202867e-004	-0.000000e+000	 9.175585e+001	 1.002000e+002	 0.000000e+000	 4.989880e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.071892e-001	-3.073806e-001	 1.528178e+001	-1.751312e-001	-2.734672e-001	 4.647289e-002	 1.577906e+002	 4.778880e+002	 1.429022e+001	 4.778880e+002	 9.175584e+001	 1.002000e+002	 0.000000e+000	 4.989884e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.071885e-001	 3.073804e-001	 1.528177e+001	-1.751312e-001	-2.734670e-001	 4.647292e-002	 1.577906e+002	 4.778881e+002	 1.429021e+001	 4.778881e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 1.000000e+000	 0.000000e+000	 8.910582e-004	-0.000000e+000	 9.175592e+001	 2.002000e+002	 0.000000e+000	 4.985735e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	 1.097565e+000	-3.309854e-001	 1.529364e+001	-1.744335e-001	-2.907628e-001	 5.333130e-002	 1.578100e+002	 4.779076e+002	 1.426992e+001	 4.779076e+002	 9.175591e+001	 2.002000e+002	 0.000000e+000	 4.985739e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	 1.097565e+000	 3.309853e-001	 1.529362e+001	-1.744335e-001	-2.907625e-001	 5.333133e-002	 1.578100e+002	 4.779076e+002	 1.426991e+001	 4.779076e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 1.500000e+000	 0.000000e+000	 1.091099e-003	-0.000000e+000	 9.175775e+001	 3.002000e+002	 0.000000e+000	 4.954882e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 1.575642e+000	-3.513281e-001	 1.538186e+001	-1.697790e-001	-3.542310e-001	 4.719287e-002	 1.578201e+002	 4.779178e+002	 1.427266e+001	 4.779178e+002	 9.175773e+001	 3.002000e+002	 0.000000e+000	 4.954887e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 1.575641e+000	 3.513279e-001	 1.538185e+001	-1.697790e-001	-3.542308e-001	 4.719289e-002	 1.578201e+002	 4.779178e+002	 1.427264e+001	 4.779178e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 2.000000e+000	 0.000000e+000	 1.204499e-003	-0.000000e+000	 9.175677e+001	 4.002000e+002	 0.000000e+000	 4.941873e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 1.861573e+000	-3.739959e-001	 1.541906e+001	-1.677412e-001	-3.868894e-001	 4.969738e-002	 1.578366e+002	 4.779344e+002	 1.426000e+001	 4.779344e+002	 9.175676e+001	 4.002000e+002	 0.000000e+000	 4.941877e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 1.861573e+000	 3.739957e-001	 1.541905e+001	-1.677413e-001	-3.868892e-001	 4.969741e-002	 1.578366e+002	 4.779345e+002	 1.425999e+001	 4.779345e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 2.500000e+000	 0.000000e+000	 1.317833e-003	-0.000000e+000	 9.175573e+001	 5.002000e+002	 0.000000e+000	 4.928827e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 2.147696e+000	-3.968006e-001	 1.545637e+001	-1.656913e-001	-4.195669e-001	 5.220539e-002	 1.578532e+002	 4.779511e+002	 1.424743e+001	 4.779511e+002	 9.175571e+001	 5.002000e+002	 0.000000e+000	 4.928831e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 2.147695e+000	 3.968005e-001	 1.545636e+001	-1.656913e-001	-4.195667e-001	 5.220542e-002	 1.578532e+002	 4.779512e+002	 1.424742e+001	 4.779512e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 3.000000e+000	 0.000000e+000	 1.431025e-003	-0.000000e+000	 9.175450e+001	 6.002000e+002	 0.000000e+000	 4.915780e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 2.433738e+000	-4.197092e-001	 1.549368e+001	-1.636303e-001	-4.522368e-001	 5.470924e-002	 1.578698e+002	 4.779679e+002	 1.423489e+001	 4.779679e+002	 9.175448e+001	 6.002000e+002	 0.000000e+000	 4.915784e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 2.433737e+000	 4.197090e-001	 1.549366e+001	-1.636304e-001	-4.522365e-001	 5.470926e-002	 1.578698e+002	 4.779679e+002	 1.423488e+001	 4.779679e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 3.500000e+000	 0.000000e+000	 1.544057e-003	-0.000000e+000	 9.175309e+001	 7.002000e+002	 0.000000e+000	 4.902731e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 2.719701e+000	-4.427214e-001	 1.553099e+001	-1.615585e-001	-4.848991e-001	 5.720894e-002	 1.578865e+002	 4.779848e+002	 1.422238e+001	 4.779848e+002	 9.175308e+001	 7.002000e+002	 0.000000e+000	 4.902736e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 2.719700e+000	 4.427213e-001	 1.553098e+001	-1.615585e-001	-4.848989e-001	 5.720897e-002	 1.578865e+002	 4.779848e+002	 1.422237e+001	 4.779848e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 4.000000e+000	 0.000000e+000	 1.656913e-003	-0.000000e+000	 9.175151e+001	 8.002000e+002	 0.000000e+000	 4.889682e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 3.005584e+000	-4.658374e-001	 1.556830e+001	-1.594757e-001	-5.175538e-001	 5.970452e-002	 1.579033e+002	 4.780017e+002	 1.420991e+001	 4.780017e+002	 9.175149e+001	 8.002000e+002	 0.000000e+000	 4.889686e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 3.005583e+000	 4.658372e-001	 1.556829e+001	-1.594757e-001	-5.175536e-001	 5.970454e-002	 1.579033e+002	 4.780017e+002	 1.420989e+001	 4.780017e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 4.500000e+000	 0.000000e+000	 1.769574e-003	-0.000000e+000	 9.174974e+001	 9.002000e+002	 0.000000e+000	 4.876630e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 3.291386e+000	-4.890569e-001	 1.560562e+001	-1.573819e-001	-5.502010e-001	 6.219597e-002	 1.579202e+002	 4.780187e+002	 1.419746e+001	 4.780187e+002	 9.174973e+001	 9.002000e+002	 0.000000e+000	 4.876635e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 3.291386e+000	 4.890568e-001	 1.560561e+001	-1.573819e-001	-5.502008e-001	 6.219599e-002	 1.579202e+002	 4.780187e+002	 1.419745e+001	 4.780187e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
