Date 26-Apr-2021 17:53:17
Maneuver DemoCar_MBS_brake_front_eq-75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-1.404993e-006	-0.000000e+000	-1.329392e+001	 2.000000e-001	 0.000000e+000	 2.555759e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.821768e+000	-6.745705e+000	-8.277305e+001	 4.796113e-001	 1.200041e+000	 5.855080e-003	 2.489489e+002	 5.695226e+002	-7.678390e+001	 5.695226e+002	-1.329392e+001	 2.000000e-001	 0.000000e+000	 2.555761e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.821769e+000	 6.745706e+000	-8.277306e+001	 4.796114e-001	 1.200041e+000	 5.855090e-003	 2.489489e+002	 5.695226e+002	-7.678390e+001	 5.695226e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 5.000000e-001	 0.000000e+000	-6.430613e-006	-0.000000e+000	-1.329284e+001	 1.002000e+002	 0.000000e+000	 2.549194e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.602581e+000	-6.764239e+000	-8.275432e+001	 4.800952e-001	 1.182204e+000	 1.148784e-002	 2.489614e+002	 5.695351e+002	-7.681347e+001	 5.695351e+002	-1.329285e+001	 1.002000e+002	 0.000000e+000	 2.549196e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.602582e+000	 6.764240e+000	-8.275432e+001	 4.800953e-001	 1.182204e+000	 1.148784e-002	 2.489614e+002	 5.695351e+002	-7.681348e+001	 5.695351e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 1.000000e+000	 0.000000e+000	-1.145625e-005	-0.000000e+000	-1.329360e+001	 2.002000e+002	 0.000000e+000	 2.542717e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	-4.382368e+000	-6.782893e+000	-8.273584e+001	 4.805894e-001	 1.164267e+000	 1.709928e-002	 2.489745e+002	 5.695482e+002	-7.684352e+001	 5.695482e+002	-1.329361e+001	 2.002000e+002	 0.000000e+000	 2.542719e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	-4.382369e+000	 6.782894e+000	-8.273584e+001	 4.805895e-001	 1.164267e+000	 1.709929e-002	 2.489745e+002	 5.695482e+002	-7.684353e+001	 5.695482e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 1.500000e+000	 0.000000e+000	-9.036169e-006	-0.000000e+000	-1.329651e+001	 3.002000e+002	 0.000000e+000	 2.515575e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	-3.864712e+000	-6.782044e+000	-8.265841e+001	 4.832855e-001	 1.105689e+000	 4.887995e-003	 2.489907e+002	 5.695645e+002	-7.688691e+001	 5.695645e+002	-1.329652e+001	 3.002000e+002	 0.000000e+000	 2.515577e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	-3.864712e+000	 6.782045e+000	-8.265842e+001	 4.832856e-001	 1.105689e+000	 4.888000e-003	 2.489907e+002	 5.695645e+002	-7.688692e+001	 5.695645e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 2.000000e+000	 0.000000e+000	-1.156248e-005	-0.000000e+000	-1.329877e+001	 4.002000e+002	 0.000000e+000	 2.502141e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	-3.544822e+000	-6.794415e+000	-8.262009e+001	 4.845404e-001	 1.074151e+000	 4.540100e-003	 2.490050e+002	 5.695788e+002	-7.692134e+001	 5.695788e+002	-1.329877e+001	 4.002000e+002	 0.000000e+000	 2.502143e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	-3.544822e+000	 6.794417e+000	-8.262009e+001	 4.845406e-001	 1.074151e+000	 4.540106e-003	 2.490050e+002	 5.695788e+002	-7.692135e+001	 5.695788e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 2.500000e+000	 0.000000e+000	-1.406132e-005	-0.000000e+000	-1.330121e+001	 5.002000e+002	 0.000000e+000	 2.488760e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	-3.225469e+000	-6.806894e+000	-8.258191e+001	 4.858101e-001	 1.042656e+000	 4.174874e-003	 2.490194e+002	 5.695933e+002	-7.695580e+001	 5.695933e+002	-1.330122e+001	 5.002000e+002	 0.000000e+000	 2.488762e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	-3.225469e+000	 6.806895e+000	-8.258192e+001	 4.858102e-001	 1.042656e+000	 4.174879e-003	 2.490194e+002	 5.695933e+002	-7.695580e+001	 5.695933e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 3.000000e+000	 0.000000e+000	-1.654196e-005	-0.000000e+000	-1.330369e+001	 6.002000e+002	 0.000000e+000	 2.475377e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	-2.906234e+000	-6.819487e+000	-8.254374e+001	 4.870935e-001	 1.011169e+000	 3.799486e-003	 2.490339e+002	 5.696078e+002	-7.699023e+001	 5.696078e+002	-1.330370e+001	 6.002000e+002	 0.000000e+000	 2.475379e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	-2.906234e+000	 6.819488e+000	-8.254375e+001	 4.870936e-001	 1.011169e+000	 3.799492e-003	 2.490339e+002	 5.696078e+002	-7.699023e+001	 5.696078e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 3.500000e+000	 0.000000e+000	-1.900398e-005	-0.000000e+000	-1.330621e+001	 7.002000e+002	 0.000000e+000	 2.461994e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	-2.587114e+000	-6.832194e+000	-8.250556e+001	 4.883907e-001	 9.796900e-001	 3.413971e-003	 2.490485e+002	 5.696225e+002	-7.702463e+001	 5.696225e+002	-1.330621e+001	 7.002000e+002	 0.000000e+000	 2.461996e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	-2.587114e+000	 6.832195e+000	-8.250557e+001	 4.883908e-001	 9.796901e-001	 3.413976e-003	 2.490485e+002	 5.696225e+002	-7.702464e+001	 5.696225e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 4.000000e+000	 0.000000e+000	-2.144697e-005	-0.000000e+000	-1.330876e+001	 8.002000e+002	 0.000000e+000	 2.448609e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	-2.268111e+000	-6.845016e+000	-8.246738e+001	 4.897016e-001	 9.482185e-001	 3.018349e-003	 2.490632e+002	 5.696372e+002	-7.705901e+001	 5.696372e+002	-1.330876e+001	 8.002000e+002	 0.000000e+000	 2.448611e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	-2.268112e+000	 6.845016e+000	-8.246738e+001	 4.897017e-001	 9.482186e-001	 3.018354e-003	 2.490632e+002	 5.696372e+002	-7.705902e+001	 5.696372e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 4.500000e+000	 0.000000e+000	-2.387048e-005	-0.000000e+000	-1.331134e+001	 9.002000e+002	 0.000000e+000	 2.435222e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	-1.949225e+000	-6.857952e+000	-8.242920e+001	 4.910262e-001	 9.167547e-001	 2.612641e-003	 2.490780e+002	 5.696520e+002	-7.709336e+001	 5.696520e+002	-1.331134e+001	 9.002000e+002	 0.000000e+000	 2.435224e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	-1.949225e+000	 6.857953e+000	-8.242921e+001	 4.910264e-001	 9.167548e-001	 2.612646e-003	 2.490780e+002	 5.696520e+002	-7.709336e+001	 5.696520e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
