Date 26-Apr-2021 17:46:39
Maneuver DemoCar_MBS_brake_front_equilibrium
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.421866e-004	-0.000000e+000	 6.547272e+001	 2.000000e-001	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567008e-001	-5.347232e-002	-9.122774e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509090e+000	 5.012361e+002	 6.547272e+001	 2.000000e-001	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567009e-001	 5.347235e-002	-9.122776e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509091e+000	 5.012361e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 1.503878e-004	-0.000000e+000	 6.547379e+001	 1.002000e+002	 0.000000e+000	 4.338968e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.623593e-001	-7.557153e-002	-9.108723e+000	-1.894648e-001	 1.297635e-001	 5.903901e-002	 1.809883e+002	 5.012528e+002	-8.531980e+000	 5.012528e+002	 6.547379e+001	 1.002000e+002	 0.000000e+000	 4.338968e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.623593e-001	 7.557155e-002	-9.108723e+000	-1.894648e-001	 1.297635e-001	 5.903901e-002	 1.809883e+002	 5.012528e+002	-8.531981e+000	 5.012528e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 1.585659e-004	-0.000000e+000	 6.547366e+001	 2.002000e+002	 0.000000e+000	 4.334188e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	-6.721638e-002	-9.776095e-002	-9.095054e+000	-1.887589e-001	 1.124207e-001	 6.511711e-002	 1.810056e+002	 5.012702e+002	-8.555413e+000	 5.012702e+002	 6.547366e+001	 2.002000e+002	 0.000000e+000	 4.334188e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	-6.721639e-002	 9.776095e-002	-9.095054e+000	-1.887589e-001	 1.124207e-001	 6.511711e-002	 1.810056e+002	 5.012702e+002	-8.555413e+000	 5.012702e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 1.787166e-004	-0.000000e+000	 6.547417e+001	 3.002000e+002	 0.000000e+000	 4.304674e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 4.164669e-001	-1.115930e-001	-9.010656e+000	-1.846207e-001	 5.043848e-002	 5.644594e-002	 1.810181e+002	 5.012828e+002	-8.568227e+000	 5.012828e+002	 6.547417e+001	 3.002000e+002	 0.000000e+000	 4.304674e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 4.164669e-001	 1.115930e-001	-9.010655e+000	-1.846207e-001	 5.043846e-002	 5.644594e-002	 1.810181e+002	 5.012828e+002	-8.568226e+000	 5.012828e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 1.908307e-004	-0.000000e+000	 6.547275e+001	 4.002000e+002	 0.000000e+000	 4.291699e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 7.073411e-001	-1.311373e-001	-8.973553e+000	-1.827474e-001	 1.825130e-002	 5.758008e-002	 1.810340e+002	 5.012988e+002	-8.588155e+000	 5.012988e+002	 6.547276e+001	 4.002000e+002	 0.000000e+000	 4.291699e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 7.073412e-001	 1.311372e-001	-8.973551e+000	-1.827474e-001	 1.825127e-002	 5.758008e-002	 1.810340e+002	 5.012988e+002	-8.588154e+000	 5.012988e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 2.029529e-004	-0.000000e+000	 6.547133e+001	 5.002000e+002	 0.000000e+000	 4.278683e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 9.984670e-001	-1.508175e-001	-8.936331e+000	-1.808616e-001	-1.396023e-002	 5.871762e-002	 1.810499e+002	 5.013148e+002	-8.608007e+000	 5.013148e+002	 6.547134e+001	 5.002000e+002	 0.000000e+000	 4.278682e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 9.984671e-001	 1.508174e-001	-8.936328e+000	-1.808616e-001	-1.396028e-002	 5.871761e-002	 1.810499e+002	 5.013148e+002	-8.608004e+000	 5.013148e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 2.150625e-004	-0.000000e+000	 6.546977e+001	 6.002000e+002	 0.000000e+000	 4.265665e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 1.289507e+000	-1.705988e-001	-8.899106e+000	-1.789640e-001	-4.616449e-002	 5.984951e-002	 1.810659e+002	 5.013310e+002	-8.627826e+000	 5.013310e+002	 6.546978e+001	 6.002000e+002	 0.000000e+000	 4.265664e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 1.289507e+000	 1.705986e-001	-8.899102e+000	-1.789640e-001	-4.616455e-002	 5.984951e-002	 1.810659e+002	 5.013309e+002	-8.627824e+000	 5.013309e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 2.271582e-004	-0.000000e+000	 6.546807e+001	 7.002000e+002	 0.000000e+000	 4.252646e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 1.580461e+000	-1.904810e-001	-8.861876e+000	-1.770545e-001	-7.836149e-002	 6.097579e-002	 1.810820e+002	 5.013471e+002	-8.647615e+000	 5.013471e+002	 6.546808e+001	 7.002000e+002	 0.000000e+000	 4.252645e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 1.580461e+000	 1.904809e-001	-8.861871e+000	-1.770546e-001	-7.836157e-002	 6.097578e-002	 1.810820e+002	 5.013471e+002	-8.647611e+000	 5.013471e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 2.392385e-004	-0.000000e+000	 6.546624e+001	 8.002000e+002	 0.000000e+000	 4.239625e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 1.871328e+000	-2.104642e-001	-8.824643e+000	-1.751333e-001	-1.105512e-001	 6.209645e-002	 1.810982e+002	 5.013635e+002	-8.667371e+000	 5.013635e+002	 6.546624e+001	 8.002000e+002	 0.000000e+000	 4.239624e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 1.871329e+000	 2.104641e-001	-8.824637e+000	-1.751333e-001	-1.105513e-001	 6.209644e-002	 1.810982e+002	 5.013635e+002	-8.667368e+000	 5.013635e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 2.513023e-004	-0.000000e+000	 6.546426e+001	 9.002000e+002	 0.000000e+000	 4.226603e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 2.162110e+000	-2.305483e-001	-8.787406e+000	-1.732002e-001	-1.427335e-001	 6.321151e-002	 1.811145e+002	 5.013798e+002	-8.687097e+000	 5.013798e+002	 6.546427e+001	 9.002000e+002	 0.000000e+000	 4.226601e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 2.162110e+000	 2.305481e-001	-8.787400e+000	-1.732002e-001	-1.427337e-001	 6.321151e-002	 1.811145e+002	 5.013798e+002	-8.687091e+000	 5.013798e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
