Date 26-Apr-2021 18:13:02
Maneuver DemoCar_MBS_brake_front_opp_opp+100%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-4.727297e+000	-0.000000e+000	 6.551346e+001	 2.000000e-001	 0.000000e+000	 4.337721e+003	 0.000000e+000	-6.360000e-002	 0.000000e+000	-5.743954e+000	 7.259104e-001	-9.104365e+000	-1.427767e-001	 4.459178e-001	-6.104367e-001	 1.802350e+002	 5.004948e+002	-9.755097e+000	 5.004948e+002	 6.514365e+001	 5.000000e+003	 0.000000e+000	 3.695082e+003	 0.000000e+000	-1.590000e+003	 0.000000e+000	 1.925722e+001	 2.098726e+000	-7.268404e+000	-1.414572e-001	-1.747952e+000	 7.695179e-001	 1.826910e+002	 5.029661e+002	-8.280981e+000	 5.029661e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-4.636876e+000	-0.000000e+000	 6.551572e+001	 1.002000e+002	 0.000000e+000	 4.325594e+003	 0.000000e+000	-3.186360e+001	 0.000000e+000	-5.371457e+000	 6.974936e-001	-9.069780e+000	-1.417197e-001	 4.094877e-001	-5.979277e-001	 1.802625e+002	 5.005225e+002	-9.751640e+000	 5.005225e+002	 6.514851e+001	 5.000000e+003	 0.000000e+000	 3.693883e+003	 0.000000e+000	-1.590000e+003	 0.000000e+000	 1.917566e+001	 2.083325e+000	-7.264869e+000	-1.403167e-001	-1.743802e+000	 7.581345e-001	 1.826742e+002	 5.029492e+002	-8.300693e+000	 5.029492e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-4.545772e+000	-0.000000e+000	 6.551545e+001	 2.002000e+002	 0.000000e+000	 4.312708e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	-4.971716e+000	 6.653226e-001	-9.032943e+000	-1.406817e-001	 3.710233e-001	-5.833885e-001	 1.802914e+002	 5.005515e+002	-9.745500e+000	 5.005515e+002	 6.515065e+001	 5.000000e+003	 0.000000e+000	 3.693885e+003	 0.000000e+000	-1.590000e+003	 0.000000e+000	 1.906872e+001	 2.063438e+000	-7.264866e+000	-1.391026e-001	-1.737815e+000	 7.446741e-001	 1.826569e+002	 5.029318e+002	-8.324466e+000	 5.029318e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-4.454551e+000	-0.000000e+000	 6.551494e+001	 3.002000e+002	 0.000000e+000	 4.299847e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	-4.573207e+000	 6.330687e-001	-8.996183e+000	-1.396370e-001	 3.326532e-001	-5.689391e-001	 1.803203e+002	 5.005807e+002	-9.739487e+000	 5.005807e+002	 6.515284e+001	 5.000000e+003	 0.000000e+000	 3.693848e+003	 0.000000e+000	-1.590000e+003	 0.000000e+000	 1.896287e+001	 2.043759e+000	-7.264744e+000	-1.378932e-001	-1.731909e+000	 7.313002e-001	 1.826397e+002	 5.029145e+002	-8.348107e+000	 5.029145e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-4.363186e+000	-0.000000e+000	 6.551423e+001	 4.002000e+002	 0.000000e+000	 4.286981e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	-4.174780e+000	 6.005780e-001	-8.959411e+000	-1.385861e-001	 2.942923e-001	-5.544918e-001	 1.803495e+002	 5.006100e+002	-9.733480e+000	 5.006100e+002	 6.515503e+001	 5.000000e+003	 0.000000e+000	 3.693812e+003	 0.000000e+000	-1.590000e+003	 0.000000e+000	 1.885700e+001	 2.024091e+000	-7.264625e+000	-1.366863e-001	-1.726000e+000	 7.179243e-001	 1.826226e+002	 5.028973e+002	-8.371762e+000	 5.028973e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-4.271679e+000	-0.000000e+000	 6.551332e+001	 5.002000e+002	 0.000000e+000	 4.274111e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	-3.776480e+000	 5.678569e-001	-8.922627e+000	-1.375292e-001	 2.559442e-001	-5.400501e-001	 1.803787e+002	 5.006394e+002	-9.727485e+000	 5.006394e+002	 6.515722e+001	 5.000000e+003	 0.000000e+000	 3.693776e+003	 0.000000e+000	-1.590000e+003	 0.000000e+000	 1.875115e+001	 2.004442e+000	-7.264506e+000	-1.354817e-001	-1.720092e+000	 7.045498e-001	 1.826054e+002	 5.028800e+002	-8.395424e+000	 5.028800e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-4.180029e+000	-0.000000e+000	 6.551220e+001	 6.002000e+002	 0.000000e+000	 4.261239e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	-3.378308e+000	 5.349052e-001	-8.885834e+000	-1.364662e-001	 2.176087e-001	-5.256140e-001	 1.804082e+002	 5.006691e+002	-9.721501e+000	 5.006691e+002	 6.515942e+001	 5.000000e+003	 0.000000e+000	 3.693739e+003	 0.000000e+000	-1.590000e+003	 0.000000e+000	 1.864531e+001	 1.984812e+000	-7.264385e+000	-1.342796e-001	-1.714186e+000	 6.911767e-001	 1.825883e+002	 5.028628e+002	-8.419094e+000	 5.028628e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-4.088236e+000	-0.000000e+000	 6.551088e+001	 7.002000e+002	 0.000000e+000	 4.248362e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	-2.980263e+000	 5.017233e-001	-8.849031e+000	-1.353972e-001	 1.792861e-001	-5.111833e-001	 1.804378e+002	 5.006988e+002	-9.715527e+000	 5.006988e+002	 6.516161e+001	 5.000000e+003	 0.000000e+000	 3.693701e+003	 0.000000e+000	-1.590000e+003	 0.000000e+000	 1.853950e+001	 1.965200e+000	-7.264263e+000	-1.330799e-001	-1.708281e+000	 6.778049e-001	 1.825712e+002	 5.028456e+002	-8.442772e+000	 5.028456e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-3.996299e+000	-0.000000e+000	 6.550936e+001	 8.002000e+002	 0.000000e+000	 4.235482e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	-2.582346e+000	 4.683115e-001	-8.812218e+000	-1.343220e-001	 1.409764e-001	-4.967581e-001	 1.804675e+002	 5.007287e+002	-9.709564e+000	 5.007287e+002	 6.516381e+001	 5.000000e+003	 0.000000e+000	 3.693664e+003	 0.000000e+000	-1.590000e+003	 0.000000e+000	 1.843371e+001	 1.945607e+000	-7.264141e+000	-1.318826e-001	-1.702377e+000	 6.644346e-001	 1.825541e+002	 5.028284e+002	-8.466458e+000	 5.028284e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-3.904217e+000	-0.000000e+000	 6.550763e+001	 9.002000e+002	 0.000000e+000	 4.222599e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	-2.184558e+000	 4.346698e-001	-8.775394e+000	-1.332408e-001	 1.026796e-001	-4.823384e-001	 1.804974e+002	 5.007588e+002	-9.703611e+000	 5.007588e+002	 6.516601e+001	 5.000000e+003	 0.000000e+000	 3.693626e+003	 0.000000e+000	-1.590000e+003	 0.000000e+000	 1.832793e+001	 1.926033e+000	-7.264017e+000	-1.306877e-001	-1.696475e+000	 6.510656e-001	 1.825370e+002	 5.028112e+002	-8.490152e+000	 5.028112e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
