Date 26-Apr-2021 18:10:56
Maneuver DemoCar_MBS_brake_front_opp_opp-100%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 4.358572e+000	-0.000000e+000	 6.543637e+001	 2.000000e-001	 0.000000e+000	 4.349527e+003	 0.000000e+000	-6.360000e-002	 0.000000e+000	 4.883497e+000	-8.782571e-001	-9.140022e+000	-2.436043e-001	-1.555109e-001	 7.199484e-001	 1.817511e+002	 5.020204e+002	-7.283036e+000	 5.020204e+002	 6.529476e+001	-5.000000e+003	 0.000000e+000	 4.984110e+003	 0.000000e+000	 1.590000e+003	 0.000000e+000	-2.049696e+001	-1.418945e+000	-1.095259e+001	-2.237809e-001	 2.074699e+000	-6.776027e-001	 1.796288e+002	 4.998847e+002	-8.764470e+000	 4.998847e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 4.449329e+000	-0.000000e+000	 6.544176e+001	 1.002000e+002	 0.000000e+000	 4.334918e+003	 0.000000e+000	-3.186360e+001	 0.000000e+000	 5.301170e+000	-9.206307e-001	-9.098228e+000	-2.430582e-001	-1.950880e-001	 7.362796e-001	 1.817818e+002	 5.020514e+002	-7.274156e+000	 5.020514e+002	 6.529187e+001	-5.000000e+003	 0.000000e+000	 4.985074e+003	 0.000000e+000	 1.590000e+003	 0.000000e+000	-2.062598e+001	-1.433821e+000	-1.095537e+001	-2.229453e-001	 2.082425e+000	-6.926576e-001	 1.796169e+002	 4.998728e+002	-8.794341e+000	 4.998728e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 4.540446e+000	-0.000000e+000	 6.543821e+001	 2.002000e+002	 0.000000e+000	 4.322002e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	 5.697716e+000	-9.598574e-001	-9.061310e+000	-2.424271e-001	-2.331792e-001	 7.507434e-001	 1.818150e+002	 5.020847e+002	-7.270782e+000	 5.020847e+002	 6.529114e+001	-5.000000e+003	 0.000000e+000	 4.984863e+003	 0.000000e+000	 1.590000e+003	 0.000000e+000	-2.073234e+001	-1.446111e+000	-1.095475e+001	-2.221462e-001	 2.088509e+000	-7.058906e-001	 1.796039e+002	 4.998597e+002	-8.820252e+000	 4.998597e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 4.631713e+000	-0.000000e+000	 6.543467e+001	 3.002000e+002	 0.000000e+000	 4.309014e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 6.094961e+000	-9.994428e-001	-9.024188e+000	-2.417935e-001	-2.713163e-001	 7.652737e-001	 1.818482e+002	 5.021181e+002	-7.267208e+000	 5.021181e+002	 6.529027e+001	-5.000000e+003	 0.000000e+000	 4.984705e+003	 0.000000e+000	 1.590000e+003	 0.000000e+000	-2.083953e+001	-1.458480e+000	-1.095428e+001	-2.213479e-001	 2.094653e+000	-7.191932e-001	 1.795910e+002	 4.998467e+002	-8.846347e+000	 4.998467e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 4.723137e+000	-0.000000e+000	 6.543092e+001	 4.002000e+002	 0.000000e+000	 4.296025e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 6.492037e+000	-1.039251e+000	-8.987063e+000	-2.411537e-001	-3.094372e-001	 7.797955e-001	 1.818816e+002	 5.021517e+002	-7.263653e+000	 5.021517e+002	 6.528940e+001	-5.000000e+003	 0.000000e+000	 4.984544e+003	 0.000000e+000	 1.590000e+003	 0.000000e+000	-2.094667e+001	-1.470829e+000	-1.095381e+001	-2.205520e-001	 2.100792e+000	-7.324916e-001	 1.795781e+002	 4.998337e+002	-8.872442e+000	 4.998337e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 4.814718e+000	-0.000000e+000	 6.542698e+001	 5.002000e+002	 0.000000e+000	 4.283033e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 6.888974e+000	-1.079286e+000	-8.949928e+000	-2.405080e-001	-3.475439e-001	 7.943119e-001	 1.819151e+002	 5.021854e+002	-7.260106e+000	 5.021854e+002	 6.528855e+001	-5.000000e+003	 0.000000e+000	 4.984384e+003	 0.000000e+000	 1.590000e+003	 0.000000e+000	-2.105379e+001	-1.483160e+000	-1.095333e+001	-2.197586e-001	 2.106930e+000	-7.457885e-001	 1.795652e+002	 4.998207e+002	-8.898543e+000	 4.998207e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 4.906456e+000	-0.000000e+000	 6.542283e+001	 6.002000e+002	 0.000000e+000	 4.270037e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 7.285771e+000	-1.119549e+000	-8.912783e+000	-2.398563e-001	-3.856365e-001	 8.088227e-001	 1.819488e+002	 5.022193e+002	-7.256567e+000	 5.022193e+002	 6.528769e+001	-5.000000e+003	 0.000000e+000	 4.984222e+003	 0.000000e+000	 1.590000e+003	 0.000000e+000	-2.116089e+001	-1.495473e+000	-1.095285e+001	-2.189676e-001	 2.113067e+000	-7.590838e-001	 1.795523e+002	 4.998077e+002	-8.924651e+000	 4.998077e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 4.998352e+000	-0.000000e+000	 6.541849e+001	 7.002000e+002	 0.000000e+000	 4.257038e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 7.682428e+000	-1.160039e+000	-8.875628e+000	-2.391986e-001	-4.237147e-001	 8.233279e-001	 1.819826e+002	 5.022533e+002	-7.253038e+000	 5.022533e+002	 6.528684e+001	-5.000000e+003	 0.000000e+000	 4.984061e+003	 0.000000e+000	 1.590000e+003	 0.000000e+000	-2.126796e+001	-1.507769e+000	-1.095238e+001	-2.181790e-001	 2.119201e+000	-7.723776e-001	 1.795394e+002	 4.997948e+002	-8.950765e+000	 4.997948e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 5.090405e+000	-0.000000e+000	 6.541394e+001	 8.002000e+002	 0.000000e+000	 4.244036e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 8.078942e+000	-1.200755e+000	-8.838464e+000	-2.385350e-001	-4.617785e-001	 8.378274e-001	 1.820165e+002	 5.022874e+002	-7.249517e+000	 5.022874e+002	 6.528599e+001	-5.000000e+003	 0.000000e+000	 4.983899e+003	 0.000000e+000	 1.590000e+003	 0.000000e+000	-2.137501e+001	-1.520047e+000	-1.095190e+001	-2.173928e-001	 2.125334e+000	-7.856698e-001	 1.795266e+002	 4.997819e+002	-8.976886e+000	 4.997819e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 5.182618e+000	-0.000000e+000	 6.540920e+001	 9.002000e+002	 0.000000e+000	 4.231029e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 8.475315e+000	-1.241697e+000	-8.801290e+000	-2.378654e-001	-4.998278e-001	 8.523214e-001	 1.820506e+002	 5.023218e+002	-7.246005e+000	 5.023218e+002	 6.528515e+001	-5.000000e+003	 0.000000e+000	 4.983736e+003	 0.000000e+000	 1.590000e+003	 0.000000e+000	-2.148204e+001	-1.532307e+000	-1.095142e+001	-2.166091e-001	 2.131466e+000	-7.989604e-001	 1.795138e+002	 4.997690e+002	-9.003012e+000	 4.997690e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
