Date 26-Apr-2021 18:11:59
Maneuver DemoCar_MBS_brake_front_opp_opp_0%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.421866e-004	-0.000000e+000	 6.547272e+001	 2.000000e-001	 0.000000e+000	 4.343882e+003	 0.000000e+000	-6.360000e-002	 0.000000e+000	-4.567008e-001	-5.347232e-002	-9.122774e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509090e+000	 5.012361e+002	 6.547272e+001	 0.000000e+000	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567009e-001	 5.347235e-002	-9.122776e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509091e+000	 5.012361e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 9.093592e-002	-0.000000e+000	 6.547551e+001	 1.002000e+002	 0.000000e+000	 4.330726e+003	 0.000000e+000	-3.186360e+001	 0.000000e+000	-6.022113e-002	-8.883607e-002	-9.085170e+000	-1.893395e-001	 1.089057e-001	 6.743429e-002	 1.810013e+002	 5.012659e+002	-8.503377e+000	 5.012659e+002	 6.547336e+001	 0.000000e+000	 0.000000e+000	 4.343886e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.630457e-001	 3.741223e-002	-9.122768e+000	-1.891646e-001	 1.530508e-001	 3.965396e-002	 1.809570e+002	 5.012214e+002	-8.534123e+000	 5.012214e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 1.818500e-001	-0.000000e+000	 6.547367e+001	 2.002000e+002	 0.000000e+000	 4.317812e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	 3.378846e-001	-1.245215e-001	-9.048257e+000	-1.885061e-001	 7.062961e-002	 8.193491e-002	 1.810323e+002	 5.012971e+002	-8.498572e+000	 5.012971e+002	 6.547412e+001	 0.000000e+000	 0.000000e+000	 4.343782e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.698078e-001	 2.132233e-002	-9.122455e+000	-1.881598e-001	 1.591007e-001	 2.631012e-002	 1.809419e+002	 5.012061e+002	-8.558942e+000	 5.012061e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 2.729134e-001	-0.000000e+000	 6.547167e+001	 3.002000e+002	 0.000000e+000	 4.304887e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 7.358067e-001	-1.604301e-001	-9.011316e+000	-1.876670e-001	 3.237094e-002	 9.642751e-002	 1.810634e+002	 5.013284e+002	-8.493759e+000	 5.013284e+002	 6.547484e+001	 0.000000e+000	 0.000000e+000	 4.343687e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-7.765007e-001	 5.256853e-003	-9.122164e+000	-1.871573e-001	 1.651454e-001	 1.297016e-002	 1.809268e+002	 5.011909e+002	-8.583789e+000	 5.011909e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 3.641260e-001	-0.000000e+000	 6.546946e+001	 4.002000e+002	 0.000000e+000	 4.291959e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 1.133599e+000	-1.965684e-001	-8.974365e+000	-1.868218e-001	-5.874595e-003	 1.109147e-001	 1.810946e+002	 5.013598e+002	-8.488957e+000	 5.013598e+002	 6.547557e+001	 0.000000e+000	 0.000000e+000	 4.343590e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-8.831755e-001	-1.079067e-002	-9.121870e+000	-1.861573e-001	 1.711889e-001	-3.684812e-004	 1.809117e+002	 5.011757e+002	-8.608642e+000	 5.011757e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 4.554884e-001	-0.000000e+000	 6.546704e+001	 5.002000e+002	 0.000000e+000	 4.279028e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 1.531258e+000	-2.329357e-001	-8.937404e+000	-1.859706e-001	-4.410672e-002	 1.253963e-001	 1.811260e+002	 5.013914e+002	-8.484165e+000	 5.013914e+002	 6.547630e+001	 0.000000e+000	 0.000000e+000	 4.343493e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-9.898295e-001	-2.681993e-002	-9.121575e+000	-1.851596e-001	 1.772309e-001	-1.370567e-002	 1.808966e+002	 5.011606e+002	-8.633503e+000	 5.011606e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 5.470009e-001	-0.000000e+000	 6.546443e+001	 6.002000e+002	 0.000000e+000	 4.266094e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 1.928784e+000	-2.695320e-001	-8.900434e+000	-1.851133e-001	-8.232537e-002	 1.398723e-001	 1.811576e+002	 5.014232e+002	-8.479383e+000	 5.014232e+002	 6.547703e+001	 0.000000e+000	 0.000000e+000	 4.343396e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.096463e+000	-4.283093e-002	-9.121280e+000	-1.841645e-001	 1.832716e-001	-2.704140e-002	 1.808815e+002	 5.011454e+002	-8.658371e+000	 5.011454e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 6.386640e-001	-0.000000e+000	 6.546161e+001	 7.002000e+002	 0.000000e+000	 4.253155e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 2.326175e+000	-3.063569e-001	-8.863453e+000	-1.842501e-001	-1.205305e-001	 1.543428e-001	 1.811893e+002	 5.014551e+002	-8.474611e+000	 5.014551e+002	 6.547777e+001	 0.000000e+000	 0.000000e+000	 4.343298e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.203076e+000	-5.882365e-002	-9.120984e+000	-1.831717e-001	 1.893109e-001	-4.037568e-002	 1.808665e+002	 5.011303e+002	-8.683247e+000	 5.011303e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 7.304781e-001	-0.000000e+000	 6.545860e+001	 8.002000e+002	 0.000000e+000	 4.240214e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 2.723432e+000	-3.434102e-001	-8.826462e+000	-1.833808e-001	-1.587219e-001	 1.688078e-001	 1.812211e+002	 5.014871e+002	-8.469848e+000	 5.014871e+002	 6.547851e+001	 0.000000e+000	 0.000000e+000	 4.343200e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.309668e+000	-7.479809e-002	-9.120687e+000	-1.821814e-001	 1.953488e-001	-5.370848e-002	 1.808515e+002	 5.011151e+002	-8.708129e+000	 5.011151e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 8.224436e-001	-0.000000e+000	 6.545538e+001	 9.002000e+002	 0.000000e+000	 4.227269e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 3.120553e+000	-3.806917e-001	-8.789461e+000	-1.825056e-001	-1.968997e-001	 1.832672e-001	 1.812531e+002	 5.015193e+002	-8.465095e+000	 5.015193e+002	 6.547925e+001	 0.000000e+000	 0.000000e+000	 4.343101e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.416240e+000	-9.075423e-002	-9.120389e+000	-1.811935e-001	 2.013852e-001	-6.703979e-002	 1.808365e+002	 5.011001e+002	-8.733017e+000	 5.011001e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e+000	 0.000000e+000	 9.145609e-001	-0.000000e+000	 6.545196e+001	 1.000200e+003	 0.000000e+000	 4.214320e+003	 0.000000e+000	-3.180636e+002	 0.000000e+000	 3.517538e+000	-4.182011e-001	-8.752450e+000	-1.816243e-001	-2.350636e-001	 1.977210e-001	 1.812852e+002	 5.015516e+002	-8.460351e+000	 5.015516e+002	 6.547999e+001	 0.000000e+000	 0.000000e+000	 4.343002e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.522791e+000	-1.066920e-001	-9.120090e+000	-1.802080e-001	 2.074203e-001	-8.036963e-002	 1.808215e+002	 5.010850e+002	-8.757913e+000	 5.010850e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.500000e+000	 0.000000e+000	 1.006830e+000	-0.000000e+000	 6.544834e+001	 1.100200e+003	 0.000000e+000	 4.201368e+003	 0.000000e+000	-3.498636e+002	 0.000000e+000	 3.914386e+000	-4.559383e-001	-8.715430e+000	-1.807371e-001	-2.732137e-001	 2.121694e-001	 1.813175e+002	 5.015841e+002	-8.455616e+000	 5.015841e+002	 6.548074e+001	 0.000000e+000	 0.000000e+000	 4.342903e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.629321e+000	-1.226115e-001	-9.119790e+000	-1.792250e-001	 2.134539e-001	-9.369796e-002	 1.808065e+002	 5.010699e+002	-8.782817e+000	 5.010699e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
