Date 26-Apr-2021 18:02:54
Maneuver DemoCar_MBS_brake_front_steer_eq+50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 2.700000e+002	 4.995270e+000	-4.712389e+001	 6.636274e+001	 2.000000e-001	 0.000000e+000	 4.331565e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.741422e+001	 1.190906e+001	-9.647719e+000	 3.474629e+000	-4.566291e+000	-2.301476e+001	 1.800113e+002	 5.002697e+002	-2.437167e+000	 5.002697e+002	 6.692870e+001	 2.000000e-001	 0.000000e+000	 4.431074e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.716543e+001	 2.316090e+001	-9.502362e+000	-1.685765e+000	 5.399352e+000	 2.151537e+001	 1.793001e+002	 4.995539e+002	 1.783908e+000	 4.995539e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 2.700000e+002	 5.423349e+000	-4.712389e+001	 6.636956e+001	 1.002000e+002	 0.000000e+000	 4.325490e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.720993e+001	 1.188812e+001	-9.633474e+000	 3.481048e+000	-4.580910e+000	-2.300217e+001	 1.800167e+002	 5.002751e+002	-2.433043e+000	 5.002751e+002	 6.692060e+001	 1.002000e+002	 0.000000e+000	 4.422145e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.734380e+001	 2.317654e+001	-9.478570e+000	-1.691071e+000	 5.382150e+000	 2.151518e+001	 1.793112e+002	 4.995651e+002	 1.737823e+000	 4.995651e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 2.700000e+002	 5.854545e+000	-4.712389e+001	 6.637645e+001	 2.002000e+002	 0.000000e+000	 4.321494e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	-3.700836e+001	 1.186734e+001	-9.623364e+000	 3.488103e+000	-4.596138e+000	-2.299240e+001	 1.800275e+002	 5.002860e+002	-2.431112e+000	 5.002860e+002	 6.691180e+001	 2.002000e+002	 0.000000e+000	 4.416670e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	 2.752693e+001	 2.319515e+001	-9.462921e+000	-1.696558e+000	 5.365309e+000	 2.151733e+001	 1.793334e+002	 4.995875e+002	 1.685285e+000	 4.995875e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 2.700000e+002	 5.886694e+000	-4.712389e+001	 6.640514e+001	 3.002000e+002	 0.000000e+000	 4.288701e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	-3.653944e+001	 1.185270e+001	-9.540100e+000	 3.519541e+000	-4.655891e+000	-2.301166e+001	 1.799940e+002	 5.002523e+002	-2.343086e+000	 5.002523e+002	 6.688375e+001	 3.002000e+002	 0.000000e+000	 4.392764e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 2.801195e+001	 2.320537e+001	-9.397573e+000	-1.715031e+000	 5.305913e+000	 2.150664e+001	 1.794053e+002	 4.996598e+002	 1.569033e+000	 4.996598e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 2.700000e+002	 6.183951e+000	-4.712389e+001	 6.641721e+001	 4.002000e+002	 0.000000e+000	 4.274410e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	-3.624709e+001	 1.183371e+001	-9.504293e+000	 3.534607e+000	-4.685865e+000	-2.301071e+001	 1.799886e+002	 5.002468e+002	-2.311712e+000	 5.002468e+002	 6.686692e+001	 4.002000e+002	 0.000000e+000	 4.380077e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 2.829484e+001	 2.322037e+001	-9.362901e+000	-1.724786e+000	 5.274658e+000	 2.150367e+001	 1.794410e+002	 4.996958e+002	 1.496903e+000	 4.996958e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 2.700000e+002	 6.481261e+000	-4.712389e+001	 6.642912e+001	 5.002000e+002	 0.000000e+000	 4.260117e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	-3.595481e+001	 1.181460e+001	-9.468505e+000	 3.549683e+000	-4.715829e+000	-2.300976e+001	 1.799833e+002	 5.002415e+002	-2.280334e+000	 5.002415e+002	 6.684996e+001	 5.002000e+002	 0.000000e+000	 4.367389e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 2.857765e+001	 2.323546e+001	-9.328233e+000	-1.734524e+000	 5.243406e+000	 2.150069e+001	 1.794769e+002	 4.997319e+002	 1.424808e+000	 4.997319e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 2.700000e+002	 6.778625e+000	-4.712389e+001	 6.644087e+001	 6.002000e+002	 0.000000e+000	 4.245822e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	-3.566262e+001	 1.179537e+001	-9.432737e+000	 3.564771e+000	-4.745781e+000	-2.300881e+001	 1.799781e+002	 5.002363e+002	-2.248950e+000	 5.002363e+002	 6.683285e+001	 6.002000e+002	 0.000000e+000	 4.354700e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 2.886037e+001	 2.325065e+001	-9.293569e+000	-1.744244e+000	 5.212157e+000	 2.149769e+001	 1.795128e+002	 4.997680e+002	 1.352748e+000	 4.997680e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 2.700000e+002	 7.076045e+000	-4.712389e+001	 6.645244e+001	 7.002000e+002	 0.000000e+000	 4.231524e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	-3.537051e+001	 1.177603e+001	-9.396989e+000	 3.579868e+000	-4.775721e+000	-2.300785e+001	 1.799730e+002	 5.002311e+002	-2.217560e+000	 5.002311e+002	 6.681561e+001	 7.002000e+002	 0.000000e+000	 4.342010e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 2.914301e+001	 2.326593e+001	-9.258910e+000	-1.753947e+000	 5.180911e+000	 2.149469e+001	 1.795488e+002	 4.998043e+002	 1.280724e+000	 4.998043e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 2.700000e+002	 7.373519e+000	-4.712389e+001	 6.646385e+001	 8.002000e+002	 0.000000e+000	 4.217225e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	-3.507848e+001	 1.175658e+001	-9.361261e+000	 3.594977e+000	-4.805651e+000	-2.300690e+001	 1.799680e+002	 5.002261e+002	-2.186165e+000	 5.002261e+002	 6.679823e+001	 8.002000e+002	 0.000000e+000	 4.329320e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 2.942555e+001	 2.328130e+001	-9.224256e+000	-1.763632e+000	 5.149669e+000	 2.149167e+001	 1.795850e+002	 4.998406e+002	 1.208736e+000	 4.998406e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 2.700000e+002	 7.671051e+000	-4.712389e+001	 6.647508e+001	 9.002000e+002	 0.000000e+000	 4.202923e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	-3.478654e+001	 1.173701e+001	-9.325552e+000	 3.610095e+000	-4.835569e+000	-2.300595e+001	 1.799631e+002	 5.002211e+002	-2.154764e+000	 5.002211e+002	 6.678071e+001	 9.002000e+002	 0.000000e+000	 4.316629e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 2.970801e+001	 2.329676e+001	-9.189605e+000	-1.773299e+000	 5.118429e+000	 2.148864e+001	 1.796211e+002	 4.998770e+002	 1.136784e+000	 4.998770e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
