Date 26-Apr-2021 17:48:39
Maneuver DemoCar_MBS_lateral_front_eq+75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-6.856712e-004	-0.000000e+000	 1.443425e+002	 0.000000e+000	 2.000000e-001	 6.631925e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	 2.667107e+000	-4.167892e+000	 6.308783e+001	 2.892786e-001	-1.176652e+000	-5.276910e-002	 1.113550e+002	 4.309047e+002	 6.013294e+001	 4.309047e+002	 1.443425e+002	 0.000000e+000	 2.000000e-001	 6.631920e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	 2.667107e+000	 4.167893e+000	 6.308784e+001	 2.892788e-001	-1.176653e+000	-5.276914e-002	 1.113550e+002	 4.309047e+002	 6.013295e+001	 4.309047e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 5.000000e-001	 0.000000e+000	-5.461104e-002	-0.000000e+000	 1.443360e+002	 0.000000e+000	 1.002000e+002	 6.644227e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	 2.622620e+000	-4.072394e+000	 6.305301e+001	 2.766269e-001	-1.172763e+000	-5.872427e-002	 1.114222e+002	 4.309731e+002	 5.998748e+001	 4.309731e+002	 1.443489e+002	 0.000000e+000	 1.002000e+002	 6.619562e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	 2.711642e+000	 4.263443e+000	 6.312282e+001	 3.019414e-001	-1.180553e+000	-4.681282e-002	 1.112876e+002	 4.308362e+002	 6.027861e+001	 4.308362e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 1.000000e+000	 0.000000e+000	-1.083721e-001	-0.000000e+000	 1.443337e+002	 0.000000e+000	 2.002000e+002	 6.656945e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	 2.578142e+000	-3.976417e+000	 6.301699e+001	 2.639012e-001	-1.168860e+000	-6.468586e-002	 1.114913e+002	 4.310433e+002	 5.984028e+001	 4.310433e+002	 1.443504e+002	 0.000000e+000	 2.002000e+002	 6.607033e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	 2.756255e+000	 4.359446e+000	 6.315825e+001	 3.146750e-001	-1.184473e+000	-4.084730e-002	 1.112193e+002	 4.307668e+002	 6.042534e+001	 4.307668e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 1.500000e+000	 0.000000e+000	-1.621383e-001	-0.000000e+000	 1.443312e+002	 0.000000e+000	 3.002000e+002	 6.669672e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	 2.533664e+000	-3.880488e+000	 6.298092e+001	 2.511860e-001	-1.164963e+000	-7.065299e-002	 1.115604e+002	 4.311136e+002	 5.969311e+001	 4.311136e+002	 1.443518e+002	 0.000000e+000	 3.002000e+002	 6.594866e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	 2.801032e+000	 4.455333e+000	 6.319264e+001	 3.273857e-001	-1.188395e+000	-3.487060e-002	 1.111525e+002	 4.306988e+002	 6.057102e+001	 4.306988e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 2.000000e+000	 0.000000e+000	-2.159075e-001	-0.000000e+000	 1.443284e+002	 0.000000e+000	 4.002000e+002	 6.682396e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	 2.489211e+000	-3.784592e+000	 6.294485e+001	 2.384784e-001	-1.161072e+000	-7.661971e-002	 1.116294e+002	 4.311838e+002	 5.954598e+001	 4.311838e+002	 1.443530e+002	 0.000000e+000	 4.002000e+002	 6.582695e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	 2.845837e+000	 4.551250e+000	 6.322703e+001	 3.401035e-001	-1.192324e+000	-2.889328e-002	 1.110856e+002	 4.306308e+002	 6.071674e+001	 4.306308e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 2.500000e+000	 0.000000e+000	-2.696807e-001	-0.000000e+000	 1.443254e+002	 0.000000e+000	 5.002000e+002	 6.695114e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	 2.444783e+000	-3.688728e+000	 6.290878e+001	 2.257784e-001	-1.157188e+000	-8.258588e-002	 1.116985e+002	 4.312540e+002	 5.939890e+001	 4.312540e+002	 1.443540e+002	 0.000000e+000	 5.002000e+002	 6.570521e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	 2.890667e+000	 4.647198e+000	 6.326141e+001	 3.528285e-001	-1.196260e+000	-2.291547e-002	 1.110188e+002	 4.305629e+002	 6.086250e+001	 4.305629e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 3.000000e+000	 0.000000e+000	-3.234591e-001	-0.000000e+000	 1.443222e+002	 0.000000e+000	 6.002000e+002	 6.707828e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	 2.400381e+000	-3.592897e+000	 6.287272e+001	 2.130860e-001	-1.153310e+000	-8.855153e-002	 1.117676e+002	 4.313242e+002	 5.925188e+001	 4.313242e+002	 1.443548e+002	 0.000000e+000	 6.002000e+002	 6.558343e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	 2.935524e+000	 4.743176e+000	 6.329579e+001	 3.655606e-001	-1.200202e+000	-1.693715e-002	 1.109520e+002	 4.304949e+002	 6.100831e+001	 4.304949e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 3.500000e+000	 0.000000e+000	-3.772439e-001	-0.000000e+000	 1.443187e+002	 0.000000e+000	 7.002000e+002	 6.720537e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	 2.356004e+000	-3.497097e+000	 6.283664e+001	 2.004011e-001	-1.149438e+000	-9.451666e-002	 1.118366e+002	 4.313945e+002	 5.910491e+001	 4.313945e+002	 1.443553e+002	 0.000000e+000	 7.002000e+002	 6.546162e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	 2.980407e+000	 4.839184e+000	 6.333016e+001	 3.782998e-001	-1.204150e+000	-1.095833e-002	 1.108852e+002	 4.304270e+002	 6.115416e+001	 4.304270e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 4.000000e+000	 0.000000e+000	-4.310364e-001	-0.000000e+000	 1.443150e+002	 0.000000e+000	 8.002000e+002	 6.733241e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	 2.311654e+000	-3.401330e+000	 6.280057e+001	 1.877237e-001	-1.145573e+000	-1.004813e-001	 1.119057e+002	 4.314647e+002	 5.895799e+001	 4.314647e+002	 1.443555e+002	 0.000000e+000	 8.002000e+002	 6.533979e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	 3.025315e+000	 4.935223e+000	 6.336452e+001	 3.910462e-001	-1.208105e+000	-4.978982e-003	 1.108184e+002	 4.303590e+002	 6.130005e+001	 4.303590e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 4.500000e+000	 0.000000e+000	-4.848377e-001	-0.000000e+000	 1.443111e+002	 0.000000e+000	 9.002000e+002	 6.745939e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	 2.267329e+000	-3.305596e+000	 6.276450e+001	 1.750539e-001	-1.141714e+000	-1.064454e-001	 1.119748e+002	 4.315349e+002	 5.881113e+001	 4.315349e+002	 1.443556e+002	 0.000000e+000	 9.002000e+002	 6.521792e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	 3.070250e+000	 5.031291e+000	 6.339888e+001	 4.037998e-001	-1.212066e+000	 1.000890e-003	 1.107516e+002	 4.302911e+002	 6.144598e+001	 4.302911e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
