Date 26-Apr-2021 17:46:59
Maneuver DemoCar_MBS_lateral_front_eq-75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-1.404993e-006	-0.000000e+000	-1.329392e+001	 0.000000e+000	 2.000000e-001	 2.555759e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-4.821768e+000	-6.745705e+000	-8.277305e+001	 4.796113e-001	 1.200041e+000	 5.855080e-003	 2.489489e+002	 5.695226e+002	-7.678390e+001	 5.695226e+002	-1.329392e+001	 0.000000e+000	 2.000000e-001	 2.555761e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-4.821769e+000	 6.745706e+000	-8.277306e+001	 4.796114e-001	 1.200041e+000	 5.855090e-003	 2.489489e+002	 5.695226e+002	-7.678390e+001	 5.695226e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 5.000000e-001	 0.000000e+000	-2.783594e-001	-0.000000e+000	-1.328475e+001	 0.000000e+000	 1.002000e+002	 2.531381e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-4.852794e+000	-6.661894e+000	-8.270304e+001	 4.715126e-001	 1.200651e+000	-2.283406e-004	 2.489076e+002	 5.694811e+002	-7.677612e+001	 5.694811e+002	-1.330313e+001	 0.000000e+000	 1.002000e+002	 2.580143e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-4.790921e+000	 6.829523e+000	-8.284309e+001	 4.877100e-001	 1.199445e+000	 1.193631e-002	 2.489902e+002	 5.695640e+002	-7.679168e+001	 5.695640e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 1.000000e+000	 0.000000e+000	-5.566512e-001	-0.000000e+000	-1.328375e+001	 0.000000e+000	 2.002000e+002	 2.506757e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-4.883836e+000	-6.577828e+000	-8.263233e+001	 4.633948e-001	 1.201253e+000	-6.327594e-003	 2.488654e+002	 5.694387e+002	-7.676779e+001	 5.694387e+002	-1.330395e+001	 0.000000e+000	 2.002000e+002	 2.604771e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-4.759793e+000	 6.913644e+000	-8.291383e+001	 4.958274e-001	 1.198830e+000	 1.803626e-002	 2.490325e+002	 5.696064e+002	-7.680013e+001	 5.696064e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 1.500000e+000	 0.000000e+000	-8.349429e-001	-0.000000e+000	-1.328268e+001	 0.000000e+000	 3.002000e+002	 2.482133e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-4.914856e+000	-6.493779e+000	-8.256163e+001	 4.552770e-001	 1.201851e+000	-1.242726e-002	 2.488232e+002	 5.693964e+002	-7.675949e+001	 5.693964e+002	-1.330470e+001	 0.000000e+000	 3.002000e+002	 2.629396e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-4.728626e+000	 6.997784e+000	-8.298457e+001	 5.039447e-001	 1.198211e+000	 2.413712e-002	 2.490748e+002	 5.696489e+002	-7.680861e+001	 5.696489e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 2.000000e+000	 0.000000e+000	-1.113234e+000	-0.000000e+000	-1.328154e+001	 0.000000e+000	 4.002000e+002	 2.457509e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-4.945847e+000	-6.409748e+000	-8.249093e+001	 4.471591e-001	 1.202444e+000	-1.852665e-002	 2.487810e+002	 5.693541e+002	-7.675124e+001	 5.693541e+002	-1.330538e+001	 0.000000e+000	 4.002000e+002	 2.654021e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-4.697431e+000	 7.081942e+000	-8.305532e+001	 5.120618e-001	 1.197587e+000	 3.023819e-002	 2.491171e+002	 5.696913e+002	-7.681713e+001	 5.696913e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 2.500000e+000	 0.000000e+000	-1.391524e+000	-0.000000e+000	-1.328033e+001	 0.000000e+000	 5.002000e+002	 2.432885e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-4.976809e+000	-6.325736e+000	-8.242023e+001	 4.390411e-001	 1.203034e+000	-2.462578e-002	 2.487388e+002	 5.693118e+002	-7.674301e+001	 5.693118e+002	-1.330599e+001	 0.000000e+000	 5.002000e+002	 2.678646e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-4.666206e+000	 7.166117e+000	-8.312606e+001	 5.201788e-001	 1.196959e+000	 3.633948e-002	 2.491594e+002	 5.697337e+002	-7.682568e+001	 5.697337e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 3.000000e+000	 0.000000e+000	-1.669813e+000	-0.000000e+000	-1.327905e+001	 0.000000e+000	 6.002000e+002	 2.408260e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-5.007741e+000	-6.241741e+000	-8.234954e+001	 4.309229e-001	 1.203619e+000	-3.072465e-002	 2.486967e+002	 5.692695e+002	-7.673483e+001	 5.692695e+002	-1.330652e+001	 0.000000e+000	 6.002000e+002	 2.703269e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-4.634952e+000	 7.250311e+000	-8.319681e+001	 5.282955e-001	 1.196327e+000	 4.244101e-002	 2.492018e+002	 5.697762e+002	-7.683426e+001	 5.697762e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 3.500000e+000	 0.000000e+000	-1.948101e+000	-0.000000e+000	-1.327770e+001	 0.000000e+000	 7.002000e+002	 2.383635e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-5.038645e+000	-6.157764e+000	-8.227886e+001	 4.228045e-001	 1.204200e+000	-3.682326e-002	 2.486546e+002	 5.692273e+002	-7.672668e+001	 5.692273e+002	-1.330698e+001	 0.000000e+000	 7.002000e+002	 2.727891e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-4.603668e+000	 7.334522e+000	-8.326757e+001	 5.364122e-001	 1.195691e+000	 4.854275e-002	 2.492442e+002	 5.698187e+002	-7.684288e+001	 5.698187e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 4.000000e+000	 0.000000e+000	-2.226387e+000	-0.000000e+000	-1.327628e+001	 0.000000e+000	 8.002000e+002	 2.359010e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-5.069519e+000	-6.073806e+000	-8.220818e+001	 4.146861e-001	 1.204777e+000	-4.292161e-002	 2.486125e+002	 5.691850e+002	-7.671857e+001	 5.691850e+002	-1.330737e+001	 0.000000e+000	 8.002000e+002	 2.752512e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-4.572353e+000	 7.418751e+000	-8.333833e+001	 5.445286e-001	 1.195050e+000	 5.464472e-002	 2.492865e+002	 5.698613e+002	-7.685154e+001	 5.698613e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
 4.500000e+000	 0.000000e+000	-2.504672e+000	-0.000000e+000	-1.327479e+001	 0.000000e+000	 9.002000e+002	 2.334384e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-5.100364e+000	-5.989865e+000	-8.213751e+001	 4.065675e-001	 1.205349e+000	-4.901968e-002	 2.485704e+002	 5.691428e+002	-7.671049e+001	 5.691428e+002	-1.330769e+001	 0.000000e+000	 9.002000e+002	 2.777132e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-4.541009e+000	 7.502997e+000	-8.340909e+001	 5.526449e-001	 1.194404e+000	 6.074690e-002	 2.493289e+002	 5.699038e+002	-7.686023e+001	 5.699038e+002	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001	 7.536680e+000	 0.000000e+000	 0.000000e+000	 7.886621e+002	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.273332e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.273332e+001	 7.273332e+001	-7.273332e+001	 7.273332e+001
