Date 26-Apr-2021 18:05:05
Maneuver DemoCar_MBS_lateral_front_opp_opp+50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-2.146607e+000	-0.000000e+000	 6.546434e+001	 0.000000e+000	 2.000000e-001	 4.313863e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-6.251613e-001	 7.418160e-001	-9.038809e+000	-2.737140e-001	 1.652770e-001	 4.874024e-002	 1.811531e+002	 5.014187e+002	-9.373295e+000	 5.014187e+002	 6.545920e+001	 0.000000e+000	 2.500000e+003	 4.438290e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 3.721558e-001	 1.241585e+000	-9.390946e+000	-4.975071e-002	 1.121425e-001	 1.974888e-001	 1.808000e+002	 5.010633e+002	-7.653946e+000	 5.010633e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-2.234035e+000	-0.000000e+000	 6.546508e+001	 0.000000e+000	 1.002000e+002	 4.310079e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-6.587455e-001	 7.892315e-001	-9.028141e+000	-2.793006e-001	 1.666633e-001	 4.288761e-002	 1.811600e+002	 5.014256e+002	-9.407398e+000	 5.014256e+002	 6.545886e+001	 0.000000e+000	 2.500000e+003	 4.439464e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 3.798314e-001	 1.273459e+000	-9.394282e+000	-4.641651e-002	 1.113348e-001	 1.977274e-001	 1.807930e+002	 5.010563e+002	-7.619505e+000	 5.010563e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-2.321591e+000	-0.000000e+000	 6.546466e+001	 0.000000e+000	 2.002000e+002	 4.306278e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-6.913338e-001	 8.366111e-001	-9.017430e+000	-2.849031e-001	 1.679748e-001	 3.710772e-002	 1.811670e+002	 5.014327e+002	-9.441520e+000	 5.014327e+002	 6.545870e+001	 0.000000e+000	 2.500000e+003	 4.440660e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 3.864530e-001	 1.305257e+000	-9.397686e+000	-4.307006e-002	 1.106019e-001	 1.978784e-001	 1.807858e+002	 5.010491e+002	-7.585076e+000	 5.010491e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-2.409268e+000	-0.000000e+000	 6.546420e+001	 0.000000e+000	 3.002000e+002	 4.302479e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-7.239201e-001	 8.839876e-001	-9.006726e+000	-2.905049e-001	 1.692837e-001	 3.132513e-002	 1.811741e+002	 5.014398e+002	-9.475646e+000	 5.014398e+002	 6.545856e+001	 0.000000e+000	 2.500000e+003	 4.441852e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 3.930994e-001	 1.337059e+000	-9.401079e+000	-3.972379e-002	 1.098673e-001	 1.980316e-001	 1.807787e+002	 5.010419e+002	-7.550646e+000	 5.010419e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-2.497066e+000	-0.000000e+000	 6.546371e+001	 0.000000e+000	 4.002000e+002	 4.298678e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-7.564676e-001	 9.313556e-001	-8.996018e+000	-2.961060e-001	 1.705876e-001	 2.554308e-002	 1.811811e+002	 5.014469e+002	-9.509764e+000	 5.014469e+002	 6.545841e+001	 0.000000e+000	 2.500000e+003	 4.443044e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 3.997331e-001	 1.368857e+000	-9.404474e+000	-3.637758e-002	 1.091335e-001	 1.981836e-001	 1.807715e+002	 5.010347e+002	-7.516225e+000	 5.010347e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-2.584986e+000	-0.000000e+000	 6.546319e+001	 0.000000e+000	 5.002000e+002	 4.294875e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-7.889777e-001	 9.787153e-001	-8.985309e+000	-3.017065e-001	 1.718865e-001	 1.976146e-002	 1.811882e+002	 5.014540e+002	-9.543875e+000	 5.014540e+002	 6.545827e+001	 0.000000e+000	 2.500000e+003	 4.444236e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 4.063554e-001	 1.400652e+000	-9.407868e+000	-3.303144e-002	 1.084006e-001	 1.983347e-001	 1.807643e+002	 5.010275e+002	-7.481814e+000	 5.010275e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-2.673027e+000	-0.000000e+000	 6.546263e+001	 0.000000e+000	 6.002000e+002	 4.291070e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-8.214504e-001	 1.026067e+000	-8.974597e+000	-3.073065e-001	 1.731805e-001	 1.398026e-002	 1.811953e+002	 5.014611e+002	-9.577979e+000	 5.014611e+002	 6.545812e+001	 0.000000e+000	 2.500000e+003	 4.445428e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 4.129664e-001	 1.432445e+000	-9.411262e+000	-2.968535e-002	 1.076684e-001	 1.984848e-001	 1.807572e+002	 5.010203e+002	-7.447412e+000	 5.010203e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-2.761189e+000	-0.000000e+000	 6.546204e+001	 0.000000e+000	 7.002000e+002	 4.287263e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-8.538858e-001	 1.073410e+000	-8.963883e+000	-3.129057e-001	 1.744694e-001	 8.199498e-003	 1.812023e+002	 5.014682e+002	-9.612077e+000	 5.014682e+002	 6.545798e+001	 0.000000e+000	 2.500000e+003	 4.446619e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 4.195660e-001	 1.464235e+000	-9.414657e+000	-2.633932e-002	 1.069371e-001	 1.986339e-001	 1.807500e+002	 5.010131e+002	-7.413020e+000	 5.010131e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-2.849472e+000	-0.000000e+000	 6.546142e+001	 0.000000e+000	 8.002000e+002	 4.283455e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-8.862838e-001	 1.120744e+000	-8.953165e+000	-3.185044e-001	 1.757534e-001	 2.419168e-003	 1.812094e+002	 5.014753e+002	-9.646168e+000	 5.014753e+002	 6.545783e+001	 0.000000e+000	 2.500000e+003	 4.447810e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 4.261542e-001	 1.496022e+000	-9.418053e+000	-2.299336e-002	 1.062065e-001	 1.987821e-001	 1.807429e+002	 5.010059e+002	-7.378638e+000	 5.010059e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-2.937877e+000	-0.000000e+000	 6.546077e+001	 0.000000e+000	 9.002000e+002	 4.279644e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-9.186446e-001	 1.168071e+000	-8.942446e+000	-3.241025e-001	 1.770325e-001	-3.360726e-003	 1.812165e+002	 5.014824e+002	-9.680252e+000	 5.014824e+002	 6.545769e+001	 0.000000e+000	 2.500000e+003	 4.449000e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 4.327311e-001	 1.527806e+000	-9.421447e+000	-1.964745e-002	 1.054768e-001	 1.989292e-001	 1.807357e+002	 5.009987e+002	-7.344265e+000	 5.009987e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e+000	 0.000000e+000	-3.026404e+000	-0.000000e+000	 6.546008e+001	 0.000000e+000	 1.000200e+003	 4.275832e+003	 3.180636e+002	-0.000000e+000	 0.000000e+000	-9.509681e-001	 1.215389e+000	-8.931723e+000	-3.296999e-001	 1.783066e-001	-9.140181e-003	 1.812235e+002	 5.014896e+002	-9.714328e+000	 5.014896e+002	 6.545754e+001	 0.000000e+000	 2.500000e+003	 4.450191e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 4.392967e-001	 1.559587e+000	-9.424843e+000	-1.630160e-002	 1.047478e-001	 1.990754e-001	 1.807286e+002	 5.009915e+002	-7.309901e+000	 5.009915e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.500000e+000	 0.000000e+000	-3.115052e+000	-0.000000e+000	 6.545937e+001	 0.000000e+000	 1.100200e+003	 4.272017e+003	 3.498636e+002	-0.000000e+000	 0.000000e+000	-9.832544e-001	 1.262699e+000	-8.920998e+000	-3.352968e-001	 1.795757e-001	-1.491920e-002	 1.812306e+002	 5.014967e+002	-9.748397e+000	 5.014967e+002	 6.545740e+001	 0.000000e+000	 2.500000e+003	 4.451381e+003	 7.950000e+002	-0.000000e+000	 0.000000e+000	 4.458509e-001	 1.591365e+000	-9.428239e+000	-1.295581e-002	 1.040197e-001	 1.992206e-001	 1.807214e+002	 5.009843e+002	-7.275547e+000	 5.009843e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
