Date 26-Apr-2021 18:04:02
Maneuver DemoCar_MBS_lateral_front_opp_opp-50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 2.221845e+000	-0.000000e+000	 6.548116e+001	 0.000000e+000	 2.000000e-001	 4.373724e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-2.953642e-001	-8.469699e-001	-9.206885e+000	-1.066574e-001	 1.292728e-001	 5.655127e-002	 1.807908e+002	 5.010542e+002	-7.650844e+000	 5.010542e+002	 6.546487e+001	 0.000000e+000	-2.500000e+003	 4.248565e+003	-7.950000e+002	-0.000000e+000	 0.000000e+000	-1.262079e+000	-1.129374e+000	-8.853833e+000	-3.301933e-001	 1.787965e-001	-9.130956e-002	 1.811472e+002	 5.014127e+002	-9.360634e+000	 5.014127e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 2.134444e+000	-0.000000e+000	 6.548299e+001	 0.000000e+000	 1.002000e+002	 4.369846e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-3.269829e-001	-7.997963e-001	-9.195861e+000	-1.122595e-001	 1.305385e-001	 5.087260e-002	 1.807975e+002	 5.010608e+002	-7.684616e+000	 5.010608e+002	 6.546511e+001	 0.000000e+000	-2.500000e+003	 4.249852e+003	-7.950000e+002	-0.000000e+000	 0.000000e+000	-1.256538e+000	-1.097849e+000	-8.857410e+000	-3.268651e-001	 1.781656e-001	-9.122898e-002	 1.811401e+002	 5.014056e+002	-9.326548e+000	 5.014056e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 2.046890e+000	-0.000000e+000	 6.548351e+001	 0.000000e+000	 2.002000e+002	 4.366062e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-3.597343e-001	-7.523521e-001	-9.185109e+000	-1.178726e-001	 1.318840e-001	 4.509430e-002	 1.808044e+002	 5.010678e+002	-7.718769e+000	 5.010678e+002	 6.546591e+001	 0.000000e+000	-2.500000e+003	 4.251054e+003	-7.950000e+002	-0.000000e+000	 0.000000e+000	-1.249914e+000	-1.066092e+000	-8.860745e+000	-3.235297e-001	 1.774547e-001	-9.106312e-002	 1.811328e+002	 5.013982e+002	-9.292121e+000	 5.013982e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 1.959219e+000	-0.000000e+000	 6.548399e+001	 0.000000e+000	 3.002000e+002	 4.362275e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-3.923980e-001	-7.049234e-001	-9.174353e+000	-1.234852e-001	 1.332208e-001	 3.932026e-002	 1.808113e+002	 5.010747e+002	-7.752912e+000	 5.010747e+002	 6.546672e+001	 0.000000e+000	-2.500000e+003	 4.252258e+003	-7.950000e+002	-0.000000e+000	 0.000000e+000	-1.243350e+000	-1.034344e+000	-8.864083e+000	-3.201942e-001	 1.767481e-001	-9.090207e-002	 1.811255e+002	 5.013909e+002	-9.257707e+000	 5.013909e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 1.871427e+000	-0.000000e+000	 6.548444e+001	 0.000000e+000	 4.002000e+002	 4.358487e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-4.250263e-001	-6.575027e-001	-9.163595e+000	-1.290971e-001	 1.345527e-001	 3.354651e-002	 1.808182e+002	 5.010816e+002	-7.787050e+000	 5.010816e+002	 6.546752e+001	 0.000000e+000	-2.500000e+003	 4.253460e+003	-7.950000e+002	-0.000000e+000	 0.000000e+000	-1.236795e+000	-1.002599e+000	-8.867422e+000	-3.168588e-001	 1.760421e-001	-9.074186e-002	 1.811182e+002	 5.013835e+002	-9.223302e+000	 5.013835e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 1.783517e+000	-0.000000e+000	 6.548486e+001	 0.000000e+000	 5.002000e+002	 4.354697e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-4.576173e-001	-6.100906e-001	-9.152836e+000	-1.347084e-001	 1.358797e-001	 2.777321e-002	 1.808251e+002	 5.010886e+002	-7.821182e+000	 5.010886e+002	 6.546832e+001	 0.000000e+000	-2.500000e+003	 4.254664e+003	-7.950000e+002	-0.000000e+000	 0.000000e+000	-1.230252e+000	-9.708566e-001	-8.870760e+000	-3.135235e-001	 1.753369e-001	-9.058263e-002	 1.811108e+002	 5.013762e+002	-9.188906e+000	 5.013762e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 1.695487e+000	-0.000000e+000	 6.548524e+001	 0.000000e+000	 6.002000e+002	 4.350906e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-4.901711e-001	-5.626868e-001	-9.142077e+000	-1.403191e-001	 1.372018e-001	 2.200037e-002	 1.808320e+002	 5.010955e+002	-7.855309e+000	 5.010955e+002	 6.546913e+001	 0.000000e+000	-2.500000e+003	 4.255866e+003	-7.950000e+002	-0.000000e+000	 0.000000e+000	-1.223720e+000	-9.391170e-001	-8.874099e+000	-3.101882e-001	 1.746325e-001	-9.042439e-002	 1.811035e+002	 5.013688e+002	-9.154520e+000	 5.013688e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 1.607338e+000	-0.000000e+000	 6.548558e+001	 0.000000e+000	 7.002000e+002	 4.347114e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-5.226877e-001	-5.152915e-001	-9.131316e+000	-1.459292e-001	 1.385190e-001	 1.622797e-002	 1.808389e+002	 5.011025e+002	-7.889430e+000	 5.011025e+002	 6.546993e+001	 0.000000e+000	-2.500000e+003	 4.257068e+003	-7.950000e+002	-0.000000e+000	 0.000000e+000	-1.217199e+000	-9.073803e-001	-8.877438e+000	-3.068530e-001	 1.739288e-001	-9.026714e-002	 1.810962e+002	 5.013614e+002	-9.120144e+000	 5.013614e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 1.519069e+000	-0.000000e+000	 6.548589e+001	 0.000000e+000	 8.002000e+002	 4.343320e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-5.551671e-001	-4.679045e-001	-9.120555e+000	-1.515387e-001	 1.398312e-001	 1.045603e-002	 1.808458e+002	 5.011095e+002	-7.923545e+000	 5.011095e+002	 6.547073e+001	 0.000000e+000	-2.500000e+003	 4.258270e+003	-7.950000e+002	-0.000000e+000	 0.000000e+000	-1.210689e+000	-8.756463e-001	-8.880777e+000	-3.035179e-001	 1.732259e-001	-9.011087e-002	 1.810889e+002	 5.013541e+002	-9.085777e+000	 5.013541e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 1.430681e+000	-0.000000e+000	 6.548617e+001	 0.000000e+000	 9.002000e+002	 4.339525e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-5.876093e-001	-4.205259e-001	-9.109791e+000	-1.571475e-001	 1.411385e-001	 4.684538e-003	 1.808528e+002	 5.011165e+002	-7.957655e+000	 5.011165e+002	 6.547153e+001	 0.000000e+000	-2.500000e+003	 4.259472e+003	-7.950000e+002	-0.000000e+000	 0.000000e+000	-1.204190e+000	-8.439152e-001	-8.884117e+000	-3.001828e-001	 1.725238e-001	-8.995559e-002	 1.810816e+002	 5.013467e+002	-9.051420e+000	 5.013467e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
