Date 26-Apr-2021 17:56:37
Maneuver DemoCar_MBS_lateral_front_steer_eq+50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 2.700000e+002	 4.995270e+000	-4.712389e+001	 6.636274e+001	 0.000000e+000	 2.000000e-001	 4.331565e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-3.741422e+001	 1.190906e+001	-9.647719e+000	 3.474629e+000	-4.566291e+000	-2.301476e+001	 1.800113e+002	 5.002697e+002	-2.437167e+000	 5.002697e+002	 6.692870e+001	 0.000000e+000	 2.000000e-001	 4.431074e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	 2.716543e+001	 2.316090e+001	-9.502362e+000	-1.685765e+000	 5.399352e+000	 2.151537e+001	 1.793001e+002	 4.995539e+002	 1.783908e+000	 4.995539e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 2.700000e+002	 4.940439e+000	-4.712389e+001	 6.636403e+001	 0.000000e+000	 1.002000e+002	 4.324220e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-3.744664e+001	 1.198091e+001	-9.624563e+000	 3.464689e+000	-4.566944e+000	-2.301557e+001	 1.800182e+002	 5.002766e+002	-2.502442e+000	 5.002766e+002	 6.692371e+001	 0.000000e+000	 1.002000e+002	 4.433532e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	 2.719882e+001	 2.324250e+001	-9.509041e+000	-1.677966e+000	 5.393909e+000	 2.151921e+001	 1.792805e+002	 4.995342e+002	 1.850201e+000	 4.995342e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 2.700000e+002	 4.888647e+000	-4.712389e+001	 6.636462e+001	 0.000000e+000	 2.002000e+002	 4.318936e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-3.748357e+001	 1.205319e+001	-9.605451e+000	 3.455243e+000	-4.567999e+000	-2.301912e+001	 1.800302e+002	 5.002887e+002	-2.570103e+000	 5.002887e+002	 6.692168e+001	 0.000000e+000	 2.002000e+002	 4.439216e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	 2.723570e+001	 2.332727e+001	-9.523199e+000	-1.670276e+000	 5.388977e+000	 2.152546e+001	 1.792707e+002	 4.995244e+002	 1.911399e+000	 4.995244e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 2.700000e+002	 4.839859e+000	-4.712389e+001	 6.636642e+001	 0.000000e+000	 3.002000e+002	 4.314593e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-3.752464e+001	 1.212604e+001	-9.590185e+000	 3.446270e+000	-4.569470e+000	-2.302525e+001	 1.800471e+002	 5.003057e+002	-2.640154e+000	 5.003057e+002	 6.692104e+001	 0.000000e+000	 3.002000e+002	 4.447271e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	 2.727574e+001	 2.341516e+001	-9.545026e+000	-1.662696e+000	 5.384420e+000	 2.153376e+001	 1.792711e+002	 4.995248e+002	 1.967411e+000	 4.995248e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 2.700000e+002	 4.788104e+000	-4.712389e+001	 6.636691e+001	 0.000000e+000	 4.002000e+002	 4.308961e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-3.756149e+001	 1.219841e+001	-9.571093e+000	 3.436809e+000	-4.570530e+000	-2.302875e+001	 1.800592e+002	 5.003179e+002	-2.707973e+000	 5.003179e+002	 6.691897e+001	 0.000000e+000	 4.002000e+002	 4.452647e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	 2.731265e+001	 2.350001e+001	-9.559195e+000	-1.655003e+000	 5.379419e+000	 2.153989e+001	 1.792614e+002	 4.995150e+002	 2.028650e+000	 4.995150e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 2.700000e+002	 4.736369e+000	-4.712389e+001	 6.636734e+001	 0.000000e+000	 5.002000e+002	 4.303328e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-3.759832e+001	 1.227079e+001	-9.552007e+000	 3.427352e+000	-4.571593e+000	-2.303226e+001	 1.800713e+002	 5.003300e+002	-2.775788e+000	 5.003300e+002	 6.691682e+001	 0.000000e+000	 5.002000e+002	 4.458023e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	 2.734959e+001	 2.358487e+001	-9.573367e+000	-1.647312e+000	 5.374413e+000	 2.154602e+001	 1.792518e+002	 4.995053e+002	 2.089872e+000	 4.995053e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 2.700000e+002	 4.684654e+000	-4.712389e+001	 6.636769e+001	 0.000000e+000	 6.002000e+002	 4.297694e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-3.763512e+001	 1.234315e+001	-9.532926e+000	 3.417898e+000	-4.572660e+000	-2.303577e+001	 1.800834e+002	 5.003422e+002	-2.843597e+000	 5.003422e+002	 6.691461e+001	 0.000000e+000	 6.002000e+002	 4.463398e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	 2.738657e+001	 2.366973e+001	-9.587544e+000	-1.639623e+000	 5.369402e+000	 2.155215e+001	 1.792421e+002	 4.994956e+002	 2.151076e+000	 4.994956e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 2.700000e+002	 4.632959e+000	-4.712389e+001	 6.636798e+001	 0.000000e+000	 7.002000e+002	 4.292059e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-3.767191e+001	 1.241551e+001	-9.513850e+000	 3.408447e+000	-4.573731e+000	-2.303928e+001	 1.800955e+002	 5.003544e+002	-2.911402e+000	 5.003544e+002	 6.691233e+001	 0.000000e+000	 7.002000e+002	 4.468772e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	 2.742359e+001	 2.375459e+001	-9.601723e+000	-1.631935e+000	 5.364384e+000	 2.155828e+001	 1.792325e+002	 4.994859e+002	 2.212262e+000	 4.994859e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 2.700000e+002	 4.581284e+000	-4.712389e+001	 6.636819e+001	 0.000000e+000	 8.002000e+002	 4.286421e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-3.770867e+001	 1.248786e+001	-9.494780e+000	 3.398999e+000	-4.574805e+000	-2.304280e+001	 1.801076e+002	 5.003666e+002	-2.979200e+000	 5.003666e+002	 6.690997e+001	 0.000000e+000	 8.002000e+002	 4.474146e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	 2.746064e+001	 2.383947e+001	-9.615908e+000	-1.624249e+000	 5.359362e+000	 2.156441e+001	 1.792229e+002	 4.994762e+002	 2.273430e+000	 4.994762e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 2.700000e+002	 4.529628e+000	-4.712389e+001	 6.636834e+001	 0.000000e+000	 9.002000e+002	 4.280783e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-3.774540e+001	 1.256020e+001	-9.475714e+000	 3.389555e+000	-4.575884e+000	-2.304632e+001	 1.801198e+002	 5.003788e+002	-3.046994e+000	 5.003788e+002	 6.690755e+001	 0.000000e+000	 9.002000e+002	 4.479520e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	 2.749772e+001	 2.392435e+001	-9.630097e+000	-1.616564e+000	 5.354334e+000	 2.157054e+001	 1.792133e+002	 4.994666e+002	 2.334581e+000	 4.994666e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
