Date 26-Apr-2021 17:55:17
Maneuver DemoCar_MBS_lateral_front_steer_eq-75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	-4.050000e+002	-7.995096e+000	 7.068583e+001	 6.879590e+001	 0.000000e+000	 2.000000e-001	 4.472548e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	 3.753946e+001	-3.859026e+001	-9.618603e+000	-1.671622e+000	 8.243845e+000	 3.262921e+001	 1.771375e+002	 4.973773e+002	 1.299270e+001	 4.973773e+002	 6.747025e+001	 0.000000e+000	 2.000000e-001	 4.390329e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-6.222885e+001	-1.136123e+001	-1.136626e+001	 6.742304e+000	-6.738199e+000	-3.780250e+001	 1.787458e+002	 4.989961e+002	 9.858863e+000	 4.989961e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	-4.050000e+002	-7.643333e+000	 7.068583e+001	 6.879901e+001	 0.000000e+000	 1.002000e+002	 4.457995e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	 3.750309e+001	-3.849884e+001	-9.579912e+000	-1.678257e+000	 8.249402e+000	 3.261984e+001	 1.771129e+002	 4.973526e+002	 1.295580e+001	 4.973526e+002	 6.746176e+001	 0.000000e+000	 1.002000e+002	 4.393363e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-6.219071e+001	-1.129295e+001	-1.138464e+001	 6.751904e+000	-6.735547e+000	-3.780128e+001	 1.787296e+002	 4.989798e+002	 9.929074e+000	 4.989798e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	-4.050000e+002	-7.306424e+000	 7.068583e+001	 6.880270e+001	 0.000000e+000	 2.002000e+002	 4.452814e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	 3.747148e+001	-3.841269e+001	-9.564337e+000	-1.685033e+000	 8.255800e+000	 3.261459e+001	 1.771188e+002	 4.973585e+002	 1.290240e+001	 4.973585e+002	 6.745953e+001	 0.000000e+000	 2.002000e+002	 4.402145e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-6.216066e+001	-1.122228e+001	-1.141281e+001	 6.763090e+000	-6.733577e+000	-3.780638e+001	 1.787249e+002	 4.989751e+002	 9.997333e+000	 4.989751e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	-4.050000e+002	-6.984611e+000	 7.068583e+001	 6.880949e+001	 0.000000e+000	 3.002000e+002	 4.455057e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	 3.744502e+001	-3.833231e+001	-9.571833e+000	-1.691969e+000	 8.262677e+000	 3.261293e+001	 1.771554e+002	 4.973954e+002	 1.283291e+001	 4.973954e+002	 6.746159e+001	 0.000000e+000	 3.002000e+002	 4.412762e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-6.213919e+001	-1.115005e+001	-1.145077e+001	 6.775561e+000	-6.732220e+000	-3.781737e+001	 1.787324e+002	 4.989826e+002	 1.006173e+001	 4.989826e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	-4.050000e+002	-6.648245e+000	 7.068583e+001	 6.881327e+001	 0.000000e+000	 4.002000e+002	 4.449241e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	 3.741344e+001	-3.824627e+001	-9.556292e+000	-1.698756e+000	 8.268975e+000	 3.260753e+001	 1.771614e+002	 4.974014e+002	 1.277960e+001	 4.974014e+002	 6.745935e+001	 0.000000e+000	 4.002000e+002	 4.420240e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-6.210909e+001	-1.107953e+001	-1.147903e+001	 6.786746e+000	-6.730287e+000	-3.782253e+001	 1.787279e+002	 4.989781e+002	 1.012968e+001	 4.989781e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	-4.050000e+002	-6.312127e+000	 7.068583e+001	 6.881698e+001	 0.000000e+000	 5.002000e+002	 4.443424e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	 3.738191e+001	-3.816023e+001	-9.540755e+000	-1.705545e+000	 8.275270e+000	 3.260213e+001	 1.771675e+002	 4.974076e+002	 1.272627e+001	 4.974076e+002	 6.745705e+001	 0.000000e+000	 5.002000e+002	 4.427721e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-6.207899e+001	-1.100900e+001	-1.150731e+001	 6.797943e+000	-6.728359e+000	-3.782773e+001	 1.787235e+002	 4.989736e+002	 1.019765e+001	 4.989736e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	-4.050000e+002	-5.976261e+000	 7.068583e+001	 6.882063e+001	 0.000000e+000	 6.002000e+002	 4.437608e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	 3.735042e+001	-3.807420e+001	-9.525225e+000	-1.712336e+000	 8.281559e+000	 3.259673e+001	 1.771736e+002	 4.974137e+002	 1.267293e+001	 4.974137e+002	 6.745469e+001	 0.000000e+000	 6.002000e+002	 4.435205e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-6.204887e+001	-1.093846e+001	-1.153562e+001	 6.809150e+000	-6.726436e+000	-3.783296e+001	 1.787191e+002	 4.989692e+002	 1.026564e+001	 4.989692e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	-4.050000e+002	-5.640647e+000	 7.068583e+001	 6.882422e+001	 0.000000e+000	 7.002000e+002	 4.431792e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	 3.731896e+001	-3.798819e+001	-9.509699e+000	-1.719131e+000	 8.287845e+000	 3.259133e+001	 1.771797e+002	 4.974199e+002	 1.261958e+001	 4.974199e+002	 6.745227e+001	 0.000000e+000	 7.002000e+002	 4.442693e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-6.201876e+001	-1.086791e+001	-1.156395e+001	 6.820369e+000	-6.724517e+000	-3.783822e+001	 1.787147e+002	 4.989648e+002	 1.033365e+001	 4.989648e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	-4.050000e+002	-5.305287e+000	 7.068583e+001	 6.882775e+001	 0.000000e+000	 8.002000e+002	 4.425977e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	 3.728755e+001	-3.790218e+001	-9.494179e+000	-1.725928e+000	 8.294126e+000	 3.258594e+001	 1.771859e+002	 4.974260e+002	 1.256621e+001	 4.974260e+002	 6.744979e+001	 0.000000e+000	 8.002000e+002	 4.450184e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-6.198865e+001	-1.079734e+001	-1.159232e+001	 6.831600e+000	-6.722604e+000	-3.784352e+001	 1.787104e+002	 4.989604e+002	 1.040167e+001	 4.989604e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	-4.050000e+002	-4.970183e+000	 7.068583e+001	 6.883122e+001	 0.000000e+000	 9.002000e+002	 4.420161e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	 3.725618e+001	-3.781619e+001	-9.478663e+000	-1.732727e+000	 8.300402e+000	 3.258056e+001	 1.771920e+002	 4.974323e+002	 1.251283e+001	 4.974323e+002	 6.744725e+001	 0.000000e+000	 9.002000e+002	 4.457679e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-6.195853e+001	-1.072676e+001	-1.162071e+001	 6.842842e+000	-6.720695e+000	-3.784884e+001	 1.787060e+002	 4.989561e+002	 1.046972e+001	 4.989561e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
