Date 26-Apr-2021 17:39:10
Maneuver DemoCar_MBS_roll_eq+25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 3.241255e-004	-0.000000e+000	 1.143203e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.603803e+000	-1.418700e+000	 3.613359e+001	-4.948459e-002	-6.311475e-001	 1.088759e-002	 1.376125e+002	 4.575182e+002	 3.407841e+001	 4.575182e+002	 1.143204e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.603806e+000	 1.418703e+000	 3.613365e+001	-4.948423e-002	-6.311487e-001	 1.088742e-002	 1.376125e+002	 4.575181e+002	 3.407847e+001	 4.575181e+002	 1.105187e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.024453e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-3.024453e+001	-3.024453e+001	 3.024453e+001	-3.024453e+001	 1.105189e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.024476e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.024476e+001	-3.024476e+001	 3.024476e+001	-3.024476e+001
 5.000000e-001	 0.000000e+000	-1.097055e-002	-0.000000e+000	 1.134065e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.560876e+000	-1.379099e+000	 3.534979e+001	-5.349156e-002	-6.151687e-001	 1.283649e-002	 1.383567e+002	 4.582704e+002	 3.338483e+001	 4.582704e+002	 1.152582e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.647267e+000	 1.461260e+000	 3.694128e+001	-4.510266e-002	-6.475881e-001	 8.883932e-003	 1.368440e+002	 4.567412e+002	 3.479538e+001	 4.567412e+002	 1.115727e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.130184e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-3.130184e+001	-3.130184e+001	 3.130184e+001	-3.130184e+001	 1.115730e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.130208e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.130208e+001	-3.130208e+001	 3.130208e+001	-3.130208e+001
 1.000000e+000	 0.000000e+000	-2.475514e-002	-0.000000e+000	 1.123316e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.515176e+000	-1.332096e+000	 3.441859e+001	-5.850296e-002	-5.967581e-001	 1.544215e-002	 1.392500e+002	 4.591733e+002	 3.255722e+001	 4.591733e+002	 1.163260e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.692070e+000	 1.512099e+000	 3.786536e+001	-3.958752e-002	-6.660352e-001	 6.236352e-003	 1.359561e+002	 4.558434e+002	 3.561791e+001	 4.558434e+002	 1.117956e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.152540e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-3.152540e+001	-3.152540e+001	 3.152540e+001	-3.152540e+001	 1.117958e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.152563e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.152563e+001	-3.152563e+001	 3.152563e+001	-3.152563e+001
 1.500000e+000	 0.000000e+000	-3.850845e-002	-0.000000e+000	 1.112527e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.469115e+000	-1.286443e+000	 3.348328e+001	-6.333826e-002	-5.783367e-001	 1.803637e-002	 1.401469e+002	 4.600797e+002	 3.172636e+001	 4.600797e+002	 1.173898e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.736486e+000	 1.564196e+000	 3.878536e+001	-3.390287e-002	-6.844693e-001	 3.572095e-003	 1.350717e+002	 4.549491e+002	 3.643717e+001	 4.549491e+002	 1.118427e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.157267e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-3.157267e+001	-3.157267e+001	 3.157267e+001	-3.157267e+001	 1.118429e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.157290e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.157290e+001	-3.157290e+001	 3.157290e+001	-3.157290e+001
 2.000000e+000	 0.000000e+000	-5.223950e-002	-0.000000e+000	 1.101705e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.422702e+000	-1.242214e+000	 3.254471e+001	-6.798874e-002	-5.599181e-001	 2.061565e-002	 1.410463e+002	 4.609886e+002	 3.089305e+001	 4.609886e+002	 1.184501e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.780548e+000	 1.617582e+000	 3.970188e+001	-2.804446e-002	-7.029011e-001	 8.922217e-004	 1.341902e+002	 4.540575e+002	 3.725371e+001	 4.540575e+002	 1.118527e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158267e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-3.158267e+001	-3.158267e+001	 3.158267e+001	-3.158267e+001	 1.118529e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158290e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.158290e+001	-3.158290e+001	 3.158290e+001	-3.158290e+001
 2.500000e+000	 0.000000e+000	-6.595889e-002	-0.000000e+000	 1.090850e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.375934e+000	-1.199428e+000	 3.160290e+001	-7.245315e-002	-5.415031e-001	 2.317969e-002	 1.419484e+002	 4.619000e+002	 3.005732e+001	 4.619000e+002	 1.195070e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.824260e+000	 1.672238e+000	 4.061489e+001	-2.201363e-002	-7.213302e-001	-1.802943e-003	 1.333116e+002	 4.531687e+002	 3.806753e+001	 4.531687e+002	 1.118548e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158478e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-3.158478e+001	-3.158478e+001	 3.158478e+001	-3.158478e+001	 1.118550e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158501e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.158501e+001	-3.158501e+001	 3.158501e+001	-3.158501e+001
 3.000000e+000	 0.000000e+000	-7.967656e-002	-0.000000e+000	 1.079963e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.328810e+000	-1.158104e+000	 3.065786e+001	-7.673042e-002	-5.230918e-001	 2.572828e-002	 1.428531e+002	 4.628139e+002	 2.921915e+001	 4.628139e+002	 1.205604e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.867621e+000	 1.728144e+000	 4.152438e+001	-1.581188e-002	-7.397561e-001	-4.513066e-003	 1.324359e+002	 4.522828e+002	 3.887860e+001	 4.522828e+002	 1.118552e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158523e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-3.158523e+001	-3.158523e+001	 3.158523e+001	-3.158523e+001	 1.118555e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158546e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.158546e+001	-3.158546e+001	 3.158546e+001	-3.158546e+001
 3.500000e+000	 0.000000e+000	-9.340182e-002	-0.000000e+000	 1.069044e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.281327e+000	-1.118259e+000	 2.970959e+001	-8.081946e-002	-5.046845e-001	 2.826118e-002	 1.437604e+002	 4.637303e+002	 2.837855e+001	 4.637303e+002	 1.216104e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.910636e+000	 1.785280e+000	 4.243033e+001	-9.440756e-003	-7.581781e-001	-7.237808e-003	 1.315632e+002	 4.513997e+002	 3.968693e+001	 4.513997e+002	 1.118553e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158532e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-3.158532e+001	-3.158532e+001	 3.158532e+001	-3.158532e+001	 1.118556e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158555e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.158555e+001	-3.158555e+001	 3.158555e+001	-3.158555e+001
 4.000000e+000	 0.000000e+000	-1.071433e-001	-0.000000e+000	 1.058093e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.233485e+000	-1.079911e+000	 2.875810e+001	-8.471923e-002	-4.862815e-001	 3.077817e-002	 1.446703e+002	 4.646492e+002	 2.753553e+001	 4.646492e+002	 1.226568e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.953304e+000	 1.843627e+000	 4.333273e+001	-2.901796e-003	-7.765955e-001	-9.976828e-003	 1.306935e+002	 4.505195e+002	 4.049249e+001	 4.505195e+002	 1.118553e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158534e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-3.158534e+001	-3.158534e+001	 3.158534e+001	-3.158534e+001	 1.118556e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158557e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.158557e+001	-3.158557e+001	 3.158557e+001	-3.158557e+001
 4.500000e+000	 0.000000e+000	-1.209091e-001	-0.000000e+000	 1.047109e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.185281e+000	-1.043078e+000	 2.780340e+001	-8.842866e-002	-4.678831e-001	 3.327902e-002	 1.455827e+002	 4.655705e+002	 2.669008e+001	 4.655705e+002	 1.236997e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.995627e+000	 1.903164e+000	 4.423155e+001	 3.803453e-003	-7.950078e-001	-1.272978e-002	 1.298268e+002	 4.496422e+002	 4.129526e+001	 4.496422e+002	 1.118553e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158535e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-3.158535e+001	-3.158535e+001	 3.158535e+001	-3.158535e+001	 1.118556e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.158558e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.158558e+001	-3.158558e+001	 3.158558e+001	-3.158558e+001
