Date 26-Apr-2021 17:38:22
Maneuver DemoCar_MBS_roll_eq-10%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 8.625870e-005	-0.000000e+000	 4.653747e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.393348e+000	-6.308172e-001	-2.675412e+001	-1.208153e-001	 4.187853e-001	 5.122811e-002	 1.975103e+002	 5.178697e+002	-2.489029e+001	 5.178697e+002	 4.653763e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.393340e+000	 6.308078e-001	-2.675399e+001	-1.208163e-001	 4.187832e-001	 5.122790e-002	 1.975102e+002	 5.178695e+002	-2.489018e+001	 5.178695e+002	 6.919768e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.106918e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 1.106918e+001	 1.106918e+001	-1.106918e+001	 1.106918e+001	 6.919784e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.106902e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 1.106902e+001	 1.106902e+001	-1.106902e+001	 1.106902e+001
 5.000000e-001	 0.000000e+000	 3.755146e-002	-0.000000e+000	 4.551349e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.450366e+000	-6.928383e-001	-2.764908e+001	-1.136787e-001	 4.332916e-001	 5.234614e-002	 1.983302e+002	 5.186939e+002	-2.566533e+001	 5.186939e+002	 4.751963e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.338446e+000	 5.724430e-001	-2.590147e+001	-1.275979e-001	 4.048336e-001	 5.007998e-002	 1.967306e+002	 5.170859e+002	-2.415456e+001	 5.170859e+002	 6.823858e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.203035e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 1.203035e+001	 1.203035e+001	-1.203035e+001	 1.203035e+001	 6.823874e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.203019e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 1.203019e+001	 1.203019e+001	-1.203019e+001	 1.203019e+001
 1.000000e+000	 0.000000e+000	 7.948618e-002	-0.000000e+000	 4.434784e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.511678e+000	-7.652069e-001	-2.867173e+001	-1.055694e-001	 4.494777e-001	 5.386703e-002	 1.992745e+002	 5.196430e+002	-2.655135e+001	 5.196430e+002	 4.867920e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.278057e+000	 5.058350e-001	-2.488476e+001	-1.351875e-001	 3.886103e-001	 4.852392e-002	 1.957905e+002	 5.161408e+002	-2.327356e+001	 5.161408e+002	 6.791252e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.235711e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 1.235711e+001	 1.235711e+001	-1.235711e+001	 1.235711e+001	 6.791268e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.235695e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 1.235695e+001	 1.235695e+001	-1.235695e+001	 1.235695e+001
 1.500000e+000	 0.000000e+000	 1.214041e-001	-0.000000e+000	 4.317998e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.573319e+000	-8.397246e-001	-2.969658e+001	-9.726820e-002	 4.656495e-001	 5.537479e-002	 2.002202e+002	 5.205937e+002	-2.743929e+001	 5.205937e+002	 4.983650e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.218033e+000	 4.413278e-001	-2.387024e+001	-1.425848e-001	 3.723757e-001	 4.695364e-002	 1.948519e+002	 5.151972e+002	-2.239439e+001	 5.151972e+002	 6.780167e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.246820e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 1.246820e+001	 1.246820e+001	-1.246820e+001	 1.246820e+001	 6.780183e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.246804e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 1.246804e+001	 1.246804e+001	-1.246804e+001	 1.246804e+001
 2.000000e+000	 0.000000e+000	 1.632941e-001	-0.000000e+000	 4.200988e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.635314e+000	-9.164062e-001	-3.072370e+001	-8.877426e-002	 4.818093e-001	 5.686769e-002	 2.011676e+002	 5.215459e+002	-2.832919e+001	 5.215459e+002	 5.099134e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.158360e+000	 3.789183e-001	-2.285810e+001	-1.497894e-001	 3.561309e-001	 4.537079e-002	 1.939150e+002	 5.142552e+002	-2.151720e+001	 5.142552e+002	 6.776399e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.250597e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 1.250597e+001	 1.250597e+001	-1.250597e+001	 1.250597e+001	 6.776415e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.250581e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 1.250581e+001	 1.250581e+001	-1.250581e+001	 1.250581e+001
 2.500000e+000	 0.000000e+000	 2.051449e-001	-0.000000e+000	 4.083755e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.697662e+000	-9.952668e-001	-3.175307e+001	-8.008724e-002	 4.979570e-001	 5.834587e-002	 2.021166e+002	 5.224997e+002	-2.922106e+001	 5.224997e+002	 5.214372e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.099039e+000	 3.185912e-001	-2.184835e+001	-1.568018e-001	 3.398761e-001	 4.377524e-002	 1.929799e+002	 5.133149e+002	-2.064201e+001	 5.133149e+002	 6.775118e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.251881e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 1.251881e+001	 1.251881e+001	-1.251881e+001	 1.251881e+001	 6.775134e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.251865e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 1.251865e+001	 1.251865e+001	-1.251865e+001	 1.251865e+001
 3.000000e+000	 0.000000e+000	 2.469438e-001	-0.000000e+000	 3.966299e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.760364e+000	-1.076321e+000	-3.278466e+001	-7.120680e-002	 5.140923e-001	 5.980946e-002	 2.030672e+002	 5.234550e+002	-3.011488e+001	 5.234550e+002	 5.329360e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.040068e+000	 2.603318e-001	-2.084103e+001	-1.636223e-001	 3.236116e-001	 4.216691e-002	 1.920465e+002	 5.123764e+002	-1.976883e+001	 5.123764e+002	 6.774682e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.252318e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 1.252318e+001	 1.252318e+001	-1.252318e+001	 1.252318e+001	 6.774698e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.252301e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 1.252301e+001	 1.252301e+001	-1.252301e+001	 1.252301e+001
 3.500000e+000	 0.000000e+000	 2.886774e-001	-0.000000e+000	 3.848623e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.823421e+000	-1.159584e+000	-3.381848e+001	-6.213260e-002	 5.302152e-001	 6.125857e-002	 2.040193e+002	 5.244118e+002	-3.101065e+001	 5.244118e+002	 5.444096e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-9.814482e-001	 2.041249e-001	-1.983614e+001	-1.702513e-001	 3.073376e-001	 4.054572e-002	 1.911149e+002	 5.114395e+002	-1.889767e+001	 5.114395e+002	 6.774534e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.252466e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 1.252466e+001	 1.252466e+001	-1.252466e+001	 1.252466e+001	 6.774550e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.252450e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 1.252450e+001	 1.252450e+001	-1.252450e+001	 1.252450e+001
 4.000000e+000	 0.000000e+000	 3.303324e-001	-0.000000e+000	 3.730728e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.886831e+000	-1.245070e+000	-3.485450e+001	-5.286436e-002	 5.463255e-001	 6.269333e-002	 2.049729e+002	 5.253701e+002	-3.190836e+001	 5.253701e+002	 5.558580e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-9.231786e-001	 1.499554e-001	-1.883369e+001	-1.766892e-001	 2.910542e-001	 3.891162e-002	 1.901850e+002	 5.105044e+002	-1.802854e+001	 5.105044e+002	 6.774484e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.252516e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 1.252516e+001	 1.252516e+001	-1.252516e+001	 1.252516e+001	 6.774500e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.252500e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 1.252500e+001	 1.252500e+001	-1.252500e+001	 1.252500e+001
 4.500000e+000	 0.000000e+000	 3.718953e-001	-0.000000e+000	 3.612612e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.950598e+000	-1.332797e+000	-3.589274e+001	-4.340143e-002	 5.624237e-001	 6.411389e-002	 2.059281e+002	 5.263299e+002	-3.280804e+001	 5.263299e+002	 5.672808e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-8.652591e-001	 9.780793e-002	-1.783372e+001	-1.829366e-001	 2.747618e-001	 3.726450e-002	 1.892570e+002	 5.095711e+002	-1.716145e+001	 5.095711e+002	 6.774467e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.252533e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 1.252533e+001	 1.252533e+001	-1.252533e+001	 1.252533e+001	 6.774483e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-1.252517e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 1.252517e+001	 1.252517e+001	-1.252517e+001	 1.252517e+001
