Date 26-Apr-2021 19:21:47
Maneuver DemoCar_MBS_steering_ratio_front_eq+25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 1.000000e-002	 7.492136e-004	-1.745329e-003	 9.175474e+001	 0.000000e+000	 0.000000e+000	 4.994182e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 7.175791e-001	-2.838825e-001	 1.526948e+001	-1.758212e-001	-2.562707e-001	 3.957561e-002	 1.577720e+002	 4.778693e+002	 1.430996e+001	 4.778693e+002	 9.175473e+001	 0.000000e+000	 0.000000e+000	 4.994182e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 7.176106e-001	 2.838172e-001	 1.526948e+001	-1.758341e-001	-2.562334e-001	 3.965035e-002	 1.577720e+002	 4.778693e+002	 1.430993e+001	 4.778693e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 5.000000e-001	 5.010000e+000	 1.070047e-001	-8.744100e-001	 9.175619e+001	 0.000000e+000	 0.000000e+000	 4.993885e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.260651e-001	 4.373424e-002	 1.527101e+001	-1.271357e-001	-3.505393e-001	-3.556936e-001	 1.577755e+002	 4.778728e+002	 1.428744e+001	 4.778728e+002	 9.175411e+001	 0.000000e+000	 0.000000e+000	 4.994511e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.306201e+000	 6.151028e-001	 1.526765e+001	-2.238053e-001	-1.617712e-001	 4.345016e-001	 1.577675e+002	 4.778648e+002	 1.433754e+001	 4.778648e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 1.000000e+000	 1.001000e+001	 2.133097e-001	-1.747075e+000	 9.175737e+001	 0.000000e+000	 0.000000e+000	 4.993593e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.681104e-001	 3.671844e-001	 1.527231e+001	-7.778022e-002	-4.444610e-001	-7.509364e-001	 1.577780e+002	 4.778753e+002	 1.427049e+001	 4.778753e+002	 9.175540e+001	 0.000000e+000	 0.000000e+000	 4.994893e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.891558e+000	 9.495159e-001	 1.526548e+001	-2.710187e-001	-6.727205e-002	 8.284729e-001	 1.577624e+002	 4.778596e+002	 1.436979e+001	 4.778596e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 1.500000e+000	 1.501000e+001	 3.196854e-001	-2.619739e+000	 9.175930e+001	 0.000000e+000	 0.000000e+000	 4.993342e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.065105e+000	 6.869416e-001	 1.527327e+001	-2.770381e-002	-5.382036e-001	-1.146640e+000	 1.577796e+002	 4.778769e+002	 1.425864e+001	 4.778769e+002	 9.175760e+001	 0.000000e+000	 0.000000e+000	 4.995284e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.473869e+000	 1.287535e+000	 1.526309e+001	-3.175240e-001	 2.742841e-002	 1.222051e+000	 1.577562e+002	 4.778534e+002	 1.440717e+001	 4.778534e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 2.000000e+000	 2.001000e+001	 4.261101e-001	-3.492404e+000	 9.176205e+001	 0.000000e+000	 0.000000e+000	 4.993118e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.665086e+000	 1.003010e+000	 1.527392e+001	 2.309696e-002	-6.317551e-001	-1.542838e+000	 1.577802e+002	 4.778776e+002	 1.425195e+001	 4.778776e+002	 9.176064e+001	 0.000000e+000	 0.000000e+000	 4.995701e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.053298e+000	 1.629169e+000	 1.526046e+001	-3.633243e-001	 1.223183e-001	 1.615268e+000	 1.577492e+002	 4.778463e+002	 1.444961e+001	 4.778463e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 2.500000e+000	 2.501000e+001	 5.325624e-001	-4.365068e+000	 9.176560e+001	 0.000000e+000	 0.000000e+000	 4.992920e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.268054e+000	 1.315374e+000	 1.527426e+001	 7.462599e-002	-7.251169e-001	-1.939552e+000	 1.577800e+002	 4.778774e+002	 1.425042e+001	 4.778774e+002	 9.176453e+001	 0.000000e+000	 0.000000e+000	 4.996142e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.629841e+000	 1.974404e+000	 1.525759e+001	-4.084221e-001	 2.173991e-001	 2.008142e+000	 1.577412e+002	 4.778382e+002	 1.449712e+001	 4.778382e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 3.000000e+000	 3.001000e+001	 6.390205e-001	-5.237733e+000	 9.176996e+001	 0.000000e+000	 0.000000e+000	 4.992748e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.874026e+000	 1.624017e+000	 1.527426e+001	 1.268873e-001	-8.182893e-001	-2.336806e+000	 1.577789e+002	 4.778763e+002	 1.425409e+001	 4.778763e+002	 9.176927e+001	 0.000000e+000	 0.000000e+000	 4.996607e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.203506e+000	 2.323229e+000	 1.525449e+001	-4.528202e-001	 3.126709e-001	 2.400693e+000	 1.577322e+002	 4.778292e+002	 1.454968e+001	 4.778292e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 3.500000e+000	 3.501000e+001	 7.454628e-001	-6.110398e+000	 9.177512e+001	 0.000000e+000	 0.000000e+000	 4.992602e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.483019e+000	 1.928924e+000	 1.527392e+001	 1.798852e-001	-9.112726e-001	-2.734624e+000	 1.577770e+002	 4.778743e+002	 1.426296e+001	 4.778743e+002	 9.177487e+001	 0.000000e+000	 0.000000e+000	 4.997098e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.774302e+000	 2.675636e+000	 1.525117e+001	-4.965210e-001	 4.081342e-001	 2.792943e+000	 1.577223e+002	 4.778192e+002	 1.460727e+001	 4.778192e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 4.000000e+000	 4.001000e+001	 8.518673e-001	-6.983062e+000	 9.178109e+001	 0.000000e+000	 0.000000e+000	 4.992481e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.095050e+000	 2.230077e+000	 1.527324e+001	 2.336240e-001	-1.004067e+000	-3.133031e+000	 1.577741e+002	 4.778714e+002	 1.427707e+001	 4.778714e+002	 9.178133e+001	 0.000000e+000	 0.000000e+000	 4.997613e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 5.342236e+000	 3.031614e+000	 1.524764e+001	-5.395267e-001	 5.037893e-001	 3.184910e+000	 1.577114e+002	 4.778082e+002	 1.466989e+001	 4.778082e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 4.500000e+000	 4.501000e+001	 9.582118e-001	-7.855727e+000	 9.178785e+001	 0.000000e+000	 0.000000e+000	 4.992386e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.710136e+000	 2.527460e+000	 1.527220e+001	 2.881085e-001	-1.096673e+000	-3.532053e+000	 1.577703e+002	 4.778676e+002	 1.429642e+001	 4.778676e+002	 9.178865e+001	 0.000000e+000	 0.000000e+000	 4.998152e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 5.907315e+000	 3.391154e+000	 1.524390e+001	-5.818397e-001	 5.996364e-001	 3.576613e+000	 1.576996e+002	 4.777963e+002	 1.473754e+001	 4.777963e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
