Date 26-Apr-2021 19:20:15
Maneuver DemoCar_MBS_steering_ratio_front_eq-10%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 1.000000e-002	 7.900831e-005	-1.745329e-003	 5.496351e+001	 0.000000e+000	 0.000000e+000	 4.092276e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-9.675047e-001	-2.961564e-001	-1.890341e+001	-1.595785e-001	 2.996443e-001	 5.305833e-002	 1.901697e+002	 5.104890e+002	-1.760436e+001	 5.104890e+002	 5.496353e+001	 0.000000e+000	 0.000000e+000	 4.092274e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-9.674702e-001	 2.960885e-001	-1.890340e+001	-1.595929e-001	 2.996698e-001	 5.313043e-002	 1.901697e+002	 5.104890e+002	-1.760445e+001	 5.104890e+002	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000
 5.000000e-001	 5.010000e+000	 8.502958e-002	-8.744100e-001	 5.495940e+001	 0.000000e+000	 0.000000e+000	 4.090969e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.560411e+000	 3.601544e-002	-1.889909e+001	-1.142439e-001	 2.086672e-001	-3.493781e-001	 1.901735e+002	 5.104929e+002	-1.765650e+001	 5.104929e+002	 5.496839e+001	 0.000000e+000	 0.000000e+000	 4.093605e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.774852e-001	 6.319414e-001	-1.890796e+001	-2.042372e-001	 3.908247e-001	 4.551410e-001	 1.901650e+002	 5.104843e+002	-1.754683e+001	 5.104843e+002	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000
 1.000000e+000	 1.001000e+001	 1.700915e-001	-1.747075e+000	 5.495669e+001	 0.000000e+000	 0.000000e+000	 4.089654e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.155156e+000	 3.640964e-001	-1.889494e+001	-6.827684e-002	 1.179325e-001	-7.517799e-001	 1.901765e+002	 5.104958e+002	-1.770333e+001	 5.104958e+002	 5.497337e+001	 0.000000e+000	 0.000000e+000	 4.095007e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.082943e-001	 9.710279e-001	-1.891290e+001	-2.481336e-001	 4.821086e-001	 8.562536e-001	 1.901594e+002	 5.104787e+002	-1.748361e+001	 5.104787e+002	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000
 1.500000e+000	 1.501000e+001	 2.552331e-001	-2.619739e+000	 5.495467e+001	 0.000000e+000	 0.000000e+000	 4.088390e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.753025e+000	 6.885006e-001	-1.889113e+001	-2.161222e-002	 2.738699e-002	-1.154670e+000	 1.901787e+002	 5.104980e+002	-1.774473e+001	 5.104980e+002	 5.497925e+001	 0.000000e+000	 0.000000e+000	 4.096407e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 7.912071e-001	 1.313768e+000	-1.891798e+001	-2.913468e-001	 5.735694e-001	 1.256991e+000	 1.901529e+002	 5.104721e+002	-1.741486e+001	 5.104721e+002	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000
 2.000000e+000	 2.001000e+001	 3.404401e-001	-3.492404e+000	 5.495343e+001	 0.000000e+000	 0.000000e+000	 4.087149e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.353926e+000	 1.009198e+000	-1.888760e+001	 2.575247e-002	-6.297659e-002	-1.558062e+000	 1.901800e+002	 5.104994e+002	-1.778062e+001	 5.104994e+002	 5.498592e+001	 0.000000e+000	 0.000000e+000	 4.097832e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.371158e+000	 1.660134e+000	-1.892330e+001	-3.338785e-001	 6.652142e-001	 1.657364e+000	 1.901455e+002	 5.104647e+002	-1.734067e+001	 5.104647e+002	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000
 2.500000e+000	 2.501000e+001	 4.256952e-001	-4.365068e+000	 5.495295e+001	 0.000000e+000	 0.000000e+000	 4.085935e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.957883e+000	 1.326176e+000	-1.888435e+001	 7.382104e-002	-1.531582e-001	-1.961980e+000	 1.901805e+002	 5.104998e+002	-1.781099e+001	 5.104998e+002	 5.499339e+001	 0.000000e+000	 0.000000e+000	 4.099282e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.948164e+000	 2.010118e+000	-1.892882e+001	-3.757313e-001	 7.570430e-001	 2.057395e+000	 1.901373e+002	 5.104564e+002	-1.726105e+001	 5.104564e+002	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000
 3.000000e+000	 3.001000e+001	 5.109815e-001	-5.237733e+000	 5.495323e+001	 0.000000e+000	 0.000000e+000	 4.084746e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.564912e+000	 1.639417e+000	-1.888140e+001	 1.225974e-001	-2.431582e-001	-2.366450e+000	 1.901801e+002	 5.104994e+002	-1.783583e+001	 5.104994e+002	 5.500167e+001	 0.000000e+000	 0.000000e+000	 4.100756e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.522233e+000	 2.363707e+000	-1.893456e+001	-4.169077e-001	 8.490563e-001	 2.457105e+000	 1.901281e+002	 5.104471e+002	-1.717600e+001	 5.104471e+002	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000
 3.500000e+000	 3.501000e+001	 5.962816e-001	-6.110398e+000	 5.495427e+001	 0.000000e+000	 0.000000e+000	 4.083583e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.175031e+000	 1.948905e+000	-1.887876e+001	 1.720857e-001	-3.329772e-001	-2.771497e+000	 1.901788e+002	 5.104982e+002	-1.785510e+001	 5.104982e+002	 5.501075e+001	 0.000000e+000	 0.000000e+000	 4.102255e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.093376e+000	 2.720893e+000	-1.894049e+001	-4.574100e-001	 9.412545e-001	 2.856515e+000	 1.901180e+002	 5.104370e+002	-1.708552e+001	 5.104370e+002	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000
 4.000000e+000	 4.001000e+001	 6.815785e-001	-6.983062e+000	 5.495606e+001	 0.000000e+000	 0.000000e+000	 4.082448e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.788258e+000	 2.254624e+000	-1.887644e+001	 2.222903e-001	-4.226156e-001	-3.177148e+000	 1.901767e+002	 5.104961e+002	-1.786881e+001	 5.104961e+002	 5.502065e+001	 0.000000e+000	 0.000000e+000	 4.103777e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.661599e+000	 3.081666e+000	-1.894662e+001	-4.972405e-001	 1.033638e+000	 3.255647e+000	 1.901070e+002	 5.104259e+002	-1.698963e+001	 5.104259e+002	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000
 4.500000e+000	 4.501000e+001	 7.668545e-001	-7.855727e+000	 5.495860e+001	 0.000000e+000	 0.000000e+000	 4.081338e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.404613e+000	 2.556556e+000	-1.887445e+001	 2.732155e-001	-5.120737e-001	-3.583430e+000	 1.901738e+002	 5.104931e+002	-1.787693e+001	 5.104931e+002	 5.503137e+001	 0.000000e+000	 0.000000e+000	 4.105323e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.226909e+000	 3.446018e+000	-1.895292e+001	-5.364013e-001	 1.126208e+000	 3.654520e+000	 1.900951e+002	 5.104140e+002	-1.688833e+001	 5.104140e+002	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000	 7.055561e+001	 0.000000e+000	 0.000000e+000	 2.619535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.714385e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.714385e+000	 9.714385e+000	-9.714385e+000	 9.714385e+000
