Date 26-Apr-2021 19:15:09
Maneuver DemoCar_MBS_steering_ratio_front_equilibrium
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 1.000000e-002	 1.421866e-004	-1.745329e-003	 6.547272e+001	 0.000000e+000	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567174e-001	-5.350566e-002	-9.122773e+000	-1.901591e-001	 1.470106e-001	 5.291739e-002	 1.809717e+002	 5.012361e+002	-8.509049e+000	 5.012361e+002	 6.547272e+001	 0.000000e+000	 0.000000e+000	 4.343883e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.566842e-001	 5.343901e-002	-9.122777e+000	-1.901731e-001	 1.470394e-001	 5.299036e-002	 1.809717e+002	 5.012361e+002	-8.509132e+000	 5.012361e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 5.010000e+000	 9.110787e-002	-8.744100e-001	 6.547013e+001	 0.000000e+000	 0.000000e+000	 4.342847e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.049308e+000	 2.774632e-001	-9.119095e+000	-1.438866e-001	 5.493710e-002	-3.475730e-001	 1.809755e+002	 5.012400e+002	-8.553236e+000	 5.012400e+002	 6.547605e+001	 0.000000e+000	 0.000000e+000	 4.344950e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.329286e-001	 3.880811e-001	-9.126733e+000	-2.357474e-001	 2.393002e-001	 4.530561e-001	 1.809671e+002	 5.012315e+002	-8.459583e+000	 5.012315e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 1.001000e+001	 1.821738e-001	-1.747075e+000	 6.546850e+001	 0.000000e+000	 0.000000e+000	 4.341806e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.643953e+000	 6.043183e-001	-9.115596e+000	-9.697118e-002	-3.686512e-002	-7.480257e-001	 1.809783e+002	 5.012428e+002	-8.592026e+000	 5.012428e+002	 6.548003e+001	 0.000000e+000	 0.000000e+000	 4.346081e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 7.186476e-001	 7.259311e-001	-9.131040e+000	-2.805685e-001	 3.316596e-001	 8.522256e-001	 1.809616e+002	 5.012260e+002	-8.404702e+000	 5.012260e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 1.501000e+001	 2.733231e-001	-2.619739e+000	 6.546757e+001	 0.000000e+000	 0.000000e+000	 4.340813e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.241636e+000	 9.274929e-001	-9.112436e+000	-4.935052e-002	-1.284809e-001	-1.148959e+000	 1.809804e+002	 5.012448e+002	-8.625484e+000	 5.012448e+002	 6.548491e+001	 0.000000e+000	 0.000000e+000	 4.347211e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.301449e+000	 1.067423e+000	-9.135513e+000	-3.246983e-001	 4.242026e-001	 1.251016e+000	 1.809552e+002	 5.012195e+002	-8.344400e+000	 5.012195e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 2.001000e+001	 3.645393e-001	-3.492404e+000	 6.546742e+001	 0.000000e+000	 0.000000e+000	 4.339845e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.842340e+000	 1.246965e+000	-9.109558e+000	-1.021772e-003	-2.199121e-001	-1.550392e+000	 1.809815e+002	 5.012460e+002	-8.653526e+000	 5.012460e+002	 6.549060e+001	 0.000000e+000	 0.000000e+000	 4.348367e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.881309e+000	 1.412538e+000	-9.140218e+000	-3.681387e-001	 5.169312e-001	 1.649442e+000	 1.809479e+002	 5.012121e+002	-8.278761e+000	 5.012121e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 2.501000e+001	 4.558039e-001	-4.365068e+000	 6.546806e+001	 0.000000e+000	 0.000000e+000	 4.338903e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.446080e+000	 1.562722e+000	-9.106975e+000	 4.801887e-002	-3.111591e-001	-1.952347e+000	 1.809818e+002	 5.012463e+002	-8.676143e+000	 5.012463e+002	 6.549711e+001	 0.000000e+000	 0.000000e+000	 4.349548e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.458241e+000	 1.761266e+000	-9.145141e+000	-4.108925e-001	 6.098458e-001	 2.047527e+000	 1.809396e+002	 5.012038e+002	-8.207791e+000	 5.012038e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 3.001000e+001	 5.470985e-001	-5.237733e+000	 6.546947e+001	 0.000000e+000	 0.000000e+000	 4.337988e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.052875e+000	 1.874745e+000	-9.104697e+000	 9.777539e-002	-4.022224e-001	-2.354851e+000	 1.809812e+002	 5.012457e+002	-8.693317e+000	 5.012457e+002	 6.550443e+001	 0.000000e+000	 0.000000e+000	 4.350753e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.032252e+000	 2.113596e+000	-9.150276e+000	-4.529622e-001	 7.029467e-001	 2.445291e+000	 1.809305e+002	 5.011947e+002	-8.131498e+000	 5.011947e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 3.501000e+001	 6.384045e-001	-6.110398e+000	 6.547166e+001	 0.000000e+000	 0.000000e+000	 4.337099e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.662740e+000	 2.183021e+000	-9.102736e+000	 1.482519e-001	-4.931024e-001	-2.757928e+000	 1.809798e+002	 5.012442e+002	-8.705032e+000	 5.012442e+002	 6.551259e+001	 0.000000e+000	 0.000000e+000	 4.351982e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.603352e+000	 2.469518e+000	-9.155613e+000	-4.943502e-001	 7.962345e-001	 2.842755e+000	 1.809204e+002	 5.011845e+002	-8.049889e+000	 5.011845e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 4.001000e+001	 7.297033e-001	-6.983062e+000	 6.547461e+001	 0.000000e+000	 0.000000e+000	 4.336236e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.275695e+000	 2.487531e+000	-9.101099e+000	 1.994528e-001	-5.837994e-001	-3.161604e+000	 1.809774e+002	 5.012419e+002	-8.711270e+000	 5.012419e+002	 6.552158e+001	 0.000000e+000	 0.000000e+000	 4.353236e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.171548e+000	 2.829023e+000	-9.161146e+000	-5.350587e-001	 8.897096e-001	 3.239939e+000	 1.809094e+002	 5.011734e+002	-7.962973e+000	 5.011734e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 4.501000e+001	 8.209763e-001	-7.855727e+000	 6.547833e+001	 0.000000e+000	 0.000000e+000	 4.335400e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.891758e+000	 2.788259e+000	-9.099801e+000	 2.513827e-001	-6.743138e-001	-3.565906e+000	 1.809743e+002	 5.012388e+002	-8.712010e+000	 5.012388e+002	 6.553140e+001	 0.000000e+000	 0.000000e+000	 4.354514e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.736847e+000	 3.192103e+000	-9.166866e+000	-5.750898e-001	 9.833723e-001	 3.636864e+000	 1.808975e+002	 5.011615e+002	-7.870755e+000	 5.011615e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
