Date 26-Apr-2021 17:36:44
Maneuver DemoCar_MBS_vertical_equilibrium
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.421866e-004	-0.000000e+000	 6.547271e+001	 0.000000e+000	 0.000000e+000	 4.343532e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567008e-001	-5.347232e-002	-9.122774e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509090e+000	 5.012361e+002	 6.547271e+001	 0.000000e+000	 0.000000e+000	 4.343532e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567009e-001	 5.347235e-002	-9.122776e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509091e+000	 5.012361e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 1.358796e-004	-0.000000e+000	 6.497462e+001	 0.000000e+000	 0.000000e+000	 4.328395e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.811720e-001	-6.044159e-002	-9.579242e+000	-1.891250e-001	 1.543949e-001	 5.304185e-002	 1.813988e+002	 5.016659e+002	-8.933590e+000	 5.016659e+002	 6.497462e+001	 0.000000e+000	 0.000000e+000	 4.328395e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.811720e-001	 6.044159e-002	-9.579242e+000	-1.891250e-001	 1.543949e-001	 5.304185e-002	 1.813988e+002	 5.016659e+002	-8.933590e+000	 5.016659e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 1.296606e-004	-0.000000e+000	 6.447413e+001	 0.000000e+000	 0.000000e+000	 4.316320e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.050257e-001	-6.804608e-002	-1.004472e+001	-1.880758e-001	 1.617576e-001	 5.310443e-002	 1.818378e+002	 5.021076e+002	-9.366935e+000	 5.021076e+002	 6.447413e+001	 0.000000e+000	 0.000000e+000	 4.316320e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.050256e-001	 6.804604e-002	-1.004472e+001	-1.880758e-001	 1.617576e-001	 5.310443e-002	 1.818378e+002	 5.021076e+002	-9.366934e+000	 5.021076e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 1.236785e-004	-0.000000e+000	 6.397364e+001	 0.000000e+000	 0.000000e+000	 4.304255e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.289281e-001	-7.608738e-002	-1.051023e+001	-1.869809e-001	 1.691091e-001	 5.316072e-002	 1.822766e+002	 5.025492e+002	-9.800250e+000	 5.025492e+002	 6.397365e+001	 0.000000e+000	 0.000000e+000	 4.304255e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.289280e-001	 7.608732e-002	-1.051023e+001	-1.869809e-001	 1.691091e-001	 5.316071e-002	 1.822766e+002	 5.025492e+002	-9.800248e+000	 5.025492e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 1.180234e-004	-0.000000e+000	 6.347316e+001	 0.000000e+000	 0.000000e+000	 4.292202e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.528830e-001	-8.456542e-002	-1.097578e+001	-1.858403e-001	 1.764500e-001	 5.321066e-002	 1.827153e+002	 5.029906e+002	-1.023353e+001	 5.029906e+002	 6.347317e+001	 0.000000e+000	 0.000000e+000	 4.292201e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.528828e-001	 8.456530e-002	-1.097577e+001	-1.858404e-001	 1.764500e-001	 5.321065e-002	 1.827153e+002	 5.029906e+002	-1.023353e+001	 5.029906e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 1.127827e-004	-0.000000e+000	 6.297269e+001	 0.000000e+000	 0.000000e+000	 4.280159e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.768902e-001	-9.348043e-002	-1.144135e+001	-1.846543e-001	 1.837803e-001	 5.325428e-002	 1.831540e+002	 5.034319e+002	-1.066679e+001	 5.034319e+002	 6.297270e+001	 0.000000e+000	 0.000000e+000	 4.280157e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.768900e-001	 9.348026e-002	-1.144134e+001	-1.846543e-001	 1.837802e-001	 5.325427e-002	 1.831540e+002	 5.034319e+002	-1.066679e+001	 5.034319e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 1.080327e-004	-0.000000e+000	 6.247222e+001	 0.000000e+000	 0.000000e+000	 4.268126e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.009498e-001	-1.028327e-001	-1.190695e+001	-1.834229e-001	 1.911000e-001	 5.329163e-002	 1.835925e+002	 5.038731e+002	-1.110002e+001	 5.038731e+002	 6.247223e+001	 0.000000e+000	 0.000000e+000	 4.268124e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.009495e-001	 1.028324e-001	-1.190694e+001	-1.834229e-001	 1.910999e-001	 5.329162e-002	 1.835925e+002	 5.038731e+002	-1.110001e+001	 5.038731e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 1.037912e-004	-0.000000e+000	 6.197176e+001	 0.000000e+000	 0.000000e+000	 4.256104e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.250617e-001	-1.126223e-001	-1.237258e+001	-1.821461e-001	 1.984091e-001	 5.332272e-002	 1.840309e+002	 5.043142e+002	-1.153322e+001	 5.043142e+002	 6.197177e+001	 0.000000e+000	 0.000000e+000	 4.256102e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.250612e-001	 1.126220e-001	-1.237257e+001	-1.821462e-001	 1.984090e-001	 5.332271e-002	 1.840309e+002	 5.043142e+002	-1.153321e+001	 5.043142e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 1.000161e-004	-0.000000e+000	 6.147130e+001	 0.000000e+000	 0.000000e+000	 4.244093e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.492258e-001	-1.228497e-001	-1.283824e+001	-1.808242e-001	 2.057078e-001	 5.334759e-002	 1.844692e+002	 5.047551e+002	-1.196640e+001	 5.047551e+002	 6.147131e+001	 0.000000e+000	 0.000000e+000	 4.244090e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.492253e-001	 1.228493e-001	-1.283823e+001	-1.808242e-001	 2.057076e-001	 5.334758e-002	 1.844692e+002	 5.047551e+002	-1.196639e+001	 5.047551e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 9.666981e-005	-0.000000e+000	 6.097084e+001	 0.000000e+000	 0.000000e+000	 4.232093e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.734421e-001	-1.335150e-001	-1.330393e+001	-1.794571e-001	 2.129959e-001	 5.336627e-002	 1.849074e+002	 5.051960e+002	-1.239954e+001	 5.051960e+002	 6.097085e+001	 0.000000e+000	 0.000000e+000	 4.232090e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.734416e-001	 1.335146e-001	-1.330392e+001	-1.794572e-001	 2.129958e-001	 5.336625e-002	 1.849074e+002	 5.051960e+002	-1.239954e+001	 5.051960e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
