Date 26-Apr-2021 17:52:57
Maneuver DemoCar_MBS_accelerate_front_eq+75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-6.856712e-004	-0.000000e+000	 1.443425e+002	 2.000000e-001	 0.000000e+000	 6.631925e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.667107e+000	-4.167892e+000	 6.308783e+001	 2.892786e-001	-1.176652e+000	-5.276910e-002	 1.113550e+002	 4.309047e+002	 6.013294e+001	 4.309047e+002	 1.443425e+002	 2.000000e-001	 0.000000e+000	 6.631920e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.667107e+000	 4.167893e+000	 6.308784e+001	 2.892788e-001	-1.176653e+000	-5.276914e-002	 1.113550e+002	 4.309047e+002	 6.013295e+001	 4.309047e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 5.000000e-001	 0.000000e+000	-7.372378e-004	-0.000000e+000	 1.443439e+002	 1.002000e+002	 0.000000e+000	 6.628043e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.852863e+000	-4.195156e+000	 6.309891e+001	 2.898456e-001	-1.194070e+000	-4.326185e-002	 1.113756e+002	 4.309257e+002	 6.012160e+001	 4.309257e+002	 1.443439e+002	 1.002000e+002	 0.000000e+000	 6.628039e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.852864e+000	 4.195157e+000	 6.309892e+001	 2.898457e-001	-1.194071e+000	-4.326189e-002	 1.113756e+002	 4.309257e+002	 6.012162e+001	 4.309257e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 1.000000e+000	 0.000000e+000	-7.888221e-004	-0.000000e+000	 1.443436e+002	 2.002000e+002	 0.000000e+000	 6.624302e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.039528e+000	-4.222490e+000	 6.310958e+001	 2.904079e-001	-1.211586e+000	-3.373660e-002	 1.113970e+002	 4.309475e+002	 6.010977e+001	 4.309475e+002	 1.443436e+002	 2.002000e+002	 0.000000e+000	 6.624297e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.039529e+000	 4.222491e+000	 6.310960e+001	 2.904081e-001	-1.211587e+000	-3.373664e-002	 1.113970e+002	 4.309475e+002	 6.010978e+001	 4.309475e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 1.500000e+000	 0.000000e+000	-8.404077e-004	-0.000000e+000	 1.443432e+002	 3.002000e+002	 0.000000e+000	 6.620558e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.226157e+000	-4.249871e+000	 6.312026e+001	 2.909710e-001	-1.229099e+000	-2.421422e-002	 1.114185e+002	 4.309693e+002	 6.009796e+001	 4.309693e+002	 1.443432e+002	 3.002000e+002	 0.000000e+000	 6.620552e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.226158e+000	 4.249873e+000	 6.312028e+001	 2.909712e-001	-1.229099e+000	-2.421427e-002	 1.114185e+002	 4.309693e+002	 6.009797e+001	 4.309693e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 2.000000e+000	 0.000000e+000	-8.919946e-004	-0.000000e+000	 1.443427e+002	 4.002000e+002	 0.000000e+000	 6.616811e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.412751e+000	-4.277298e+000	 6.313095e+001	 2.915349e-001	-1.246607e+000	-1.469479e-002	 1.114399e+002	 4.309911e+002	 6.008616e+001	 4.309911e+002	 1.443428e+002	 4.002000e+002	 0.000000e+000	 6.616805e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.412752e+000	 4.277300e+000	 6.313097e+001	 2.915350e-001	-1.246608e+000	-1.469483e-002	 1.114399e+002	 4.309911e+002	 6.008618e+001	 4.309911e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 2.500000e+000	 0.000000e+000	-9.435832e-004	-0.000000e+000	 1.443422e+002	 5.002000e+002	 0.000000e+000	 6.613061e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.599309e+000	-4.304771e+000	 6.314165e+001	 2.920995e-001	-1.264113e+000	-5.178269e-003	 1.114614e+002	 4.310130e+002	 6.007439e+001	 4.310130e+002	 1.443422e+002	 5.002000e+002	 0.000000e+000	 6.613056e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.599310e+000	 4.304773e+000	 6.314167e+001	 2.920997e-001	-1.264113e+000	-5.178309e-003	 1.114614e+002	 4.310130e+002	 6.007441e+001	 4.310130e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 3.000000e+000	 0.000000e+000	-9.951739e-004	-0.000000e+000	 1.443415e+002	 6.002000e+002	 0.000000e+000	 6.609309e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.785831e+000	-4.332290e+000	 6.315236e+001	 2.926649e-001	-1.281614e+000	 4.335329e-003	 1.114830e+002	 4.310349e+002	 6.006265e+001	 4.310349e+002	 1.443415e+002	 6.002000e+002	 0.000000e+000	 6.609303e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.785832e+000	 4.332292e+000	 6.315237e+001	 2.926651e-001	-1.281614e+000	 4.335290e-003	 1.114830e+002	 4.310349e+002	 6.006266e+001	 4.310349e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 3.500000e+000	 0.000000e+000	-1.046767e-003	-0.000000e+000	 1.443408e+002	 7.002000e+002	 0.000000e+000	 6.605554e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.972317e+000	-4.359856e+000	 6.316307e+001	 2.932310e-001	-1.299112e+000	 1.384602e-002	 1.115045e+002	 4.310568e+002	 6.005092e+001	 4.310568e+002	 1.443408e+002	 7.002000e+002	 0.000000e+000	 6.605548e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.972318e+000	 4.359858e+000	 6.316309e+001	 2.932313e-001	-1.299112e+000	 1.384598e-002	 1.115045e+002	 4.310568e+002	 6.005093e+001	 4.310568e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 4.000000e+000	 0.000000e+000	-1.098363e-003	-0.000000e+000	 1.443399e+002	 8.002000e+002	 0.000000e+000	 6.601797e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.158768e+000	-4.387468e+000	 6.317379e+001	 2.937979e-001	-1.316606e+000	 2.335380e-002	 1.115261e+002	 4.310788e+002	 6.003921e+001	 4.310788e+002	 1.443400e+002	 8.002000e+002	 0.000000e+000	 6.601791e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.158769e+000	 4.387469e+000	 6.317381e+001	 2.937982e-001	-1.316606e+000	 2.335376e-002	 1.115261e+002	 4.310787e+002	 6.003923e+001	 4.310787e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 4.500000e+000	 0.000000e+000	-1.149963e-003	-0.000000e+000	 1.443390e+002	 9.002000e+002	 0.000000e+000	 6.598037e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.345182e+000	-4.415125e+000	 6.318452e+001	 2.943657e-001	-1.334096e+000	 3.285869e-002	 1.115478e+002	 4.311008e+002	 6.002754e+001	 4.311008e+002	 1.443390e+002	 9.002000e+002	 0.000000e+000	 6.598030e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.345183e+000	 4.415127e+000	 6.318454e+001	 2.943659e-001	-1.334097e+000	 3.285865e-002	 1.115477e+002	 4.311008e+002	 6.002755e+001	 4.311008e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
