Date 26-Apr-2021 17:46:19
Maneuver DemoCar_MBS_accelerate_front_equilibrium
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.421866e-004	-0.000000e+000	 6.547272e+001	 2.000000e-001	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567008e-001	-5.347232e-002	-9.122774e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509090e+000	 5.012361e+002	 6.547272e+001	 2.000000e-001	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567009e-001	 5.347235e-002	-9.122776e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509091e+000	 5.012361e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 1.503878e-004	-0.000000e+000	 6.547379e+001	 1.002000e+002	 0.000000e+000	 4.338968e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.623593e-001	-7.557153e-002	-9.108723e+000	-1.894648e-001	 1.297635e-001	 5.903901e-002	 1.809883e+002	 5.012528e+002	-8.531980e+000	 5.012528e+002	 6.547379e+001	 1.002000e+002	 0.000000e+000	 4.338968e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.623593e-001	 7.557155e-002	-9.108723e+000	-1.894648e-001	 1.297635e-001	 5.903901e-002	 1.809883e+002	 5.012528e+002	-8.531981e+000	 5.012528e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 1.585659e-004	-0.000000e+000	 6.547323e+001	 2.002000e+002	 0.000000e+000	 4.334188e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.721638e-002	-9.776095e-002	-9.095054e+000	-1.887589e-001	 1.124207e-001	 6.511711e-002	 1.810056e+002	 5.012702e+002	-8.555413e+000	 5.012702e+002	 6.547323e+001	 2.002000e+002	 0.000000e+000	 4.334188e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.721639e-002	 9.776095e-002	-9.095054e+000	-1.887589e-001	 1.124207e-001	 6.511711e-002	 1.810056e+002	 5.012702e+002	-8.555413e+000	 5.012702e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 1.667412e-004	-0.000000e+000	 6.547266e+001	 3.002000e+002	 0.000000e+000	 4.329409e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.278827e-001	-1.199898e-001	-9.081384e+000	-1.880516e-001	 9.508148e-002	 7.119206e-002	 1.810229e+002	 5.012876e+002	-8.578832e+000	 5.012876e+002	 6.547266e+001	 3.002000e+002	 0.000000e+000	 4.329408e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.278827e-001	 1.199897e-001	-9.081384e+000	-1.880516e-001	 9.508147e-002	 7.119206e-002	 1.810229e+002	 5.012876e+002	-8.578832e+000	 5.012876e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 1.749139e-004	-0.000000e+000	 6.547208e+001	 4.002000e+002	 0.000000e+000	 4.324627e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.229397e-001	-1.422580e-001	-9.067712e+000	-1.873430e-001	 7.774573e-002	 7.726388e-002	 1.810403e+002	 5.013051e+002	-8.602238e+000	 5.013051e+002	 6.547208e+001	 4.002000e+002	 0.000000e+000	 4.324627e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.229397e-001	 1.422580e-001	-9.067711e+000	-1.873430e-001	 7.774572e-002	 7.726388e-002	 1.810403e+002	 5.013051e+002	-8.602238e+000	 5.013051e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 1.830837e-004	-0.000000e+000	 6.547147e+001	 5.002000e+002	 0.000000e+000	 4.319846e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 5.179545e-001	-1.645656e-001	-9.054039e+000	-1.866330e-001	 6.041344e-002	 8.333256e-002	 1.810577e+002	 5.013226e+002	-8.625631e+000	 5.013226e+002	 6.547148e+001	 5.002000e+002	 0.000000e+000	 4.319846e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 5.179546e-001	 1.645656e-001	-9.054037e+000	-1.866330e-001	 6.041342e-002	 8.333256e-002	 1.810577e+002	 5.013226e+002	-8.625630e+000	 5.013226e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 1.912505e-004	-0.000000e+000	 6.547086e+001	 6.002000e+002	 0.000000e+000	 4.315063e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 7.129271e-001	-1.869127e-001	-9.040362e+000	-1.859216e-001	 4.308463e-002	 8.939810e-002	 1.810751e+002	 5.013402e+002	-8.649009e+000	 5.013402e+002	 6.547086e+001	 6.002000e+002	 0.000000e+000	 4.315063e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 7.129273e-001	 1.869126e-001	-9.040360e+000	-1.859216e-001	 4.308460e-002	 8.939810e-002	 1.810751e+002	 5.013402e+002	-8.649008e+000	 5.013402e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 1.994143e-004	-0.000000e+000	 6.547022e+001	 7.002000e+002	 0.000000e+000	 4.310280e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.078576e-001	-2.092990e-001	-9.026684e+000	-1.852088e-001	 2.575929e-002	 9.546051e-002	 1.810926e+002	 5.013578e+002	-8.672374e+000	 5.013578e+002	 6.547022e+001	 7.002000e+002	 0.000000e+000	 4.310280e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.078577e-001	 2.092989e-001	-9.026681e+000	-1.852088e-001	 2.575926e-002	 9.546051e-002	 1.810926e+002	 5.013578e+002	-8.672372e+000	 5.013578e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 2.075750e-004	-0.000000e+000	 6.546957e+001	 8.002000e+002	 0.000000e+000	 4.305497e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.102746e+000	-2.317246e-001	-9.013003e+000	-1.844946e-001	 8.437440e-003	 1.015198e-001	 1.811101e+002	 5.013754e+002	-8.695725e+000	 5.013754e+002	 6.546957e+001	 8.002000e+002	 0.000000e+000	 4.305496e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.102746e+000	 2.317246e-001	-9.013000e+000	-1.844946e-001	 8.437397e-003	 1.015198e-001	 1.811101e+002	 5.013754e+002	-8.695723e+000	 5.013754e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 2.157325e-004	-0.000000e+000	 6.546890e+001	 9.002000e+002	 0.000000e+000	 4.300712e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.297592e+000	-2.541895e-001	-8.999320e+000	-1.837791e-001	-8.880928e-003	 1.075760e-001	 1.811277e+002	 5.013931e+002	-8.719062e+000	 5.013931e+002	 6.546891e+001	 9.002000e+002	 0.000000e+000	 4.300710e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.297592e+000	 2.541894e-001	-8.999317e+000	-1.837791e-001	-8.880978e-003	 1.075759e-001	 1.811277e+002	 5.013931e+002	-8.719060e+000	 5.013931e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
