Date 26-Apr-2021 18:10:24
Maneuver DemoCar_MBS_accelerate_front_opp_opp+75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-2.535120e+001	-0.000000e+000	 6.549351e+001	 2.000000e-001	 0.000000e+000	 4.342309e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.533716e+000	 3.918980e-001	-9.117657e+000	-1.537135e-001	 3.077551e-001	-3.671556e-001	 1.805393e+002	 5.008010e+002	-9.297010e+000	 5.008010e+002	 6.540037e+001	 3.750000e+003	 0.000000e+000	 4.165051e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.900108e+000	 1.407993e+000	-8.612112e+000	-2.031989e-001	-6.602899e-001	 6.986596e-001	 1.821125e+002	 5.023840e+002	-8.609288e+000	 5.023840e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-2.467521e+001	-0.000000e+000	 6.549327e+001	 1.002000e+002	 0.000000e+000	 4.337978e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.270637e+000	 3.609789e-001	-9.105328e+000	-1.538866e-001	 2.871611e-001	-3.509443e-001	 1.805666e+002	 5.008284e+002	-9.300402e+000	 5.008284e+002	 6.540292e+001	 3.750000e+003	 0.000000e+000	 4.164427e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.831742e+000	 1.396713e+000	-8.610266e+000	-2.021326e-001	-6.570189e-001	 6.885502e-001	 1.821001e+002	 5.023716e+002	-8.627652e+000	 5.023716e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-2.399917e+001	-0.000000e+000	 6.549274e+001	 2.002000e+002	 0.000000e+000	 4.333219e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.991963e+000	 3.278708e-001	-9.091731e+000	-1.540857e-001	 2.654117e-001	-3.335539e-001	 1.805948e+002	 5.008568e+002	-9.302297e+000	 5.008568e+002	 6.540391e+001	 3.750000e+003	 0.000000e+000	 4.164448e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.748753e+000	 1.383106e+000	-8.610307e+000	-2.010231e-001	-6.526890e-001	 6.772523e-001	 1.820875e+002	 5.023589e+002	-8.648252e+000	 5.023589e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-2.332312e+001	-0.000000e+000	 6.549213e+001	 3.002000e+002	 0.000000e+000	 4.328480e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.714029e+000	 2.947515e-001	-9.078194e+000	-1.542866e-001	 2.437178e-001	-3.162203e-001	 1.806230e+002	 5.008852e+002	-9.304281e+000	 5.008852e+002	 6.540494e+001	 3.750000e+003	 0.000000e+000	 4.164444e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.666437e+000	 1.369615e+000	-8.610276e+000	-1.999168e-001	-6.484081e-001	 6.660079e-001	 1.820750e+002	 5.023463e+002	-8.668769e+000	 5.023463e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-2.264708e+001	-0.000000e+000	 6.549148e+001	 4.002000e+002	 0.000000e+000	 4.323739e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.436135e+000	 2.615246e-001	-9.064651e+000	-1.544902e-001	 2.220279e-001	-2.988892e-001	 1.806513e+002	 5.009137e+002	-9.306272e+000	 5.009137e+002	 6.540597e+001	 3.750000e+003	 0.000000e+000	 4.164441e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.584106e+000	 1.356131e+000	-8.610246e+000	-1.988122e-001	-6.441256e-001	 6.547625e-001	 1.820624e+002	 5.023336e+002	-8.689295e+000	 5.023336e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-2.197104e+001	-0.000000e+000	 6.549078e+001	 5.002000e+002	 0.000000e+000	 4.318996e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.158311e+000	 2.281944e-001	-9.051102e+000	-1.546964e-001	 2.003442e-001	-2.815630e-001	 1.806798e+002	 5.009423e+002	-9.308273e+000	 5.009423e+002	 6.540700e+001	 3.750000e+003	 0.000000e+000	 4.164438e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.501789e+000	 1.342658e+000	-8.610216e+000	-1.977093e-001	-6.398440e-001	 6.435187e-001	 1.820499e+002	 5.023210e+002	-8.709823e+000	 5.023210e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-2.129500e+001	-0.000000e+000	 6.549004e+001	 6.002000e+002	 0.000000e+000	 4.314251e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.880556e+000	 1.947608e-001	-9.037550e+000	-1.549052e-001	 1.786666e-001	-2.642416e-001	 1.807082e+002	 5.009710e+002	-9.310283e+000	 5.009710e+002	 6.540803e+001	 3.750000e+003	 0.000000e+000	 4.164434e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.419485e+000	 1.329196e+000	-8.610186e+000	-1.966082e-001	-6.355629e-001	 6.322763e-001	 1.820373e+002	 5.023084e+002	-8.730356e+000	 5.023084e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-2.061895e+001	-0.000000e+000	 6.548925e+001	 7.002000e+002	 0.000000e+000	 4.309505e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.602870e+000	 1.612239e-001	-9.023992e+000	-1.551167e-001	 1.569952e-001	-2.469251e-001	 1.807368e+002	 5.009997e+002	-9.312302e+000	 5.009997e+002	 6.540906e+001	 3.750000e+003	 0.000000e+000	 4.164431e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.337194e+000	 1.315745e+000	-8.610155e+000	-1.955087e-001	-6.312826e-001	 6.210353e-001	 1.820248e+002	 5.022958e+002	-8.750892e+000	 5.022958e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-1.994291e+001	-0.000000e+000	 6.548841e+001	 8.002000e+002	 0.000000e+000	 4.304757e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.325254e+000	 1.275838e-001	-9.010429e+000	-1.553307e-001	 1.353300e-001	-2.296134e-001	 1.807655e+002	 5.010286e+002	-9.314330e+000	 5.010286e+002	 6.541009e+001	 3.750000e+003	 0.000000e+000	 4.164427e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.254918e+000	 1.302306e+000	-8.610125e+000	-1.944110e-001	-6.270029e-001	 6.097958e-001	 1.820123e+002	 5.022832e+002	-8.771433e+000	 5.022832e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-1.926687e+001	-0.000000e+000	 6.548753e+001	 9.002000e+002	 0.000000e+000	 4.300008e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.047707e+000	 9.384065e-002	-8.996863e+000	-1.555473e-001	 1.136710e-001	-2.123066e-001	 1.807942e+002	 5.010575e+002	-9.316368e+000	 5.010575e+002	 6.541113e+001	 3.750000e+003	 0.000000e+000	 4.164423e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.172654e+000	 1.288878e+000	-8.610094e+000	-1.933150e-001	-6.227239e-001	 5.985577e-001	 1.819998e+002	 5.022706e+002	-8.791977e+000	 5.022706e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
