Date 26-Apr-2021 18:09:05
Maneuver DemoCar_MBS_accelerate_front_opp_opp-50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.690090e+001	-0.000000e+000	 6.545945e+001	 2.000000e-001	 0.000000e+000	 4.344876e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.605737e+000	-3.589897e-001	-9.126119e+000	-2.158016e-001	 3.928229e-002	 3.341858e-001	 1.812683e+002	 5.015346e+002	-7.986771e+000	 5.015346e+002	 6.548530e+001	-2.500000e+003	 0.000000e+000	 4.461806e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.416427e+000	-7.694591e-001	-9.459563e+000	-1.834732e-001	 6.901414e-001	-3.814236e-001	 1.802736e+002	 5.005336e+002	-8.449376e+000	 5.005336e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 1.757701e+001	-0.000000e+000	 6.546109e+001	 1.002000e+002	 0.000000e+000	 4.339385e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.891294e+000	-3.954906e-001	-9.110418e+000	-2.161980e-001	 1.708425e-002	 3.522303e-001	 1.812966e+002	 5.015631e+002	-7.987188e+000	 5.015631e+002	 6.548436e+001	-2.500000e+003	 0.000000e+000	 4.462305e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.508080e+000	-7.818378e-001	-9.460991e+000	-1.825280e-001	 6.951366e-001	-3.933894e-001	 1.802631e+002	 5.005230e+002	-8.472405e+000	 5.005230e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 1.825305e+001	-0.000000e+000	 6.545955e+001	 2.002000e+002	 0.000000e+000	 4.334641e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.168523e+000	-4.307895e-001	-9.096871e+000	-2.165727e-001	-4.528028e-003	 3.695298e-001	 1.813263e+002	 5.015929e+002	-7.990072e+000	 5.015929e+002	 6.548457e+001	-2.500000e+003	 0.000000e+000	 4.462242e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.590531e+000	-7.929662e-001	-9.460797e+000	-1.815982e-001	 6.994597e-001	-4.046192e-001	 1.802519e+002	 5.005118e+002	-8.493665e+000	 5.005118e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 1.892909e+001	-0.000000e+000	 6.545806e+001	 3.002000e+002	 0.000000e+000	 4.329867e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.446057e+000	-4.662473e-001	-9.083237e+000	-2.169513e-001	-2.616085e-002	 3.868562e-001	 1.813560e+002	 5.016228e+002	-7.992874e+000	 5.016228e+002	 6.548471e+001	-2.500000e+003	 0.000000e+000	 4.462207e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.673348e+000	-8.041348e-001	-9.460679e+000	-1.806691e-001	 7.038092e-001	-4.158794e-001	 1.802408e+002	 5.005007e+002	-8.515013e+000	 5.005007e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 1.960513e+001	-0.000000e+000	 6.545653e+001	 4.002000e+002	 0.000000e+000	 4.325092e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.723503e+000	-5.018052e-001	-9.069603e+000	-2.173324e-001	-4.778614e-002	 4.041761e-001	 1.813858e+002	 5.016528e+002	-7.995689e+000	 5.016528e+002	 6.548485e+001	-2.500000e+003	 0.000000e+000	 4.462170e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.756134e+000	-8.152903e-001	-9.460558e+000	-1.797418e-001	 7.081568e-001	-4.271366e-001	 1.802297e+002	 5.004895e+002	-8.536362e+000	 5.004895e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 2.028118e+001	-0.000000e+000	 6.545494e+001	 5.002000e+002	 0.000000e+000	 4.320315e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.000877e+000	-5.374657e-001	-9.055963e+000	-2.177161e-001	-6.940511e-002	 4.214910e-001	 1.814156e+002	 5.016828e+002	-7.998514e+000	 5.016828e+002	 6.548500e+001	-2.500000e+003	 0.000000e+000	 4.462133e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.838906e+000	-8.264349e-001	-9.460437e+000	-1.788161e-001	 7.125037e-001	-4.383924e-001	 1.802187e+002	 5.004783e+002	-8.557715e+000	 5.004783e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 2.095722e+001	-0.000000e+000	 6.545331e+001	 6.002000e+002	 0.000000e+000	 4.315537e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.278180e+000	-5.732284e-001	-9.042319e+000	-2.181022e-001	-9.101769e-002	 4.388007e-001	 1.814456e+002	 5.017130e+002	-8.001347e+000	 5.017130e+002	 6.548515e+001	-2.500000e+003	 0.000000e+000	 4.462096e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.921664e+000	-8.375684e-001	-9.460316e+000	-1.778923e-001	 7.168499e-001	-4.496467e-001	 1.802076e+002	 5.004672e+002	-8.579070e+000	 5.004672e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 2.163326e+001	-0.000000e+000	 6.545164e+001	 7.002000e+002	 0.000000e+000	 4.310757e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.555410e+000	-6.090933e-001	-9.028669e+000	-2.184909e-001	-1.126239e-001	 4.561053e-001	 1.814756e+002	 5.017432e+002	-8.004189e+000	 5.017432e+002	 6.548529e+001	-2.500000e+003	 0.000000e+000	 4.462058e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.004407e+000	-8.486910e-001	-9.460194e+000	-1.769701e-001	 7.211952e-001	-4.608994e-001	 1.801965e+002	 5.004561e+002	-8.600429e+000	 5.004561e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 2.230930e+001	-0.000000e+000	 6.544992e+001	 8.002000e+002	 0.000000e+000	 4.305975e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.832568e+000	-6.450604e-001	-9.015015e+000	-2.188821e-001	-1.342236e-001	 4.734047e-001	 1.815057e+002	 5.017735e+002	-8.007039e+000	 5.017735e+002	 6.548544e+001	-2.500000e+003	 0.000000e+000	 4.462021e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.087136e+000	-8.598025e-001	-9.460072e+000	-1.760496e-001	 7.255398e-001	-4.721505e-001	 1.801855e+002	 5.004449e+002	-8.621790e+000	 5.004449e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 2.298535e+001	-0.000000e+000	 6.544816e+001	 9.002000e+002	 0.000000e+000	 4.301192e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.109654e+000	-6.811295e-001	-9.001357e+000	-2.192758e-001	-1.558169e-001	 4.906989e-001	 1.815359e+002	 5.018039e+002	-8.009898e+000	 5.018039e+002	 6.548559e+001	-2.500000e+003	 0.000000e+000	 4.461983e+003	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.169850e+000	-8.709031e-001	-9.459949e+000	-1.751309e-001	 7.298836e-001	-4.834001e-001	 1.801744e+002	 5.004339e+002	-8.643155e+000	 5.004339e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
