Date 26-Apr-2021 18:09:37
Maneuver DemoCar_MBS_accelerate_front_opp_opp_0%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.421866e-004	-0.000000e+000	 6.547272e+001	 2.000000e-001	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567008e-001	-5.347232e-002	-9.122774e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509090e+000	 5.012361e+002	 6.547272e+001	 0.000000e+000	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567009e-001	 5.347235e-002	-9.122776e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509091e+000	 5.012361e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 6.762025e-001	-0.000000e+000	 6.547335e+001	 1.002000e+002	 0.000000e+000	 4.338907e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.800015e-001	-8.770927e-002	-9.108567e+000	-1.904663e-001	 1.254557e-001	 7.026457e-002	 1.809997e+002	 5.012643e+002	-8.510816e+000	 5.012643e+002	 6.547315e+001	 0.000000e+000	 0.000000e+000	 4.343935e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.390710e-001	 4.137065e-002	-9.122909e+000	-1.891673e-001	 1.513342e-001	 4.172805e-002	 1.809603e+002	 5.012247e+002	-8.530247e+000	 5.012247e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 1.352245e+000	-0.000000e+000	 6.547223e+001	 2.002000e+002	 0.000000e+000	 4.334154e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.780607e-002	-1.221316e-001	-9.094990e+000	-1.907711e-001	 1.037885e-001	 8.760148e-002	 1.810288e+002	 5.012935e+002	-8.513290e+000	 5.012935e+002	 6.547367e+001	 0.000000e+000	 0.000000e+000	 4.343906e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.217570e-001	 2.924947e-002	-9.122809e+000	-1.881651e-001	 1.556615e-001	 3.046874e-002	 1.809486e+002	 5.012129e+002	-8.551241e+000	 5.012129e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 2.028288e+000	-0.000000e+000	 6.547109e+001	 3.002000e+002	 0.000000e+000	 4.329394e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.755079e-001	-1.566527e-001	-9.081395e+000	-1.910786e-001	 8.213044e-002	 1.049318e-001	 1.810579e+002	 5.013229e+002	-8.515763e+000	 5.013229e+002	 6.547417e+001	 0.000000e+000	 0.000000e+000	 4.343883e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-7.043956e-001	 1.714358e-002	-9.122726e+000	-1.871646e-001	 1.599855e-001	 1.921255e-002	 1.809369e+002	 5.012012e+002	-8.572253e+000	 5.012012e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 2.704331e+000	-0.000000e+000	 6.546991e+001	 4.002000e+002	 0.000000e+000	 4.324632e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 6.531409e-001	-1.912769e-001	-9.067797e+000	-1.913887e-001	 6.047854e-002	 1.222572e-001	 1.810871e+002	 5.013523e+002	-8.518244e+000	 5.013523e+002	 6.547467e+001	 0.000000e+000	 0.000000e+000	 4.343860e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-7.870219e-001	 5.048563e-003	-9.122641e+000	-1.861658e-001	 1.643089e-001	 7.957750e-003	 1.809252e+002	 5.011894e+002	-8.593270e+000	 5.011894e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 3.380374e+000	-0.000000e+000	 6.546868e+001	 5.002000e+002	 0.000000e+000	 4.319869e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.307031e-001	-2.260039e-001	-9.054193e+000	-1.917013e-001	 3.883292e-002	 1.395775e-001	 1.811164e+002	 5.013817e+002	-8.520735e+000	 5.013817e+002	 6.547518e+001	 0.000000e+000	 0.000000e+000	 4.343836e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-8.696341e-001	-7.035364e-003	-9.122556e+000	-1.851687e-001	 1.686316e-001	-3.295555e-003	 1.809136e+002	 5.011776e+002	-8.614289e+000	 5.011776e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 4.056417e+000	-0.000000e+000	 6.546741e+001	 6.002000e+002	 0.000000e+000	 4.315104e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.208195e+000	-2.608337e-001	-9.040586e+000	-1.920165e-001	 1.719359e-002	 1.568929e-001	 1.811458e+002	 5.014113e+002	-8.523235e+000	 5.014113e+002	 6.547568e+001	 0.000000e+000	 0.000000e+000	 4.343812e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-9.522324e-001	-1.910821e-002	-9.122471e+000	-1.841733e-001	 1.729535e-001	-1.454737e-002	 1.809019e+002	 5.011659e+002	-8.635311e+000	 5.011659e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 4.732461e+000	-0.000000e+000	 6.546609e+001	 7.002000e+002	 0.000000e+000	 4.310338e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.485615e+000	-2.957661e-001	-9.026973e+000	-1.923342e-001	-4.439427e-003	 1.742032e-001	 1.811752e+002	 5.014409e+002	-8.525743e+000	 5.014409e+002	 6.547619e+001	 0.000000e+000	 0.000000e+000	 4.343788e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.034817e+000	-3.116998e-002	-9.122386e+000	-1.831797e-001	 1.772747e-001	-2.579768e-002	 1.808902e+002	 5.011542e+002	-8.656338e+000	 5.011542e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 5.408504e+000	-0.000000e+000	 6.546473e+001	 8.002000e+002	 0.000000e+000	 4.305570e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.762964e+000	-3.308012e-001	-9.013355e+000	-1.926545e-001	-2.606612e-002	 1.915085e-001	 1.812047e+002	 5.014706e+002	-8.528261e+000	 5.014706e+002	 6.547669e+001	 0.000000e+000	 0.000000e+000	 4.343764e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.117387e+000	-4.322066e-002	-9.122299e+000	-1.821877e-001	 1.815952e-001	-3.704648e-002	 1.808786e+002	 5.011424e+002	-8.677367e+000	 5.011424e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 6.084548e+000	-0.000000e+000	 6.546332e+001	 9.002000e+002	 0.000000e+000	 4.300800e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.040243e+000	-3.659386e-001	-8.999733e+000	-1.929774e-001	-4.768649e-002	 2.088088e-001	 1.812343e+002	 5.015004e+002	-8.530787e+000	 5.015004e+002	 6.547720e+001	 0.000000e+000	 0.000000e+000	 4.343739e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.199943e+000	-5.526026e-002	-9.122212e+000	-1.811975e-001	 1.859149e-001	-4.829378e-002	 1.808670e+002	 5.011308e+002	-8.698401e+000	 5.011308e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
