Date 26-Apr-2021 18:00:55
Maneuver DemoCar_MBS_accelerate_front_steer_eq+50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 2.700000e+002	 4.995270e+000	-4.712389e+001	 6.636274e+001	 2.000000e-001	 0.000000e+000	 4.331565e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.741422e+001	 1.190906e+001	-9.647719e+000	 3.474629e+000	-4.566291e+000	-2.301476e+001	 1.800113e+002	 5.002697e+002	-2.437167e+000	 5.002697e+002	 6.692870e+001	 2.000000e-001	 0.000000e+000	 4.431074e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.716543e+001	 2.316090e+001	-9.502362e+000	-1.685765e+000	 5.399352e+000	 2.151537e+001	 1.793001e+002	 4.995539e+002	 1.783908e+000	 4.995539e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 2.700000e+002	 5.423349e+000	-4.712389e+001	 6.636956e+001	 1.002000e+002	 0.000000e+000	 4.325490e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.720993e+001	 1.188812e+001	-9.633474e+000	 3.481048e+000	-4.580910e+000	-2.300217e+001	 1.800167e+002	 5.002751e+002	-2.433043e+000	 5.002751e+002	 6.692060e+001	 1.002000e+002	 0.000000e+000	 4.422145e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.734380e+001	 2.317654e+001	-9.478570e+000	-1.691071e+000	 5.382150e+000	 2.151518e+001	 1.793112e+002	 4.995651e+002	 1.737823e+000	 4.995651e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 2.700000e+002	 5.854545e+000	-4.712389e+001	 6.637588e+001	 2.002000e+002	 0.000000e+000	 4.321494e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.700836e+001	 1.186734e+001	-9.623364e+000	 3.488103e+000	-4.596138e+000	-2.299240e+001	 1.800275e+002	 5.002860e+002	-2.431112e+000	 5.002860e+002	 6.691149e+001	 2.002000e+002	 0.000000e+000	 4.416670e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.752693e+001	 2.319515e+001	-9.462921e+000	-1.696558e+000	 5.365309e+000	 2.151733e+001	 1.793334e+002	 4.995875e+002	 1.685285e+000	 4.995875e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 2.700000e+002	 6.288748e+000	-4.712389e+001	 6.638346e+001	 3.002000e+002	 0.000000e+000	 4.318440e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.681097e+001	 1.184710e+001	-9.617100e+000	 3.495628e+000	-4.611774e+000	-2.298522e+001	 1.800432e+002	 5.003018e+002	-2.431585e+000	 5.003018e+002	 6.690380e+001	 3.002000e+002	 0.000000e+000	 4.413574e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.771315e+001	 2.321690e+001	-9.454962e+000	-1.702150e+000	 5.348851e+000	 2.152152e+001	 1.793659e+002	 4.996202e+002	 1.627570e+000	 4.996202e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 2.700000e+002	 6.719953e+000	-4.712389e+001	 6.638977e+001	 4.002000e+002	 0.000000e+000	 4.314097e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.660940e+001	 1.182635e+001	-9.607004e+000	 3.502658e+000	-4.626992e+000	-2.297540e+001	 1.800541e+002	 5.003128e+002	-2.429830e+000	 5.003128e+002	 6.689474e+001	 4.002000e+002	 0.000000e+000	 4.407792e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.789615e+001	 2.323563e+001	-9.439318e+000	-1.707621e+000	 5.331957e+000	 2.152353e+001	 1.793883e+002	 4.996427e+002	 1.575143e+000	 4.996427e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 2.700000e+002	 7.151162e+000	-4.712389e+001	 6.639607e+001	 5.002000e+002	 0.000000e+000	 4.309752e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.640786e+001	 1.180555e+001	-9.596908e+000	 3.509686e+000	-4.642207e+000	-2.296557e+001	 1.800651e+002	 5.003238e+002	-2.428080e+000	 5.003238e+002	 6.688567e+001	 5.002000e+002	 0.000000e+000	 4.402010e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.807910e+001	 2.325439e+001	-9.423674e+000	-1.713089e+000	 5.315065e+000	 2.152554e+001	 1.794107e+002	 4.996652e+002	 1.522735e+000	 4.996652e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 2.700000e+002	 7.582377e+000	-4.712389e+001	 6.640234e+001	 6.002000e+002	 0.000000e+000	 4.305407e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.620635e+001	 1.178470e+001	-9.586812e+000	 3.516711e+000	-4.657418e+000	-2.295573e+001	 1.800762e+002	 5.003350e+002	-2.426334e+000	 5.003350e+002	 6.687659e+001	 6.002000e+002	 0.000000e+000	 4.396227e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.826200e+001	 2.327318e+001	-9.408030e+000	-1.718551e+000	 5.298174e+000	 2.152754e+001	 1.794331e+002	 4.996878e+002	 1.470347e+000	 4.996878e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 2.700000e+002	 8.013597e+000	-4.712389e+001	 6.640858e+001	 7.002000e+002	 0.000000e+000	 4.301061e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.600486e+001	 1.176381e+001	-9.576718e+000	 3.523734e+000	-4.672627e+000	-2.294590e+001	 1.800873e+002	 5.003461e+002	-2.424591e+000	 5.003461e+002	 6.686749e+001	 7.002000e+002	 0.000000e+000	 4.390443e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.844485e+001	 2.329200e+001	-9.392386e+000	-1.724009e+000	 5.281285e+000	 2.152953e+001	 1.794556e+002	 4.997104e+002	 1.417977e+000	 4.997104e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 2.700000e+002	 8.444823e+000	-4.712389e+001	 6.641481e+001	 8.002000e+002	 0.000000e+000	 4.296713e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.580339e+001	 1.174287e+001	-9.566626e+000	 3.530754e+000	-4.687832e+000	-2.293606e+001	 1.800984e+002	 5.003573e+002	-2.422851e+000	 5.003573e+002	 6.685838e+001	 8.002000e+002	 0.000000e+000	 4.384659e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.862766e+001	 2.331085e+001	-9.376742e+000	-1.729463e+000	 5.264399e+000	 2.153151e+001	 1.794781e+002	 4.997331e+002	 1.365628e+000	 4.997331e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 2.700000e+002	 8.876055e+000	-4.712389e+001	 6.642101e+001	 9.002000e+002	 0.000000e+000	 4.292365e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.560194e+001	 1.172189e+001	-9.556533e+000	 3.537772e+000	-4.703033e+000	-2.292621e+001	 1.801096e+002	 5.003687e+002	-2.421115e+000	 5.003687e+002	 6.684926e+001	 9.002000e+002	 0.000000e+000	 4.378873e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.881041e+001	 2.332973e+001	-9.361098e+000	-1.734911e+000	 5.247514e+000	 2.153349e+001	 1.795007e+002	 4.997558e+002	 1.313297e+000	 4.997558e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
