Date 26-Apr-2021 17:59:35
Maneuver DemoCar_MBS_accelerate_front_steer_eq-75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	-4.050000e+002	-7.995096e+000	 7.068583e+001	 6.879590e+001	 2.000000e-001	 0.000000e+000	 4.472548e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.753946e+001	-3.859026e+001	-9.618603e+000	-1.671622e+000	 8.243845e+000	 3.262921e+001	 1.771375e+002	 4.973773e+002	 1.299270e+001	 4.973773e+002	 6.747026e+001	 2.000000e-001	 0.000000e+000	 4.390329e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.222885e+001	-1.136123e+001	-1.136626e+001	 6.742304e+000	-6.738199e+000	-3.780250e+001	 1.787458e+002	 4.989961e+002	 9.858863e+000	 4.989961e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	-4.050000e+002	-8.896942e+000	 7.068583e+001	 6.878281e+001	 1.002000e+002	 0.000000e+000	 4.457255e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.770756e+001	-3.859733e+001	-9.578045e+000	-1.679894e+000	 8.227283e+000	 3.262389e+001	 1.771295e+002	 4.973693e+002	 1.294088e+001	 4.973693e+002	 6.747551e+001	 1.002000e+002	 0.000000e+000	 4.380766e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.201876e+001	-1.134584e+001	-1.134747e+001	 6.749626e+000	-6.749003e+000	-3.778013e+001	 1.787393e+002	 4.989896e+002	 9.871055e+000	 4.989896e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	-4.050000e+002	-9.813595e+000	 7.068583e+001	 6.876950e+001	 2.002000e+002	 0.000000e+000	 4.451453e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.788340e+001	-3.860984e+001	-9.560978e+000	-1.688455e+000	 8.211142e+000	 3.262247e+001	 1.771534e+002	 4.973934e+002	 1.287098e+001	 4.973934e+002	 6.748267e+001	 2.002000e+002	 0.000000e+000	 4.377047e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.181513e+001	-1.132826e+001	-1.133878e+001	 6.758577e+000	-6.760634e+000	-3.776393e+001	 1.787450e+002	 4.989953e+002	 9.880486e+000	 4.989953e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	-4.050000e+002	-1.074493e+001	 7.068583e+001	 6.875939e+001	 3.002000e+002	 0.000000e+000	 4.453069e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.806432e+001	-3.862814e+001	-9.566966e+000	-1.697174e+000	 8.195481e+000	 3.262461e+001	 1.772081e+002	 4.974484e+002	 1.278497e+001	 4.974484e+002	 6.749412e+001	 3.002000e+002	 0.000000e+000	 4.375163e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.162005e+001	-1.130910e+001	-1.133985e+001	 6.768791e+000	-6.772868e+000	-3.775354e+001	 1.787629e+002	 4.990133e+002	 9.885991e+000	 4.990133e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	-4.050000e+002	-1.166158e+001	 7.068583e+001	 6.874628e+001	 4.002000e+002	 0.000000e+000	 4.446627e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.824003e+001	-3.864080e+001	-9.549923e+000	-1.705728e+000	 8.179249e+000	 3.262301e+001	 1.772321e+002	 4.974726e+002	 1.271521e+001	 4.974726e+002	 6.750134e+001	 4.002000e+002	 0.000000e+000	 4.370132e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.141637e+001	-1.129162e+001	-1.133118e+001	 6.777705e+000	-6.784525e+000	-3.773732e+001	 1.787689e+002	 4.990193e+002	 9.895032e+000	 4.990193e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	-4.050000e+002	-1.257823e+001	 7.068583e+001	 6.873316e+001	 5.002000e+002	 0.000000e+000	 4.440186e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.841570e+001	-3.865349e+001	-9.532885e+000	-1.714276e+000	 8.163017e+000	 3.262139e+001	 1.772562e+002	 4.974969e+002	 1.264548e+001	 4.974969e+002	 6.750855e+001	 5.002000e+002	 0.000000e+000	 4.365100e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.121270e+001	-1.127409e+001	-1.132251e+001	 6.786613e+000	-6.796183e+000	-3.772109e+001	 1.787749e+002	 4.990254e+002	 9.904056e+000	 4.990254e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	-4.050000e+002	-1.349489e+001	 7.068583e+001	 6.872001e+001	 6.002000e+002	 0.000000e+000	 4.433743e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.859132e+001	-3.866621e+001	-9.515850e+000	-1.722816e+000	 8.146785e+000	 3.261978e+001	 1.772804e+002	 4.975212e+002	 1.257577e+001	 4.975212e+002	 6.751574e+001	 6.002000e+002	 0.000000e+000	 4.360065e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.100904e+001	-1.125652e+001	-1.131384e+001	 6.795516e+000	-6.807841e+000	-3.770485e+001	 1.787810e+002	 4.990315e+002	 9.913060e+000	 4.990315e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	-4.050000e+002	-1.441155e+001	 7.068583e+001	 6.870686e+001	 7.002000e+002	 0.000000e+000	 4.427300e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.876689e+001	-3.867896e+001	-9.498820e+000	-1.731350e+000	 8.130554e+000	 3.261816e+001	 1.773046e+002	 4.975455e+002	 1.250609e+001	 4.975455e+002	 6.752292e+001	 7.002000e+002	 0.000000e+000	 4.355030e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.080539e+001	-1.123890e+001	-1.130517e+001	 6.804414e+000	-6.819499e+000	-3.768860e+001	 1.787871e+002	 4.990377e+002	 9.922045e+000	 4.990377e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	-4.050000e+002	-1.532822e+001	 7.068583e+001	 6.869368e+001	 8.002000e+002	 0.000000e+000	 4.420856e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.894242e+001	-3.869174e+001	-9.481793e+000	-1.739876e+000	 8.114324e+000	 3.261653e+001	 1.773288e+002	 4.975699e+002	 1.243643e+001	 4.975699e+002	 6.753007e+001	 8.002000e+002	 0.000000e+000	 4.349994e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.060174e+001	-1.122124e+001	-1.129651e+001	 6.813305e+000	-6.831159e+000	-3.767236e+001	 1.787933e+002	 4.990439e+002	 9.931013e+000	 4.990439e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	-4.050000e+002	-1.624489e+001	 7.068583e+001	 6.868050e+001	 9.002000e+002	 0.000000e+000	 4.414411e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.911791e+001	-3.870456e+001	-9.464771e+000	-1.748396e+000	 8.098093e+000	 3.261489e+001	 1.773531e+002	 4.975943e+002	 1.236679e+001	 4.975943e+002	 6.753721e+001	 9.002000e+002	 0.000000e+000	 4.344956e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.039811e+001	-1.120354e+001	-1.128784e+001	 6.822191e+000	-6.842819e+000	-3.765610e+001	 1.787996e+002	 4.990502e+002	 9.939962e+000	 4.990502e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
