Date 26-Apr-2021 17:50:10
Maneuver DemoCar_MBS_aligning_torque_front_eq+25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 7.492136e-004	-0.000000e+000	 9.175474e+001	 0.000000e+000	 0.000000e+000	 4.994180e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	 7.175952e-001	-2.838499e-001	 1.526949e+001	-1.758277e-001	-2.562522e-001	 3.961297e-002	 1.577720e+002	 4.778693e+002	 1.430995e+001	 4.778693e+002	 9.175473e+001	 0.000000e+000	 0.000000e+000	 4.994184e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	 7.175945e-001	 2.838498e-001	 1.526947e+001	-1.758277e-001	-2.562520e-001	 3.961299e-002	 1.577720e+002	 4.778693e+002	 1.430994e+001	 4.778693e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 5.000000e-001	 0.000000e+000	-7.877010e-001	-0.000000e+000	 9.175479e+001	 0.000000e+000	 0.000000e+000	 4.994035e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	 6.910234e-001	-2.744978e-001	 1.526991e+001	-1.750694e-001	-2.561830e-001	 3.247139e-002	 1.577688e+002	 4.778661e+002	 1.430373e+001	 4.778661e+002	 9.175470e+001	 0.000000e+000	 0.000000e+000	 4.994323e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	 7.441970e-001	 2.932078e-001	 1.526906e+001	-1.765859e-001	-2.563242e-001	 4.675543e-002	 1.577752e+002	 4.778725e+002	 1.431616e+001	 4.778725e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 1.000000e+000	 0.000000e+000	-1.576151e+000	-0.000000e+000	 9.175478e+001	 0.000000e+000	 0.000000e+000	 4.993869e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	 6.643538e-001	-2.651286e-001	 1.527040e+001	-1.743093e-001	-2.561097e-001	 2.531502e-002	 1.577655e+002	 4.778627e+002	 1.429757e+001	 4.778627e+002	 9.175470e+001	 0.000000e+000	 0.000000e+000	 4.994488e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	 7.708673e-001	 3.025820e-001	 1.526858e+001	-1.773463e-001	-2.563979e-001	 5.391118e-002	 1.577785e+002	 4.778758e+002	 1.432233e+001	 4.778758e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 1.500000e+000	 0.000000e+000	-2.364601e+000	-0.000000e+000	 9.175476e+001	 0.000000e+000	 0.000000e+000	 4.993704e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	 6.376951e-001	-2.557624e-001	 1.527088e+001	-1.735494e-001	-2.560373e-001	 1.815918e-002	 1.577622e+002	 4.778594e+002	 1.429140e+001	 4.778594e+002	 9.175472e+001	 0.000000e+000	 0.000000e+000	 4.994653e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	 7.975275e-001	 3.119566e-001	 1.526809e+001	-1.781069e-001	-2.564708e-001	 6.106599e-002	 1.577817e+002	 4.778791e+002	 1.432850e+001	 4.778791e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 2.000000e+000	 0.000000e+000	-3.153051e+000	-0.000000e+000	 9.175475e+001	 0.000000e+000	 0.000000e+000	 4.993538e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	 6.110359e-001	-2.463978e-001	 1.527137e+001	-1.727896e-001	-2.559650e-001	 1.100307e-002	 1.577589e+002	 4.778561e+002	 1.428523e+001	 4.778561e+002	 9.175473e+001	 0.000000e+000	 0.000000e+000	 4.994819e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	 8.241888e-001	 3.213329e-001	 1.526761e+001	-1.788677e-001	-2.565440e-001	 6.822066e-002	 1.577850e+002	 4.778824e+002	 1.433468e+001	 4.778824e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 2.500000e+000	 0.000000e+000	-3.941501e+000	-0.000000e+000	 9.175473e+001	 0.000000e+000	 0.000000e+000	 4.993373e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	 5.843770e-001	-2.370349e-001	 1.527185e+001	-1.720299e-001	-2.558929e-001	 3.846759e-003	 1.577556e+002	 4.778528e+002	 1.427906e+001	 4.778528e+002	 9.175474e+001	 0.000000e+000	 0.000000e+000	 4.994984e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	 8.508503e-001	 3.307108e-001	 1.526713e+001	-1.796286e-001	-2.566173e-001	 7.537511e-002	 1.577883e+002	 4.778857e+002	 1.434085e+001	 4.778857e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 3.000000e+000	 0.000000e+000	-4.729951e+000	-0.000000e+000	 9.175471e+001	 0.000000e+000	 0.000000e+000	 4.993207e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	 5.577183e-001	-2.276736e-001	 1.527234e+001	-1.712703e-001	-2.558208e-001	-3.309759e-003	 1.577524e+002	 4.778495e+002	 1.427289e+001	 4.778495e+002	 9.175475e+001	 0.000000e+000	 0.000000e+000	 4.995149e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	 8.775120e-001	 3.400904e-001	 1.526664e+001	-1.803896e-001	-2.566906e-001	 8.252937e-002	 1.577916e+002	 4.778891e+002	 1.434702e+001	 4.778891e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 3.500000e+000	 0.000000e+000	-5.518402e+000	-0.000000e+000	 9.175469e+001	 0.000000e+000	 0.000000e+000	 4.993041e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	 5.310600e-001	-2.183140e-001	 1.527282e+001	-1.705109e-001	-2.557489e-001	-1.046648e-002	 1.577491e+002	 4.778462e+002	 1.426673e+001	 4.778462e+002	 9.175475e+001	 0.000000e+000	 0.000000e+000	 4.995314e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	 9.041741e-001	 3.494717e-001	 1.526616e+001	-1.811507e-001	-2.567642e-001	 8.968342e-002	 1.577949e+002	 4.778924e+002	 1.435320e+001	 4.778924e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 4.000000e+000	 0.000000e+000	-6.306852e+000	-0.000000e+000	 9.175467e+001	 0.000000e+000	 0.000000e+000	 4.992875e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	 5.044020e-001	-2.089561e-001	 1.527331e+001	-1.697516e-001	-2.556771e-001	-1.762342e-002	 1.577458e+002	 4.778429e+002	 1.426056e+001	 4.778429e+002	 9.175476e+001	 0.000000e+000	 0.000000e+000	 4.995479e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	 9.308365e-001	 3.588547e-001	 1.526567e+001	-1.819120e-001	-2.568378e-001	 9.683726e-002	 1.577982e+002	 4.778957e+002	 1.435937e+001	 4.778957e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
 4.500000e+000	 0.000000e+000	-7.095302e+000	-0.000000e+000	 9.175465e+001	 0.000000e+000	 0.000000e+000	 4.992709e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	 4.777443e-001	-1.995998e-001	 1.527379e+001	-1.689924e-001	-2.556054e-001	-2.478056e-002	 1.577425e+002	 4.778396e+002	 1.425440e+001	 4.778396e+002	 9.175477e+001	 0.000000e+000	 0.000000e+000	 4.995644e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	 9.574991e-001	 3.682394e-001	 1.526519e+001	-1.826734e-001	-2.569115e-001	 1.039909e-001	 1.578015e+002	 4.778990e+002	 1.436555e+001	 4.778990e+002	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001	 1.048556e+002	 0.000000e+000	 0.000000e+000	 3.477035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.458561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.458561e+001	-2.458561e+001	 2.458561e+001	-2.458561e+001
