Date 26-Apr-2021 17:49:25
Maneuver DemoCar_MBS_aligning_torque_front_eq-50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-1.852303e-005	-0.000000e+000	 1.294770e+001	 0.000000e+000	 0.000000e+000	 3.128973e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-3.233405e+000	-3.239781e+000	-5.815097e+001	 1.488219e-001	 8.698566e-001	 3.118482e-002	 2.265342e+002	 5.470265e+002	-5.397542e+001	 5.470265e+002	 1.294770e+001	 0.000000e+000	 0.000000e+000	 3.128975e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-3.233405e+000	 3.239782e+000	-5.815097e+001	 1.488220e-001	 8.698567e-001	 3.118483e-002	 2.265342e+002	 5.470266e+002	-5.397543e+001	 5.470266e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 5.000000e-001	 0.000000e+000	-8.174204e-001	-0.000000e+000	 1.294767e+001	 0.000000e+000	 0.000000e+000	 3.128894e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-3.255424e+000	-3.230957e+000	-5.815075e+001	 1.494754e-001	 8.694376e-001	 2.400474e-002	 2.265324e+002	 5.470247e+002	-5.398350e+001	 5.470247e+002	 1.294775e+001	 0.000000e+000	 0.000000e+000	 3.129044e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-3.211322e+000	 3.248606e+000	-5.815116e+001	 1.481686e-001	 8.702692e-001	 3.836418e-002	 2.265360e+002	 5.470283e+002	-5.396733e+001	 5.470283e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 1.000000e+000	 0.000000e+000	-1.634818e+000	-0.000000e+000	 1.294761e+001	 0.000000e+000	 0.000000e+000	 3.128804e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-3.277491e+000	-3.222115e+000	-5.815050e+001	 1.501292e-001	 8.690188e-001	 1.681312e-002	 2.265306e+002	 5.470229e+002	-5.399158e+001	 5.470229e+002	 1.294781e+001	 0.000000e+000	 0.000000e+000	 3.129133e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-3.189254e+000	 3.257452e+000	-5.815141e+001	 1.475146e-001	 8.706874e-001	 4.555469e-002	 2.265378e+002	 5.470302e+002	-5.395925e+001	 5.470302e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 1.500000e+000	 0.000000e+000	-2.452216e+000	-0.000000e+000	 1.294755e+001	 0.000000e+000	 0.000000e+000	 3.128716e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-3.299564e+000	-3.213273e+000	-5.815026e+001	 1.507832e-001	 8.686003e-001	 9.620433e-003	 2.265288e+002	 5.470211e+002	-5.399966e+001	 5.470211e+002	 1.294787e+001	 0.000000e+000	 0.000000e+000	 3.129221e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-3.167177e+000	 3.266300e+000	-5.815165e+001	 1.468605e-001	 8.711048e-001	 5.274555e-002	 2.265397e+002	 5.470320e+002	-5.395116e+001	 5.470320e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 2.000000e+000	 0.000000e+000	-3.269614e+000	-0.000000e+000	 1.294750e+001	 0.000000e+000	 0.000000e+000	 3.128627e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-3.321637e+000	-3.204433e+000	-5.815002e+001	 1.514371e-001	 8.681817e-001	 2.427419e-003	 2.265270e+002	 5.470192e+002	-5.400775e+001	 5.470192e+002	 1.294793e+001	 0.000000e+000	 0.000000e+000	 3.129310e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-3.145100e+000	 3.275150e+000	-5.815189e+001	 1.462064e-001	 8.715221e-001	 5.993600e-002	 2.265415e+002	 5.470338e+002	-5.394308e+001	 5.470338e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 2.500000e+000	 0.000000e+000	-4.087012e+000	-0.000000e+000	 1.294744e+001	 0.000000e+000	 0.000000e+000	 3.128539e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-3.343709e+000	-3.195594e+000	-5.814977e+001	 1.520909e-001	 8.677628e-001	-4.765967e-003	 2.265251e+002	 5.470174e+002	-5.401583e+001	 5.470174e+002	 1.294800e+001	 0.000000e+000	 0.000000e+000	 3.129398e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-3.123022e+000	 3.284000e+000	-5.815214e+001	 1.455523e-001	 8.719392e-001	 6.712609e-002	 2.265433e+002	 5.470356e+002	-5.393499e+001	 5.470356e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 3.000000e+000	 0.000000e+000	-4.904410e+000	-0.000000e+000	 1.294739e+001	 0.000000e+000	 0.000000e+000	 3.128450e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-3.365781e+000	-3.186757e+000	-5.814953e+001	 1.527448e-001	 8.673437e-001	-1.195972e-002	 2.265233e+002	 5.470156e+002	-5.402390e+001	 5.470156e+002	 1.294806e+001	 0.000000e+000	 0.000000e+000	 3.129486e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-3.100944e+000	 3.292852e+000	-5.815238e+001	 1.448982e-001	 8.723560e-001	 7.431582e-002	 2.265452e+002	 5.470375e+002	-5.392691e+001	 5.470375e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 3.500000e+000	 0.000000e+000	-5.721808e+000	-0.000000e+000	 1.294733e+001	 0.000000e+000	 0.000000e+000	 3.128362e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-3.387852e+000	-3.177920e+000	-5.814928e+001	 1.533986e-001	 8.669244e-001	-1.915385e-002	 2.265215e+002	 5.470138e+002	-5.403198e+001	 5.470138e+002	 1.294813e+001	 0.000000e+000	 0.000000e+000	 3.129574e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-3.078865e+000	 3.301705e+000	-5.815262e+001	 1.442440e-001	 8.727727e-001	 8.150519e-002	 2.265470e+002	 5.470393e+002	-5.391882e+001	 5.470393e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 4.000000e+000	 0.000000e+000	-6.539207e+000	-0.000000e+000	 1.294728e+001	 0.000000e+000	 0.000000e+000	 3.128273e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-3.409922e+000	-3.169085e+000	-5.814904e+001	 1.540523e-001	 8.665049e-001	-2.634834e-002	 2.265197e+002	 5.470119e+002	-5.404006e+001	 5.470119e+002	 1.294819e+001	 0.000000e+000	 0.000000e+000	 3.129663e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-3.056786e+000	 3.310560e+000	-5.815287e+001	 1.435898e-001	 8.731892e-001	 8.869419e-002	 2.265488e+002	 5.470412e+002	-5.391073e+001	 5.470412e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 4.500000e+000	 0.000000e+000	-7.356605e+000	-0.000000e+000	 1.294723e+001	 0.000000e+000	 0.000000e+000	 3.128184e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-3.431992e+000	-3.160251e+000	-5.814880e+001	 1.547061e-001	 8.660852e-001	-3.354321e-002	 2.265178e+002	 5.470101e+002	-5.404814e+001	 5.470101e+002	 1.294826e+001	 0.000000e+000	 0.000000e+000	 3.129751e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-3.034706e+000	 3.319415e+000	-5.815311e+001	 1.429355e-001	 8.736055e-001	 9.588282e-002	 2.265506e+002	 5.470430e+002	-5.390264e+001	 5.470430e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
