Date 26-Apr-2021 17:45:59
Maneuver DemoCar_MBS_aligning_torque_front_equilibrium
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.421866e-004	-0.000000e+000	 6.547272e+001	 0.000000e+000	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-4.567008e-001	-5.347232e-002	-9.122774e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509090e+000	 5.012361e+002	 6.547272e+001	 0.000000e+000	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-4.567009e-001	 5.347235e-002	-9.122776e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509091e+000	 5.012361e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-7.986036e-001	-0.000000e+000	 6.547273e+001	 0.000000e+000	 0.000000e+000	 4.343777e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-4.816588e-001	-4.434440e-002	-9.122462e+000	-1.894513e-001	 1.469128e-001	 4.585649e-002	 1.809691e+002	 5.012335e+002	-8.516047e+000	 5.012335e+002	 6.547270e+001	 0.000000e+000	 0.000000e+000	 4.343986e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-4.317493e-001	 6.260072e-002	-9.123084e+000	-1.908810e-001	 1.471376e-001	 6.005070e-002	 1.809743e+002	 5.012388e+002	-8.502129e+000	 5.012388e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-1.597348e+000	-0.000000e+000	 6.547271e+001	 0.000000e+000	 0.000000e+000	 4.343652e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-5.066701e-001	-3.520145e-002	-9.122091e+000	-1.887352e-001	 1.468009e-001	 3.874672e-002	 1.809664e+002	 5.012308e+002	-8.522969e+000	 5.012308e+002	 6.547272e+001	 0.000000e+000	 0.000000e+000	 4.344111e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-4.067368e-001	 7.174820e-002	-9.123454e+000	-1.915974e-001	 1.472490e-001	 6.715974e-002	 1.809770e+002	 5.012415e+002	-8.495205e+000	 5.012415e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-2.396092e+000	-0.000000e+000	 6.547269e+001	 0.000000e+000	 0.000000e+000	 4.343527e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-5.316781e-001	-2.606034e-002	-9.121724e+000	-1.880191e-001	 1.466887e-001	 3.163677e-002	 1.809637e+002	 5.012281e+002	-8.529892e+000	 5.012281e+002	 6.547274e+001	 0.000000e+000	 0.000000e+000	 4.344235e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-3.817267e-001	 8.089691e-002	-9.123821e+000	-1.923139e-001	 1.473605e-001	 7.426846e-002	 1.809798e+002	 5.012442e+002	-8.488279e+000	 5.012442e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-3.194836e+000	-0.000000e+000	 6.547267e+001	 0.000000e+000	 0.000000e+000	 4.343403e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-5.566860e-001	-1.692072e-002	-9.121357e+000	-1.873032e-001	 1.465762e-001	 2.452656e-002	 1.809610e+002	 5.012254e+002	-8.536815e+000	 5.012254e+002	 6.547276e+001	 0.000000e+000	 0.000000e+000	 4.344359e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-3.567160e-001	 9.004714e-002	-9.124189e+000	-1.930305e-001	 1.474719e-001	 8.137693e-002	 1.809825e+002	 5.012469e+002	-8.481353e+000	 5.012469e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-3.993580e+000	-0.000000e+000	 6.547264e+001	 0.000000e+000	 0.000000e+000	 4.343279e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-5.816934e-001	-7.782618e-003	-9.120989e+000	-1.865874e-001	 1.464637e-001	 1.741611e-002	 1.809583e+002	 5.012227e+002	-8.543736e+000	 5.012227e+002	 6.547278e+001	 0.000000e+000	 0.000000e+000	 4.344483e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-3.317049e-001	 9.919889e-002	-9.124556e+000	-1.937472e-001	 1.475831e-001	 8.848516e-002	 1.809852e+002	 5.012497e+002	-8.474426e+000	 5.012497e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-4.792325e+000	-0.000000e+000	 6.547262e+001	 0.000000e+000	 0.000000e+000	 4.343154e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-6.067003e-001	 1.353966e-003	-9.120621e+000	-1.858716e-001	 1.463510e-001	 1.030541e-002	 1.809556e+002	 5.012199e+002	-8.550658e+000	 5.012199e+002	 6.547280e+001	 0.000000e+000	 0.000000e+000	 4.344607e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-3.066934e-001	 1.083522e-001	-9.124923e+000	-1.944640e-001	 1.476941e-001	 9.559315e-002	 1.809879e+002	 5.012524e+002	-8.467498e+000	 5.012524e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-5.591069e+000	-0.000000e+000	 6.547259e+001	 0.000000e+000	 0.000000e+000	 4.343030e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-6.317068e-001	 1.048903e-002	-9.120253e+000	-1.851560e-001	 1.462381e-001	 3.194459e-003	 1.809529e+002	 5.012172e+002	-8.557579e+000	 5.012172e+002	 6.547283e+001	 0.000000e+000	 0.000000e+000	 4.344731e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-2.816815e-001	 1.175070e-001	-9.125290e+000	-1.951809e-001	 1.478050e-001	 1.027009e-001	 1.809906e+002	 5.012551e+002	-8.460571e+000	 5.012551e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-6.389812e+000	-0.000000e+000	 6.547257e+001	 0.000000e+000	 0.000000e+000	 4.342906e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-6.567130e-001	 1.962259e-002	-9.119885e+000	-1.844404e-001	 1.461251e-001	-3.916742e-003	 1.809502e+002	 5.012145e+002	-8.564499e+000	 5.012145e+002	 6.547285e+001	 0.000000e+000	 0.000000e+000	 4.344855e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-2.566692e-001	 1.266633e-001	-9.125656e+000	-1.958979e-001	 1.479158e-001	 1.098084e-001	 1.809933e+002	 5.012578e+002	-8.453642e+000	 5.012578e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-7.188557e+000	-0.000000e+000	 6.547255e+001	 0.000000e+000	 0.000000e+000	 4.342781e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-6.817187e-001	 2.875462e-002	-9.119517e+000	-1.837250e-001	 1.460120e-001	-1.102819e-002	 1.809475e+002	 5.012118e+002	-8.571419e+000	 5.012118e+002	 6.547287e+001	 0.000000e+000	 0.000000e+000	 4.344979e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-2.316565e-001	 1.358211e-001	-9.126023e+000	-1.966150e-001	 1.480264e-001	 1.169156e-001	 1.809960e+002	 5.012606e+002	-8.446713e+000	 5.012606e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
