Date 26-Apr-2021 18:07:24
Maneuver DemoCar_MBS_aligning_torque_front_opp_opp+25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-5.990249e+000	-0.000000e+000	 6.547319e+001	 0.000000e+000	 0.000000e+000	 4.342829e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-6.037445e-001	-3.287757e-002	-9.119707e+000	-1.867988e-001	 1.519027e-001	 2.577435e-002	 1.809476e+002	 5.012119e+002	-8.556521e+000	 5.012119e+002	 6.547349e+001	 0.000000e+000	 0.000000e+000	 4.344727e+003	 0.000000e+000	-0.000000e+000	 7.500000e+001	-2.292151e-001	 1.699917e-001	-9.125321e+000	-1.975389e-001	 1.536093e-001	 1.323317e-001	 1.809882e+002	 5.012527e+002	-8.452774e+000	 5.012527e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-6.389625e+000	-0.000000e+000	 6.547311e+001	 0.000000e+000	 0.000000e+000	 4.342801e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-6.193085e-001	-2.507284e-002	-9.119619e+000	-1.863076e-001	 1.514945e-001	 2.045513e-002	 1.809466e+002	 5.012108e+002	-8.560351e+000	 5.012108e+002	 6.547348e+001	 0.000000e+000	 0.000000e+000	 4.344764e+003	 0.000000e+000	-0.000000e+000	 7.500000e+001	-2.190223e-001	 1.714304e-001	-9.125433e+000	-1.977644e-001	 1.532552e-001	 1.341742e-001	 1.809897e+002	 5.012543e+002	-8.449513e+000	 5.012543e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-6.789000e+000	-0.000000e+000	 6.547306e+001	 0.000000e+000	 0.000000e+000	 4.342745e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-6.344753e-001	-1.731448e-002	-9.119448e+000	-1.858167e-001	 1.510544e-001	 1.516052e-002	 1.809455e+002	 5.012097e+002	-8.564102e+000	 5.012097e+002	 6.547345e+001	 0.000000e+000	 0.000000e+000	 4.344834e+003	 0.000000e+000	-0.000000e+000	 7.500000e+001	-2.092160e-001	 1.728113e-001	-9.125637e+000	-1.979896e-001	 1.529298e-001	 1.359863e-001	 1.809914e+002	 5.012559e+002	-8.446349e+000	 5.012559e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-7.188376e+000	-0.000000e+000	 6.547300e+001	 0.000000e+000	 0.000000e+000	 4.342689e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-6.496588e-001	-9.554175e-003	-9.119282e+000	-1.853256e-001	 1.506154e-001	 9.864216e-003	 1.809444e+002	 5.012087e+002	-8.567858e+000	 5.012087e+002	 6.547341e+001	 0.000000e+000	 0.000000e+000	 4.344903e+003	 0.000000e+000	-0.000000e+000	 7.500000e+001	-1.993923e-001	 1.741950e-001	-9.125838e+000	-1.982149e-001	 1.526032e-001	 1.377999e-001	 1.809930e+002	 5.012575e+002	-8.443179e+000	 5.012575e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-7.587755e+000	-0.000000e+000	 6.547295e+001	 0.000000e+000	 0.000000e+000	 4.342634e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-6.648405e-001	-1.794649e-003	-9.119115e+000	-1.848346e-001	 1.501761e-001	 4.567794e-003	 1.809433e+002	 5.012075e+002	-8.571613e+000	 5.012075e+002	 6.547338e+001	 0.000000e+000	 0.000000e+000	 4.344972e+003	 0.000000e+000	-0.000000e+000	 7.500000e+001	-1.895697e-001	 1.755788e-001	-9.126038e+000	-1.984403e-001	 1.522767e-001	 1.396135e-001	 1.809946e+002	 5.012591e+002	-8.440009e+000	 5.012591e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-7.987134e+000	-0.000000e+000	 6.547290e+001	 0.000000e+000	 0.000000e+000	 4.342578e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-6.800212e-001	 5.964223e-003	-9.118948e+000	-1.843436e-001	 1.497367e-001	-7.288201e-004	 1.809422e+002	 5.012065e+002	-8.575367e+000	 5.012065e+002	 6.547335e+001	 0.000000e+000	 0.000000e+000	 4.345041e+003	 0.000000e+000	-0.000000e+000	 7.500000e+001	-1.797476e-001	 1.769629e-001	-9.126239e+000	-1.986656e-001	 1.519502e-001	 1.414271e-001	 1.809962e+002	 5.012608e+002	-8.436840e+000	 5.012608e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-8.386516e+000	-0.000000e+000	 6.547284e+001	 0.000000e+000	 0.000000e+000	 4.342523e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-6.952008e-001	 1.372244e-002	-9.118781e+000	-1.838526e-001	 1.492970e-001	-6.025622e-003	 1.809411e+002	 5.012053e+002	-8.579121e+000	 5.012053e+002	 6.547331e+001	 0.000000e+000	 0.000000e+000	 4.345110e+003	 0.000000e+000	-0.000000e+000	 7.500000e+001	-1.699258e-001	 1.783471e-001	-9.126440e+000	-1.988910e-001	 1.516238e-001	 1.432407e-001	 1.809978e+002	 5.012624e+002	-8.433671e+000	 5.012624e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-8.785899e+000	-0.000000e+000	 6.547279e+001	 0.000000e+000	 0.000000e+000	 4.342467e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-7.103795e-001	 2.147999e-002	-9.118614e+000	-1.833616e-001	 1.488572e-001	-1.132261e-002	 1.809400e+002	 5.012043e+002	-8.582876e+000	 5.012043e+002	 6.547328e+001	 0.000000e+000	 0.000000e+000	 4.345179e+003	 0.000000e+000	-0.000000e+000	 7.500000e+001	-1.601044e-001	 1.797316e-001	-9.126641e+000	-1.991164e-001	 1.512974e-001	 1.450543e-001	 1.809994e+002	 5.012640e+002	-8.430501e+000	 5.012640e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-9.185284e+000	-0.000000e+000	 6.547274e+001	 0.000000e+000	 0.000000e+000	 4.342412e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-7.255571e-001	 2.923689e-002	-9.118447e+000	-1.828706e-001	 1.484171e-001	-1.661979e-002	 1.809389e+002	 5.012032e+002	-8.586630e+000	 5.012032e+002	 6.547325e+001	 0.000000e+000	 0.000000e+000	 4.345247e+003	 0.000000e+000	-0.000000e+000	 7.500000e+001	-1.502833e-001	 1.811163e-001	-9.126842e+000	-1.993418e-001	 1.509710e-001	 1.468679e-001	 1.810010e+002	 5.012656e+002	-8.427330e+000	 5.012656e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-9.584670e+000	-0.000000e+000	 6.547268e+001	 0.000000e+000	 0.000000e+000	 4.342356e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-7.407337e-001	 3.699313e-002	-9.118280e+000	-1.823796e-001	 1.479769e-001	-2.191716e-002	 1.809378e+002	 5.012020e+002	-8.590383e+000	 5.012020e+002	 6.547322e+001	 0.000000e+000	 0.000000e+000	 4.345316e+003	 0.000000e+000	-0.000000e+000	 7.500000e+001	-1.404627e-001	 1.825011e-001	-9.127042e+000	-1.995672e-001	 1.506448e-001	 1.486814e-001	 1.810026e+002	 5.012673e+002	-8.424161e+000	 5.012673e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
