Date 26-Apr-2021 18:06:48
Maneuver DemoCar_MBS_aligning_torque_front_opp_opp-25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 5.990893e+000	-0.000000e+000	 6.547225e+001	 0.000000e+000	 0.000000e+000	 4.344934e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-3.097418e-001	-7.411499e-002	-9.125842e+000	-1.935382e-001	 1.421575e-001	 8.013399e-002	 1.809958e+002	 5.012604e+002	-8.461632e+000	 5.012604e+002	 6.547203e+001	 0.000000e+000	 0.000000e+000	 4.343033e+003	 0.000000e+000	-0.000000e+000	-7.500000e+001	-6.839596e-001	-6.289918e-002	-9.120220e+000	-1.827935e-001	 1.403964e-001	-2.646623e-002	 1.809554e+002	 5.012197e+002	-8.565370e+000	 5.012197e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 5.591521e+000	-0.000000e+000	 6.547226e+001	 0.000000e+000	 0.000000e+000	 4.344868e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-3.245030e-001	-6.641543e-002	-9.125643e+000	-1.930477e-001	 1.416911e-001	 7.487990e-002	 1.809948e+002	 5.012593e+002	-8.465337e+000	 5.012593e+002	 6.547194e+001	 0.000000e+000	 0.000000e+000	 4.343109e+003	 0.000000e+000	-0.000000e+000	-7.500000e+001	-6.745633e-001	-6.158509e-002	-9.120443e+000	-1.830161e-001	 1.401005e-001	-2.468709e-002	 1.809569e+002	 5.012212e+002	-8.562243e+000	 5.012212e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 5.192146e+000	-0.000000e+000	 6.547222e+001	 0.000000e+000	 0.000000e+000	 4.344813e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-3.397030e-001	-5.864214e-002	-9.125478e+000	-1.925556e-001	 1.412536e-001	 6.958329e-002	 1.809937e+002	 5.012583e+002	-8.469097e+000	 5.012583e+002	 6.547192e+001	 0.000000e+000	 0.000000e+000	 4.343178e+003	 0.000000e+000	-0.000000e+000	-7.500000e+001	-6.647172e-001	-6.020863e-002	-9.120642e+000	-1.832404e-001	 1.397724e-001	-2.287110e-002	 1.809585e+002	 5.012228e+002	-8.559075e+000	 5.012228e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 4.792769e+000	-0.000000e+000	 6.547217e+001	 0.000000e+000	 0.000000e+000	 4.344758e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-3.548816e-001	-5.087239e-002	-9.125312e+000	-1.920635e-001	 1.408145e-001	 6.428805e-002	 1.809926e+002	 5.012571e+002	-8.472856e+000	 5.012571e+002	 6.547189e+001	 0.000000e+000	 0.000000e+000	 4.343247e+003	 0.000000e+000	-0.000000e+000	-7.500000e+001	-6.548918e-001	-5.883483e-002	-9.120843e+000	-1.834646e-001	 1.394459e-001	-2.105666e-002	 1.809601e+002	 5.012245e+002	-8.555911e+000	 5.012245e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 4.393391e+000	-0.000000e+000	 6.547212e+001	 0.000000e+000	 0.000000e+000	 4.344703e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-3.700601e-001	-4.310316e-002	-9.125145e+000	-1.915713e-001	 1.403752e-001	 5.899255e-002	 1.809915e+002	 5.012560e+002	-8.476614e+000	 5.012560e+002	 6.547187e+001	 0.000000e+000	 0.000000e+000	 4.343316e+003	 0.000000e+000	-0.000000e+000	-7.500000e+001	-6.450659e-001	-5.746069e-002	-9.121045e+000	-1.836888e-001	 1.391194e-001	-1.924215e-002	 1.809617e+002	 5.012261e+002	-8.552745e+000	 5.012261e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 3.994011e+000	-0.000000e+000	 6.547208e+001	 0.000000e+000	 0.000000e+000	 4.344647e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-3.852375e-001	-3.533460e-002	-9.124978e+000	-1.910792e-001	 1.399358e-001	 5.369687e-002	 1.809904e+002	 5.012549e+002	-8.480373e+000	 5.012549e+002	 6.547185e+001	 0.000000e+000	 0.000000e+000	 4.343385e+003	 0.000000e+000	-0.000000e+000	-7.500000e+001	-6.352405e-001	-5.608634e-002	-9.121246e+000	-1.839130e-001	 1.387929e-001	-1.742764e-002	 1.809633e+002	 5.012277e+002	-8.549579e+000	 5.012277e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 3.594630e+000	-0.000000e+000	 6.547203e+001	 0.000000e+000	 0.000000e+000	 4.344592e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-4.004139e-001	-2.756670e-002	-9.124812e+000	-1.905871e-001	 1.394961e-001	 4.840100e-002	 1.809893e+002	 5.012538e+002	-8.484132e+000	 5.012538e+002	 6.547182e+001	 0.000000e+000	 0.000000e+000	 4.343454e+003	 0.000000e+000	-0.000000e+000	-7.500000e+001	-6.254154e-001	-5.471178e-002	-9.121447e+000	-1.841373e-001	 1.384664e-001	-1.561313e-002	 1.809649e+002	 5.012293e+002	-8.546413e+000	 5.012293e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 3.195246e+000	-0.000000e+000	 6.547199e+001	 0.000000e+000	 0.000000e+000	 4.344537e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-4.155893e-001	-1.979946e-002	-9.124645e+000	-1.900950e-001	 1.390563e-001	 4.310495e-002	 1.809882e+002	 5.012527e+002	-8.487890e+000	 5.012527e+002	 6.547180e+001	 0.000000e+000	 0.000000e+000	 4.343523e+003	 0.000000e+000	-0.000000e+000	-7.500000e+001	-6.155908e-001	-5.333701e-002	-9.121648e+000	-1.843616e-001	 1.381400e-001	-1.379862e-002	 1.809666e+002	 5.012310e+002	-8.543247e+000	 5.012310e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 2.795862e+000	-0.000000e+000	 6.547194e+001	 0.000000e+000	 0.000000e+000	 4.344482e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-4.307637e-001	-1.203288e-002	-9.124478e+000	-1.896029e-001	 1.386162e-001	 3.780870e-002	 1.809871e+002	 5.012516e+002	-8.491647e+000	 5.012516e+002	 6.547177e+001	 0.000000e+000	 0.000000e+000	 4.343592e+003	 0.000000e+000	-0.000000e+000	-7.500000e+001	-6.057665e-001	-5.196203e-002	-9.121849e+000	-1.845859e-001	 1.378137e-001	-1.198410e-002	 1.809682e+002	 5.012326e+002	-8.540081e+000	 5.012326e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 2.396476e+000	-0.000000e+000	 6.547190e+001	 0.000000e+000	 0.000000e+000	 4.344427e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-4.459370e-001	-4.266955e-003	-9.124312e+000	-1.891108e-001	 1.381759e-001	 3.251227e-002	 1.809860e+002	 5.012506e+002	-8.495405e+000	 5.012506e+002	 6.547175e+001	 0.000000e+000	 0.000000e+000	 4.343661e+003	 0.000000e+000	-0.000000e+000	-7.500000e+001	-5.959426e-001	-5.058683e-002	-9.122050e+000	-1.848103e-001	 1.374874e-001	-1.016959e-002	 1.809698e+002	 5.012342e+002	-8.536915e+000	 5.012342e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
