Date 26-Apr-2021 17:58:52
Maneuver DemoCar_MBS_aligning_torque_front_steer_eq+50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 2.700000e+002	 4.995270e+000	-4.712389e+001	 6.636274e+001	 0.000000e+000	 0.000000e+000	 4.331565e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-3.741422e+001	 1.190906e+001	-9.647719e+000	 3.474629e+000	-4.566291e+000	-2.301476e+001	 1.800113e+002	 5.002697e+002	-2.437167e+000	 5.002697e+002	 6.692870e+001	 0.000000e+000	 0.000000e+000	 4.431074e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	 2.716543e+001	 2.316090e+001	-9.502362e+000	-1.685765e+000	 5.399352e+000	 2.151537e+001	 1.793001e+002	 4.995539e+002	 1.783908e+000	 4.995539e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 2.700000e+002	 4.108790e+000	-4.712389e+001	 6.636147e+001	 0.000000e+000	 0.000000e+000	 4.330758e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-3.743804e+001	 1.191408e+001	-9.646659e+000	 3.475376e+000	-4.566369e+000	-2.302168e+001	 1.800068e+002	 5.002652e+002	-2.440304e+000	 5.002652e+002	 6.692728e+001	 0.000000e+000	 0.000000e+000	 4.429098e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	 2.718475e+001	 2.317080e+001	-9.497687e+000	-1.686332e+000	 5.399270e+000	 2.152051e+001	 1.792950e+002	 4.995488e+002	 1.797516e+000	 4.995488e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 2.700000e+002	 3.225341e+000	-4.712389e+001	 6.636160e+001	 0.000000e+000	 0.000000e+000	 4.331933e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-3.746614e+001	 1.191935e+001	-9.649429e+000	 3.476677e+000	-4.566892e+000	-2.303140e+001	 1.800071e+002	 5.002654e+002	-2.445318e+000	 5.002654e+002	 6.692746e+001	 0.000000e+000	 0.000000e+000	 4.430454e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	 2.720734e+001	 2.318367e+001	-9.500789e+000	-1.687026e+000	 5.399750e+000	 2.152809e+001	 1.793001e+002	 4.995539e+002	 1.805679e+000	 4.995539e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 2.700000e+002	 2.344898e+000	-4.712389e+001	 6.636301e+001	 0.000000e+000	 0.000000e+000	 4.334051e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-3.749840e+001	 1.192519e+001	-9.656044e+000	 3.478449e+000	-4.567829e+000	-2.304372e+001	 1.800122e+002	 5.002705e+002	-2.452728e+000	 5.002705e+002	 6.692907e+001	 0.000000e+000	 0.000000e+000	 4.434188e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	 2.723306e+001	 2.319966e+001	-9.511580e+000	-1.687827e+000	 5.400612e+000	 2.153772e+001	 1.793153e+002	 4.995693e+002	 1.808667e+000	 4.995693e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 2.700000e+002	 1.461445e+000	-4.712389e+001	 6.636319e+001	 0.000000e+000	 0.000000e+000	 4.334880e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-3.752645e+001	 1.193057e+001	-9.658825e+000	 3.479732e+000	-4.568352e+000	-2.305341e+001	 1.800125e+002	 5.002708e+002	-2.457903e+000	 5.002708e+002	 6.692934e+001	 0.000000e+000	 0.000000e+000	 4.435238e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	 2.725561e+001	 2.321261e+001	-9.514687e+000	-1.688516e+000	 5.401037e+000	 2.154518e+001	 1.793205e+002	 4.995745e+002	 1.816913e+000	 4.995745e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 2.700000e+002	 5.779906e-001	-4.712389e+001	 6.636337e+001	 0.000000e+000	 0.000000e+000	 4.335710e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-3.755450e+001	 1.193595e+001	-9.661606e+000	 3.481015e+000	-4.568876e+000	-2.306309e+001	 1.800128e+002	 5.002712e+002	-2.463076e+000	 5.002712e+002	 6.692960e+001	 0.000000e+000	 0.000000e+000	 4.436288e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	 2.727816e+001	 2.322555e+001	-9.517793e+000	-1.689205e+000	 5.401461e+000	 2.155264e+001	 1.793256e+002	 4.995796e+002	 1.825161e+000	 4.995796e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 2.700000e+002	-3.054651e-001	-4.712389e+001	 6.636355e+001	 0.000000e+000	 0.000000e+000	 4.336539e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-3.758255e+001	 1.194132e+001	-9.664387e+000	 3.482299e+000	-4.569401e+000	-2.307278e+001	 1.800131e+002	 5.002715e+002	-2.468246e+000	 5.002715e+002	 6.692986e+001	 0.000000e+000	 0.000000e+000	 4.437337e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	 2.730071e+001	 2.323850e+001	-9.520899e+000	-1.689893e+000	 5.401886e+000	 2.156011e+001	 1.793308e+002	 4.995848e+002	 1.833411e+000	 4.995848e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 2.700000e+002	-1.188922e+000	-4.712389e+001	 6.636373e+001	 0.000000e+000	 0.000000e+000	 4.337369e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-3.761061e+001	 1.194669e+001	-9.667168e+000	 3.483583e+000	-4.569927e+000	-2.308248e+001	 1.800134e+002	 5.002718e+002	-2.473413e+000	 5.002718e+002	 6.693012e+001	 0.000000e+000	 0.000000e+000	 4.438387e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	 2.732326e+001	 2.325145e+001	-9.524005e+000	-1.690582e+000	 5.402310e+000	 2.156757e+001	 1.793359e+002	 4.995899e+002	 1.841663e+000	 4.995899e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 2.700000e+002	-2.072381e+000	-4.712389e+001	 6.636391e+001	 0.000000e+000	 0.000000e+000	 4.338198e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-3.763865e+001	 1.195207e+001	-9.669950e+000	 3.484868e+000	-4.570454e+000	-2.309217e+001	 1.800137e+002	 5.002722e+002	-2.478576e+000	 5.002722e+002	 6.693038e+001	 0.000000e+000	 0.000000e+000	 4.439437e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	 2.734581e+001	 2.326441e+001	-9.527111e+000	-1.691271e+000	 5.402735e+000	 2.157504e+001	 1.793410e+002	 4.995951e+002	 1.849917e+000	 4.995951e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 2.700000e+002	-2.955842e+000	-4.712389e+001	 6.636410e+001	 0.000000e+000	 0.000000e+000	 4.339027e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-3.766670e+001	 1.195744e+001	-9.672733e+000	 3.486155e+000	-4.570982e+000	-2.310187e+001	 1.800141e+002	 5.002725e+002	-2.483736e+000	 5.002725e+002	 6.693064e+001	 0.000000e+000	 0.000000e+000	 4.440487e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	 2.736836e+001	 2.327736e+001	-9.530217e+000	-1.691960e+000	 5.403161e+000	 2.158250e+001	 1.793461e+002	 4.996003e+002	 1.858173e+000	 4.996003e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
