Date 26-Apr-2021 17:57:43
Maneuver DemoCar_MBS_aligning_torque_front_steer_eq-50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	-2.700000e+002	-4.994947e+000	 4.712389e+001	 6.692853e+001	 0.000000e+000	 0.000000e+000	 4.431130e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	 2.716542e+001	-2.316090e+001	-9.502524e+000	-1.685764e+000	 5.399354e+000	 2.151537e+001	 1.793002e+002	 4.995541e+002	 1.783771e+000	 4.995541e+002	 6.636273e+001	 0.000000e+000	 0.000000e+000	 4.331568e+003	 0.000000e+000	-0.000000e+000	 1.000000e-002	-3.741422e+001	-1.190906e+001	-9.647727e+000	 3.474629e+000	-4.566291e+000	-2.301476e+001	 1.800113e+002	 5.002697e+002	-2.437177e+000	 5.002697e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	-2.700000e+002	-5.875483e+000	 4.712389e+001	 6.692737e+001	 0.000000e+000	 0.000000e+000	 4.427126e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	 2.713972e+001	-2.314503e+001	-9.491841e+000	-1.684960e+000	 5.398443e+000	 2.150567e+001	 1.792851e+002	 4.995389e+002	 1.780831e+000	 4.995389e+002	 6.636161e+001	 0.000000e+000	 0.000000e+000	 4.329130e+003	 0.000000e+000	-0.000000e+000	 5.010000e+000	-3.738193e+001	-1.190335e+001	-9.641204e+000	 3.472857e+000	-4.565376e+000	-2.300247e+001	 1.800063e+002	 5.002646e+002	-2.429983e+000	 5.002646e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	-2.700000e+002	-6.758990e+000	 4.712389e+001	 6.692704e+001	 0.000000e+000	 0.000000e+000	 4.426382e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	 2.711720e+001	-2.313204e+001	-9.488730e+000	-1.684277e+000	 5.398078e+000	 2.149832e+001	 1.792799e+002	 4.995337e+002	 1.772518e+000	 4.995337e+002	 6.636140e+001	 0.000000e+000	 0.000000e+000	 4.328647e+003	 0.000000e+000	-0.000000e+000	 1.001000e+001	-3.735392e+001	-1.189784e+001	-9.638419e+000	 3.471600e+000	-4.564861e+000	-2.299285e+001	 1.800060e+002	 5.002643e+002	-2.424624e+000	 5.002643e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	-2.700000e+002	-7.645494e+000	 4.712389e+001	 6.692813e+001	 0.000000e+000	 0.000000e+000	 4.428018e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	 2.709782e+001	-2.312216e+001	-9.493311e+000	-1.683703e+000	 5.398094e+000	 2.149303e+001	 1.792850e+002	 4.995387e+002	 1.759023e+000	 4.995387e+002	 6.636247e+001	 0.000000e+000	 0.000000e+000	 4.329085e+003	 0.000000e+000	-0.000000e+000	 1.501000e+001	-3.733007e+001	-1.189291e+001	-9.639413e+000	 3.470814e+000	-4.564760e+000	-2.298583e+001	 1.800104e+002	 5.002688e+002	-2.421599e+000	 5.002688e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	-2.700000e+002	-8.528998e+000	 4.712389e+001	 6.692788e+001	 0.000000e+000	 0.000000e+000	 4.426968e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	 2.707526e+001	-2.310923e+001	-9.490205e+000	-1.683015e+000	 5.397671e+000	 2.148558e+001	 1.792798e+002	 4.995336e+002	 1.750790e+000	 4.995336e+002	 6.636230e+001	 0.000000e+000	 0.000000e+000	 4.328257e+003	 0.000000e+000	-0.000000e+000	 2.001000e+001	-3.730201e+001	-1.188752e+001	-9.636639e+000	 3.469537e+000	-4.564245e+000	-2.297616e+001	 1.800101e+002	 5.002685e+002	-2.416404e+000	 5.002685e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	-2.700000e+002	-9.412501e+000	 4.712389e+001	 6.692762e+001	 0.000000e+000	 0.000000e+000	 4.425918e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	 2.705270e+001	-2.309631e+001	-9.487100e+000	-1.682327e+000	 5.397250e+000	 2.147812e+001	 1.792747e+002	 4.995284e+002	 1.742560e+000	 4.995284e+002	 6.636212e+001	 0.000000e+000	 0.000000e+000	 4.327429e+003	 0.000000e+000	-0.000000e+000	 2.501000e+001	-3.727395e+001	-1.188212e+001	-9.633865e+000	 3.468262e+000	-4.563730e+000	-2.296651e+001	 1.800098e+002	 5.002682e+002	-2.411205e+000	 5.002682e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	-2.700000e+002	-1.029600e+001	 4.712389e+001	 6.692736e+001	 0.000000e+000	 0.000000e+000	 4.424868e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	 2.703014e+001	-2.308339e+001	-9.483994e+000	-1.681640e+000	 5.396828e+000	 2.147066e+001	 1.792696e+002	 4.995232e+002	 1.734331e+000	 4.995232e+002	 6.636196e+001	 0.000000e+000	 0.000000e+000	 4.326600e+003	 0.000000e+000	-0.000000e+000	 3.001000e+001	-3.724588e+001	-1.187672e+001	-9.631092e+000	 3.466987e+000	-4.563217e+000	-2.295685e+001	 1.800095e+002	 5.002679e+002	-2.406003e+000	 5.002679e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	-2.700000e+002	-1.117950e+001	 4.712389e+001	 6.692711e+001	 0.000000e+000	 0.000000e+000	 4.423818e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	 2.700759e+001	-2.307047e+001	-9.480888e+000	-1.680952e+000	 5.396407e+000	 2.146321e+001	 1.792645e+002	 4.995181e+002	 1.726105e+000	 4.995181e+002	 6.636179e+001	 0.000000e+000	 0.000000e+000	 4.325772e+003	 0.000000e+000	-0.000000e+000	 3.501000e+001	-3.721782e+001	-1.187132e+001	-9.628318e+000	 3.465713e+000	-4.562705e+000	-2.294720e+001	 1.800092e+002	 5.002676e+002	-2.400798e+000	 5.002676e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	-2.700000e+002	-1.206300e+001	 4.712389e+001	 6.692685e+001	 0.000000e+000	 0.000000e+000	 4.422769e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	 2.698503e+001	-2.305755e+001	-9.477782e+000	-1.680265e+000	 5.395986e+000	 2.145575e+001	 1.792593e+002	 4.995129e+002	 1.717880e+000	 4.995129e+002	 6.636162e+001	 0.000000e+000	 0.000000e+000	 4.324943e+003	 0.000000e+000	-0.000000e+000	 4.001000e+001	-3.718976e+001	-1.186592e+001	-9.625546e+000	 3.464440e+000	-4.562194e+000	-2.293755e+001	 1.800089e+002	 5.002673e+002	-2.395590e+000	 5.002673e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	-2.700000e+002	-1.294650e+001	 4.712389e+001	 6.692659e+001	 0.000000e+000	 0.000000e+000	 4.421719e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	 2.696247e+001	-2.304463e+001	-9.474676e+000	-1.679578e+000	 5.395565e+000	 2.144830e+001	 1.792542e+002	 4.995078e+002	 1.709657e+000	 4.995078e+002	 6.636146e+001	 0.000000e+000	 0.000000e+000	 4.324115e+003	 0.000000e+000	-0.000000e+000	 4.501000e+001	-3.716170e+001	-1.186052e+001	-9.622773e+000	 3.463168e+000	-4.561684e+000	-2.292791e+001	 1.800086e+002	 5.002670e+002	-2.390379e+000	 5.002670e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
