Date 26-Apr-2021 17:54:56
Maneuver DemoCar_MBS_brake_front_eq+75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-6.856712e-004	-0.000000e+000	 1.443425e+002	 2.000000e-001	 0.000000e+000	 6.631925e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.667107e+000	-4.167892e+000	 6.308783e+001	 2.892786e-001	-1.176652e+000	-5.276910e-002	 1.113550e+002	 4.309047e+002	 6.013294e+001	 4.309047e+002	 1.443425e+002	 2.000000e-001	 0.000000e+000	 6.631920e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.667107e+000	 4.167893e+000	 6.308784e+001	 2.892788e-001	-1.176653e+000	-5.276914e-002	 1.113550e+002	 4.309047e+002	 6.013295e+001	 4.309047e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 5.000000e-001	 0.000000e+000	-7.372378e-004	-0.000000e+000	 1.443439e+002	 1.002000e+002	 0.000000e+000	 6.628043e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.852863e+000	-4.195156e+000	 6.309891e+001	 2.898456e-001	-1.194070e+000	-4.326185e-002	 1.113756e+002	 4.309257e+002	 6.012160e+001	 4.309257e+002	 1.443439e+002	 1.002000e+002	 0.000000e+000	 6.628039e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.852864e+000	 4.195157e+000	 6.309892e+001	 2.898457e-001	-1.194071e+000	-4.326189e-002	 1.113756e+002	 4.309257e+002	 6.012162e+001	 4.309257e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 1.000000e+000	 0.000000e+000	-7.888221e-004	-0.000000e+000	 1.443442e+002	 2.002000e+002	 0.000000e+000	 6.624302e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	 3.039528e+000	-4.222490e+000	 6.310958e+001	 2.904079e-001	-1.211586e+000	-3.373660e-002	 1.113970e+002	 4.309475e+002	 6.010977e+001	 4.309475e+002	 1.443442e+002	 2.002000e+002	 0.000000e+000	 6.624297e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	 3.039529e+000	 4.222491e+000	 6.310960e+001	 2.904081e-001	-1.211587e+000	-3.373664e-002	 1.113970e+002	 4.309475e+002	 6.010978e+001	 4.309475e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 1.500000e+000	 0.000000e+000	-9.986931e-004	-0.000000e+000	 1.443492e+002	 3.002000e+002	 0.000000e+000	 6.589452e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 3.517337e+000	-4.260071e+000	 6.320900e+001	 2.962865e-001	-1.278866e+000	-3.224191e-002	 1.113996e+002	 4.309501e+002	 6.014993e+001	 4.309501e+002	 1.443492e+002	 3.002000e+002	 0.000000e+000	 6.589446e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 3.517338e+000	 4.260072e+000	 6.320901e+001	 2.962867e-001	-1.278866e+000	-3.224195e-002	 1.113996e+002	 4.309501e+002	 6.014995e+001	 4.309501e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 2.000000e+000	 0.000000e+000	-1.103002e-003	-0.000000e+000	 1.443491e+002	 4.002000e+002	 0.000000e+000	 6.575338e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 3.800982e+000	-4.291038e+000	 6.324925e+001	 2.986398e-001	-1.312968e+000	-2.540004e-002	 1.114149e+002	 4.309657e+002	 6.015548e+001	 4.309657e+002	 1.443491e+002	 4.002000e+002	 0.000000e+000	 6.575333e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 3.800983e+000	 4.291039e+000	 6.324927e+001	 2.986400e-001	-1.312968e+000	-2.540008e-002	 1.114149e+002	 4.309656e+002	 6.015549e+001	 4.309656e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 2.500000e+000	 0.000000e+000	-1.207344e-003	-0.000000e+000	 1.443487e+002	 5.002000e+002	 0.000000e+000	 6.561208e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 4.084643e+000	-4.322143e+000	 6.328956e+001	 3.010028e-001	-1.347070e+000	-1.855495e-002	 1.114302e+002	 4.309812e+002	 6.016109e+001	 4.309812e+002	 1.443487e+002	 5.002000e+002	 0.000000e+000	 6.561202e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 4.084644e+000	 4.322145e+000	 6.328958e+001	 3.010030e-001	-1.347071e+000	-1.855499e-002	 1.114302e+002	 4.309812e+002	 6.016110e+001	 4.309812e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 3.000000e+000	 0.000000e+000	-1.311695e-003	-0.000000e+000	 1.443481e+002	 6.002000e+002	 0.000000e+000	 6.547074e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 4.368228e+000	-4.353371e+000	 6.332988e+001	 3.033745e-001	-1.381164e+000	-1.171049e-002	 1.114456e+002	 4.309969e+002	 6.016673e+001	 4.309969e+002	 1.443481e+002	 6.002000e+002	 0.000000e+000	 6.547068e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 4.368229e+000	 4.353373e+000	 6.332990e+001	 3.033747e-001	-1.381164e+000	-1.171052e-002	 1.114456e+002	 4.309969e+002	 6.016674e+001	 4.309969e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 3.500000e+000	 0.000000e+000	-1.416061e-003	-0.000000e+000	 1.443472e+002	 7.002000e+002	 0.000000e+000	 6.532936e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 4.651737e+000	-4.384721e+000	 6.337021e+001	 3.057549e-001	-1.415248e+000	-4.866621e-003	 1.114611e+002	 4.310126e+002	 6.017241e+001	 4.310126e+002	 1.443472e+002	 7.002000e+002	 0.000000e+000	 6.532930e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 4.651738e+000	 4.384723e+000	 6.337022e+001	 3.057551e-001	-1.415249e+000	-4.866654e-003	 1.114610e+002	 4.310126e+002	 6.017242e+001	 4.310126e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 4.000000e+000	 0.000000e+000	-1.520446e-003	-0.000000e+000	 1.443460e+002	 8.002000e+002	 0.000000e+000	 6.518795e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 4.935170e+000	-4.416193e+000	 6.341054e+001	 3.081439e-001	-1.449324e+000	 1.976674e-003	 1.114766e+002	 4.310284e+002	 6.017812e+001	 4.310284e+002	 1.443460e+002	 8.002000e+002	 0.000000e+000	 6.518789e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 4.935171e+000	 4.416195e+000	 6.341056e+001	 3.081441e-001	-1.449324e+000	 1.976642e-003	 1.114766e+002	 4.310284e+002	 6.017813e+001	 4.310284e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
 4.500000e+000	 0.000000e+000	-1.624855e-003	-0.000000e+000	 1.443445e+002	 9.002000e+002	 0.000000e+000	 6.504651e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 5.218526e+000	-4.447787e+000	 6.345089e+001	 3.105417e-001	-1.483390e+000	 8.819420e-003	 1.114922e+002	 4.310443e+002	 6.018386e+001	 4.310443e+002	 1.443445e+002	 9.002000e+002	 0.000000e+000	 6.504645e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 5.218527e+000	 4.447789e+000	 6.345090e+001	 3.105419e-001	-1.483390e+000	 8.819391e-003	 1.114922e+002	 4.310443e+002	 6.018388e+001	 4.310443e+002	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001	 1.538556e+002	 0.000000e+000	 0.000000e+000	 4.702035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.358561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.358561e+001	-7.358561e+001	 7.358561e+001	-7.358561e+001
