Date 26-Apr-2021 17:53:37
Maneuver DemoCar_MBS_brake_front_eq-50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-1.852303e-005	-0.000000e+000	 1.294770e+001	 2.000000e-001	 0.000000e+000	 3.128973e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.233405e+000	-3.239781e+000	-5.815097e+001	 1.488219e-001	 8.698566e-001	 3.118482e-002	 2.265342e+002	 5.470265e+002	-5.397542e+001	 5.470265e+002	 1.294770e+001	 2.000000e-001	 0.000000e+000	 3.128975e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.233405e+000	 3.239782e+000	-5.815097e+001	 1.488220e-001	 8.698567e-001	 3.118483e-002	 2.265342e+002	 5.470266e+002	-5.397543e+001	 5.470266e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 5.000000e-001	 0.000000e+000	-2.899656e-005	-0.000000e+000	 1.294875e+001	 1.002000e+002	 0.000000e+000	 3.122927e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.024136e+000	-3.259418e+000	-5.813370e+001	 1.494101e-001	 8.522712e-001	 3.667807e-002	 2.265478e+002	 5.470402e+002	-5.400357e+001	 5.470402e+002	 1.294875e+001	 1.002000e+002	 0.000000e+000	 3.122929e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.024136e+000	 3.259419e+000	-5.813371e+001	 1.494102e-001	 8.522713e-001	 3.667807e-002	 2.265478e+002	 5.470402e+002	-5.400357e+001	 5.470402e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 1.000000e+000	 0.000000e+000	-3.940947e-005	-0.000000e+000	 1.294819e+001	 2.002000e+002	 0.000000e+000	 3.116995e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	-2.814022e+000	-3.279168e+000	-5.811676e+001	 1.500074e-001	 8.346025e-001	 4.215378e-002	 2.265620e+002	 5.470544e+002	-5.403222e+001	 5.470544e+002	 1.294818e+001	 2.002000e+002	 0.000000e+000	 3.116997e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	-2.814022e+000	 3.279169e+000	-5.811676e+001	 1.500074e-001	 8.346026e-001	 4.215378e-002	 2.265620e+002	 5.470544e+002	-5.403223e+001	 5.470544e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 1.500000e+000	 0.000000e+000	-3.697405e-005	-0.000000e+000	 1.294635e+001	 3.002000e+002	 0.000000e+000	 3.089311e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	-2.310567e+000	-3.282629e+000	-5.803771e+001	 1.531835e-001	 7.750513e-001	 3.050553e-002	 2.265775e+002	 5.470700e+002	-5.406851e+001	 5.470700e+002	 1.294634e+001	 3.002000e+002	 0.000000e+000	 3.089313e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	-2.310568e+000	 3.282629e+000	-5.803772e+001	 1.531836e-001	 7.750514e-001	 3.050554e-002	 2.265775e+002	 5.470700e+002	-5.406851e+001	 5.470700e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 2.000000e+000	 0.000000e+000	-4.299154e-005	-0.000000e+000	 1.294432e+001	 4.002000e+002	 0.000000e+000	 3.076097e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	-2.002474e+000	-3.297142e+000	-5.799998e+001	 1.546677e-001	 7.433938e-001	 3.024936e-002	 2.265923e+002	 5.470848e+002	-5.409965e+001	 5.470848e+002	 1.294432e+001	 4.002000e+002	 0.000000e+000	 3.076100e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	-2.002474e+000	 3.297142e+000	-5.799998e+001	 1.546678e-001	 7.433939e-001	 3.024937e-002	 2.265923e+002	 5.470848e+002	-5.409966e+001	 5.470848e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 2.500000e+000	 0.000000e+000	-4.894635e-005	-0.000000e+000	 1.294220e+001	 5.002000e+002	 0.000000e+000	 3.062908e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	-1.694654e+000	-3.311762e+000	-5.796231e+001	 1.561648e-001	 7.117601e-001	 2.998468e-002	 2.266072e+002	 5.470998e+002	-5.413080e+001	 5.470998e+002	 1.294219e+001	 5.002000e+002	 0.000000e+000	 3.062910e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	-1.694655e+000	 3.311763e+000	-5.796232e+001	 1.561648e-001	 7.117602e-001	 2.998469e-002	 2.266072e+002	 5.470998e+002	-5.413081e+001	 5.470998e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 3.000000e+000	 0.000000e+000	-5.484135e-005	-0.000000e+000	 1.294001e+001	 6.002000e+002	 0.000000e+000	 3.049717e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	-1.386938e+000	-3.326489e+000	-5.792465e+001	 1.576750e-001	 6.801336e-001	 2.971144e-002	 2.266221e+002	 5.471148e+002	-5.416193e+001	 5.471148e+002	 1.294000e+001	 6.002000e+002	 0.000000e+000	 3.049719e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	-1.386938e+000	 3.326490e+000	-5.792465e+001	 1.576751e-001	 6.801337e-001	 2.971145e-002	 2.266221e+002	 5.471148e+002	-5.416194e+001	 5.471148e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 3.500000e+000	 0.000000e+000	-6.067396e-005	-0.000000e+000	 1.293775e+001	 7.002000e+002	 0.000000e+000	 3.036524e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	-1.079325e+000	-3.341322e+000	-5.788698e+001	 1.591985e-001	 6.485144e-001	 2.942962e-002	 2.266372e+002	 5.471299e+002	-5.419302e+001	 5.471299e+002	 1.293774e+001	 7.002000e+002	 0.000000e+000	 3.036527e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	-1.079325e+000	 3.341323e+000	-5.788698e+001	 1.591986e-001	 6.485145e-001	 2.942963e-002	 2.266372e+002	 5.471299e+002	-5.419303e+001	 5.471299e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 4.000000e+000	 0.000000e+000	-6.644159e-005	-0.000000e+000	 1.293542e+001	 8.002000e+002	 0.000000e+000	 3.023331e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	-7.718161e-001	-3.356261e+000	-5.784930e+001	 1.607351e-001	 6.169026e-001	 2.913925e-002	 2.266524e+002	 5.471452e+002	-5.422409e+001	 5.471452e+002	 1.293542e+001	 8.002000e+002	 0.000000e+000	 3.023333e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	-7.718165e-001	 3.356262e+000	-5.784931e+001	 1.607352e-001	 6.169027e-001	 2.913925e-002	 2.266524e+002	 5.471452e+002	-5.422409e+001	 5.471452e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 4.500000e+000	 0.000000e+000	-7.214171e-005	-0.000000e+000	 1.293303e+001	 9.002000e+002	 0.000000e+000	 3.010136e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	-4.644117e-001	-3.371306e+000	-5.781163e+001	 1.622849e-001	 5.852982e-001	 2.884033e-002	 2.266676e+002	 5.471605e+002	-5.425512e+001	 5.471605e+002	 1.293303e+001	 9.002000e+002	 0.000000e+000	 3.010138e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	-4.644121e-001	 3.371307e+000	-5.781164e+001	 1.622850e-001	 5.852983e-001	 2.884034e-002	 2.266676e+002	 5.471605e+002	-5.425513e+001	 5.471605e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 5.000000e+000	 0.000000e+000	-7.777172e-005	-0.000000e+000	 1.293057e+001	 1.000200e+003	 0.000000e+000	 2.996940e+003	 0.000000e+000	-3.180636e+002	 0.000000e+000	-1.571118e-001	-3.386458e+000	-5.777395e+001	 1.638479e-001	 5.537012e-001	 2.853289e-002	 2.266830e+002	 5.471759e+002	-5.428613e+001	 5.471759e+002	 1.293057e+001	 1.000200e+003	 0.000000e+000	 2.996942e+003	 0.000000e+000	-3.180636e+002	 0.000000e+000	-1.571123e-001	 3.386459e+000	-5.777396e+001	 1.638480e-001	 5.537013e-001	 2.853289e-002	 2.266830e+002	 5.471759e+002	-5.428613e+001	 5.471759e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
