Date 26-Apr-2021 18:12:46
Maneuver DemoCar_MBS_brake_front_opp_opp+75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-3.507960e+000	-0.000000e+000	 6.550298e+001	 2.000000e-001	 0.000000e+000	 4.339268e+003	 0.000000e+000	-6.360000e-002	 0.000000e+000	-4.426522e+000	 5.352701e-001	-9.108957e+000	-1.540706e-001	 3.714900e-001	-4.449085e-001	 1.804152e+002	 5.006762e+002	-9.442087e+000	 5.006762e+002	 6.527187e+001	 3.750000e+003	 0.000000e+000	 3.858113e+003	 0.000000e+000	-1.192500e+003	 0.000000e+000	 1.436258e+001	 1.535169e+000	-7.734366e+000	-1.550100e-001	-1.277726e+000	 5.915916e-001	 1.822277e+002	 5.025000e+002	-8.336866e+000	 5.025000e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-3.417415e+000	-0.000000e+000	 6.550508e+001	 1.002000e+002	 0.000000e+000	 4.326977e+003	 0.000000e+000	-3.186360e+001	 0.000000e+000	-4.048795e+000	 5.052684e-001	-9.073884e+000	-1.530644e-001	 3.346903e-001	-4.319792e-001	 1.804434e+002	 5.007045e+002	-9.438335e+000	 5.007045e+002	 6.527583e+001	 3.750000e+003	 0.000000e+000	 3.857175e+003	 0.000000e+000	-1.192500e+003	 0.000000e+000	 1.427569e+001	 1.519591e+000	-7.731603e+000	-1.539049e-001	-1.273170e+000	 5.797979e-001	 1.822113e+002	 5.024835e+002	-8.357766e+000	 5.024835e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-3.326392e+000	-0.000000e+000	 6.550444e+001	 2.002000e+002	 0.000000e+000	 4.314077e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	-3.649394e+000	 4.722111e-001	-9.037011e+000	-1.520779e-001	 2.962677e-001	-4.174437e-001	 1.804728e+002	 5.007340e+002	-9.432508e+000	 5.007340e+002	 6.527762e+001	 3.750000e+003	 0.000000e+000	 3.857155e+003	 0.000000e+000	-1.192500e+003	 0.000000e+000	 1.416870e+001	 1.500639e+000	-7.731536e+000	-1.527433e-001	-1.267160e+000	 5.663612e-001	 1.821946e+002	 5.024667e+002	-8.381809e+000	 5.024667e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-3.235243e+000	-0.000000e+000	 6.550356e+001	 3.002000e+002	 0.000000e+000	 4.301200e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	-3.251029e+000	 4.390469e-001	-9.000206e+000	-1.510845e-001	 2.579249e-001	-4.029835e-001	 1.805023e+002	 5.007637e+002	-9.426792e+000	 5.007637e+002	 6.527946e+001	 3.750000e+003	 0.000000e+000	 3.857104e+003	 0.000000e+000	-1.192500e+003	 0.000000e+000	 1.406262e+001	 1.481855e+000	-7.731371e+000	-1.515860e-001	-1.261215e+000	 5.529959e-001	 1.821780e+002	 5.024499e+002	-8.405746e+000	 5.024499e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-3.143949e+000	-0.000000e+000	 6.550248e+001	 4.002000e+002	 0.000000e+000	 4.288319e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	-2.852753e+000	 4.056469e-001	-8.963388e+000	-1.500851e-001	 2.195920e-001	-3.885258e-001	 1.805319e+002	 5.007936e+002	-9.421083e+000	 5.007936e+002	 6.528130e+001	 3.750000e+003	 0.000000e+000	 3.857052e+003	 0.000000e+000	-1.192500e+003	 0.000000e+000	 1.395652e+001	 1.463083e+000	-7.731209e+000	-1.504310e-001	-1.255270e+000	 5.396291e-001	 1.821613e+002	 5.024331e+002	-8.429696e+000	 5.024331e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-3.052511e+000	-0.000000e+000	 6.550120e+001	 5.002000e+002	 0.000000e+000	 4.275434e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	-2.454607e+000	 3.720169e-001	-8.926561e+000	-1.490796e-001	 1.812720e-001	-3.740738e-001	 1.805617e+002	 5.008236e+002	-9.415385e+000	 5.008236e+002	 6.528314e+001	 3.750000e+003	 0.000000e+000	 3.857001e+003	 0.000000e+000	-1.192500e+003	 0.000000e+000	 1.385043e+001	 1.444330e+000	-7.731046e+000	-1.492785e-001	-1.249325e+000	 5.262638e-001	 1.821447e+002	 5.024164e+002	-8.453652e+000	 5.024164e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-2.960928e+000	-0.000000e+000	 6.549971e+001	 6.002000e+002	 0.000000e+000	 4.262546e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	-2.056589e+000	 3.381567e-001	-8.889723e+000	-1.480680e-001	 1.429649e-001	-3.596272e-001	 1.805917e+002	 5.008537e+002	-9.409699e+000	 5.008537e+002	 6.528498e+001	 3.750000e+003	 0.000000e+000	 3.856949e+003	 0.000000e+000	-1.192500e+003	 0.000000e+000	 1.374437e+001	 1.425595e+000	-7.730881e+000	-1.481284e-001	-1.243382e+000	 5.128999e-001	 1.821280e+002	 5.023997e+002	-8.477617e+000	 5.023997e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-2.869200e+000	-0.000000e+000	 6.549802e+001	 7.002000e+002	 0.000000e+000	 4.249654e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	-1.658700e+000	 3.040667e-001	-8.852875e+000	-1.470504e-001	 1.046708e-001	-3.451862e-001	 1.806218e+002	 5.008840e+002	-9.404021e+000	 5.008840e+002	 6.528682e+001	 3.750000e+003	 0.000000e+000	 3.856897e+003	 0.000000e+000	-1.192500e+003	 0.000000e+000	 1.363833e+001	 1.406879e+000	-7.730716e+000	-1.469808e-001	-1.237440e+000	 4.995374e-001	 1.821114e+002	 5.023830e+002	-8.501590e+000	 5.023830e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-2.777326e+000	-0.000000e+000	 6.549613e+001	 8.002000e+002	 0.000000e+000	 4.236759e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	-1.260941e+000	 2.697470e-001	-8.816017e+000	-1.460268e-001	 6.638983e-002	-3.307507e-001	 1.806521e+002	 5.009145e+002	-9.398355e+000	 5.009145e+002	 6.528867e+001	 3.750000e+003	 0.000000e+000	 3.856844e+003	 0.000000e+000	-1.192500e+003	 0.000000e+000	 1.353231e+001	 1.388182e+000	-7.730551e+000	-1.458356e-001	-1.231500e+000	 4.861762e-001	 1.820949e+002	 5.023663e+002	-8.525570e+000	 5.023663e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-2.685306e+000	-0.000000e+000	 6.549403e+001	 9.002000e+002	 0.000000e+000	 4.223860e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	-8.633123e-001	 2.351980e-001	-8.779149e+000	-1.449971e-001	 2.812195e-002	-3.163207e-001	 1.806825e+002	 5.009451e+002	-9.392698e+000	 5.009451e+002	 6.529052e+001	 3.750000e+003	 0.000000e+000	 3.856792e+003	 0.000000e+000	-1.192500e+003	 0.000000e+000	 1.342630e+001	 1.369503e+000	-7.730384e+000	-1.446927e-001	-1.225560e+000	 4.728165e-001	 1.820783e+002	 5.023496e+002	-8.549558e+000	 5.023496e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
