Date 26-Apr-2021 18:11:43
Maneuver DemoCar_MBS_brake_front_opp_opp-25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.122239e+000	-0.000000e+000	 6.546309e+001	 2.000000e-001	 0.000000e+000	 4.345373e+003	 0.000000e+000	-6.360000e-002	 0.000000e+000	 8.730291e-001	-2.553788e-001	-9.127283e+000	-2.029486e-001	 7.176074e-002	 2.193554e-001	 1.811626e+002	 5.014282e+002	-8.200445e+000	 5.014282e+002	 6.547684e+001	-1.250000e+003	 0.000000e+000	 4.504725e+003	 0.000000e+000	 3.975000e+002	 0.000000e+000	-5.438634e+000	-3.693400e-001	-9.582488e+000	-2.000071e-001	 6.262179e-001	-1.283130e-001	 1.805994e+002	 5.008615e+002	-8.569395e+000	 5.008615e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 1.213057e+000	-0.000000e+000	 6.546646e+001	 1.002000e+002	 0.000000e+000	 4.331853e+003	 0.000000e+000	-3.186360e+001	 0.000000e+000	 1.275769e+000	-2.925950e-001	-9.088625e+000	-2.021899e-001	 3.320509e-002	 2.343685e-001	 1.811925e+002	 5.014583e+002	-8.193894e+000	 5.014583e+002	 6.547642e+001	-1.250000e+003	 0.000000e+000	 4.505037e+003	 0.000000e+000	 3.975000e+002	 0.000000e+000	-5.551599e+000	-3.853638e-001	-9.583376e+000	-1.990429e-001	 6.327411e-001	-1.421251e-001	 1.805854e+002	 5.008474e+002	-8.595820e+000	 5.008474e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 1.303984e+000	-0.000000e+000	 6.546420e+001	 2.002000e+002	 0.000000e+000	 4.318939e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	 1.673427e+000	-3.291560e-001	-9.051714e+000	-2.014072e-001	-5.020822e-003	 2.488556e-001	 1.812240e+002	 5.014901e+002	-8.189447e+000	 5.014901e+002	 6.547682e+001	-1.250000e+003	 0.000000e+000	 4.504904e+003	 0.000000e+000	 3.975000e+002	 0.000000e+000	-5.658231e+000	-4.004961e-001	-9.582977e+000	-1.980900e-001	 6.387987e-001	-1.554366e-001	 1.805708e+002	 5.008327e+002	-8.620898e+000	 5.008327e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 1.395063e+000	-0.000000e+000	 6.546181e+001	 3.002000e+002	 0.000000e+000	 4.305999e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 2.071192e+000	-3.659827e-001	-9.014727e+000	-2.006194e-001	-4.325031e-002	 2.633584e-001	 1.812556e+002	 5.015218e+002	-8.184940e+000	 5.015218e+002	 6.547716e+001	-1.250000e+003	 0.000000e+000	 4.504793e+003	 0.000000e+000	 3.975000e+002	 0.000000e+000	-5.765086e+000	-4.156445e-001	-9.582643e+000	-1.971387e-001	 6.448722e-001	-1.687679e-001	 1.805562e+002	 5.008180e+002	-8.646055e+000	 5.008180e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 1.486293e+000	-0.000000e+000	 6.545922e+001	 4.002000e+002	 0.000000e+000	 4.293056e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 2.468813e+000	-4.030367e-001	-8.977732e+000	-1.998256e-001	-8.146555e-002	 2.778548e-001	 1.812874e+002	 5.015538e+002	-8.180445e+000	 5.015538e+002	 6.547750e+001	-1.250000e+003	 0.000000e+000	 4.504681e+003	 0.000000e+000	 3.975000e+002	 0.000000e+000	-5.871910e+000	-4.307734e-001	-9.582305e+000	-1.961899e-001	 6.509435e-001	-1.820968e-001	 1.805416e+002	 5.008034e+002	-8.671216e+000	 5.008034e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 1.577675e+000	-0.000000e+000	 6.545642e+001	 5.002000e+002	 0.000000e+000	 4.280109e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 2.866300e+000	-4.403195e-001	-8.940727e+000	-1.990258e-001	-1.196672e-001	 2.923456e-001	 1.813193e+002	 5.015860e+002	-8.175960e+000	 5.015860e+002	 6.547784e+001	-1.250000e+003	 0.000000e+000	 4.504568e+003	 0.000000e+000	 3.975000e+002	 0.000000e+000	-5.978714e+000	-4.458841e-001	-9.581966e+000	-1.952436e-001	 6.570134e-001	-1.954243e-001	 1.805271e+002	 5.007887e+002	-8.696383e+000	 5.007887e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 1.669209e+000	-0.000000e+000	 6.545343e+001	 6.002000e+002	 0.000000e+000	 4.267159e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 3.263652e+000	-4.778308e-001	-8.903712e+000	-1.982200e-001	-1.578552e-001	 3.068309e-001	 1.813514e+002	 5.016182e+002	-8.171485e+000	 5.016182e+002	 6.547819e+001	-1.250000e+003	 0.000000e+000	 4.504455e+003	 0.000000e+000	 3.975000e+002	 0.000000e+000	-6.085497e+000	-4.609767e-001	-9.581626e+000	-1.942997e-001	 6.630819e-001	-2.087503e-001	 1.805126e+002	 5.007741e+002	-8.721557e+000	 5.007741e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 1.760895e+000	-0.000000e+000	 6.545023e+001	 7.002000e+002	 0.000000e+000	 4.254206e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 3.660867e+000	-5.155702e-001	-8.866688e+000	-1.974082e-001	-1.960295e-001	 3.213106e-001	 1.813836e+002	 5.016506e+002	-8.167019e+000	 5.016506e+002	 6.547854e+001	-1.250000e+003	 0.000000e+000	 4.504342e+003	 0.000000e+000	 3.975000e+002	 0.000000e+000	-6.192259e+000	-4.760512e-001	-9.581286e+000	-1.933582e-001	 6.691489e-001	-2.220748e-001	 1.804981e+002	 5.007595e+002	-8.746739e+000	 5.007595e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 1.852734e+000	-0.000000e+000	 6.544684e+001	 8.002000e+002	 0.000000e+000	 4.241249e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 4.057946e+000	-5.535377e-001	-8.829653e+000	-1.965904e-001	-2.341900e-001	 3.357848e-001	 1.814160e+002	 5.016832e+002	-8.162563e+000	 5.016832e+002	 6.547889e+001	-1.250000e+003	 0.000000e+000	 4.504228e+003	 0.000000e+000	 3.975000e+002	 0.000000e+000	-6.298999e+000	-4.911075e-001	-9.580944e+000	-1.924191e-001	 6.752145e-001	-2.353979e-001	 1.804836e+002	 5.007449e+002	-8.771928e+000	 5.007449e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 1.944726e+000	-0.000000e+000	 6.544324e+001	 9.002000e+002	 0.000000e+000	 4.228289e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 4.454888e+000	-5.917329e-001	-8.792609e+000	-1.957666e-001	-2.723365e-001	 3.502534e-001	 1.814485e+002	 5.017160e+002	-8.158116e+000	 5.017160e+002	 6.547925e+001	-1.250000e+003	 0.000000e+000	 4.504114e+003	 0.000000e+000	 3.975000e+002	 0.000000e+000	-6.405719e+000	-5.061456e-001	-9.580601e+000	-1.914825e-001	 6.812786e-001	-2.487194e-001	 1.804691e+002	 5.007304e+002	-8.797123e+000	 5.007304e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
