Date 26-Apr-2021 18:03:14
Maneuver DemoCar_MBS_brake_front_steer_eq+75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 4.050000e+002	 7.994514e+000	-7.068583e+001	 6.747078e+001	 2.000000e-001	 0.000000e+000	 4.390147e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.222882e+001	 1.136123e+001	-1.136575e+001	 6.742306e+000	-6.738210e+000	-3.780249e+001	 1.787453e+002	 4.989956e+002	 9.859386e+000	 4.989956e+002	 6.879598e+001	 2.000000e-001	 0.000000e+000	 4.472532e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.753947e+001	 3.859026e+001	-9.618555e+000	-1.671623e+000	 8.243845e+000	 3.262921e+001	 1.771374e+002	 4.973773e+002	 1.299271e+001	 4.973773e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 4.050000e+002	 8.896358e+000	-7.068583e+001	 6.747607e+001	 1.002000e+002	 0.000000e+000	 4.380572e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.201874e+001	 1.134584e+001	-1.134692e+001	 6.749629e+000	-6.749014e+000	-3.778011e+001	 1.787388e+002	 4.989890e+002	 9.871608e+000	 4.989890e+002	 6.878289e+001	 1.002000e+002	 0.000000e+000	 4.457258e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.770757e+001	 3.859732e+001	-9.578055e+000	-1.679896e+000	 8.227281e+000	 3.262389e+001	 1.771296e+002	 4.973693e+002	 1.294084e+001	 4.973693e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 4.050000e+002	 9.812980e+000	-7.068583e+001	 6.748390e+001	 2.002000e+002	 0.000000e+000	 4.376840e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	-6.181510e+001	 1.132826e+001	-1.133819e+001	 6.758580e+000	-6.760645e+000	-3.776391e+001	 1.787445e+002	 4.989947e+002	 9.881069e+000	 4.989947e+002	 6.876985e+001	 2.002000e+002	 0.000000e+000	 4.451457e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	 3.788341e+001	 3.860984e+001	-9.560988e+000	-1.688457e+000	 8.211140e+000	 3.262247e+001	 1.771534e+002	 4.973934e+002	 1.287095e+001	 4.973934e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 4.050000e+002	 9.545485e+000	-7.068583e+001	 6.752478e+001	 3.002000e+002	 0.000000e+000	 4.343958e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	-6.138707e+001	 1.129690e+001	-1.127954e+001	 6.813541e+000	-6.816496e+000	-3.781563e+001	 1.786973e+002	 4.989473e+002	 1.004366e+001	 4.989473e+002	 6.872957e+001	 3.002000e+002	 0.000000e+000	 4.433029e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 3.837381e+001	 3.861341e+001	-9.513092e+000	-1.718359e+000	 8.154375e+000	 3.260843e+001	 1.772663e+002	 4.975070e+002	 1.269793e+001	 4.975070e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 4.050000e+002	 1.006247e+001	-7.068583e+001	 6.754034e+001	 4.002000e+002	 0.000000e+000	 4.328553e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	-6.110516e+001	 1.127514e+001	-1.125112e+001	 6.837652e+000	-6.842865e+000	-3.782061e+001	 1.786817e+002	 4.989316e+002	 1.010569e+001	 4.989316e+002	 6.870533e+001	 4.002000e+002	 0.000000e+000	 4.419954e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 3.865326e+001	 3.862131e+001	-9.478261e+000	-1.733983e+000	 8.124360e+000	 3.260141e+001	 1.773103e+002	 4.975513e+002	 1.259887e+001	 4.975513e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 4.050000e+002	 1.057951e+001	-7.068583e+001	 6.755571e+001	 5.002000e+002	 0.000000e+000	 4.313146e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	-6.082335e+001	 1.125326e+001	-1.122277e+001	 6.861779e+000	-6.869215e+000	-3.782560e+001	 1.786662e+002	 4.989160e+002	 1.016770e+001	 4.989160e+002	 6.868095e+001	 5.002000e+002	 0.000000e+000	 4.406879e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 3.893262e+001	 3.862930e+001	-9.443448e+000	-1.749585e+000	 8.094344e+000	 3.259439e+001	 1.773544e+002	 4.975956e+002	 1.249984e+001	 4.975956e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 4.050000e+002	 1.109662e+001	-7.068583e+001	 6.757086e+001	 6.002000e+002	 0.000000e+000	 4.297739e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	-6.054165e+001	 1.123126e+001	-1.119448e+001	 6.885921e+000	-6.895546e+000	-3.783061e+001	 1.786509e+002	 4.989005e+002	 1.022969e+001	 4.989005e+002	 6.865642e+001	 6.002000e+002	 0.000000e+000	 4.393803e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 3.921190e+001	 3.863740e+001	-9.408653e+000	-1.765163e+000	 8.064329e+000	 3.258736e+001	 1.773985e+002	 4.976400e+002	 1.240085e+001	 4.976400e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 4.050000e+002	 1.161378e+001	-7.068583e+001	 6.758580e+001	 7.002000e+002	 0.000000e+000	 4.282329e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	-6.026005e+001	 1.120912e+001	-1.116625e+001	 6.910077e+000	-6.921859e+000	-3.783561e+001	 1.786356e+002	 4.988852e+002	 1.029168e+001	 4.988852e+002	 6.863174e+001	 7.002000e+002	 0.000000e+000	 4.380727e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 3.949108e+001	 3.864559e+001	-9.373876e+000	-1.780720e+000	 8.034313e+000	 3.258031e+001	 1.774427e+002	 4.976845e+002	 1.230189e+001	 4.976845e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 4.050000e+002	 1.213100e+001	-7.068583e+001	 6.760053e+001	 8.002000e+002	 0.000000e+000	 4.266918e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	-5.997856e+001	 1.118686e+001	-1.113809e+001	 6.934248e+000	-6.948153e+000	-3.784062e+001	 1.786206e+002	 4.988700e+002	 1.035365e+001	 4.988700e+002	 6.860691e+001	 8.002000e+002	 0.000000e+000	 4.367651e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 3.977017e+001	 3.865388e+001	-9.339118e+000	-1.796253e+000	 8.004298e+000	 3.257326e+001	 1.774870e+002	 4.977292e+002	 1.220296e+001	 4.977292e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 4.050000e+002	 1.264828e+001	-7.068583e+001	 6.761504e+001	 9.002000e+002	 0.000000e+000	 4.251505e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	-5.969717e+001	 1.116446e+001	-1.110999e+001	 6.958435e+000	-6.974428e+000	-3.784564e+001	 1.786056e+002	 4.988550e+002	 1.041561e+001	 4.988550e+002	 6.858194e+001	 9.002000e+002	 0.000000e+000	 4.354574e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 4.004917e+001	 3.866228e+001	-9.304378e+000	-1.811764e+000	 7.974282e+000	 3.256620e+001	 1.775314e+002	 4.977738e+002	 1.210407e+001	 4.977738e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
