Date 26-Apr-2021 18:01:55
Maneuver DemoCar_MBS_brake_front_steer_eq-50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	-2.700000e+002	-4.994947e+000	 4.712389e+001	 6.692853e+001	 2.000000e-001	 0.000000e+000	 4.431130e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.716542e+001	-2.316090e+001	-9.502524e+000	-1.685764e+000	 5.399354e+000	 2.151537e+001	 1.793002e+002	 4.995541e+002	 1.783771e+000	 4.995541e+002	 6.636273e+001	 2.000000e-001	 0.000000e+000	 4.331568e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.741422e+001	-1.190906e+001	-9.647727e+000	 3.474629e+000	-4.566291e+000	-2.301476e+001	 1.800113e+002	 5.002697e+002	-2.437177e+000	 5.002697e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	-2.700000e+002	-5.423082e+000	 4.712389e+001	 6.692042e+001	 1.002000e+002	 0.000000e+000	 4.422197e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.734379e+001	-2.317655e+001	-9.478719e+000	-1.691070e+000	 5.382152e+000	 2.151518e+001	 1.793113e+002	 4.995652e+002	 1.737696e+000	 4.995652e+002	 6.636954e+001	 1.002000e+002	 0.000000e+000	 4.325518e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.720992e+001	-1.188812e+001	-9.633557e+000	 3.481047e+000	-4.580909e+000	-2.300217e+001	 1.800168e+002	 5.002753e+002	-2.433126e+000	 5.002753e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	-2.700000e+002	-5.854323e+000	 4.712389e+001	 6.691163e+001	 2.002000e+002	 0.000000e+000	 4.416723e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	 2.752692e+001	-2.319515e+001	-9.463069e+000	-1.696557e+000	 5.365311e+000	 2.151733e+001	 1.793336e+002	 4.995876e+002	 1.685159e+000	 4.995876e+002	 6.637642e+001	 2.002000e+002	 0.000000e+000	 4.321526e+003	 0.000000e+000	-6.366360e+001	 0.000000e+000	-3.700836e+001	-1.186734e+001	-9.623457e+000	 3.488103e+000	-4.596137e+000	-2.299240e+001	 1.800276e+002	 5.002861e+002	-2.431205e+000	 5.002861e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	-2.700000e+002	-5.886281e+000	 4.712389e+001	 6.688357e+001	 3.002000e+002	 0.000000e+000	 4.392822e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	 2.801194e+001	-2.320538e+001	-9.397739e+000	-1.715029e+000	 5.305914e+000	 2.150664e+001	 1.794054e+002	 4.996599e+002	 1.568892e+000	 4.996599e+002	 6.640512e+001	 3.002000e+002	 0.000000e+000	 4.288708e+003	 0.000000e+000	-9.546360e+001	 0.000000e+000	-3.653945e+001	-1.185270e+001	-9.540121e+000	 3.519540e+000	-4.655890e+000	-2.301166e+001	 1.799940e+002	 5.002523e+002	-2.343108e+000	 5.002523e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	-2.700000e+002	-6.183507e+000	 4.712389e+001	 6.686674e+001	 4.002000e+002	 0.000000e+000	 4.380135e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	 2.829483e+001	-2.322037e+001	-9.363068e+000	-1.724785e+000	 5.274660e+000	 2.150367e+001	 1.794412e+002	 4.996959e+002	 1.496761e+000	 4.996959e+002	 6.641718e+001	 4.002000e+002	 0.000000e+000	 4.274419e+003	 0.000000e+000	-1.272636e+002	 0.000000e+000	-3.624709e+001	-1.183371e+001	-9.504319e+000	 3.534607e+000	-4.685865e+000	-2.301071e+001	 1.799886e+002	 5.002469e+002	-2.311739e+000	 5.002469e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	-2.700000e+002	-6.480787e+000	 4.712389e+001	 6.684977e+001	 5.002000e+002	 0.000000e+000	 4.367448e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	 2.857764e+001	-2.323547e+001	-9.328402e+000	-1.734523e+000	 5.243407e+000	 2.150069e+001	 1.794771e+002	 4.997320e+002	 1.424664e+000	 4.997320e+002	 6.642909e+001	 5.002000e+002	 0.000000e+000	 4.260128e+003	 0.000000e+000	-1.590636e+002	 0.000000e+000	-3.595481e+001	-1.181460e+001	-9.468536e+000	 3.549683e+000	-4.715828e+000	-2.300976e+001	 1.799833e+002	 5.002415e+002	-2.280365e+000	 5.002415e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	-2.700000e+002	-6.778121e+000	 4.712389e+001	 6.683267e+001	 6.002000e+002	 0.000000e+000	 4.354760e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	 2.886036e+001	-2.325065e+001	-9.293740e+000	-1.744243e+000	 5.212158e+000	 2.149769e+001	 1.795130e+002	 4.997682e+002	 1.352602e+000	 4.997682e+002	 6.644083e+001	 6.002000e+002	 0.000000e+000	 4.245834e+003	 0.000000e+000	-1.908636e+002	 0.000000e+000	-3.566262e+001	-1.179537e+001	-9.432772e+000	 3.564770e+000	-4.745780e+000	-2.300881e+001	 1.799781e+002	 5.002363e+002	-2.248985e+000	 5.002363e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	-2.700000e+002	-7.075511e+000	 4.712389e+001	 6.681542e+001	 7.002000e+002	 0.000000e+000	 4.342071e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	 2.914300e+001	-2.326593e+001	-9.259082e+000	-1.753946e+000	 5.180913e+000	 2.149469e+001	 1.795490e+002	 4.998044e+002	 1.280577e+000	 4.998044e+002	 6.645240e+001	 7.002000e+002	 0.000000e+000	 4.231539e+003	 0.000000e+000	-2.226636e+002	 0.000000e+000	-3.537051e+001	-1.177603e+001	-9.397029e+000	 3.579868e+000	-4.775720e+000	-2.300785e+001	 1.799730e+002	 5.002311e+002	-2.217600e+000	 5.002311e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	-2.700000e+002	-7.372955e+000	 4.712389e+001	 6.679804e+001	 8.002000e+002	 0.000000e+000	 4.329381e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	 2.942554e+001	-2.328130e+001	-9.224429e+000	-1.763631e+000	 5.149670e+000	 2.149167e+001	 1.795851e+002	 4.998408e+002	 1.208587e+000	 4.998408e+002	 6.646380e+001	 8.002000e+002	 0.000000e+000	 4.217240e+003	 0.000000e+000	-2.544636e+002	 0.000000e+000	-3.507849e+001	-1.175658e+001	-9.361305e+000	 3.594976e+000	-4.805650e+000	-2.300690e+001	 1.799680e+002	 5.002261e+002	-2.186209e+000	 5.002261e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	-2.700000e+002	-7.670456e+000	 4.712389e+001	 6.678052e+001	 9.002000e+002	 0.000000e+000	 4.316691e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	 2.970800e+001	-2.329677e+001	-9.189780e+000	-1.773298e+000	 5.118431e+000	 2.148864e+001	 1.796213e+002	 4.998772e+002	 1.136634e+000	 4.998772e+002	 6.647503e+001	 9.002000e+002	 0.000000e+000	 4.202940e+003	 0.000000e+000	-2.862636e+002	 0.000000e+000	-3.478654e+001	-1.173701e+001	-9.325601e+000	 3.610095e+000	-4.835567e+000	-2.300595e+001	 1.799631e+002	 5.002212e+002	-2.154812e+000	 5.002212e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
