Date 26-Apr-2021 17:48:19
Maneuver DemoCar_MBS_lateral_front_eq+50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 2.047727e-004	-0.000000e+000	 1.180477e+002	 0.000000e+000	 2.000000e-001	 5.676180e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	 1.738673e+000	-1.688639e+000	 3.957233e+001	-1.771628e-002	-6.958771e-001	 4.547582e-003	 1.342611e+002	 4.541292e+002	 3.736680e+001	 4.541292e+002	 1.180477e+002	 0.000000e+000	 2.000000e-001	 5.676188e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	 1.738672e+000	 1.688638e+000	 3.957231e+001	-1.771644e-002	-6.958766e-001	 4.547649e-003	 1.342611e+002	 4.541292e+002	 3.736677e+001	 4.541292e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 5.000000e-001	 0.000000e+000	-9.693008e-002	-0.000000e+000	 1.180440e+002	 0.000000e+000	 1.002000e+002	 5.684271e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	 1.696544e+000	-1.600321e+000	 3.954919e+001	-2.883877e-002	-6.926954e-001	-1.315285e-003	 1.343165e+002	 4.541852e+002	 3.724394e+001	 4.541852e+002	 1.180512e+002	 0.000000e+000	 1.002000e+002	 5.668049e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	 1.780841e+000	 1.776989e+000	 3.959557e+001	-6.587191e-003	-6.990667e-001	 1.041128e-002	 1.342057e+002	 4.540731e+002	 3.748979e+001	 4.540731e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 1.000000e+000	 0.000000e+000	-1.939958e-001	-0.000000e+000	 1.180430e+002	 0.000000e+000	 2.002000e+002	 5.692761e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	 1.654483e+000	-1.511645e+000	 3.952489e+001	-4.001515e-002	-6.895088e-001	-7.178385e-003	 1.343735e+002	 4.542429e+002	 3.711962e+001	 4.542429e+002	 1.180517e+002	 0.000000e+000	 2.002000e+002	 5.659548e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	 1.822979e+000	 1.865727e+000	 3.961986e+001	 4.603681e-003	-7.022710e-001	 1.627345e-002	 1.341486e+002	 4.540154e+002	 3.761420e+001	 4.540154e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 1.500000e+000	 0.000000e+000	-2.910631e-001	-0.000000e+000	 1.180419e+002	 0.000000e+000	 3.002000e+002	 5.701248e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	 1.612481e+000	-1.422995e+000	 3.950060e+001	-5.118666e-002	-6.863306e-001	-1.303904e-002	 1.344305e+002	 4.543006e+002	 3.699532e+001	 4.543006e+002	 1.180520e+002	 0.000000e+000	 3.002000e+002	 5.651044e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	 1.865109e+000	 1.954481e+000	 3.964415e+001	 1.579941e-002	-7.054785e-001	 2.213255e-002	 1.340916e+002	 4.539578e+002	 3.773864e+001	 4.539578e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 2.000000e+000	 0.000000e+000	-3.881331e-001	-0.000000e+000	 1.180405e+002	 0.000000e+000	 4.002000e+002	 5.709731e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	 1.570502e+000	-1.334365e+000	 3.947631e+001	-6.235326e-002	-6.831582e-001	-1.890018e-002	 1.344876e+002	 4.543583e+002	 3.687106e+001	 4.543583e+002	 1.180521e+002	 0.000000e+000	 4.002000e+002	 5.642538e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	 1.907267e+000	 2.043255e+000	 3.966843e+001	 2.699997e-002	-7.086921e-001	 2.799148e-002	 1.340346e+002	 4.539001e+002	 3.786310e+001	 4.539001e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 2.500000e+000	 0.000000e+000	-4.852068e-001	-0.000000e+000	 1.180390e+002	 0.000000e+000	 5.002000e+002	 5.718211e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	 1.528549e+000	-1.245757e+000	 3.945201e+001	-7.351497e-002	-6.799916e-001	-2.476160e-002	 1.345446e+002	 4.544160e+002	 3.674682e+001	 4.544160e+002	 1.180520e+002	 0.000000e+000	 5.002000e+002	 5.634029e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	 1.949450e+000	 2.132049e+000	 3.969271e+001	 3.820537e-002	-7.119114e-001	 3.385008e-002	 1.339776e+002	 4.538424e+002	 3.798759e+001	 4.538424e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 3.000000e+000	 0.000000e+000	-5.822850e-001	-0.000000e+000	 1.180372e+002	 0.000000e+000	 6.002000e+002	 5.726688e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	 1.486622e+000	-1.157169e+000	 3.942771e+001	-8.467177e-002	-6.768310e-001	-3.062334e-002	 1.346017e+002	 4.544737e+002	 3.662262e+001	 4.544737e+002	 1.180518e+002	 0.000000e+000	 6.002000e+002	 5.625518e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	 1.991659e+000	 2.220864e+000	 3.971698e+001	 4.941559e-002	-7.151366e-001	 3.970836e-002	 1.339206e+002	 4.537848e+002	 3.811210e+001	 4.537848e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 3.500000e+000	 0.000000e+000	-6.793687e-001	-0.000000e+000	 1.180353e+002	 0.000000e+000	 7.002000e+002	 5.735160e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	 1.444721e+000	-1.068602e+000	 3.940341e+001	-9.582369e-002	-6.736762e-001	-3.648539e-002	 1.346588e+002	 4.545314e+002	 3.649845e+001	 4.545314e+002	 1.180513e+002	 0.000000e+000	 7.002000e+002	 5.617005e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	 2.033893e+000	 2.309700e+000	 3.974124e+001	 6.063064e-002	-7.183677e-001	 4.556631e-002	 1.338636e+002	 4.537271e+002	 3.823664e+001	 4.537271e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 4.000000e+000	 0.000000e+000	-7.764588e-001	-0.000000e+000	 1.180333e+002	 0.000000e+000	 8.002000e+002	 5.743628e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	 1.402845e+000	-9.800562e-001	 3.937911e+001	-1.069707e-001	-6.705274e-001	-4.234777e-002	 1.347158e+002	 4.545891e+002	 3.637430e+001	 4.545891e+002	 1.180507e+002	 0.000000e+000	 8.002000e+002	 5.608490e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	 2.076154e+000	 2.398555e+000	 3.976551e+001	 7.185053e-002	-7.216045e-001	 5.142396e-002	 1.338066e+002	 4.536695e+002	 3.836120e+001	 4.536695e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
 4.500000e+000	 0.000000e+000	-8.735562e-001	-0.000000e+000	 1.180310e+002	 0.000000e+000	 9.002000e+002	 5.752093e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	 1.360995e+000	-8.915312e-001	 3.935481e+001	-1.181128e-001	-6.673844e-001	-4.821046e-002	 1.347729e+002	 4.546469e+002	 3.625020e+001	 4.546469e+002	 1.180498e+002	 0.000000e+000	 9.002000e+002	 5.599973e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	 2.118439e+000	 2.487431e+000	 3.978976e+001	 8.307524e-002	-7.248472e-001	 5.728129e-002	 1.337496e+002	 4.536119e+002	 3.848579e+001	 4.536119e+002	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001	 1.293556e+002	 0.000000e+000	 0.000000e+000	 4.089535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.908561e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.908561e+001	-4.908561e+001	 4.908561e+001	-4.908561e+001
