Date 26-Apr-2021 17:47:39
Maneuver DemoCar_MBS_lateral_front_eq-25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 5.845156e-005	-0.000000e+000	 3.920373e+001	 0.000000e+000	 2.000000e-001	 3.723331e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-1.776083e+000	-1.025762e+000	-3.359837e+001	-7.766307e-002	 5.204969e-001	 4.861339e-002	 2.038838e+002	 5.242757e+002	-3.123659e+001	 5.242757e+002	 3.920372e+001	 0.000000e+000	 2.000000e-001	 3.723332e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-1.776083e+000	 1.025762e+000	-3.359837e+001	-7.766304e-002	 5.204970e-001	 4.861340e-002	 2.038838e+002	 5.242757e+002	-3.123659e+001	 5.242757e+002	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001
 5.000000e-001	 0.000000e+000	-2.105219e-001	-0.000000e+000	 3.920742e+001	 0.000000e+000	 1.002000e+002	 3.711900e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-1.813042e+000	-9.477470e-001	-3.356577e+001	-8.603666e-002	 5.220463e-001	 4.266820e-002	 2.038788e+002	 5.242706e+002	-3.127947e+001	 5.242706e+002	 3.920003e+001	 0.000000e+000	 1.002000e+002	 3.734758e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-1.739073e+000	 1.103787e+000	-3.363096e+001	-6.928938e-002	 5.189411e-001	 5.455924e-002	 2.038889e+002	 5.242808e+002	-3.119372e+001	 5.242808e+002	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001
 1.000000e+000	 0.000000e+000	-4.210827e-001	-0.000000e+000	 3.920729e+001	 0.000000e+000	 2.002000e+002	 3.700439e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-1.850097e+000	-8.695427e-001	-3.353310e+001	-9.442839e-002	 5.235978e-001	 3.670681e-002	 2.038737e+002	 5.242655e+002	-3.132245e+001	 5.242655e+002	 3.920010e+001	 0.000000e+000	 2.002000e+002	 3.746215e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-1.701929e+000	 1.182013e+000	-3.366365e+001	-6.089713e-002	 5.173747e-001	 6.051809e-002	 2.038941e+002	 5.242860e+002	-3.115078e+001	 5.242860e+002	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001
 1.500000e+000	 0.000000e+000	-6.316440e-001	-0.000000e+000	 3.920712e+001	 0.000000e+000	 3.002000e+002	 3.688978e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-1.887123e+000	-7.913454e-001	-3.350043e+001	-1.028199e-001	 5.251443e-001	 3.074426e-002	 2.038686e+002	 5.242604e+002	-3.136545e+001	 5.242604e+002	 3.920014e+001	 0.000000e+000	 3.002000e+002	 3.757669e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-1.664754e+000	 1.260245e+000	-3.369633e+001	-5.250479e-002	 5.158033e-001	 6.647638e-002	 2.038992e+002	 5.242912e+002	-3.110785e+001	 5.242912e+002	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001
 2.000000e+000	 0.000000e+000	-8.422058e-001	-0.000000e+000	 3.920693e+001	 0.000000e+000	 4.002000e+002	 3.677514e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-1.924118e+000	-7.131550e-001	-3.346776e+001	-1.112112e-001	 5.266857e-001	 2.478090e-002	 2.038635e+002	 5.242553e+002	-3.140846e+001	 5.242553e+002	 3.920017e+001	 0.000000e+000	 4.002000e+002	 3.769121e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-1.627549e+000	 1.338484e+000	-3.372901e+001	-4.411229e-002	 5.142270e-001	 7.243376e-002	 2.039044e+002	 5.242963e+002	-3.106494e+001	 5.242963e+002	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001
 2.500000e+000	 0.000000e+000	-1.052768e+000	-0.000000e+000	 3.920672e+001	 0.000000e+000	 5.002000e+002	 3.666049e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-1.961085e+000	-6.349715e-001	-3.343510e+001	-1.196024e-001	 5.282222e-001	 1.881668e-002	 2.038585e+002	 5.242502e+002	-3.145149e+001	 5.242502e+002	 3.920017e+001	 0.000000e+000	 5.002000e+002	 3.780572e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-1.590314e+000	 1.416730e+000	-3.376169e+001	-3.571962e-002	 5.126457e-001	 7.839029e-002	 2.039096e+002	 5.243016e+002	-3.102204e+001	 5.243016e+002	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001
 3.000000e+000	 0.000000e+000	-1.263332e+000	-0.000000e+000	 3.920649e+001	 0.000000e+000	 6.002000e+002	 3.654582e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-1.998021e+000	-5.567949e-001	-3.340243e+001	-1.279935e-001	 5.297537e-001	 1.285162e-002	 2.038534e+002	 5.242451e+002	-3.149453e+001	 5.242451e+002	 3.920014e+001	 0.000000e+000	 6.002000e+002	 3.792020e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-1.553050e+000	 1.494984e+000	-3.379438e+001	-2.732679e-002	 5.110593e-001	 8.434595e-002	 2.039148e+002	 5.243068e+002	-3.097916e+001	 5.243068e+002	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001
 3.500000e+000	 0.000000e+000	-1.473896e+000	-0.000000e+000	 3.920623e+001	 0.000000e+000	 7.002000e+002	 3.643113e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-2.034927e+000	-4.786252e-001	-3.336976e+001	-1.363843e-001	 5.312802e-001	 6.885715e-003	 2.038484e+002	 5.242401e+002	-3.153758e+001	 5.242401e+002	 3.920010e+001	 0.000000e+000	 7.002000e+002	 3.803467e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-1.515754e+000	 1.573244e+000	-3.382707e+001	-1.893380e-002	 5.094679e-001	 9.030074e-002	 2.039200e+002	 5.243121e+002	-3.093629e+001	 5.243121e+002	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001
 4.000000e+000	 0.000000e+000	-1.684461e+000	-0.000000e+000	 3.920595e+001	 0.000000e+000	 8.002000e+002	 3.631642e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-2.071804e+000	-4.004623e-001	-3.333710e+001	-1.447751e-001	 5.328018e-001	 9.189655e-004	 2.038434e+002	 5.242351e+002	-3.158065e+001	 5.242351e+002	 3.920003e+001	 0.000000e+000	 8.002000e+002	 3.814912e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-1.478429e+000	 1.651511e+000	-3.385976e+001	-1.054064e-002	 5.078715e-001	 9.625467e-002	 2.039253e+002	 5.243173e+002	-3.089343e+001	 5.243173e+002	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001
 4.500000e+000	 0.000000e+000	-1.895028e+000	-0.000000e+000	 3.920565e+001	 0.000000e+000	 9.002000e+002	 3.620169e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-2.108651e+000	-3.223063e-001	-3.330444e+001	-1.531656e-001	 5.343183e-001	-5.048624e-003	 2.038384e+002	 5.242301e+002	-3.162373e+001	 5.242301e+002	 3.919993e+001	 0.000000e+000	 9.002000e+002	 3.826356e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-1.441074e+000	 1.729785e+000	-3.389245e+001	-2.147325e-003	 5.062701e-001	 1.022077e-001	 2.039305e+002	 5.243226e+002	-3.085059e+001	 5.243226e+002	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001	 5.585562e+001	 0.000000e+000	 0.000000e+000	 2.252035e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.441438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.441438e+001	 2.441438e+001	-2.441438e+001	 2.441438e+001
