Date 26-Apr-2021 17:45:36
Maneuver DemoCar_MBS_lateral_front_equilibrium
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.421866e-004	-0.000000e+000	 6.547272e+001	 0.000000e+000	 2.000000e-001	 4.343882e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-4.567008e-001	-5.347232e-002	-9.122774e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509090e+000	 5.012361e+002	 6.547271e+001	 0.000000e+000	 2.000000e-001	 4.343882e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-4.567009e-001	 5.347235e-002	-9.122776e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509091e+000	 5.012361e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-1.745908e-001	-0.000000e+000	 6.547411e+001	 0.000000e+000	 1.002000e+002	 4.338800e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-4.959792e-001	 2.553002e-002	-9.108416e+000	-1.990919e-001	 1.490749e-001	 4.702482e-002	 1.809855e+002	 5.012500e+002	-8.577246e+000	 5.012500e+002	 6.547127e+001	 0.000000e+000	 1.002000e+002	 4.348953e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-4.174021e-001	 1.324808e-001	-9.137110e+000	-1.812392e-001	 1.449704e-001	 5.888181e-002	 1.809579e+002	 5.012223e+002	-8.440912e+000	 5.012223e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-3.493165e-001	-0.000000e+000	 6.547376e+001	 0.000000e+000	 2.002000e+002	 4.333811e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-5.352991e-001	 1.047248e-001	-9.094331e+000	-2.080402e-001	 1.511261e-001	 4.108422e-002	 1.809997e+002	 5.012643e+002	-8.645852e+000	 5.012643e+002	 6.547141e+001	 0.000000e+000	 2.002000e+002	 4.353937e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-3.779943e-001	 2.116986e-001	-9.151201e+000	-1.722879e-001	 1.429034e-001	 6.481980e-002	 1.809438e+002	 5.012080e+002	-8.372318e+000	 5.012080e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-5.240430e-001	-0.000000e+000	 6.547335e+001	 0.000000e+000	 3.002000e+002	 4.328821e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-5.745802e-001	 1.839107e-001	-9.080251e+000	-2.169875e-001	 1.531712e-001	 3.514323e-002	 1.810140e+002	 5.012786e+002	-8.714463e+000	 5.012786e+002	 6.547148e+001	 0.000000e+000	 3.002000e+002	 4.358917e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-3.385667e-001	 2.909230e-001	-9.165289e+000	-1.633357e-001	 1.408319e-001	 7.075640e-002	 1.809296e+002	 5.011938e+002	-8.303724e+000	 5.011938e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-6.987706e-001	-0.000000e+000	 6.547286e+001	 0.000000e+000	 4.002000e+002	 4.323828e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-6.138323e-001	 2.630890e-001	-9.066171e+000	-2.259337e-001	 1.552110e-001	 2.920134e-002	 1.810282e+002	 5.012930e+002	-8.783077e+000	 5.012930e+002	 6.547148e+001	 0.000000e+000	 4.002000e+002	 4.363895e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-2.991091e-001	 3.701551e-001	-9.179379e+000	-1.543825e-001	 1.387550e-001	 7.669215e-002	 1.809154e+002	 5.011795e+002	-8.235134e+000	 5.011795e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-8.734996e-001	-0.000000e+000	 6.547230e+001	 0.000000e+000	 5.002000e+002	 4.318833e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-6.530550e-001	 3.422597e-001	-9.052091e+000	-2.348790e-001	 1.572455e-001	 2.325857e-002	 1.810425e+002	 5.013073e+002	-8.851693e+000	 5.013073e+002	 6.547141e+001	 0.000000e+000	 5.002000e+002	 4.368871e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-2.596220e-001	 4.493950e-001	-9.193471e+000	-1.454284e-001	 1.366728e-001	 8.262703e-002	 1.809013e+002	 5.011653e+002	-8.166548e+000	 5.011653e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-1.048230e+000	-0.000000e+000	 6.547166e+001	 0.000000e+000	 6.002000e+002	 4.313836e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-6.922484e-001	 4.214229e-001	-9.038012e+000	-2.438233e-001	 1.592748e-001	 1.731492e-002	 1.810567e+002	 5.013217e+002	-8.920312e+000	 5.013217e+002	 6.547127e+001	 0.000000e+000	 6.002000e+002	 4.373844e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-2.201053e-001	 5.286427e-001	-9.207565e+000	-1.364732e-001	 1.345854e-001	 8.856101e-002	 1.808872e+002	 5.011511e+002	-8.097965e+000	 5.011511e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-1.222963e+000	-0.000000e+000	 6.547096e+001	 0.000000e+000	 7.002000e+002	 4.308836e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-7.314126e-001	 5.005784e-001	-9.023934e+000	-2.527666e-001	 1.612987e-001	 1.137039e-002	 1.810710e+002	 5.013360e+002	-8.988934e+000	 5.013360e+002	 6.547105e+001	 0.000000e+000	 7.002000e+002	 4.378816e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-1.805591e-001	 6.078982e-001	-9.221661e+000	-1.275170e-001	 1.324926e-001	 9.449413e-002	 1.808731e+002	 5.011369e+002	-8.029386e+000	 5.011369e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-1.397699e+000	-0.000000e+000	 6.547019e+001	 0.000000e+000	 8.002000e+002	 4.303833e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-7.705474e-001	 5.797263e-001	-9.009855e+000	-2.617090e-001	 1.633174e-001	 5.424993e-003	 1.810853e+002	 5.013505e+002	-9.057557e+000	 5.013505e+002	 6.547076e+001	 0.000000e+000	 8.002000e+002	 4.383787e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-1.409833e-001	 6.871614e-001	-9.235759e+000	-1.185598e-001	 1.303945e-001	 1.004263e-001	 1.808590e+002	 5.011227e+002	-7.960811e+000	 5.011227e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-1.572438e+000	-0.000000e+000	 6.546935e+001	 0.000000e+000	 9.002000e+002	 4.298828e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-8.096530e-001	 6.588667e-001	-8.995776e+000	-2.706503e-001	 1.653307e-001	-5.212848e-004	 1.810996e+002	 5.013648e+002	-9.126183e+000	 5.013648e+002	 6.547039e+001	 0.000000e+000	 9.002000e+002	 4.388755e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-1.013779e-001	 7.664325e-001	-9.249860e+000	-1.096016e-001	 1.282911e-001	 1.063577e-001	 1.808449e+002	 5.011085e+002	-7.892241e+000	 5.011085e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
