Date 26-Apr-2021 18:05:36
Maneuver DemoCar_MBS_lateral_front_opp_opp+100%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-4.219524e+000	-0.000000e+000	 6.545600e+001	 0.000000e+000	 2.000000e-001	 4.283692e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-8.010821e-001	 1.538950e+000	-8.955063e+000	-3.573048e-001	 1.840569e-001	 4.389914e-002	 1.813351e+002	 5.016018e+002	-1.024366e+001	 5.016018e+002	 6.542218e+001	 0.000000e+000	 5.000000e+003	 4.532229e+003	 1.590000e+003	-0.000000e+000	 0.000000e+000	 1.225320e+000	 2.435145e+000	-9.659613e+000	 9.105893e-002	 7.406374e-002	 3.422800e-001	 1.806334e+002	 5.008957e+002	-6.796360e+000	 5.008957e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-4.306941e+000	-0.000000e+000	 6.545613e+001	 0.000000e+000	 1.002000e+002	 4.279963e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-8.353029e-001	 1.586438e+000	-8.944599e+000	-3.628837e-001	 1.854768e-001	 3.798282e-002	 1.813422e+002	 5.016089e+002	-1.027794e+001	 5.016089e+002	 6.542162e+001	 0.000000e+000	 5.000000e+003	 4.533336e+003	 1.590000e+003	-0.000000e+000	 0.000000e+000	 1.233755e+000	 2.467153e+000	-9.662803e+000	 9.439598e-002	 7.318937e-002	 3.425749e-001	 1.806264e+002	 5.008886e+002	-6.761730e+000	 5.008886e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-4.394538e+000	-0.000000e+000	 6.545525e+001	 0.000000e+000	 2.002000e+002	 4.276155e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-8.678347e-001	 1.633789e+000	-8.933908e+000	-3.684808e-001	 1.867728e-001	 3.219987e-002	 1.813493e+002	 5.016161e+002	-1.031205e+001	 5.016161e+002	 6.542094e+001	 0.000000e+000	 5.000000e+003	 4.534540e+003	 1.590000e+003	-0.000000e+000	 0.000000e+000	 1.240402e+000	 2.498978e+000	-9.666272e+000	 9.774790e-002	 7.244414e-002	 3.427210e-001	 1.806194e+002	 5.008816e+002	-6.727328e+000	 5.008816e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-4.482255e+000	-0.000000e+000	 6.545431e+001	 0.000000e+000	 3.002000e+002	 4.272350e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-9.003755e-001	 1.681138e+000	-8.923231e+000	-3.740771e-001	 1.880670e-001	 2.641303e-002	 1.813564e+002	 5.016232e+002	-1.034617e+001	 5.016232e+002	 6.542028e+001	 0.000000e+000	 5.000000e+003	 4.535736e+003	 1.590000e+003	-0.000000e+000	 0.000000e+000	 1.247084e+000	 2.530807e+000	-9.669721e+000	 1.010995e-001	 7.169633e-002	 3.428704e-001	 1.806123e+002	 5.008745e+002	-6.692916e+000	 5.008745e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-4.570095e+000	-0.000000e+000	 6.545335e+001	 0.000000e+000	 4.002000e+002	 4.268542e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-9.328779e-001	 1.728479e+000	-8.912549e+000	-3.796728e-001	 1.893562e-001	 2.062669e-002	 1.813635e+002	 5.016304e+002	-1.038027e+001	 5.016304e+002	 6.541962e+001	 0.000000e+000	 5.000000e+003	 4.536933e+003	 1.590000e+003	-0.000000e+000	 0.000000e+000	 1.253755e+000	 2.562633e+000	-9.673172e+000	 1.044511e-001	 7.094938e-002	 3.430188e-001	 1.806053e+002	 5.008674e+002	-6.658515e+000	 5.008674e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-4.658057e+000	-0.000000e+000	 6.545235e+001	 0.000000e+000	 5.002000e+002	 4.264733e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-9.653429e-001	 1.775812e+000	-8.901865e+000	-3.852679e-001	 1.906403e-001	 1.484077e-002	 1.813706e+002	 5.016376e+002	-1.041437e+001	 5.016376e+002	 6.541897e+001	 0.000000e+000	 5.000000e+003	 4.538129e+003	 1.590000e+003	-0.000000e+000	 0.000000e+000	 1.260414e+000	 2.594457e+000	-9.676623e+000	 1.078027e-001	 7.020327e-002	 3.431662e-001	 1.805982e+002	 5.008603e+002	-6.624124e+000	 5.008603e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-4.746141e+000	-0.000000e+000	 6.545132e+001	 0.000000e+000	 6.002000e+002	 4.260922e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-9.977703e-001	 1.823136e+000	-8.891177e+000	-3.908624e-001	 1.919195e-001	 9.055275e-003	 1.813778e+002	 5.016447e+002	-1.044847e+001	 5.016447e+002	 6.541831e+001	 0.000000e+000	 5.000000e+003	 4.539325e+003	 1.590000e+003	-0.000000e+000	 0.000000e+000	 1.267061e+000	 2.626277e+000	-9.680074e+000	 1.111541e-001	 6.945797e-002	 3.433125e-001	 1.805912e+002	 5.008532e+002	-6.589741e+000	 5.008532e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-4.834347e+000	-0.000000e+000	 6.545026e+001	 0.000000e+000	 7.002000e+002	 4.257108e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-1.030160e+000	 1.870452e+000	-8.880487e+000	-3.964563e-001	 1.931937e-001	 3.270201e-003	 1.813849e+002	 5.016519e+002	-1.048255e+001	 5.016519e+002	 6.541765e+001	 0.000000e+000	 5.000000e+003	 4.540521e+003	 1.590000e+003	-0.000000e+000	 0.000000e+000	 1.273697e+000	 2.658095e+000	-9.683525e+000	 1.145055e-001	 6.871350e-002	 3.434580e-001	 1.805841e+002	 5.008461e+002	-6.555369e+000	 5.008461e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-4.922676e+000	-0.000000e+000	 6.544917e+001	 0.000000e+000	 8.002000e+002	 4.253292e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-1.062513e+000	 1.917760e+000	-8.869792e+000	-4.020495e-001	 1.944630e-001	-2.514449e-003	 1.813921e+002	 5.016592e+002	-1.051663e+001	 5.016592e+002	 6.541699e+001	 0.000000e+000	 5.000000e+003	 4.541716e+003	 1.590000e+003	-0.000000e+000	 0.000000e+000	 1.280321e+000	 2.689909e+000	-9.686977e+000	 1.178569e-001	 6.796985e-002	 3.436025e-001	 1.805771e+002	 5.008390e+002	-6.521006e+000	 5.008390e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-5.011127e+000	-0.000000e+000	 6.544805e+001	 0.000000e+000	 9.002000e+002	 4.249474e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-1.094828e+000	 1.965059e+000	-8.859095e+000	-4.076422e-001	 1.957272e-001	-8.298672e-003	 1.813992e+002	 5.016663e+002	-1.055070e+001	 5.016663e+002	 6.541634e+001	 0.000000e+000	 5.000000e+003	 4.542912e+003	 1.590000e+003	-0.000000e+000	 0.000000e+000	 1.286934e+000	 2.721721e+000	-9.690429e+000	 1.212082e-001	 6.722702e-002	 3.437459e-001	 1.805700e+002	 5.008319e+002	-6.486652e+000	 5.008319e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
