Date 26-Apr-2021 18:03:46
Maneuver DemoCar_MBS_lateral_front_opp_opp-75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 3.361109e+000	-0.000000e+000	 6.548542e+001	 0.000000e+000	 2.000000e-001	 4.388572e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-2.172586e-001	-1.243066e+000	-9.248978e+000	-6.491648e-002	 1.205753e-001	 5.812286e-002	 1.807006e+002	 5.009633e+002	-7.223899e+000	 5.009633e+002	 6.545359e+001	 0.000000e+000	-3.750000e+003	 4.200442e+003	-1.192500e+003	-0.000000e+000	 0.000000e+000	-1.656221e+000	-1.718877e+000	-8.718719e+000	-4.000635e-001	 1.935423e-001	-1.633355e-001	 1.812360e+002	 5.015021e+002	-9.784740e+000	 5.015021e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	 3.273727e+000	-0.000000e+000	 6.548747e+001	 0.000000e+000	 1.002000e+002	 4.384684e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-2.484169e-001	-1.195948e+000	-9.237899e+000	-7.052206e-002	 1.218124e-001	 5.248318e-002	 1.807072e+002	 5.009700e+002	-7.257625e+000	 5.009700e+002	 6.545402e+001	 0.000000e+000	-3.750000e+003	 4.201744e+003	-1.192500e+003	-0.000000e+000	 0.000000e+000	-1.651157e+000	-1.687431e+000	-8.722319e+000	-3.967373e-001	 1.929511e-001	-1.632897e-001	 1.812288e+002	 5.014948e+002	-9.750709e+000	 5.014948e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	 3.186158e+000	-0.000000e+000	 6.548823e+001	 0.000000e+000	 2.002000e+002	 4.380902e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-2.812030e-001	-1.148488e+000	-9.227134e+000	-7.613783e-002	 1.231658e-001	 4.670567e-002	 1.807141e+002	 5.009769e+002	-7.291783e+000	 5.009769e+002	 6.545505e+001	 0.000000e+000	-3.750000e+003	 4.202953e+003	-1.192500e+003	-0.000000e+000	 0.000000e+000	-1.644539e+000	-1.655684e+000	-8.725652e+000	-3.934045e-001	 1.922463e-001	-1.631205e-001	 1.812215e+002	 5.014874e+002	-9.716295e+000	 5.014874e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	 3.098472e+000	-0.000000e+000	 6.548894e+001	 0.000000e+000	 3.002000e+002	 4.377119e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-3.138845e-001	-1.101047e+000	-9.216364e+000	-8.175307e-002	 1.245092e-001	 4.093368e-002	 1.807209e+002	 5.009838e+002	-7.325931e+000	 5.009838e+002	 6.545607e+001	 0.000000e+000	-3.750000e+003	 4.204163e+003	-1.192500e+003	-0.000000e+000	 0.000000e+000	-1.637996e+000	-1.623949e+000	-8.728987e+000	-3.900718e-001	 1.915470e-001	-1.629573e-001	 1.812141e+002	 5.014801e+002	-9.681894e+000	 5.014801e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	 3.010668e+000	-0.000000e+000	 6.548963e+001	 0.000000e+000	 4.002000e+002	 4.373334e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-3.465312e-001	-1.053613e+000	-9.205595e+000	-8.736768e-002	 1.258479e-001	 3.516195e-002	 1.807278e+002	 5.009907e+002	-7.360073e+000	 5.009907e+002	 6.545710e+001	 0.000000e+000	-3.750000e+003	 4.205373e+003	-1.192500e+003	-0.000000e+000	 0.000000e+000	-1.631463e+000	-1.592216e+000	-8.732322e+000	-3.867391e-001	 1.908482e-001	-1.627949e-001	 1.812068e+002	 5.014727e+002	-9.647503e+000	 5.014727e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	 2.922745e+000	-0.000000e+000	 6.549027e+001	 0.000000e+000	 5.002000e+002	 4.369547e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-3.791405e-001	-1.006188e+000	-9.194824e+000	-9.298169e-002	 1.271817e-001	 2.939069e-002	 1.807347e+002	 5.009976e+002	-7.394211e+000	 5.009976e+002	 6.545812e+001	 0.000000e+000	-3.750000e+003	 4.206582e+003	-1.192500e+003	-0.000000e+000	 0.000000e+000	-1.624940e+000	-1.560487e+000	-8.735657e+000	-3.834065e-001	 1.901502e-001	-1.626335e-001	 1.811994e+002	 5.014653e+002	-9.613123e+000	 5.014653e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	 2.834703e+000	-0.000000e+000	 6.549089e+001	 0.000000e+000	 6.002000e+002	 4.365760e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-4.117127e-001	-9.587717e-001	-9.184053e+000	-9.859507e-002	 1.285106e-001	 2.361987e-002	 1.807415e+002	 5.010045e+002	-7.428343e+000	 5.010045e+002	 6.545915e+001	 0.000000e+000	-3.750000e+003	 4.207791e+003	-1.192500e+003	-0.000000e+000	 0.000000e+000	-1.618429e+000	-1.528760e+000	-8.738993e+000	-3.800739e-001	 1.894529e-001	-1.624730e-001	 1.811921e+002	 5.014579e+002	-9.578750e+000	 5.014579e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	 2.746542e+000	-0.000000e+000	 6.549146e+001	 0.000000e+000	 7.002000e+002	 4.361972e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-4.442477e-001	-9.113636e-001	-9.173281e+000	-1.042078e-001	 1.298345e-001	 1.784952e-002	 1.807484e+002	 5.010114e+002	-7.462470e+000	 5.010114e+002	 6.546017e+001	 0.000000e+000	-3.750000e+003	 4.209000e+003	-1.192500e+003	-0.000000e+000	 0.000000e+000	-1.611929e+000	-1.497035e+000	-8.742329e+000	-3.767414e-001	 1.887565e-001	-1.623136e-001	 1.811848e+002	 5.014505e+002	-9.544388e+000	 5.014505e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	 2.658262e+000	-0.000000e+000	 6.549201e+001	 0.000000e+000	 8.002000e+002	 4.358182e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-4.767455e-001	-8.639638e-001	-9.162509e+000	-1.098200e-001	 1.311535e-001	 1.207962e-002	 1.807553e+002	 5.010184e+002	-7.496592e+000	 5.010184e+002	 6.546120e+001	 0.000000e+000	-3.750000e+003	 4.210208e+003	-1.192500e+003	-0.000000e+000	 0.000000e+000	-1.605440e+000	-1.465314e+000	-8.745665e+000	-3.734089e-001	 1.880607e-001	-1.621552e-001	 1.811774e+002	 5.014431e+002	-9.510036e+000	 5.014431e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	 2.569862e+000	-0.000000e+000	 6.549251e+001	 0.000000e+000	 9.002000e+002	 4.354390e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-5.092063e-001	-8.165724e-001	-9.151735e+000	-1.154315e-001	 1.324676e-001	 6.310177e-003	 1.807622e+002	 5.010253e+002	-7.530708e+000	 5.010253e+002	 6.546222e+001	 0.000000e+000	-3.750000e+003	 4.211417e+003	-1.192500e+003	-0.000000e+000	 0.000000e+000	-1.598962e+000	-1.433596e+000	-8.749002e+000	-3.700765e-001	 1.873658e-001	-1.619977e-001	 1.811701e+002	 5.014358e+002	-9.475692e+000	 5.014358e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
