Date 26-Apr-2021 18:04:33
Maneuver DemoCar_MBS_lateral_front_opp_opp_0%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.421866e-004	-0.000000e+000	 6.547272e+001	 0.000000e+000	 2.000000e-001	 4.343882e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-4.567008e-001	-5.347232e-002	-9.122774e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509090e+000	 5.012361e+002	 6.547272e+001	 0.000000e+000	 0.000000e+000	 4.343882e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.567009e-001	 5.347235e-002	-9.122776e+000	-1.901661e-001	 1.470250e-001	 5.295387e-002	 1.809717e+002	 5.012361e+002	-8.509091e+000	 5.012361e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 0.000000e+000	-8.728354e-002	-0.000000e+000	 6.547404e+001	 0.000000e+000	 1.002000e+002	 4.340043e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-4.893391e-001	-6.173063e-003	-9.111907e+000	-1.957607e-001	 1.483543e-001	 4.718690e-002	 1.809785e+002	 5.012429e+002	-8.543006e+000	 5.012429e+002	 6.547263e+001	 0.000000e+000	 0.000000e+000	 4.345121e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.500745e-001	 8.517291e-002	-9.126255e+000	-1.868347e-001	 1.463049e-001	 5.311471e-002	 1.809647e+002	 5.012290e+002	-8.474846e+000	 5.012290e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 0.000000e+000	-1.748255e-001	-0.000000e+000	 6.547408e+001	 0.000000e+000	 2.002000e+002	 4.336251e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-5.220079e-001	 4.123880e-002	-9.101177e+000	-2.013685e-001	 1.496827e-001	 4.140795e-002	 1.809854e+002	 5.012500e+002	-8.577145e+000	 5.012500e+002	 6.547297e+001	 0.000000e+000	 0.000000e+000	 4.346316e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.434525e-001	 1.169504e-001	-9.129613e+000	-1.834937e-001	 1.455828e-001	 5.327292e-002	 1.809574e+002	 5.012218e+002	-8.440408e+000	 5.012218e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 0.000000e+000	-2.624877e-001	-0.000000e+000	 6.547410e+001	 0.000000e+000	 3.002000e+002	 4.332458e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-5.546346e-001	 8.864169e-002	-9.090446e+000	-2.069757e-001	 1.510058e-001	 3.562967e-002	 1.809924e+002	 5.012569e+002	-8.611279e+000	 5.012569e+002	 6.547331e+001	 0.000000e+000	 0.000000e+000	 4.347511e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.368464e-001	 1.487245e-001	-9.132970e+000	-1.801529e-001	 1.448620e-001	 5.342991e-002	 1.809502e+002	 5.012145e+002	-8.405977e+000	 5.012145e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 0.000000e+000	-3.502701e-001	-0.000000e+000	 6.547408e+001	 0.000000e+000	 4.002000e+002	 4.328664e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-5.872241e-001	 1.360362e-001	-9.079713e+000	-2.125822e-001	 1.523240e-001	 2.985182e-002	 1.809994e+002	 5.012640e+002	-8.645407e+000	 5.012640e+002	 6.547365e+001	 0.000000e+000	 0.000000e+000	 4.348705e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.302514e-001	 1.804958e-001	-9.136327e+000	-1.768121e-001	 1.441419e-001	 5.358593e-002	 1.809430e+002	 5.012072e+002	-8.371555e+000	 5.012072e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 0.000000e+000	-4.381727e-001	-0.000000e+000	 6.547402e+001	 0.000000e+000	 5.002000e+002	 4.324867e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-6.197762e-001	 1.834224e-001	-9.068979e+000	-2.181882e-001	 1.536372e-001	 2.407440e-002	 1.810064e+002	 5.012710e+002	-8.679529e+000	 5.012710e+002	 6.547399e+001	 0.000000e+000	 0.000000e+000	 4.349899e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.236676e-001	 2.122642e-001	-9.139684e+000	-1.734713e-001	 1.434226e-001	 5.374096e-002	 1.809357e+002	 5.011999e+002	-8.337144e+000	 5.011999e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 0.000000e+000	-5.261957e-001	-0.000000e+000	 6.547394e+001	 0.000000e+000	 6.002000e+002	 4.321069e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-6.522910e-001	 2.308001e-001	-9.058244e+000	-2.237935e-001	 1.549454e-001	 1.829742e-002	 1.810133e+002	 5.012780e+002	-8.713644e+000	 5.012780e+002	 6.547433e+001	 0.000000e+000	 0.000000e+000	 4.351093e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.170951e-001	 2.440298e-001	-9.143041e+000	-1.701307e-001	 1.427040e-001	 5.389501e-002	 1.809285e+002	 5.011926e+002	-8.302742e+000	 5.011926e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 0.000000e+000	-6.143391e-001	-0.000000e+000	 6.547381e+001	 0.000000e+000	 7.002000e+002	 4.317270e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-6.847685e-001	 2.781696e-001	-9.047505e+000	-2.293982e-001	 1.562487e-001	 1.252088e-002	 1.810203e+002	 5.012851e+002	-8.747754e+000	 5.012851e+002	 6.547467e+001	 0.000000e+000	 0.000000e+000	 4.352287e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.105338e-001	 2.757926e-001	-9.146399e+000	-1.667900e-001	 1.419863e-001	 5.404808e-002	 1.809212e+002	 5.011854e+002	-8.268349e+000	 5.011854e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 0.000000e+000	-7.026029e-001	-0.000000e+000	 6.547366e+001	 0.000000e+000	 8.002000e+002	 4.313468e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-7.172087e-001	 3.255307e-001	-9.036766e+000	-2.350022e-001	 1.575470e-001	 6.744787e-003	 1.810273e+002	 5.012921e+002	-8.781857e+000	 5.012921e+002	 6.547501e+001	 0.000000e+000	 0.000000e+000	 4.353480e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.039838e-001	 3.075525e-001	-9.149757e+000	-1.634495e-001	 1.412694e-001	 5.420017e-002	 1.809140e+002	 5.011780e+002	-8.233965e+000	 5.011780e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 0.000000e+000	-7.909873e-001	-0.000000e+000	 6.547347e+001	 0.000000e+000	 9.002000e+002	 4.309666e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-7.496118e-001	 3.728834e-001	-9.026024e+000	-2.406057e-001	 1.588404e-001	 9.691384e-004	 1.810343e+002	 5.012991e+002	-8.815954e+000	 5.012991e+002	 6.547536e+001	 0.000000e+000	 0.000000e+000	 4.354673e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.974450e-001	 3.393096e-001	-9.153116e+000	-1.601090e-001	 1.405532e-001	 5.435127e-002	 1.809067e+002	 5.011708e+002	-8.199592e+000	 5.011708e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
