Date 26-Apr-2021 17:56:17
Maneuver DemoCar_MBS_lateral_front_steer_eq+25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 1.350000e+002	 2.469934e+000	-2.356195e+001	 6.567119e+001	 0.000000e+000	 2.000000e-001	 4.324899e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-1.753413e+001	 7.528745e+000	-9.147639e+000	 1.317474e+000	-2.273433e+000	-1.098414e+001	 1.807758e+002	 5.010390e+002	-7.755493e+000	 5.010390e+002	 6.585805e+001	 0.000000e+000	 2.000000e-001	 4.381390e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	 1.441421e+001	 1.033002e+001	-9.293205e+000	-1.181319e+000	 2.702333e+000	 1.075794e+001	 1.805172e+002	 5.007788e+002	-5.306994e+000	 5.007788e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	 1.350000e+002	 2.319549e+000	-2.356195e+001	 6.567202e+001	 0.000000e+000	 1.002000e+002	 4.319600e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-1.757578e+001	 7.604474e+000	-9.131540e+000	 1.308015e+000	-2.272382e+000	-1.098867e+001	 1.807888e+002	 5.010521e+002	-7.824689e+000	 5.010521e+002	 6.585577e+001	 0.000000e+000	 1.002000e+002	 4.385594e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	 1.445604e+001	 1.041160e+001	-9.304519e+000	-1.172889e+000	 2.698180e+000	 1.076338e+001	 1.805024e+002	 5.007639e+002	-5.239513e+000	 5.007639e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	 1.350000e+002	 2.169522e+000	-2.356195e+001	 6.567178e+001	 0.000000e+000	 2.002000e+002	 4.314561e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-1.761443e+001	 7.680326e+000	-9.115847e+000	 1.298783e+000	-2.271923e+000	-1.099400e+001	 1.808031e+002	 5.010664e+002	-7.893825e+000	 5.010664e+002	 6.585522e+001	 0.000000e+000	 2.002000e+002	 4.390781e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	 1.449494e+001	 1.049379e+001	-9.318172e+000	-1.164461e+000	 2.694627e+000	 1.076960e+001	 1.804899e+002	 5.007513e+002	-5.173597e+000	 5.007513e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	 1.350000e+002	 2.019813e+000	-2.356195e+001	 6.567172e+001	 0.000000e+000	 3.002000e+002	 4.309693e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-1.765494e+001	 7.756858e+000	-9.100849e+000	 1.289711e+000	-2.271672e+000	-1.100042e+001	 1.808182e+002	 5.010817e+002	-7.963487e+000	 5.010817e+002	 6.585500e+001	 0.000000e+000	 3.002000e+002	 4.396577e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	 1.453553e+001	 1.057726e+001	-9.333827e+000	-1.156112e+000	 2.691264e+000	 1.077680e+001	 1.804800e+002	 5.007413e+002	-5.109006e+000	 5.007413e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	 1.350000e+002	 1.869788e+000	-2.356195e+001	 6.567135e+001	 0.000000e+000	 4.002000e+002	 4.304590e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-1.769354e+001	 7.832750e+000	-9.085166e+000	 1.280472e+000	-2.271210e+000	-1.100573e+001	 1.808325e+002	 5.010961e+002	-8.032691e+000	 5.010961e+002	 6.585434e+001	 0.000000e+000	 4.002000e+002	 4.401673e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	 1.457449e+001	 1.065951e+001	-9.347479e+000	-1.147679e+000	 2.687673e+000	 1.078297e+001	 1.804674e+002	 5.007287e+002	-5.043061e+000	 5.007287e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	 1.350000e+002	 1.719763e+000	-2.356195e+001	 6.567090e+001	 0.000000e+000	 5.002000e+002	 4.299485e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-1.773215e+001	 7.908638e+000	-9.069488e+000	 1.271234e+000	-2.270750e+000	-1.101103e+001	 1.808469e+002	 5.011105e+002	-8.101896e+000	 5.011105e+002	 6.585360e+001	 0.000000e+000	 5.002000e+002	 4.406766e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	 1.461351e+001	 1.074176e+001	-9.361130e+000	-1.139245e+000	 2.684075e+000	 1.078914e+001	 1.804549e+002	 5.007161e+002	-4.977123e+000	 5.007161e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	 1.350000e+002	 1.569739e+000	-2.356195e+001	 6.567038e+001	 0.000000e+000	 6.002000e+002	 4.294379e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-1.777073e+001	 7.984517e+000	-9.053812e+000	 1.261999e+000	-2.270295e+000	-1.101634e+001	 1.808612e+002	 5.011249e+002	-8.171099e+000	 5.011249e+002	 6.585279e+001	 0.000000e+000	 6.002000e+002	 4.411857e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	 1.465257e+001	 1.082402e+001	-9.374784e+000	-1.130812e+000	 2.680471e+000	 1.079530e+001	 1.804424e+002	 5.007035e+002	-4.911197e+000	 5.007035e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	 1.350000e+002	 1.419715e+000	-2.356195e+001	 6.566979e+001	 0.000000e+000	 7.002000e+002	 4.289270e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-1.780929e+001	 8.060388e+000	-9.038137e+000	 1.252766e+000	-2.269845e+000	-1.102165e+001	 1.808755e+002	 5.011393e+002	-8.240299e+000	 5.011393e+002	 6.585191e+001	 0.000000e+000	 7.002000e+002	 4.416947e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	 1.469165e+001	 1.090629e+001	-9.388440e+000	-1.122380e+000	 2.676861e+000	 1.080147e+001	 1.804300e+002	 5.006910e+002	-4.845281e+000	 5.006910e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	 1.350000e+002	 1.269692e+000	-2.356195e+001	 6.566914e+001	 0.000000e+000	 8.002000e+002	 4.284158e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-1.784782e+001	 8.136253e+000	-9.022464e+000	 1.243535e+000	-2.269399e+000	-1.102696e+001	 1.808899e+002	 5.011538e+002	-8.309497e+000	 5.011538e+002	 6.585096e+001	 0.000000e+000	 8.002000e+002	 4.422036e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	 1.473077e+001	 1.098857e+001	-9.402099e+000	-1.113947e+000	 2.673246e+000	 1.080764e+001	 1.804175e+002	 5.006785e+002	-4.779377e+000	 5.006785e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	 1.350000e+002	 1.119668e+000	-2.356195e+001	 6.566841e+001	 0.000000e+000	 9.002000e+002	 4.279044e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-1.788632e+001	 8.212109e+000	-9.006792e+000	 1.234306e+000	-2.268958e+000	-1.103227e+001	 1.809043e+002	 5.011683e+002	-8.378691e+000	 5.011683e+002	 6.584993e+001	 0.000000e+000	 9.002000e+002	 4.427123e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	 1.476992e+001	 1.107086e+001	-9.415760e+000	-1.105515e+000	 2.669625e+000	 1.081381e+001	 1.804051e+002	 5.006660e+002	-4.713483e+000	 5.006660e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e+000	 1.350000e+002	 9.696428e-001	-2.356195e+001	 6.566761e+001	 0.000000e+000	 1.000200e+003	 4.273928e+003	 3.180636e+002	-0.000000e+000	 0.000000e+000	-1.792480e+001	 8.287958e+000	-8.991120e+000	 1.225079e+000	-2.268522e+000	-1.103759e+001	 1.809186e+002	 5.011827e+002	-8.447882e+000	 5.011827e+002	 6.584883e+001	 0.000000e+000	 1.000200e+003	 4.432208e+003	 3.180636e+002	-0.000000e+000	 0.000000e+000	 1.480910e+001	 1.115315e+001	-9.429424e+000	-1.097083e+000	 2.665999e+000	 1.081997e+001	 1.803927e+002	 5.006534e+002	-4.647600e+000	 5.006534e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.500000e+000	 1.350000e+002	 8.196167e-001	-2.356195e+001	 6.566674e+001	 0.000000e+000	 1.100200e+003	 4.268809e+003	 3.498636e+002	-0.000000e+000	 0.000000e+000	-1.796325e+001	 8.363799e+000	-8.975449e+000	 1.215855e+000	-2.268090e+000	-1.104290e+001	 1.809330e+002	 5.011972e+002	-8.517069e+000	 5.011972e+002	 6.584766e+001	 0.000000e+000	 1.100200e+003	 4.437293e+003	 3.498636e+002	-0.000000e+000	 0.000000e+000	 1.484831e+001	 1.123545e+001	-9.443092e+000	-1.088651e+000	 2.662367e+000	 1.082614e+001	 1.803802e+002	 5.006409e+002	-4.581729e+000	 5.006409e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 6.000000e+000	 1.350000e+002	 6.695891e-001	-2.356195e+001	 6.566581e+001	 0.000000e+000	 1.200200e+003	 4.263688e+003	 3.816636e+002	-0.000000e+000	 0.000000e+000	-1.800167e+001	 8.439633e+000	-8.959779e+000	 1.206632e+000	-2.267664e+000	-1.104822e+001	 1.809474e+002	 5.012117e+002	-8.586252e+000	 5.012117e+002	 6.584642e+001	 0.000000e+000	 1.200200e+003	 4.442376e+003	 3.816636e+002	-0.000000e+000	 0.000000e+000	 1.488756e+001	 1.131776e+001	-9.456763e+000	-1.080219e+000	 2.658729e+000	 1.083231e+001	 1.803679e+002	 5.006285e+002	-4.515869e+000	 5.006285e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
