Date 26-Apr-2021 17:55:37
Maneuver DemoCar_MBS_lateral_front_steer_eq-50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	-2.700000e+002	-4.994947e+000	 4.712389e+001	 6.692853e+001	 0.000000e+000	 2.000000e-001	 4.431130e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	 2.716542e+001	-2.316090e+001	-9.502524e+000	-1.685764e+000	 5.399354e+000	 2.151537e+001	 1.793002e+002	 4.995541e+002	 1.783771e+000	 4.995541e+002	 6.636273e+001	 0.000000e+000	 2.000000e-001	 4.331568e+003	 6.360000e-002	-0.000000e+000	 0.000000e+000	-3.741422e+001	-1.190906e+001	-9.647727e+000	 3.474629e+000	-4.566291e+000	-2.301476e+001	 1.800113e+002	 5.002697e+002	-2.437177e+000	 5.002697e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 5.000000e-001	-2.700000e+002	-5.043851e+000	 4.712389e+001	 6.693088e+001	 0.000000e+000	 1.002000e+002	 4.422695e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	 2.712568e+001	-2.307334e+001	-9.480502e+000	-1.693327e+000	 5.403799e+000	 2.150696e+001	 1.792996e+002	 4.995535e+002	 1.728118e+000	 4.995535e+002	 6.635899e+001	 0.000000e+000	 1.002000e+002	 4.335667e+003	 3.186360e+001	-0.000000e+000	 0.000000e+000	-3.737332e+001	-1.183651e+001	-9.663307e+000	 3.483545e+000	-4.564803e+000	-2.300858e+001	 1.799949e+002	 5.002532e+002	-2.367846e+000	 5.002532e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.000000e+000	-2.700000e+002	-5.095767e+000	 4.712389e+001	 6.693255e+001	 0.000000e+000	 2.002000e+002	 4.417623e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	 2.708898e+001	-2.298846e+001	-9.466354e+000	-1.701033e+000	 5.408829e+000	 2.150095e+001	 1.793094e+002	 4.995633e+002	 1.666705e+000	 4.995633e+002	 6.635812e+001	 0.000000e+000	 2.002000e+002	 4.341642e+003	 6.366360e+001	-0.000000e+000	 0.000000e+000	-3.733641e+001	-1.176398e+001	-9.682424e+000	 3.493043e+000	-4.563765e+000	-2.300515e+001	 1.799829e+002	 5.002410e+002	-2.299838e+000	 5.002410e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 1.500000e+000	-2.700000e+002	-5.150723e+000	 4.712389e+001	 6.693556e+001	 0.000000e+000	 3.002000e+002	 4.414935e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	 2.705544e+001	-2.290670e+001	-9.459917e+000	-1.708847e+000	 5.414235e+000	 2.149699e+001	 1.793294e+002	 4.995834e+002	 1.600091e+000	 4.995834e+002	 6.635846e+001	 0.000000e+000	 3.002000e+002	 4.348527e+003	 9.546360e+001	-0.000000e+000	 0.000000e+000	-3.730364e+001	-1.169201e+001	-9.705305e+000	 3.503015e+000	-4.563143e+000	-2.300431e+001	 1.799755e+002	 5.002337e+002	-2.234145e+000	 5.002337e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.000000e+000	-2.700000e+002	-5.202693e+000	 4.712389e+001	 6.693716e+001	 0.000000e+000	 4.002000e+002	 4.409556e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	 2.701876e+001	-2.282190e+001	-9.445782e+000	-1.716549e+000	 5.419198e+000	 2.149086e+001	 1.793393e+002	 4.995933e+002	 1.538724e+000	 4.995933e+002	 6.635748e+001	 0.000000e+000	 4.002000e+002	 4.354154e+003	 1.272636e+002	-0.000000e+000	 0.000000e+000	-3.726663e+001	-1.161958e+001	-9.724446e+000	 3.512499e+000	-4.562110e+000	-2.300084e+001	 1.799635e+002	 5.002216e+002	-2.166300e+000	 5.002216e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 2.500000e+000	-2.700000e+002	-5.254687e+000	 4.712389e+001	 6.693870e+001	 0.000000e+000	 5.002000e+002	 4.404176e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	 2.698211e+001	-2.273710e+001	-9.431650e+000	-1.724253e+000	 5.424155e+000	 2.148474e+001	 1.793491e+002	 4.996033e+002	 1.477341e+000	 4.996033e+002	 6.635644e+001	 0.000000e+000	 5.002000e+002	 4.359780e+003	 1.590636e+002	-0.000000e+000	 0.000000e+000	-3.722961e+001	-1.154714e+001	-9.743594e+000	 3.521986e+000	-4.561080e+000	-2.299737e+001	 1.799515e+002	 5.002096e+002	-2.098451e+000	 5.002096e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.000000e+000	-2.700000e+002	-5.306705e+000	 4.712389e+001	 6.694017e+001	 0.000000e+000	 6.002000e+002	 4.398795e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	 2.694551e+001	-2.265232e+001	-9.417520e+000	-1.731959e+000	 5.429106e+000	 2.147861e+001	 1.793590e+002	 4.996133e+002	 1.415941e+000	 4.996133e+002	 6.635532e+001	 0.000000e+000	 6.002000e+002	 4.365405e+003	 1.908636e+002	-0.000000e+000	 0.000000e+000	-3.719257e+001	-1.147470e+001	-9.762748e+000	 3.531477e+000	-4.560055e+000	-2.299391e+001	 1.799396e+002	 5.001975e+002	-2.030599e+000	 5.001975e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 3.500000e+000	-2.700000e+002	-5.358749e+000	 4.712389e+001	 6.694157e+001	 0.000000e+000	 7.002000e+002	 4.393412e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	 2.690893e+001	-2.256753e+001	-9.403393e+000	-1.739666e+000	 5.434052e+000	 2.147248e+001	 1.793689e+002	 4.996232e+002	 1.354525e+000	 4.996232e+002	 6.635412e+001	 0.000000e+000	 7.002000e+002	 4.371029e+003	 2.226636e+002	-0.000000e+000	 0.000000e+000	-3.715551e+001	-1.140224e+001	-9.781909e+000	 3.540970e+000	-4.559032e+000	-2.299045e+001	 1.799276e+002	 5.001854e+002	-1.962743e+000	 5.001854e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.000000e+000	-2.700000e+002	-5.410819e+000	 4.712389e+001	 6.694291e+001	 0.000000e+000	 8.002000e+002	 4.388028e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	 2.687239e+001	-2.248276e+001	-9.389268e+000	-1.747374e+000	 5.438993e+000	 2.146636e+001	 1.793789e+002	 4.996332e+002	 1.293093e+000	 4.996332e+002	 6.635286e+001	 0.000000e+000	 8.002000e+002	 4.376653e+003	 2.544636e+002	-0.000000e+000	 0.000000e+000	-3.711842e+001	-1.132978e+001	-9.801078e+000	 3.550468e+000	-4.558014e+000	-2.298699e+001	 1.799157e+002	 5.001734e+002	-1.894884e+000	 5.001734e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
 4.500000e+000	-2.700000e+002	-5.462914e+000	 4.712389e+001	 6.694418e+001	 0.000000e+000	 9.002000e+002	 4.382643e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	 2.683588e+001	-2.239799e+001	-9.375145e+000	-1.755084e+000	 5.443928e+000	 2.146023e+001	 1.793888e+002	 4.996432e+002	 1.231646e+000	 4.996432e+002	 6.635153e+001	 0.000000e+000	 9.002000e+002	 4.382276e+003	 2.862636e+002	-0.000000e+000	 0.000000e+000	-3.708131e+001	-1.125731e+001	-9.820255e+000	 3.559968e+000	-4.556999e+000	-2.298354e+001	 1.799037e+002	 5.001614e+002	-1.827021e+000	 5.001614e+002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002	 8.035561e+001	 0.000000e+000	 0.000000e+000	 2.864535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.561490e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.561490e-002	-8.561490e-002	 8.561490e-002	-8.561490e-002
