Date 26-Apr-2021 17:39:40
Maneuver DemoCar_MBS_roll_eq+75%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 3.321490e-004	-0.000000e+000	 1.567297e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.325215e+000	-5.364462e+000	 7.159789e+001	 4.209159e-001	-1.408210e+000	-7.317802e-002	 1.038846e+002	 4.232994e+002	 6.835512e+001	 4.232994e+002	 1.567298e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.325229e+000	 5.364468e+000	 7.159795e+001	 4.209160e-001	-1.408212e+000	-7.317743e-002	 1.038846e+002	 4.232993e+002	 6.835517e+001	 4.232993e+002	 1.668983e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.662830e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.662830e+001	-8.662830e+001	 8.662830e+001	-8.662830e+001	 1.668985e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.662847e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.662847e+001	-8.662847e+001	 8.662847e+001	-8.662847e+001
 5.000000e-001	 0.000000e+000	-1.675394e-002	-0.000000e+000	 1.564751e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.290174e+000	-5.353747e+000	 7.147011e+001	 4.210130e-001	-1.402456e+000	-7.487576e-002	 1.039651e+002	 4.233814e+002	 6.825323e+001	 4.233814e+002	 1.569843e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.360277e+000	 5.375219e+000	 7.172574e+001	 4.208231e-001	-1.413969e+000	-7.147713e-002	 1.038040e+002	 4.232172e+002	 6.845710e+001	 4.232172e+002	 1.669018e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663176e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.663176e+001	-8.663176e+001	 8.663176e+001	-8.663176e+001	 1.669019e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663193e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.663193e+001	-8.663193e+001	 8.663193e+001	-8.663193e+001
 1.000000e+000	 0.000000e+000	-3.451364e-002	-0.000000e+000	 1.562046e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.254985e+000	-5.342846e+000	 7.134136e+001	 4.210826e-001	-1.396671e+000	-7.657488e-002	 1.040466e+002	 4.234645e+002	 6.815023e+001	 4.234645e+002	 1.572543e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.395481e+000	 5.386177e+000	 7.185419e+001	 4.207586e-001	-1.419757e+000	-6.976906e-002	 1.037227e+002	 4.231343e+002	 6.855983e+001	 4.231343e+002	 1.669018e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663179e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.663179e+001	-8.663179e+001	 8.663179e+001	-8.663179e+001	 1.669020e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663196e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.663196e+001	-8.663196e+001	 8.663196e+001	-8.663196e+001
 1.500000e+000	 0.000000e+000	-5.227609e-002	-0.000000e+000	 1.559339e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.219804e+000	-5.331964e+000	 7.121250e+001	 4.211539e-001	-1.390886e+000	-7.827047e-002	 1.041282e+002	 4.235477e+002	 6.804714e+001	 4.235477e+002	 1.575240e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.430687e+000	 5.397152e+000	 7.198253e+001	 4.206960e-001	-1.425545e+000	-6.805853e-002	 1.036415e+002	 4.230515e+002	 6.866248e+001	 4.230515e+002	 1.669018e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663179e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.663179e+001	-8.663179e+001	 8.663179e+001	-8.663179e+001	 1.669020e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663196e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.663196e+001	-8.663196e+001	 8.663196e+001	-8.663196e+001
 2.000000e+000	 0.000000e+000	-7.004177e-002	-0.000000e+000	 1.556631e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.184629e+000	-5.321100e+000	 7.108354e+001	 4.212270e-001	-1.385102e+000	-7.996293e-002	 1.042099e+002	 4.236309e+002	 6.794395e+001	 4.236309e+002	 1.577936e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.465897e+000	 5.408145e+000	 7.211076e+001	 4.206350e-001	-1.431334e+000	-6.634514e-002	 1.035603e+002	 4.229688e+002	 6.876503e+001	 4.229688e+002	 1.669018e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663179e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.663179e+001	-8.663179e+001	 8.663179e+001	-8.663179e+001	 1.669020e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663196e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.663196e+001	-8.663196e+001	 8.663196e+001	-8.663196e+001
 2.500000e+000	 0.000000e+000	-8.781145e-002	-0.000000e+000	 1.553920e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.149460e+000	-5.310256e+000	 7.095447e+001	 4.213019e-001	-1.379319e+000	-8.165230e-002	 1.042916e+002	 4.237142e+002	 6.784068e+001	 4.237142e+002	 1.580629e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.501110e+000	 5.419155e+000	 7.223888e+001	 4.205756e-001	-1.437124e+000	-6.462884e-002	 1.034792e+002	 4.228861e+002	 6.886748e+001	 4.228861e+002	 1.669018e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663179e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.663179e+001	-8.663179e+001	 8.663179e+001	-8.663179e+001	 1.669020e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663196e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.663196e+001	-8.663196e+001	 8.663196e+001	-8.663196e+001
 3.000000e+000	 0.000000e+000	-1.057041e-001	-0.000000e+000	 1.551176e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.114554e+000	-5.299109e+000	 7.082245e+001	 4.213223e-001	-1.373508e+000	-8.330536e-002	 1.043766e+002	 4.238009e+002	 6.773459e+001	 4.238009e+002	 1.583320e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.536263e+000	 5.430144e+000	 7.236686e+001	 4.205163e-001	-1.442912e+000	-6.292531e-002	 1.033983e+002	 4.228036e+002	 6.896970e+001	 4.228036e+002	 1.669018e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663179e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.663179e+001	-8.663179e+001	 8.663179e+001	-8.663179e+001	 1.669020e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663196e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.663196e+001	-8.663196e+001	 8.663196e+001	-8.663196e+001
 3.500000e+000	 0.000000e+000	-1.274202e-001	-0.000000e+000	 1.547135e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.077636e+000	-5.270576e+000	 7.056103e+001	 4.188678e-001	-1.365074e+000	-8.435364e-002	 1.045950e+002	 4.240235e+002	 6.750276e+001	 4.240235e+002	 1.585967e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.570381e+000	 5.439361e+000	 7.249060e+001	 4.202580e-001	-1.448559e+000	-6.139807e-002	 1.033205e+002	 4.227243e+002	 6.906421e+001	 4.227243e+002	 1.669018e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663179e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.663179e+001	-8.663179e+001	 8.663179e+001	-8.663179e+001	 1.669020e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663196e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.663196e+001	-8.663196e+001	 8.663196e+001	-8.663196e+001
 4.000000e+000	 0.000000e+000	-1.491152e-001	-0.000000e+000	 1.543095e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.040958e+000	-5.242129e+000	 7.029931e+001	 4.164133e-001	-1.356665e+000	-8.537994e-002	 1.048139e+002	 4.242466e+002	 6.727058e+001	 4.242466e+002	 1.588611e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.604463e+000	 5.448615e+000	 7.261422e+001	 4.200048e-001	-1.454205e+000	-5.987424e-002	 1.032429e+002	 4.226451e+002	 6.915864e+001	 4.226451e+002	 1.669018e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663179e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.663179e+001	-8.663179e+001	 8.663179e+001	-8.663179e+001	 1.669020e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663196e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.663196e+001	-8.663196e+001	 8.663196e+001	-8.663196e+001
 4.500000e+000	 0.000000e+000	-1.707608e-001	-0.000000e+000	 1.539050e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.004277e+000	-5.213768e+000	 7.003722e+001	 4.139708e-001	-1.348258e+000	-8.640049e-002	 1.050332e+002	 4.244700e+002	 6.703812e+001	 4.244700e+002	 1.591254e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.638540e+000	 5.457879e+000	 7.273771e+001	 4.197522e-001	-1.459849e+000	-5.834820e-002	 1.031653e+002	 4.225660e+002	 6.925296e+001	 4.225660e+002	 1.669018e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663179e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	-8.663179e+001	-8.663179e+001	 8.663179e+001	-8.663179e+001	 1.669020e+002	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 8.663196e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	-8.663196e+001	-8.663196e+001	 8.663196e+001	-8.663196e+001
