Date 26-Apr-2021 17:38:01
Maneuver DemoCar_MBS_roll_eq-25%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	-5.886873e-005	-0.000000e+000	 1.496396e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.117154e+000	-3.023812e+000	-5.625417e+001	 1.273880e-001	 8.437965e-001	 3.300951e-002	 2.247938e+002	 5.452791e+002	-5.221913e+001	 5.452791e+002	 1.496405e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.117149e+000	 3.023802e+000	-5.625409e+001	 1.273870e-001	 8.437953e-001	 3.300941e-002	 2.247937e+002	 5.452790e+002	-5.221906e+001	 5.452790e+002	 5.248626e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.777587e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 2.777587e+001	 2.777587e+001	-2.777587e+001	 2.777587e+001	 5.248638e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-2.777574e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 2.777574e+001	 2.777574e+001	-2.777574e+001	 2.777574e+001
 5.000000e-001	 0.000000e+000	 5.347024e-002	-0.000000e+000	 1.386253e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.182438e+000	-3.148072e+000	-5.722668e+001	 1.398709e-001	 8.582033e-001	 3.393206e-002	 2.256732e+002	 5.461621e+002	-5.306312e+001	 5.461621e+002	 1.592267e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.059890e+000	 2.917625e+000	-5.542747e+001	 1.165905e-001	 8.312466e-001	 3.192182e-002	 2.240514e+002	 5.445337e+002	-5.151083e+001	 5.445337e+002	 5.007958e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.018775e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 3.018775e+001	 3.018775e+001	-3.018775e+001	 3.018775e+001	 5.007971e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.018762e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.018762e+001	 3.018762e+001	-3.018762e+001	 3.018762e+001
 1.000000e+000	 0.000000e+000	 1.139658e-001	-0.000000e+000	 1.266835e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.250416e+000	-3.284898e+000	-5.827859e+001	 1.534455e-001	 8.735452e-001	 3.523039e-002	 2.266297e+002	 5.471224e+002	-5.397360e+001	 5.471224e+002	 1.710917e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.992900e+000	 2.787606e+000	-5.438297e+001	 1.035532e-001	 8.158982e-001	 3.060664e-002	 2.231005e+002	 5.435789e+002	-5.060709e+001	 5.435789e+002	 4.926139e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.100770e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 3.100770e+001	 3.100770e+001	-3.100770e+001	 3.100770e+001	 4.926152e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.100757e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.100757e+001	 3.100757e+001	-3.100757e+001	 3.100757e+001
 1.500000e+000	 0.000000e+000	 1.744326e-001	-0.000000e+000	 1.147391e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.318624e+000	-3.423964e+000	-5.933075e+001	 1.671906e-001	 8.888526e-001	 3.652283e-002	 2.275859e+002	 5.480824e+002	-5.488433e+001	 5.480824e+002	 1.829522e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.926162e+000	 2.659809e+000	-5.333873e+001	 9.068916e-002	 8.005181e-001	 2.928939e-002	 2.221493e+002	 5.426238e+002	-4.970347e+001	 5.426238e+002	 4.898323e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.128646e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 3.128646e+001	 3.128646e+001	-3.128646e+001	 3.128646e+001	 4.898336e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.128633e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.128633e+001	 3.128633e+001	-3.128633e+001	 3.128633e+001
 2.000000e+000	 0.000000e+000	 2.348548e-001	-0.000000e+000	 1.027741e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.387178e+000	-3.565492e+000	-6.038496e+001	 1.811265e-001	 9.041502e-001	 3.780682e-002	 2.285435e+002	 5.490438e+002	-5.579700e+001	 5.490438e+002	 1.947925e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.859746e+000	 2.534396e+000	-5.229635e+001	 7.801473e-002	 7.851257e-001	 2.796890e-002	 2.211994e+002	 5.416699e+002	-4.880145e+001	 5.416699e+002	 4.888867e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.138123e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 3.138123e+001	 3.138123e+001	-3.138123e+001	 3.138123e+001	 4.888880e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.138110e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.138110e+001	 3.138110e+001	-3.138110e+001	 3.138110e+001
 2.500000e+000	 0.000000e+000	 2.952113e-001	-0.000000e+000	 9.078784e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.456079e+000	-3.709507e+000	-6.144127e+001	 1.952543e-001	 9.194387e-001	 3.908256e-002	 2.295026e+002	 5.500066e+002	-5.671165e+001	 5.500066e+002	 2.066121e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.793655e+000	 2.411358e+000	-5.125589e+001	 6.553034e-002	 7.697217e-001	 2.664484e-002	 2.202507e+002	 5.407172e+002	-4.790110e+001	 5.407172e+002	 4.885652e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.141344e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 3.141344e+001	 3.141344e+001	-3.141344e+001	 3.141344e+001	 4.885665e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.141331e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.141331e+001	 3.141331e+001	-3.141331e+001	 3.141331e+001
 3.000000e+000	 0.000000e+000	 3.554816e-001	-0.000000e+000	 7.878056e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.525329e+000	-3.856024e+000	-6.249968e+001	 2.095742e-001	 9.347180e-001	 4.035030e-002	 2.304632e+002	 5.509709e+002	-5.762828e+001	 5.509709e+002	 2.184107e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.727889e+000	 2.290683e+000	-5.021736e+001	 5.323582e-002	 7.543062e-001	 2.531700e-002	 2.193034e+002	 5.397659e+002	-4.700241e+001	 5.397659e+002	 4.884559e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.142440e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 3.142440e+001	 3.142440e+001	-3.142440e+001	 3.142440e+001	 4.884572e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.142427e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.142427e+001	 3.142427e+001	-3.142427e+001	 3.142427e+001
 3.500000e+000	 0.000000e+000	 4.156466e-001	-0.000000e+000	 6.675241e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.594927e+000	-4.005059e+000	-6.356017e+001	 2.240867e-001	 9.499882e-001	 4.161027e-002	 2.314252e+002	 5.519366e+002	-5.854688e+001	 5.519366e+002	 2.301884e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.662449e+000	 2.172356e+000	-4.918078e+001	 4.113097e-002	 7.388792e-001	 2.398514e-002	 2.183574e+002	 5.388158e+002	-4.610540e+001	 5.388158e+002	 4.884188e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.142812e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 3.142812e+001	 3.142812e+001	-3.142812e+001	 3.142812e+001	 4.884201e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.142799e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.142799e+001	 3.142799e+001	-3.142799e+001	 3.142799e+001
 4.000000e+000	 0.000000e+000	 4.756882e-001	-0.000000e+000	 5.470348e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.664873e+000	-4.156625e+000	-6.462274e+001	 2.387918e-001	 9.652490e-001	 4.286274e-002	 2.323886e+002	 5.529037e+002	-5.946744e+001	 5.529037e+002	 2.419449e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.597334e+000	 2.056365e+000	-4.814615e+001	 2.921559e-002	 7.234407e-001	 2.264905e-002	 2.174126e+002	 5.378670e+002	-4.521006e+001	 5.378670e+002	 4.884061e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.142939e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 3.142939e+001	 3.142939e+001	-3.142939e+001	 3.142939e+001	 4.884074e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.142926e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.142926e+001	 3.142926e+001	-3.142926e+001	 3.142926e+001
 4.500000e+000	 0.000000e+000	 5.355892e-001	-0.000000e+000	 4.263399e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.735166e+000	-4.310739e+000	-6.568734e+001	 2.536900e-001	 9.805002e-001	 4.410796e-002	 2.333534e+002	 5.538721e+002	-6.038995e+001	 5.538721e+002	 2.536803e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.532543e+000	 1.942695e+000	-4.711347e+001	 1.748946e-002	 7.079908e-001	 2.130854e-002	 2.164692e+002	 5.369195e+002	-4.431640e+001	 5.369195e+002	 4.884018e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.142982e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 3.142982e+001	 3.142982e+001	-3.142982e+001	 3.142982e+001	 4.884031e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-3.142969e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 3.142969e+001	 3.142969e+001	-3.142969e+001	 3.142969e+001
