Date 26-Apr-2021 17:37:08
Maneuver DemoCar_MBS_roll_equilibrium
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 0.000000e+000	 1.599654e-004	-0.000000e+000	 6.673713e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.963058e-001	-3.677230e-002	-7.946809e+000	-1.920865e-001	 1.281897e-001	 5.251229e-002	 1.798605e+002	 5.001180e+002	-7.412400e+000	 5.001180e+002	 6.673728e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.962984e-001	 3.676818e-002	-7.946678e+000	-1.920870e-001	 1.281874e-001	 5.251205e-002	 1.798604e+002	 5.001178e+002	-7.412286e+000	 5.001178e+002	 8.034414e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.413050e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.413050e-002	-7.413050e-002	 7.413050e-002	-7.413050e-002	 8.034432e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.431058e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.431058e-002	-7.431058e-002	 7.431058e-002	-7.431058e-002
 5.000000e-001	 0.000000e+000	 2.505395e-002	-0.000000e+000	 6.575871e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.485106e-001	-6.490092e-002	-8.796242e+000	-1.882271e-001	 1.428732e-001	 5.382772e-002	 1.806460e+002	 5.009084e+002	-8.149078e+000	 5.009084e+002	 6.772409e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.438984e-001	 9.918948e-003	-7.088915e+000	-1.958216e-001	 1.133414e-001	 5.118564e-002	 1.790665e+002	 4.993189e+002	-6.667604e+000	 4.993189e+002	 8.034691e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.690907e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.690907e-002	-7.690907e-002	 7.690907e-002	-7.690907e-002	 8.034709e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.708932e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.708932e-002	-7.708932e-002	 7.708932e-002	-7.708932e-002
 1.000000e+000	 0.000000e+000	 5.252873e-002	-0.000000e+000	 6.461627e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.052995e-001	-9.882584e-002	-9.795415e+000	-1.838254e-001	 1.596603e-001	 5.560402e-002	 1.815785e+002	 5.018467e+002	-9.017800e+000	 5.018467e+002	 6.886102e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.880053e-001	-1.880684e-002	-6.095192e+000	-1.997052e-001	 9.650266e-002	 4.936647e-002	 1.781377e+002	 4.983840e+002	-5.803159e+000	 4.983840e+002	 8.034750e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.749658e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.749658e-002	-7.749658e-002	 7.749658e-002	-7.749658e-002	 8.034768e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.767685e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.767685e-002	-7.767685e-002	 7.767685e-002	-7.767685e-002
 1.500000e+000	 0.000000e+000	 7.999345e-002	-0.000000e+000	 6.347057e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.624551e-001	-1.347169e-001	-1.079785e+001	-1.792295e-001	 1.764458e-001	 5.736549e-002	 1.825136e+002	 5.027876e+002	-9.889284e+000	 5.027876e+002	 6.999478e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.325152e-001	-4.563299e-002	-5.104617e+000	-2.033963e-001	 7.966400e-002	 4.752897e-002	 1.772113e+002	 4.974516e+002	-4.941343e+000	 4.974516e+002	 8.034762e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.762081e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.762081e-002	-7.762081e-002	 7.762081e-002	-7.762081e-002	 8.034780e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.780107e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.780107e-002	-7.780107e-002	 7.780107e-002	-7.780107e-002
 2.000000e+000	 0.000000e+000	 1.074406e-001	-0.000000e+000	 6.232223e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.199761e-001	-1.725772e-001	-1.180293e+001	-1.744397e-001	 1.932222e-001	 5.911000e-002	 1.834506e+002	 5.037304e+002	-1.076296e+001	 5.037304e+002	 7.112578e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.773860e-001	-7.057667e-002	-4.116777e+000	-2.068964e-001	 6.281768e-002	 4.567527e-002	 1.762869e+002	 4.965212e+002	-4.081754e+000	 4.965212e+002	 8.034765e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.764708e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.764708e-002	-7.764708e-002	 7.764708e-002	-7.764708e-002	 8.034783e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.782734e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.782734e-002	-7.782734e-002	 7.782734e-002	-7.782734e-002
 2.500000e+000	 0.000000e+000	 1.348631e-001	-0.000000e+000	 6.117127e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.778627e-001	-2.124232e-001	-1.281063e+001	-1.694555e-001	 2.099891e-001	 6.083758e-002	 1.843896e+002	 5.046751e+002	-1.163882e+001	 5.046751e+002	 7.225402e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.226166e-001	-9.365461e-002	-3.131674e+000	-2.102059e-001	 4.596378e-002	 4.380538e-002	 1.753647e+002	 4.955928e+002	-3.224394e+000	 4.955928e+002	 8.034765e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.765263e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.765263e-002	-7.765263e-002	 7.765263e-002	-7.765263e-002	 8.034783e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.783289e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.783289e-002	-7.783289e-002	 7.783289e-002	-7.783289e-002
 3.000000e+000	 0.000000e+000	 1.622518e-001	-0.000000e+000	 6.001771e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-7.361157e-001	-2.542713e-001	-1.382094e+001	-1.642762e-001	 2.267464e-001	 6.254826e-002	 1.853305e+002	 5.056217e+002	-1.251684e+001	 5.056217e+002	 7.337948e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.820629e-002	-1.148834e-001	-2.149324e+000	-2.133256e-001	 2.910260e-002	 4.191931e-002	 1.744445e+002	 4.946664e+002	-2.369269e+000	 4.946664e+002	 8.034765e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.765380e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.765380e-002	-7.765380e-002	 7.765380e-002	-7.765380e-002	 8.034783e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.783407e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.783407e-002	-7.783407e-002	 7.783407e-002	-7.783407e-002
 3.500000e+000	 0.000000e+000	 1.895976e-001	-0.000000e+000	 5.886156e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-7.947359e-001	-2.981379e-001	-1.483384e+001	-1.589013e-001	 2.434937e-001	 6.424205e-002	 1.862734e+002	 5.065701e+002	-1.339703e+001	 5.065701e+002	 7.450214e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.415407e-002	-1.342797e-001	-1.169743e+000	-2.162562e-001	 1.223435e-002	 4.001711e-002	 1.735264e+002	 4.937421e+002	-1.516388e+000	 4.937421e+002	 8.034765e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.765405e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.765405e-002	-7.765405e-002	 7.765405e-002	-7.765405e-002	 8.034783e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.783432e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.783432e-002	-7.783432e-002	 7.783432e-002	-7.783432e-002
 4.000000e+000	 0.000000e+000	 2.168920e-001	-0.000000e+000	 5.770283e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-8.537235e-001	-3.440393e-001	-1.584932e+001	-1.533303e-001	 2.602311e-001	 6.591899e-002	 1.872181e+002	 5.075204e+002	-1.427938e+001	 5.075204e+002	 7.562199e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.954119e-002	-1.518601e-001	-1.929402e-001	-2.189984e-001	-4.640747e-003	 3.809882e-002	 1.726104e+002	 4.928198e+002	-6.657567e-001	 4.928198e+002	 8.034765e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.765411e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.765411e-002	-7.765411e-002	 7.765411e-002	-7.765411e-002	 8.034783e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.783437e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.783437e-002	-7.783437e-002	 7.783437e-002	-7.783437e-002
 4.500000e+000	 0.000000e+000	 2.441248e-001	-0.000000e+000	 5.654156e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	-9.130792e-001	-3.919918e-001	-1.686736e+001	-1.475626e-001	 2.769581e-001	 6.757911e-002	 1.881647e+002	 5.084725e+002	-1.516387e+001	 5.084725e+002	 7.673902e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 9.288065e-002	-1.676412e-001	 7.810731e-001	-2.215528e-001	-2.152251e-002	 3.616447e-002	 1.716966e+002	 4.918997e+002	 1.826209e-001	 4.918997e+002	 8.034765e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.765411e-002	-0.000000e+000	 0.000000e+000	-0.000000e+000	-7.765411e-002	-7.765411e-002	 7.765411e-002	-7.765411e-002	 8.034783e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 7.783438e-002	 0.000000e+000	 0.000000e+000	 0.000000e+000	-7.783438e-002	-7.783438e-002	 7.783438e-002	-7.783438e-002
