Date 26-Apr-2021 19:21:01
Maneuver DemoCar_MBS_steering_ratio_front_eq+10%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 1.000000e-002	 1.095278e-004	-1.745329e-003	 7.598399e+001	 0.000000e+000	 0.000000e+000	 4.600275e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.083639e-002	-3.161507e-003	 6.444913e-001	-2.004899e-001	-1.037953e-002	 4.994091e-002	 1.717277e+002	 4.919310e+002	 6.004068e-001	 4.919310e+002	 7.598401e+001	 0.000000e+000	 0.000000e+000	 4.600270e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.086976e-002	 3.095278e-003	 6.445048e-001	-2.005035e-001	-1.034769e-002	 5.001461e-002	 1.717277e+002	 4.919310e+002	 6.003582e-001	 4.919310e+002	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000
 5.000000e-001	 5.010000e+000	 9.714331e-002	-8.744100e-001	 7.598302e+001	 0.000000e+000	 0.000000e+000	 4.599518e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.613538e-001	 3.265257e-001	 6.474309e-001	-1.532650e-001	-1.034274e-001	-3.485203e-001	 1.717314e+002	 4.919347e+002	 5.646166e-001	 4.919347e+002	 7.598577e+001	 0.000000e+000	 0.000000e+000	 4.601060e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 6.200965e-001	 3.364535e-001	 6.412792e-001	-2.470231e-001	 8.289064e-002	 4.480539e-001	 1.717232e+002	 4.919264e+002	 6.414074e-001	 4.919264e+002	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000
 1.000000e+000	 1.001000e+001	 1.942705e-001	-1.747075e+000	 7.598251e+001	 0.000000e+000	 0.000000e+000	 4.598758e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.155847e+000	 6.520791e-001	 6.501758e-001	-1.053868e-001	-1.961728e-001	-7.469457e-001	 1.717341e+002	 4.919374e+002	 5.342957e-001	 4.919374e+002	 7.598868e+001	 0.000000e+000	 0.000000e+000	 4.601908e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.205706e+000	 6.729899e-001	 6.377088e-001	-2.927861e-001	 1.762011e-001	 8.452014e-001	 1.717178e+002	 4.919211e+002	 6.875136e-001	 4.919211e+002	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000
 1.500000e+000	 1.501000e+001	 2.914891e-001	-2.619739e+000	 7.598273e+001	 0.000000e+000	 0.000000e+000	 4.598043e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.753290e+000	 9.739471e-001	 6.525831e-001	-5.679631e-002	-2.887347e-001	-1.145844e+000	 1.717359e+002	 4.919393e+002	 5.092181e-001	 4.919393e+002	 7.599250e+001	 0.000000e+000	 0.000000e+000	 4.602760e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.788343e+000	 1.013155e+000	 6.339552e-001	-3.378503e-001	 2.697024e-001	 1.241965e+000	 1.717115e+002	 4.919147e+002	 7.389238e-001	 4.919147e+002	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000
 2.000000e+000	 2.001000e+001	 3.887806e-001	-3.492404e+000	 7.598374e+001	 0.000000e+000	 0.000000e+000	 4.597354e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.353740e+000	 1.292118e+000	 6.546997e-001	-7.490645e-003	-3.811096e-001	-1.545239e+000	 1.717369e+002	 4.919402e+002	 4.894536e-001	 4.919402e+002	 7.599714e+001	 0.000000e+000	 0.000000e+000	 4.603638e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.368063e+000	 1.356939e+000	 6.299642e-001	-3.822183e-001	 3.633908e-001	 1.638365e+000	 1.717043e+002	 4.919074e+002	 7.955658e-001	 4.919074e+002	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000
 2.500000e+000	 2.501000e+001	 4.861253e-001	-4.365068e+000	 7.598556e+001	 0.000000e+000	 0.000000e+000	 4.596691e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.957208e+000	 1.606577e+000	 6.565126e-001	 4.253409e-002	-4.732981e-001	-1.945154e+000	 1.717369e+002	 4.919403e+002	 4.750155e-001	 4.919403e+002	 7.600262e+001	 0.000000e+000	 0.000000e+000	 4.604540e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.944871e+000	 1.704332e+000	 6.257474e-001	-4.258928e-001	 4.572671e-001	 2.034423e+000	 1.716961e+002	 4.918992e+002	 8.574323e-001	 4.918992e+002	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000
 3.000000e+000	 3.001000e+001	 5.835038e-001	-5.237733e+000	 7.598816e+001	 0.000000e+000	 0.000000e+000	 4.596054e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.563710e+000	 1.917308e+000	 6.580111e-001	 9.328191e-002	-5.653005e-001	-2.345613e+000	 1.717361e+002	 4.919395e+002	 4.659204e-001	 4.919395e+002	 7.600893e+001	 0.000000e+000	 0.000000e+000	 4.605466e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 3.518776e+000	 2.055323e+000	 6.213138e-001	-4.688763e-001	 5.513317e-001	 2.430161e+000	 1.716870e+002	 4.918900e+002	 9.245138e-001	 4.918900e+002	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000
 3.500000e+000	 3.501000e+001	 6.808963e-001	-6.110398e+000	 7.599154e+001	 0.000000e+000	 0.000000e+000	 4.595444e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.173263e+000	 2.224296e+000	 6.591844e-001	 1.447570e-001	-6.571173e-001	-2.746642e+000	 1.717345e+002	 4.919378e+002	 4.621857e-001	 4.919378e+002	 7.601608e+001	 0.000000e+000	 0.000000e+000	 4.606417e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.089785e+000	 2.409902e+000	 6.166722e-001	-5.111713e-001	 6.455849e-001	 2.825597e+000	 1.716770e+002	 4.918800e+002	 9.968020e-001	 4.918800e+002	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000
 4.000000e+000	 4.001000e+001	 7.782831e-001	-6.983062e+000	 7.599571e+001	 0.000000e+000	 0.000000e+000	 4.594861e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.785886e+000	 2.527522e+000	 6.600211e-001	 1.969637e-001	-7.487489e-001	-3.148266e+000	 1.717319e+002	 4.919352e+002	 4.638299e-001	 4.919352e+002	 7.602408e+001	 0.000000e+000	 0.000000e+000	 4.607392e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 4.657906e+000	 2.768060e+000	 6.118313e-001	-5.527799e-001	 7.400272e-001	 3.220753e+000	 1.716661e+002	 4.918689e+002	 1.074289e+000	 4.918689e+002	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000
 4.500000e+000	 4.501000e+001	 8.756443e-001	-7.855727e+000	 7.600065e+001	 0.000000e+000	 0.000000e+000	 4.594306e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.401597e+000	 2.826970e+000	 6.605097e-001	 2.499067e-001	-8.401956e-001	-3.550511e+000	 1.717285e+002	 4.919318e+002	 4.708724e-001	 4.919318e+002	 7.603293e+001	 0.000000e+000	 0.000000e+000	 4.608391e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 5.223147e+000	 3.129787e+000	 6.067997e-001	-5.937043e-001	 8.346589e-001	 3.615648e+000	 1.716542e+002	 4.918570e+002	 1.156969e+000	 4.918570e+002	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	-0.000000e+000	 0.000000e+000	-0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000	 9.015561e+001	 0.000000e+000	 0.000000e+000	 3.109535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	 9.885615e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-9.885615e+000	-9.885615e+000	 9.885615e+000	-9.885615e+000
