Date 26-Apr-2021 19:18:43
Maneuver DemoCar_MBS_steering_ratio_front_eq-50%
WheelVerticalLift_FL 75.28999999899997
WheelVerticalLift_FR 75.28999999899997
WheelVerticalLift_RL 80.26999999999998
WheelVerticalLift_RR 80.26999999999998
Time	StWhlAng	StWhlTrq	RackTravel	wheelPlatform_FL	FrcX_FL	FrcY_FL	FrcZ_FL	TrqX_FL	TrqY_FL	TrqZ_FL	tx_FL	ty_FL	tz_FL	camber_FL	spin_FL	toe_FL	springLength_FL	damperLength_FL	stabiLength_FL	bufferLength_FL	wheelPlatform_FR	FrcX_FR	FrcY_FR	FrcZ_FR	TrqX_FR	TrqY_FR	TrqZ_FR	tx_FR	ty_FR	tz_FR	camber_FR	spin_FR	toe_FR	springLength_FR	damperLength_FR	stabiLength_FR	bufferLength_FR	wheelPlatform_RL	FrcX_RL	FrcY_RL	FrcZ_RL	TrqX_RL	TrqY_RL	TrqZ_RL	tx_RL	ty_RL	tz_RL	camber_RL	spin_RL	toe_RL	springLength_RL	damperLength_RL	stabiLength_RL	bufferLength_RL	wheelPlatform_RR	FrcX_RR	FrcY_RR	FrcZ_RR	TrqX_RR	TrqY_RR	TrqZ_RR	tx_RR	ty_RR	tz_RR	camber_RR	spin_RR	toe_RR	springLength_RR	damperLength_RR	stabiLength_RR	bufferLength_RR	
s	deg	N	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	mm	N	N	N	Nm	Nm	Nm	mm	mm	mm	deg	deg	deg	mm	mm	mm	mm	
 0.000000e+000	 1.000000e-002	-1.852303e-005	-1.745329e-003	 1.294770e+001	 0.000000e+000	 0.000000e+000	 3.128968e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.233422e+000	-3.239816e+000	-5.815095e+001	 1.488296e-001	 8.698494e-001	 3.115075e-002	 2.265342e+002	 5.470265e+002	-5.397533e+001	 5.470265e+002	 1.294770e+001	 0.000000e+000	 0.000000e+000	 3.128980e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.233387e+000	 3.239748e+000	-5.815098e+001	 1.488142e-001	 8.698639e-001	 3.121890e-002	 2.265343e+002	 5.470266e+002	-5.397552e+001	 5.470266e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 5.000000e-001	 5.010000e+000	 6.173853e-002	-8.744100e-001	 1.293784e+001	 0.000000e+000	 0.000000e+000	 3.126754e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.827058e+000	-2.903538e+000	-5.814528e+001	 1.905134e-001	 7.844848e-001	-3.781946e-001	 2.265382e+002	 5.470305e+002	-5.405435e+001	 5.470305e+002	 1.295818e+001	 0.000000e+000	 0.000000e+000	 3.131211e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.642682e+000	 3.579707e+000	-5.815687e+001	 1.077796e-001	 9.553912e-001	 4.401255e-001	 2.265295e+002	 5.470218e+002	-5.389068e+001	 5.470218e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 1.000000e+000	 1.001000e+001	 1.236393e-001	-1.747075e+000	 1.293125e+001	 0.000000e+000	 0.000000e+000	 3.124524e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-4.421638e+000	-2.571270e+000	-5.813976e+001	 2.327897e-001	 6.992373e-001	-7.875583e-001	 2.265416e+002	 5.470340e+002	-5.412847e+001	 5.470340e+002	 1.296675e+001	 0.000000e+000	 0.000000e+000	 3.133521e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-2.057202e+000	 3.923013e+000	-5.816314e+001	 6.745273e-002	 1.041157e+000	 8.481720e-001	 2.265237e+002	 5.470160e+002	-5.379913e+001	 5.470160e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 1.500000e+000	 1.501000e+001	 1.855924e-001	-2.619739e+000	 1.292527e+001	 0.000000e+000	 0.000000e+000	 3.122346e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.019594e+000	-2.242676e+000	-5.813456e+001	 2.757238e-001	 6.141837e-001	-1.197434e+000	 2.265443e+002	 5.470366e+002	-5.419685e+001	 5.470366e+002	 1.297613e+001	 0.000000e+000	 0.000000e+000	 3.135825e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-1.474456e+000	 4.270000e+000	-5.816954e+001	 2.776834e-002	 1.127079e+000	 1.255850e+000	 2.265171e+002	 5.470093e+002	-5.370169e+001	 5.470093e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 2.000000e+000	 2.001000e+001	 2.475915e-001	-3.492404e+000	 1.291998e+001	 0.000000e+000	 0.000000e+000	 3.120190e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-5.620634e+000	-1.917802e+000	-5.812963e+001	 3.193171e-001	 5.293030e-001	-1.607823e+000	 2.265462e+002	 5.470385e+002	-5.425937e+001	 5.470385e+002	 1.298621e+001	 0.000000e+000	 0.000000e+000	 3.138153e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-8.947385e-001	 4.620627e+000	-5.817616e+001	-1.127421e-002	 1.213177e+000	 1.663160e+000	 2.265097e+002	 5.470019e+002	-5.359845e+001	 5.470019e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 2.500000e+000	 2.501000e+001	 3.096251e-001	-4.365068e+000	 1.291537e+001	 0.000000e+000	 0.000000e+000	 3.118059e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.224794e+000	-1.596661e+000	-5.812496e+001	 3.635734e-001	 4.445956e-001	-2.018752e+000	 2.265473e+002	 5.470396e+002	-5.431606e+001	 5.470396e+002	 1.299701e+001	 0.000000e+000	 0.000000e+000	 3.140505e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-3.180212e-001	 4.974883e+000	-5.818299e+001	-4.967745e-002	 1.299452e+000	 2.070124e+000	 2.265015e+002	 5.469937e+002	-5.348940e+001	 5.469937e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 3.000000e+000	 3.001000e+001	 3.716816e-001	-5.237733e+000	 1.291145e+001	 0.000000e+000	 0.000000e+000	 3.115951e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-6.832091e+000	-1.279269e+000	-5.812057e+001	 4.084964e-001	 3.600610e-001	-2.430249e+000	 2.265476e+002	 5.470399e+002	-5.436689e+001	 5.470399e+002	 1.300854e+001	 0.000000e+000	 0.000000e+000	 3.142880e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 2.557050e-001	 5.332759e+000	-5.819002e+001	-8.744370e-002	 1.385904e+000	 2.476767e+000	 2.264925e+002	 5.469846e+002	-5.337455e+001	 5.469846e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 3.500000e+000	 3.501000e+001	 4.337498e-001	-6.110398e+000	 1.290820e+001	 0.000000e+000	 0.000000e+000	 3.113868e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-7.442543e+000	-9.656432e-001	-5.811647e+001	 4.540900e-001	 2.756987e-001	-2.842341e+000	 2.265471e+002	 5.470394e+002	-5.441184e+001	 5.470394e+002	 1.302078e+001	 0.000000e+000	 0.000000e+000	 3.145277e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 8.264496e-001	 5.694244e+000	-5.819725e+001	-1.245752e-001	 1.472532e+000	 2.883111e+000	 2.264826e+002	 5.469747e+002	-5.325390e+001	 5.469747e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 4.000000e+000	 4.001000e+001	 4.958180e-001	-6.983062e+000	 1.290563e+001	 0.000000e+000	 0.000000e+000	 3.111809e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-8.056170e+000	-6.557994e-001	-5.811267e+001	 5.003584e-001	 1.915080e-001	-3.255056e+000	 2.265459e+002	 5.470383e+002	-5.445092e+001	 5.470383e+002	 1.303376e+001	 0.000000e+000	 0.000000e+000	 3.147697e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.394221e+000	 6.059330e+000	-5.820465e+001	-1.610738e-001	 1.559339e+000	 3.289177e+000	 2.264719e+002	 5.469640e+002	-5.312745e+001	 5.469640e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
 4.500000e+000	 4.501000e+001	 5.578746e-001	-7.855727e+000	 1.290372e+001	 0.000000e+000	 0.000000e+000	 3.109774e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	-8.672995e+000	-3.497561e-001	-5.810917e+001	 5.473058e-001	 1.074885e-001	-3.668422e+000	 2.265439e+002	 5.470362e+002	-5.448410e+001	 5.470362e+002	 1.304747e+001	 0.000000e+000	 0.000000e+000	 3.150140e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 1.959027e+000	 6.428008e+000	-5.821223e+001	-1.969416e-001	 1.646324e+000	 3.694988e+000	 2.264604e+002	 5.469524e+002	-5.299519e+001	 5.469524e+002	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	-0.000000e+000	 0.000000e+000	-0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001	 3.135562e+001	 0.000000e+000	 0.000000e+000	 1.639535e+003	 0.000000e+000	-0.000000e+000	 0.000000e+000	 0.000000e+000	 0.000000e+000	-4.891438e+001	 0.000000e+000	 0.000000e+000	 0.000000e+000	 4.891438e+001	 4.891438e+001	-4.891438e+001	 4.891438e+001
